domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
processbench_qwen,math,qwen3_8b__math,1000,406,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7952596573286228,0.693129340014667,0.22723126171402264,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7984898243518933,0.6923509029912431,0.5502479640410729,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7946293808362774,0.6862327662377901,0.16420361247948545,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7929375860410344,0.6897548411411936,-0.004975867044820781,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.7951559934318554,0.6929729346658866,0.21686487203728122,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7989832645005057,0.6932070157919816,0.5995919789023141,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7989832645005057,0.6932070157919816,0.5995919789023141,0.33918827022275666
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,iu,baseline,none,none,,,0.7829515483378631,0.6358648159766246,0.0,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7863699855854408,0.6354034187919448,0.34184372475777325,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7872536025241097,0.6367113510169535,0.4302054186246629,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7922741533120017,0.6392335739454063,0.9322604974138615,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7926400956805412,0.6399002752577787,0.96885473426781,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.786294119484646,0.6352916181919518,0.33425711467829355,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.787168810999692,0.6366468600080686,0.421726266182898,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.792122421110412,0.6393211719217479,0.917087277254891,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.792122421110412,0.6393211719217479,0.917087277254891,0.766247618027549
