acc_correct,acc_erroneous,cal_f1,f1,method,model,sla,sla_tol1,split_index,subset,tau
0.4215686274509804,0.21428571428571427,0.3611183018379498,0.2841409691629956,global_dufs__local_iu_core,qwen3_4b,0.21428571428571427,0.5204081632653061,92,gsm8k,-0.23577434261695682
0.4380952380952381,0.30526315789473685,0.28715814506539833,0.3598111935266352,global_dufs__local_iu_core,qwen3_4b,0.30526315789473685,0.4842105263157895,93,gsm8k,-0.23577434261695682
0.6063829787234043,0.24528301886792453,0.31219278263997124,0.34928116898420936,global_dufs__local_iu_core,qwen3_4b,0.24528301886792453,0.4716981132075472,94,gsm8k,-0.13935738369986822
0.7529411764705882,0.24347826086956523,0.2519362186788155,0.36796714579055445,global_dufs__local_iu_core,qwen3_4b,0.24347826086956523,0.40869565217391307,95,gsm8k,-0.029265287531749992
0.6464646464646465,0.18811881188118812,0.3675082327113062,0.2914319952067106,global_dufs__local_iu_core,qwen3_4b,0.18811881188118812,0.45544554455445546,96,gsm8k,-0.10061032787108252
0.6732673267326733,0.15151515151515152,0.3965741543798786,0.24736267733721357,global_dufs__local_iu_core,qwen3_4b,0.15151515151515152,0.41414141414141414,97,gsm8k,-0.09460485294992675
0.3157894736842105,0.2857142857142857,0.311214953271028,0.3,global_dufs__local_iu_core,qwen3_4b,0.2857142857142857,0.5523809523809524,98,gsm8k,-0.2986236526538192
0.6326530612244898,0.22549019607843138,0.3310344827586207,0.3324784332012124,global_dufs__local_iu_core,qwen3_4b,0.22549019607843138,0.49019607843137253,99,gsm8k,-0.13739495976852653
0.6382978723404256,0.2358490566037736,0.3832627118644068,0.34443168771526983,global_dufs__local_temporal_core,qwen3_4b,0.2358490566037736,0.44339622641509435,0,gsm8k,-0.09716522010786527
0.7083333333333334,0.2692307692307692,0.33694229625223077,0.39016393442622943,global_dufs__local_temporal_core,qwen3_4b,0.2692307692307692,0.5192307692307693,1,gsm8k,-0.09460485294992675
0.3076923076923077,0.34375,0.32403240324032406,0.32472324723247237,global_dufs__local_temporal_core,qwen3_4b,0.34375,0.6354166666666666,2,gsm8k,-0.2975808514676882
0.6363636363636364,0.2079207920792079,0.4007155635062612,0.31343283582089554,global_dufs__local_temporal_core,qwen3_4b,0.2079207920792079,0.5148514851485149,3,gsm8k,-0.13739495976852653
0.7422680412371134,0.24271844660194175,0.32793867120954,0.36581648206483086,global_dufs__local_temporal_core,qwen3_4b,0.24271844660194175,0.46601941747572817,4,gsm8k,-0.035488597279622544
0.6288659793814433,0.24271844660194175,0.37247706422018345,0.3502526412494258,global_dufs__local_temporal_core,qwen3_4b,0.24271844660194175,0.5436893203883495,5,gsm8k,-0.13739495976852653
0.5959595959595959,0.2376237623762376,0.3830068236847898,0.3397720455908818,global_dufs__local_temporal_core,qwen3_4b,0.2376237623762376,0.504950495049505,6,gsm8k,-0.13739495976852653
0.5894736842105263,0.2571428571428571,0.36505460218408736,0.3580817051509769,global_dufs__local_temporal_core,qwen3_4b,0.2571428571428571,0.5142857142857142,7,gsm8k,-0.13739495976852653
0.40625,0.2980769230769231,0.3410932475884244,0.34385665529010234,global_dufs__local_temporal_core,qwen3_4b,0.2980769230769231,0.5288461538461539,8,gsm8k,-0.22627682774439517
0.6666666666666666,0.20192307692307693,0.41133108677337826,0.3099630996309963,global_dufs__local_temporal_core,qwen3_4b,0.20192307692307693,0.4230769230769231,9,gsm8k,-0.09460485294992675
0.6020408163265306,0.23529411764705882,0.37981651376146786,0.33835125448028674,global_dufs__local_temporal_core,qwen3_4b,0.23529411764705882,0.45098039215686275,10,gsm8k,-0.08398723354020751
0.6263736263736264,0.24770642201834864,0.36938588450962423,0.3550173010380623,global_dufs__local_temporal_core,qwen3_4b,0.24770642201834864,0.45871559633027525,11,gsm8k,-0.13739495976852653
0.5957446808510638,0.24528301886792453,0.3764940239043825,0.3474940334128878,global_dufs__local_temporal_core,qwen3_4b,0.24528301886792453,0.5,12,gsm8k,-0.13902321213063068
0.7415730337078652,0.22522522522522523,0.34891485809682804,0.34551355878965556,global_dufs__local_temporal_core,qwen3_4b,0.22522522522522523,0.42342342342342343,13,gsm8k,-0.03537568467466615
0.5841584158415841,0.2828282828282828,0.3416856492027335,0.3811281578036682,global_dufs__local_temporal_core,qwen3_4b,0.2828282828282828,0.494949494949495,14,gsm8k,-0.13902321213063068
0.6129032258064516,0.2803738317757009,0.3355294117647059,0.3847451906851165,global_dufs__local_temporal_core,qwen3_4b,0.2803738317757009,0.4672897196261682,15,gsm8k,-0.13902321213063068
0.63,0.2,0.41693811074918563,0.3036144578313253,global_dufs__local_temporal_core,qwen3_4b,0.2,0.48,16,gsm8k,-0.09570165865533728
0.7052631578947368,0.18095238095238095,0.4026428293820443,0.28800904977375563,global_dufs__local_temporal_core,qwen3_4b,0.18095238095238095,0.4380952380952381,17,gsm8k,-0.03857580716423444
0.7407407407407407,0.20652173913043478,0.36994594594594593,0.3229919252018699,global_dufs__local_temporal_core,qwen3_4b,0.20652173913043478,0.4673913043478261,18,gsm8k,-0.05041614044602463
0.8152173913043478,0.23148148148148148,0.31182917184498926,0.360576923076923,global_dufs__local_temporal_core,qwen3_4b,0.23148148148148148,0.4444444444444444,19,gsm8k,-0.02626079466827742
0.5729166666666666,0.23076923076923078,0.3946836788942052,0.32901296111665007,global_dufs__local_temporal_core,qwen3_4b,0.23076923076923078,0.5096153846153846,20,gsm8k,-0.13902321213063068
0.54,0.25,0.38079296997593887,0.34177215189873417,global_dufs__local_temporal_core,qwen3_4b,0.25,0.51,21,gsm8k,-0.13902321213063068
0.52,0.22,0.4132510943095901,0.3091891891891892,global_dufs__local_temporal_core,qwen3_4b,0.22,0.51,22,gsm8k,-0.13902321213063068
