cell,scale,m,K,cluster_sizes,n_cross_cluster_pairs,spearman_fiterr_vs_abscorr,ratio_lsml,ratio_lsml_decile_matched,ratio_random_partition,ratio_magnitude_clustering,mannwhitney_p,design_rank_cross_only,design_sigma_min_cross_only,identifiable
sciq_llama8b,unit,30,7,"[2, 3, 4, 4, 4, 5, 8]",375,0.8727926908739432,1.6417602669191984,1.1321951925420426,0.8943595680241342,2.2559514330460173,1.666670281361997e-11,30,3.9654212994906337,True
se_nq_open_llama8b,unit,27,8,"[2, 2, 2, 3, 3, 3, 5, 7]",308,0.8752791652791654,2.192851737451524,1.0135978033493747,1.323764946957511,2.529250918578997,5.036895066250375e-16,27,3.7951812124323285,True
se_squad_v2_llama8b,unit,27,6,"[2, 3, 3, 4, 7, 8]",289,0.9325205350205351,1.7787725873779205,0.8928680040146101,1.1617912334194818,2.602852602593322,5.276577817750756e-11,27,3.4507608347541,True
seiclr_triviaqa_opt30b,unit,28,7,"[2, 3, 3, 4, 5, 5, 6]",330,0.8584049620352049,1.8866337572641894,0.9142336836523642,0.9806093027449886,3.1350731983522446,5.745395669917391e-10,28,4.070590460381533,True
semenergy_triviaqa_qwen3_8b,unit,27,7,"[1, 2, 3, 3, 4, 6, 8]",295,0.8967893217893218,2.6221679877112343,1.09913724425607,1.0399473345663823,3.0230347356406413,3.6062387976783514e-25,27,3.5460636692487233,True
spilled_triviaqa_llama8b,unit,28,8,"[1, 1, 2, 3, 4, 5, 5, 7]",327,0.9508731141885541,1.9623498992079684,0.8726078111218356,1.209059134082076,2.6677905440332257,7.275696626831724e-16,28,3.890523441178546,True
trace_gsm8k_llama8b_k10,unit,29,8,"[1, 1, 1, 2, 3, 3, 6, 12]",318,0.9551047688978723,2.1006018998668003,0.9688298774439618,1.022193055676311,2.571566109616699,1.764873517707233e-28,29,3.1090667467969815,True
trace_math500_qwenmath15b_k10,unit,30,7,"[1, 2, 2, 6, 6, 6, 7]",367,0.9801277668357298,1.7364048659094653,0.9892116917299836,0.9336711949318652,4.0960171162942975,3.0462730482677153e-13,30,4.063731074681002,True
truthfulqa_llama8b,unit,29,6,"[2, 2, 4, 5, 5, 11]",323,0.739320691044829,2.839531940779415,0.971017393846466,0.8550207724541181,3.0335974909602093,6.648469121674109e-34,29,3.2865517510496196,True
ars_gsm8k_r1distill8b,eigen,30,5,"[2, 4, 5, 7, 12]",331,0.7554667654026689,2.754618277633237,0.7186672764398377,0.9227615706675368,2.5462337513323394,3.500785587994318e-23,30,3.143368758196029,True
epr_triviaqa_mistral24b,eigen,28,4,"[2, 4, 5, 17]",225,0.9153670963333413,2.1786270006685498,0.8917706351893508,1.0582538047290349,3.5341326494397314,7.784294998211959e-29,28,1.991738541623309,True
inside_coqa_llama7b,eigen,27,6,"[1, 2, 3, 5, 7, 9]",280,0.7159482184482183,2.0160190714818285,1.118725358395285,1.1047573096776007,1.883216228045081,4.44145780660835e-15,27,3.2688781846378596,True
internalstates_gsm8k_qwen25_7b,eigen,29,6,"[2, 2, 3, 4, 7, 11]",319,0.8941675217537287,2.1035108005312995,1.0199493124831933,0.9872141617622815,2.681407103019642,9.18893404134219e-24,29,3.205125168816883,True
lapeigvals_gsm8k_llama3b,eigen,30,2,"[3, 27]",81,0.9607946502375583,2.430700985845778,1.5240502809044083,1.0409192882366767,4.7160008330986605,8.200379429033729e-17,29,6.498722506610183e-16,False
lapeigvals_gsm8k_llama8b,eigen,29,6,"[1, 2, 2, 3, 6, 15]",281,0.9632465425568874,2.229641210224327,0.9279277054545151,1.027453608110294,5.01573347651439,1.3886097750304742e-36,29,2.5391991538593395,True
lapeigvals_gsm8k_mistral24b,eigen,30,2,"[2, 28]",56,0.9543226272966758,1.7243586339934807,0.7947240795393458,1.0538035815446805,5.307392728349847,2.7013298321554834e-05,29,4.014448083418628e-16,False
lapeigvals_gsm8k_nemo,eigen,29,4,"[4, 4, 6, 15]",274,0.8622529381150071,2.013049881975584,1.0710017871031623,1.0451597008238533,4.748276294909056,4.312967712527663e-17,29,2.4831984970436887,True
lapeigvals_gsm8k_phi35,eigen,29,6,"[2, 3, 3, 3, 5, 13]",308,0.815479787893581,2.2977125659450848,0.6610661702075715,0.8647218784172004,3.0815946347272103,1.8409384024617115e-20,29,2.9643777251524783,True
losnet_hotpotqa_mistral7b,eigen,29,5,"[3, 3, 5, 6, 12]",309,0.8646541456672104,2.298960300401165,0.9045492040866568,0.9652018718934976,3.7789899613133078,4.07855960260963e-19,29,3.0610874465308755,True
math500_dsmath7b,eigen,30,4,"[5, 7, 9, 9]",332,0.8243853298480764,1.8268158575660425,0.9472131055522389,0.96084297909006,4.116235234473948,2.6267973128643566e-12,30,3.4641016151377535,True
math500_qwenmath7b,eigen,28,2,"[5, 23]",115,0.9876140196402229,1.4637856099447164,1.0579997554083542,1.015589673061575,7.454845700307125,9.591995531913402e-09,27,4.979982556245055e-16,False
math500_r1distill8b,eigen,28,7,"[1, 2, 2, 3, 4, 7, 9]",310,0.7708399224184866,1.8938392329466995,1.1983732341137268,0.9112083782475973,1.9242461470080034,1.29781645947805e-18,28,3.4231797399258217,True
math500_r1distill8b_mn4096,eigen,29,3,"[2, 6, 21]",180,0.8229183056769265,1.060712815395229,0.7238221766664967,0.8861162289911431,6.703287631255646,0.14800694929012442,29,1.1468011985053772,True
noise_gsm8k_mistral7b,eigen,29,6,"[1, 1, 2, 6, 6, 13]",297,0.856107966452794,2.176105745184785,0.9547168179363116,0.8811633581725309,2.2673098091451624,1.0315300787143858e-23,29,2.8398621886283544,True
noise_gsm8k_phi3mini,eigen,29,5,"[2, 3, 5, 6, 13]",299,0.715488887902681,2.193956167965899,0.8168709782390543,0.8952034804227821,2.661658221843026,7.79845648011099e-21,29,2.8730091674184566,True
sciq_llama8b,eigen,30,2,"[6, 24]",144,0.8727926908739432,1.721560741242644,0.9845717706621142,0.9181212207041359,2.1449161442533167,3.5401538411050173e-15,29,8.81390403362548e-16,False
se_nq_open_llama8b,eigen,27,4,"[2, 5, 6, 14]",234,0.8752791652791654,2.5671820057838377,1.035330985091854,1.2318645437795972,3.22256830936439,1.565912448959255e-34,27,2.332321695645695,True
se_squad_v2_llama8b,eigen,27,5,"[2, 3, 3, 8, 11]",261,0.9325205350205351,1.8511026570036064,0.9420334213279651,1.259011238566966,2.5948960288197673,3.475926733673507e-15,27,2.7802637459957467,True
seiclr_triviaqa_opt30b,eigen,28,3,"[4, 9, 15]",231,0.8584049620352049,2.012818256105803,0.8696953955994808,0.980780705286104,3.0202746704674763,1.2287242370818408e-18,28,1.9078715094924037,True
semenergy_triviaqa_qwen3_8b,eigen,27,5,"[2, 3, 3, 9, 10]",263,0.8967893217893218,2.322985219586662,0.9570980977827361,1.0080676813107297,3.095299409234322,8.085649702199531e-23,27,2.8229142716290516,True
spilled_triviaqa_llama8b,eigen,28,2,"[4, 24]",96,0.9508731141885541,3.302714709268461,1.008076815988215,1.2185898470782388,5.924995590793251,2.356043094400885e-32,27,7.1167641327340605e-16,False
trace_gsm8k_llama8b_k10,eigen,29,5,"[1, 2, 5, 6, 15]",275,0.9551047688978723,2.092908506331966,0.8823643135959611,1.038711170023966,4.711263712800328,2.832022287825769e-30,29,2.480836095078185,True
trace_math500_qwenmath15b_k10,eigen,30,2,"[2, 28]",56,0.9801277668357298,2.879454589685416,1.2140367407121297,0.9583396424788124,5.7356726750246345,1.3970973724346397e-14,29,4.2946867496690925e-16,False
truthfulqa_llama8b,eigen,29,4,"[2, 5, 10, 12]",284,0.739320691044829,2.7554354334847067,1.1153657127944412,0.8640640699548611,2.3418066495844383,2.953557686538667e-34,29,2.6278050367100203,True
ars_gsm8k_r1distill8b,complete,30,5,"[2, 4, 5, 7, 12]",331,0.7554667654026689,2.754618277633237,0.7186672764398377,0.9227615706675368,2.5462337513323394,3.500785587994318e-23,30,3.143368758196029,True
epr_triviaqa_mistral24b,complete,28,5,"[2, 2, 5, 8, 11]",283,0.9153670963333413,2.1261352162332763,1.0954385586310913,1.0288044671709222,2.537009655729847,1.8709448064012602e-26,28,2.93874746035194,True
inside_coqa_llama7b,complete,27,6,"[1, 2, 3, 5, 7, 9]",280,0.7159482184482183,2.0160190714818285,1.118725358395285,1.1047573096776007,1.883216228045081,4.44145780660835e-15,27,3.2688781846378596,True
internalstates_gsm8k_qwen25_7b,complete,29,5,"[2, 2, 4, 7, 14]",286,0.8941675217537287,1.9221716268512294,0.8412125690205196,0.9911564696139323,2.9524954613866905,3.4307835627171217e-19,29,2.6281930812023866,True
lapeigvals_gsm8k_llama3b,complete,30,8,"[1, 2, 2, 2, 2, 3, 6, 12]",347,0.9607946502375583,2.078955804810658,0.9747692345649632,0.949781304811727,2.3440093601566763,1.5461319778285082e-26,30,3.255144686867524,True
lapeigvals_gsm8k_llama8b,complete,29,5,"[2, 2, 5, 7, 13]",295,0.9632465425568874,1.7483986447323516,0.9661504817842422,0.9263652025839594,5.03994390970667,2.783517103879866e-17,29,2.8065313871262276,True
lapeigvals_gsm8k_mistral24b,complete,30,8,"[1, 1, 2, 2, 3, 3, 7, 11]",351,0.9543226272966758,2.0035025542380227,0.9491422538939418,0.9029942688580824,3.544656611805017,7.592427365285074e-24,30,3.3593753331185803,True
lapeigvals_gsm8k_nemo,complete,29,4,"[4, 4, 6, 15]",274,0.8622529381150071,2.013049881975584,1.0710017871031623,1.0451597008238533,4.748276294909056,4.312967712527663e-17,29,2.4831984970436887,True
lapeigvals_gsm8k_phi35,complete,29,5,"[3, 3, 3, 6, 14]",291,0.815479787893581,2.3398968835186147,1.163340164975035,0.9763966953264107,3.1094580058455645,3.6354551544006403e-22,29,2.7143346028270043,True
losnet_hotpotqa_mistral7b,complete,29,5,"[3, 3, 5, 6, 12]",309,0.8646541456672104,2.298960300401165,0.9045492040866568,0.9652018718934976,3.7789899613133078,4.07855960260963e-19,29,3.0610874465308755,True
math500_dsmath7b,complete,30,4,"[5, 7, 9, 9]",332,0.8243853298480764,1.8268158575660425,0.9472131055522389,0.96084297909006,4.116235234473948,2.6267973128643566e-12,30,3.4641016151377535,True
math500_qwenmath7b,complete,28,4,"[2, 4, 5, 17]",225,0.9876140196402229,1.9486105111514689,1.0305735946914014,0.8431123757384378,5.2821982392600635,4.650076110023964e-29,28,1.9917385416233102,True
math500_r1distill8b,complete,28,3,"[2, 11, 15]",217,0.7708399224184866,1.443905192510965,1.110387798958754,0.8788666678198735,2.2791810701234363,1.4514660341325386e-08,28,1.3943913287950338,True
math500_r1distill8b_mn4096,complete,29,3,"[2, 6, 21]",180,0.8229183056769265,1.060712815395229,0.7238221766664967,0.8861162289911431,6.703287631255646,0.14800694929012442,29,1.1468011985053772,True
noise_gsm8k_mistral7b,complete,29,6,"[1, 1, 2, 6, 6, 13]",297,0.856107966452794,2.176105745184785,0.9547168179363116,0.8811633581725309,2.2673098091451624,1.0315300787143858e-23,29,2.8398621886283544,True
noise_gsm8k_phi3mini,complete,29,5,"[2, 3, 5, 6, 13]",299,0.715488887902681,2.193956167965899,0.8168709782390543,0.8952034804227821,2.661658221843026,7.79845648011099e-21,29,2.8730091674184566,True
sciq_llama8b,complete,30,5,"[3, 4, 5, 5, 13]",328,0.8727926908739432,1.7543074483642127,1.3960908850453302,0.8935324195532124,3.1258201873909632,2.806280436894242e-19,30,3.0493697725345053,True
se_nq_open_llama8b,complete,27,5,"[2, 2, 5, 6, 12]",258,0.8752791652791654,2.581247538995143,1.1247144699706089,1.260578459122028,2.2950548263879056,2.4879445884805956e-35,27,2.7583172646202136,True
se_squad_v2_llama8b,complete,27,5,"[2, 3, 3, 8, 11]",261,0.9325205350205351,1.8511026570036064,0.9420334213279651,1.259011238566966,2.5948960288197673,3.475926733673507e-15,27,2.7802637459957467,True
seiclr_triviaqa_opt30b,complete,28,3,"[4, 9, 15]",231,0.8584049620352049,2.012818256105803,0.8696953955994808,0.980780705286104,3.0202746704674763,1.2287242370818408e-18,28,1.9078715094924037,True
semenergy_triviaqa_qwen3_8b,complete,27,5,"[2, 3, 3, 9, 10]",263,0.8967893217893218,2.322985219586662,0.9570980977827361,1.0080676813107297,3.095299409234322,8.085649702199531e-23,27,2.8229142716290516,True
spilled_triviaqa_llama8b,complete,28,5,"[2, 2, 5, 5, 14]",265,0.9508731141885541,1.9923937469544837,1.2681137286481419,1.0744577187038047,4.094283562353068,2.5495949345658224e-22,28,2.575744791329323,True
trace_gsm8k_llama8b_k10,complete,29,7,"[1, 1, 2, 3, 3, 7, 12]",312,0.9551047688978723,2.058120316694309,0.9548532376654112,1.0389957435012043,4.203785542513666,1.7188634208223048e-27,29,3.029018190455155,True
trace_math500_qwenmath15b_k10,complete,30,5,"[2, 2, 6, 7, 13]",319,0.9801277668357298,1.5432746956589165,0.8914076020389492,0.8755648929152002,4.7036819050289225,6.085901780586322e-10,30,2.935055719696936,True
truthfulqa_llama8b,complete,29,4,"[2, 5, 10, 12]",284,0.739320691044829,2.7554354334847067,1.1153657127944412,0.8640640699548611,2.3418066495844383,2.953557686538667e-34,29,2.6278050367100203,True
