method,benchmark,metric,stratum,N,estimate,coverage
H_MEAN,pb,tol1,q8,2221,0.48460348402793973,3400
H_MEAN,pb,early,q8,2221,0.494163914352364,3400
H_MEAN,pb,late,q8,2221,0.30622073970426267,3400
H_MEAN,pb,f1,q8,2221,0.25753974379140504,3400
H_MEAN,prm,within_auc,all,6030,0.6571291711411491,6969
H_MEAN,prm,step_auroc_mean_folds,all,94203,0.6337819451225736,6969
H_MEAN,prm,step_auprc_mean_folds,all,94203,0.19119805668554615,6969
H_MEAN,prm,prmscore_inner_raw,all,6211,0.5586120405952206,6969
H_MEAN,prm,prmscore_q80_raw,all,6211,0.5588102161438057,6969
H_MEAN,prm,prmscore_inner_answer_z,all,6211,0.5608188484685082,6969
H_MEAN,prm,prmscore_q80_answer_z,all,6211,0.5614404543176067,6969
H_MEAN,prm,within_auc,kind=single,1964,0.688870272506485,1964
H_MEAN,prm,within_auc,kind=multi,4066,0.6417972667925215,4066
H_MEAN,pb,sla,depth=2-5,1312,0.2972560975609756,1312
H_MEAN,prm,within_auc,depth=2-5,395,0.6654008438818566,395
H_MEAN,pb,sla,depth=6-10,2308,0.17937608318890816,2308
H_MEAN,prm,within_auc,depth=6-10,2527,0.6696300745598333,2527
H_MEAN,pb,sla,depth=11+,822,0.11192214111922141,822
H_MEAN,prm,within_auc,depth=11+,3108,0.6459138900370326,3108
H_RANDATT,pb,sla,pb_gsm8k_q4,207,0.3140096618357488,400
H_RANDATT,pb,tol1,pb_gsm8k_q4,207,0.6086956521739131,400
H_RANDATT,pb,early,pb_gsm8k_q4,207,0.3961352657004831,400
H_RANDATT,pb,late,pb_gsm8k_q4,207,0.2898550724637681,400
H_RANDATT,pb,f1,pb_gsm8k_q4,207,0.3557915057915058,400
H_RANDATT,pb,clean_acc,pb_gsm8k_q4,193,0.5025906735751295,400
H_RANDATT,pb,gated_err_acc,pb_gsm8k_q4,207,0.2753623188405797,400
H_RANDATT,pb,sla,pb_gsm8k_q8,207,0.2608695652173913,400
H_RANDATT,pb,tol1,pb_gsm8k_q8,207,0.5652173913043478,400
H_RANDATT,pb,early,pb_gsm8k_q8,207,0.5072463768115942,400
H_RANDATT,pb,late,pb_gsm8k_q8,207,0.2318840579710145,400
H_RANDATT,pb,f1,pb_gsm8k_q8,207,0.31525458882090635,400
H_RANDATT,pb,clean_acc,pb_gsm8k_q8,193,0.49222797927461137,400
H_RANDATT,pb,gated_err_acc,pb_gsm8k_q8,207,0.2318840579710145,400
H_RANDATT,pb,sla,pb_math_q4,594,0.2053872053872054,1000
H_RANDATT,pb,tol1,pb_math_q4,594,0.4882154882154882,1000
H_RANDATT,pb,early,pb_math_q4,594,0.4074074074074074,1000
H_RANDATT,pb,late,pb_math_q4,594,0.3872053872053872,1000
H_RANDATT,pb,f1,pb_math_q4,594,0.261578704416064,1000
H_RANDATT,pb,clean_acc,pb_math_q4,406,0.5862068965517241,1000
H_RANDATT,pb,gated_err_acc,pb_math_q4,594,0.16835016835016836,1000
H_RANDATT,pb,sla,pb_math_q8,594,0.18518518518518517,1000
H_RANDATT,pb,tol1,pb_math_q8,594,0.45791245791245794,1000
H_RANDATT,pb,early,pb_math_q8,594,0.4898989898989899,1000
H_RANDATT,pb,late,pb_math_q8,594,0.32491582491582494,1000
H_RANDATT,pb,f1,pb_math_q8,594,0.24437386262165003,1000
H_RANDATT,pb,clean_acc,pb_math_q8,406,0.5788177339901478,1000
H_RANDATT,pb,gated_err_acc,pb_math_q8,594,0.15488215488215487,1000
H_RANDATT,pb,sla,pb_olympiadbench_q4,661,0.2087745839636914,1000
H_RANDATT,pb,tol1,pb_olympiadbench_q4,661,0.4659606656580938,1000
H_RANDATT,pb,early,pb_olympiadbench_q4,661,0.4720121028744327,1000
H_RANDATT,pb,late,pb_olympiadbench_q4,661,0.31921331316187596,1000
H_RANDATT,pb,f1,pb_olympiadbench_q4,661,0.26016907477226425,1000
H_RANDATT,pb,clean_acc,pb_olympiadbench_q4,339,0.5958702064896755,1000
H_RANDATT,pb,gated_err_acc,pb_olympiadbench_q4,661,0.1664145234493192,1000
H_RANDATT,pb,sla,pb_olympiadbench_q8,661,0.17700453857791226,1000
H_RANDATT,pb,tol1,pb_olympiadbench_q8,661,0.4402420574886536,1000
H_RANDATT,pb,early,pb_olympiadbench_q8,661,0.5763993948562783,1000
H_RANDATT,pb,late,pb_olympiadbench_q8,661,0.24659606656580937,1000
H_RANDATT,pb,f1,pb_olympiadbench_q8,661,0.2383639927267575,1000
H_RANDATT,pb,clean_acc,pb_olympiadbench_q8,339,0.6076696165191741,1000
H_RANDATT,pb,gated_err_acc,pb_olympiadbench_q8,661,0.14826021180030258,1000
H_RANDATT,pb,sla,pb_omnimath_q4,759,0.1857707509881423,1000
H_RANDATT,pb,tol1,pb_omnimath_q4,759,0.47167325428194995,1000
H_RANDATT,pb,early,pb_omnimath_q4,759,0.38866930171277997,1000
H_RANDATT,pb,late,pb_omnimath_q4,759,0.42555994729907776,1000
H_RANDATT,pb,f1,pb_omnimath_q4,759,0.23219017480984427,1000
H_RANDATT,pb,clean_acc,pb_omnimath_q4,241,0.7219917012448133,1000
H_RANDATT,pb,gated_err_acc,pb_omnimath_q4,759,0.1383399209486166,1000
H_RANDATT,pb,sla,pb_omnimath_q8,759,0.16073781291172595,1000
H_RANDATT,pb,tol1,pb_omnimath_q8,759,0.42028985507246375,1000
H_RANDATT,pb,early,pb_omnimath_q8,759,0.5243741765480896,1000
H_RANDATT,pb,late,pb_omnimath_q8,759,0.31488801054018445,1000
H_RANDATT,pb,f1,pb_omnimath_q8,759,0.2117794646628861,1000
H_RANDATT,pb,clean_acc,pb_omnimath_q8,241,0.7302904564315352,1000
H_RANDATT,pb,gated_err_acc,pb_omnimath_q8,759,0.12384716732542819,1000
H_RANDATT,pb,sla,macro8,4442,0.21221741300837532,6800
H_RANDATT,pb,tol1,macro8,4442,0.489775852763421,6800
H_RANDATT,pb,early,macro8,4442,0.47026787697625694,6800
H_RANDATT,pb,late,macro8,4442,0.3175147100153678,6800
H_RANDATT,pb,f1,macro8,4442,0.2649376710777348,6800
H_RANDATT,pb,sla,q4,2221,0.22848555054369699,3400
H_RANDATT,pb,tol1,q4,2221,0.5086362650823613,3400
H_RANDATT,pb,early,q4,2221,0.4160560194237758,3400
H_RANDATT,pb,late,q4,2221,0.3554584300325273,3400
H_RANDATT,pb,f1,q4,2221,0.2774323649474196,3400
H_RANDATT,pb,sla,q8,2221,0.19594927547305366,3400
H_RANDATT,pb,tol1,q8,2221,0.47091544044448075,3400
H_RANDATT,pb,early,q8,2221,0.524479734528738,3400
H_RANDATT,pb,late,q8,2221,0.2795709899982083,3400
H_RANDATT,pb,f1,q8,2221,0.25244297720805,3400
H_RANDATT,prm,within_auc,all,6030,0.6479562075804701,6969
H_RANDATT,prm,step_auroc_mean_folds,all,94203,0.6262844363787646,6969
H_RANDATT,prm,step_auprc_mean_folds,all,94203,0.18735490723093226,6969
H_RANDATT,prm,prmscore_inner_raw,all,6211,0.5531236333882807,6969
H_RANDATT,prm,prmscore_q80_raw,all,6211,0.5546564883087252,6969
H_RANDATT,prm,prmscore_inner_answer_z,all,6211,0.5567186844034042,6969
H_RANDATT,prm,prmscore_q80_answer_z,all,6211,0.5564896481811701,6969
H_RANDATT,prm,within_auc,kind=single,1964,0.6739635456239552,1964
H_RANDATT,prm,within_auc,kind=multi,4066,0.6353938829573995,4066
H_RANDATT,pb,sla,depth=2-5,1312,0.2942073170731707,1312
