source,unit,group,domain,repetition,n_train,n_test,n_features,positive_rate_train,positive_rate_test,upcr_n_kept,budget,n_trusted,method,auc,delta_vs_upcr,converged,n_iter
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,0,0,upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,0,0,platt_upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,0,0,anchored_pcr2,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,0,0,anchored_pcr6,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,0,0,pseudo_gold_pcr6,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,platt_upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,gold_pcr2,0.7694005432769478,-0.21397703420175318,1,8
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,gold_pcr6,0.7260309914804297,-0.2573465859982713,1,13
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,gold_ridge_all,0.8540637733053464,-0.12931380417335459,1,14
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,anchored_pcr2,0.9767795406840352,-0.0065980367946658625,1,7
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,anchored_pcr6,0.9766020496357575,-0.006775527842943552,1,10
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,5,5,pseudo_gold_pcr6,0.941566860106186,-0.04181071737251507,1,9
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,platt_upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,gold_pcr2,0.931519323373256,-0.05185825410544498,1,9
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,gold_pcr6,0.8899478330658106,-0.09342974441289043,1,14
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,gold_ridge_all,0.9292428077540438,-0.05413476972465725,1,15
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,anchored_pcr2,0.9778444869737004,-0.005533090505000615,1,9
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,anchored_pcr6,0.9775743919002347,-0.005803185578466374,1,11
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,10,10,pseudo_gold_pcr6,0.9651500185208051,-0.018227558957895962,1,11
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,platt_upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,gold_pcr2,0.9822431781701445,-0.0011343993085565218,1,10
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,gold_pcr6,0.9595166069885172,-0.023860970490183875,1,13
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,gold_ridge_all,0.9513597357698481,-0.03201784170885291,1,17
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,anchored_pcr2,0.9829994443758489,-0.00037813310285217394,1,7
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,anchored_pcr6,0.980884985800716,-0.00249259167798499,1,10
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,20,20,pseudo_gold_pcr6,0.9729364736387208,-0.010441103839980204,1,11
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,platt_upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,gold_pcr2,0.9776669959254229,-0.005710581553278082,1,9
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,gold_pcr6,0.9355939004815409,-0.04778367699716013,1,12
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,gold_ridge_all,0.9327463267070009,-0.050631250771700165,1,20
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,anchored_pcr2,0.9816026669959255,-0.0017749104827755602,1,7
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,anchored_pcr6,0.9670947030497593,-0.016282874428941718,1,10
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,40,40,pseudo_gold_pcr6,0.94501636004445,-0.03836121743425103,1,13
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,platt_upcr,0.983377577478701,0.0,1,0
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,gold_pcr2,0.9794804914186936,-0.003897086060007382,1,10
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,gold_pcr6,0.9768026916903322,-0.006574885788368845,1,13
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,gold_ridge_all,0.9658985677244104,-0.01747900975429062,1,20
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,anchored_pcr2,0.9816026669959255,-0.0017749104827755602,1,8
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,anchored_pcr6,0.9810316088405977,-0.002345968638103324,1,10
synthetic,independent,independent,synthetic,1,1080,720,18,0.4935185185185185,0.49444444444444446,18,80,80,pseudo_gold_pcr6,0.9765248796147672,-0.006852697863933832,1,15
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,0,0,upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,0,0,platt_upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,0,0,anchored_pcr2,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,0,0,anchored_pcr6,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,0,0,pseudo_gold_pcr6,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,platt_upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,gold_pcr2,0.9881036931818182,0.0004554718379448097,1,8
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,gold_pcr6,0.9239053236166008,-0.0637428977272726,1,11
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,gold_ridge_all,0.9618252840909091,-0.025822937252964362,1,13
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,anchored_pcr2,0.9878180583003953,0.0001698369565218405,1,7
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,anchored_pcr6,0.9877099802371542,6.175889328075002e-05,1,9
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,5,5,pseudo_gold_pcr6,0.9847223937747035,-0.0029258275691699254,1,9
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,platt_upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,gold_pcr2,0.937005928853755,-0.050642292490118423,1,9
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,gold_pcr6,0.8981364253952568,-0.08951179594861658,1,12
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,gold_ridge_all,0.904698307806324,-0.08294991353754944,1,15
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,anchored_pcr2,0.9884202075098815,0.0007719861660080429,1,7
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,anchored_pcr6,0.9849308300395256,-0.0027173913043477826,1,11
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,10,10,pseudo_gold_pcr6,0.965422739624506,-0.022225481719367446,1,11
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,platt_upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,gold_pcr2,0.9879029767786561,0.00025475543478270524,1,8
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,gold_pcr6,0.9228245429841899,-0.0648236783596835,1,13
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,gold_ridge_all,0.9454746170948616,-0.04217360424901184,1,19
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,anchored_pcr2,0.9825453927865613,-0.005102828557312145,1,8
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,anchored_pcr6,0.9819123641304348,-0.005735857213438611,1,9
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,20,20,pseudo_gold_pcr6,0.9743083003952568,-0.01333992094861658,1,11
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,platt_upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,gold_pcr2,0.9884047677865613,0.0007565464426878554,1,10
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,gold_pcr6,0.9660017292490117,-0.02164649209486169,1,13
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,gold_ridge_all,0.9593626482213439,-0.02828557312252955,1,19
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,anchored_pcr2,0.9883816082015809,0.0007333868577075187,1,8
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,anchored_pcr6,0.9829699851778656,-0.004678236166007821,1,11
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,40,40,pseudo_gold_pcr6,0.9757210350790514,-0.011927186264822032,1,13
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,platt_upcr,0.9876482213438734,0.0,1,0
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,gold_pcr2,0.9875324234189723,-0.00011579792490112872,1,11
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,gold_pcr6,0.9792644515810277,-0.008383769762845716,1,14
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,gold_ridge_all,0.9693830286561265,-0.018265192687746956,1,19
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,anchored_pcr2,0.9884665266798418,0.0008183053359683834,1,7
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,anchored_pcr6,0.9836647727272727,-0.0039834486166007155,1,9
synthetic,independent,independent,synthetic,2,1080,720,18,0.4888888888888889,0.4888888888888889,17,80,80,pseudo_gold_pcr6,0.9794265686758894,-0.008221652667984025,1,14
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,0,0,upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,0,0,platt_upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,0,0,anchored_pcr2,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,0,0,anchored_pcr6,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,0,0,pseudo_gold_pcr6,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,platt_upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,gold_pcr2,0.7502859262464839,-0.2367855707706098,1,6
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,gold_pcr6,0.5062826496862539,-0.4807888473308398,1,13
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,gold_ridge_all,0.5858860622546443,-0.4011854347624494,1,13
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,anchored_pcr2,0.9863605452690798,-0.0007109517480139438,1,7
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,anchored_pcr6,0.9858891533492009,-0.0011823436678928267,1,10
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,5,5,pseudo_gold_pcr6,0.9654802015393651,-0.021591295477728645,1,11
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,platt_upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,gold_pcr2,0.9780145899663071,-0.009056907050786656,1,9
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,gold_pcr6,0.9218030354548546,-0.06526846156223909,1,14
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,gold_ridge_all,0.9319495533368365,-0.055121943680257246,1,16
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,anchored_pcr2,0.9862369014868164,-0.0008345955302773156,1,7
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,anchored_pcr6,0.9817161756978146,-0.005355321319279183,1,10
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,10,10,pseudo_gold_pcr6,0.9695836295632283,-0.017487867453865436,1,11
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,platt_upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,gold_pcr2,0.9855027665296281,-0.0015687304874656416,1,8
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,gold_pcr6,0.9741120830886217,-0.012959413928471997,1,13
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,gold_ridge_all,0.9615622391888967,-0.02550925782819702,1,18
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,anchored_pcr2,0.9867237488794782,-0.00034774813761551115,1,7
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,anchored_pcr6,0.9863605452690797,-0.0007109517480140548,1,9
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,20,20,pseudo_gold_pcr6,0.9797765138635591,-0.007294983153534607,1,12
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,platt_upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,gold_pcr2,0.986229173750425,-0.0008423232666687763,1,9
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,gold_pcr6,0.9766467806250194,-0.010424716392074318,1,13
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,gold_ridge_all,0.9748616735185929,-0.01220982349850086,1,18
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,anchored_pcr2,0.9860437080770301,-0.001027788940063612,1,8
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,anchored_pcr6,0.9808738524311459,-0.006197644585947848,1,10
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,40,40,pseudo_gold_pcr6,0.9801397174739575,-0.006931779543136285,1,13
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,80,80,upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,80,80,platt_upcr,0.9870714970170937,0.0,1,0
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,80,80,gold_pcr2,0.9868705758709159,-0.00020092114617786816,1,10
synthetic,independent,independent,synthetic,3,1080,720,18,0.5203703703703704,0.5194444444444445,18,80,80,gold_pcr6,0.9792973942072888,-0.00777410280980495,1,11
