source,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
real,math,5,anchored_pcr6,pseudo_gold_pcr6,15,-0.02924900752220889,-0.029274668169296025,-0.03477619258750588,-0.02331103907638128,0,15,1
synthetic,independent,5,anchored_pcr6,pseudo_gold_pcr6,40,-0.015110922001034246,-0.01387647237409273,-0.018644001683098835,-0.011822265760453497,0,40,0
synthetic,grouped,5,anchored_pcr6,pseudo_gold_pcr6,40,-0.03320822981226886,-0.024978511249344637,-0.04347167863795832,-0.024479430369948294,1,39,4
synthetic,sparse_pairs,5,anchored_pcr6,pseudo_gold_pcr6,40,-0.01622596123845637,-0.012115252258250442,-0.021121791022485945,-0.011728523283903405,2,38,3
synthetic,correlated_weak_block,5,anchored_pcr6,pseudo_gold_pcr6,40,0.16474369326370394,0.16488429612828115,0.15103917578767123,0.17822267925838306,40,0,0
real,all,5,gold_pcr6,anchored_pcr6,24,0.15546215464201737,0.15912052212003802,0.1394208922435301,0.17239783342999893,24,0,0
real,QA,5,gold_pcr6,anchored_pcr6,9,0.155525208707904,0.1515256457202021,0.1237284194823577,0.19033452143815147,9,0,0
real,math,5,gold_pcr6,anchored_pcr6,15,0.1554243222024854,0.1675896240163216,0.13772838486067573,0.17303111500420676,15,0,0
synthetic,independent,5,gold_pcr6,anchored_pcr6,40,0.15154920553978093,0.15299587306560408,0.12428179503517277,0.1818899686988085,40,0,0
synthetic,grouped,5,gold_pcr6,anchored_pcr6,40,0.18339830913124278,0.17316405019352737,0.15706636319270398,0.21222184941978647,40,0,0
synthetic,sparse_pairs,5,gold_pcr6,anchored_pcr6,40,0.15207022019416047,0.1607701568795738,0.12624697506722235,0.17771384010400829,40,0,0
synthetic,correlated_weak_block,5,gold_pcr6,anchored_pcr6,40,-0.2689382044921135,-0.2762800128070987,-0.2891287521579766,-0.24817952100798085,0,40,40
real,all,10,upcr,anchored_pcr2,24,-0.0006873228586876251,-0.001032472902989745,-0.001704205865043494,0.00040747222973867717,6,18,0
real,QA,10,upcr,anchored_pcr2,9,-0.0007087670998101839,-0.0015717855958752303,-0.0026073554013919284,0.0013512486036525724,3,6,0
real,math,10,upcr,anchored_pcr2,15,-0.0006744563140140898,-0.0009362591431557599,-0.0017309104463076688,0.0006213525526191827,3,12,0
synthetic,independent,10,upcr,anchored_pcr2,40,-0.000630407121516749,-0.00020460318563297886,-0.0010666740193066863,-0.0002566030435464283,11,29,0
synthetic,grouped,10,upcr,anchored_pcr2,40,0.00046201675060139613,0.00035125501442018203,-0.000985603701640923,0.0019668783428637266,21,19,0
synthetic,sparse_pairs,10,upcr,anchored_pcr2,40,0.0021599004209599732,0.0020531990323656713,0.0008816311867694638,0.0033730450811143547,28,12,0
synthetic,correlated_weak_block,10,upcr,anchored_pcr2,40,0.1901490690175315,0.17960201571415568,0.1745203445150696,0.20683191883493188,40,0,0
real,all,10,upcr,anchored_pcr6,24,-0.003221520902427527,-0.0022638885226883843,-0.006443758075440358,-0.00023104121482038994,8,16,0
real,QA,10,upcr,anchored_pcr6,9,-0.005940376885433067,-0.005256223472817623,-0.012288893125860728,-0.0008292795670784352,3,6,0
real,math,10,upcr,anchored_pcr6,15,-0.0015902073126242034,-0.0020767966532196924,-0.004620675196210647,0.0016886582056105512,5,10,0
synthetic,independent,10,upcr,anchored_pcr6,40,-0.0031479920532824614,-0.002402283827786178,-0.003999842995426025,-0.002348394241496735,3,37,0
synthetic,grouped,10,upcr,anchored_pcr6,40,-0.0008576528396693123,-0.0015791505791505345,-0.0028060185609143974,0.001126894947428745,17,23,0
synthetic,sparse_pairs,10,upcr,anchored_pcr6,40,0.0042428686064835295,0.004709182984011906,0.001777305255196988,0.006651050142762158,33,7,0
synthetic,correlated_weak_block,10,upcr,anchored_pcr6,40,0.18205158591992196,0.17394530932693825,0.16682727849923856,0.19861654495051106,40,0,0
real,all,10,gold_ridge_all,anchored_pcr6,24,0.08002394360274039,0.07577532644486351,0.06861776568888997,0.09140121642973904,24,0,0
real,QA,10,gold_ridge_all,anchored_pcr6,9,0.08694388485654937,0.08252260758423213,0.06884233398585803,0.10500631555626397,9,0,0
real,math,10,gold_ridge_all,anchored_pcr6,15,0.07587197885045499,0.0701609662817998,0.06171210040323586,0.09089847220571214,15,0,0
synthetic,independent,10,gold_ridge_all,anchored_pcr6,40,0.04426572317196949,0.03457895808035932,0.034573395081741315,0.055136983604858095,40,0,0
synthetic,grouped,10,gold_ridge_all,anchored_pcr6,40,0.045777102333377936,0.03775809278699771,0.034856421263073215,0.05766411962045228,37,3,0
synthetic,sparse_pairs,10,gold_ridge_all,anchored_pcr6,40,0.0824180912237222,0.06959284333749421,0.06686879443966476,0.09959576255206355,40,0,0
synthetic,correlated_weak_block,10,gold_ridge_all,anchored_pcr6,40,-0.2636573197336195,-0.26472621611568276,-0.2777586584866242,-0.24857365944351567,0,40,40
real,all,10,anchored_pcr6,pseudo_gold_pcr6,24,-0.03874297242361432,-0.03394823099156086,-0.04790797991831805,-0.03120213529851499,0,24,4
real,QA,10,anchored_pcr6,pseudo_gold_pcr6,9,-0.04419997562559456,-0.034289530838571,-0.06431226303038767,-0.030034647602398136,0,9,2
real,math,10,anchored_pcr6,pseudo_gold_pcr6,15,-0.03546877050242617,-0.03360693114455071,-0.04346051754712982,-0.02818129017462553,0,15,2
synthetic,independent,10,anchored_pcr6,pseudo_gold_pcr6,40,-0.013070124113109802,-0.010131108447034132,-0.016290716614148295,-0.010126938114398446,0,40,0
synthetic,grouped,10,anchored_pcr6,pseudo_gold_pcr6,40,-0.02312248332881659,-0.022972596198683193,-0.027257204190526588,-0.01926112810472802,2,38,2
synthetic,sparse_pairs,10,anchored_pcr6,pseudo_gold_pcr6,40,-0.016716591908489113,-0.011858840386891945,-0.022205829059827823,-0.011608521029672922,5,35,2
synthetic,correlated_weak_block,10,anchored_pcr6,pseudo_gold_pcr6,40,0.17796177265714258,0.17562830668768398,0.1673143085780788,0.18862957058965693,40,0,0
real,all,10,gold_pcr6,anchored_pcr6,24,0.12198452103825129,0.11489791034459662,0.10623606985190236,0.13939805269931427,24,0,0
real,QA,10,gold_pcr6,anchored_pcr6,9,0.12215461235025554,0.11319755347533123,0.09485217629272463,0.15250468127539374,9,0,0
real,math,10,gold_pcr6,anchored_pcr6,15,0.12188246625104873,0.11659826721386202,0.10345052052819442,0.14293067170428142,15,0,0
synthetic,independent,10,gold_pcr6,anchored_pcr6,40,0.06279904919822495,0.04809845179783717,0.04822802273729786,0.0789392055118225,40,0,0
synthetic,grouped,10,gold_pcr6,anchored_pcr6,40,0.08903873379117348,0.09298444074908235,0.07626967801208473,0.10265301790073848,40,0,0
synthetic,sparse_pairs,10,gold_pcr6,anchored_pcr6,40,0.09094696665953607,0.0771082849734534,0.07061573095551313,0.11192170216602268,39,1,0
synthetic,correlated_weak_block,10,gold_pcr6,anchored_pcr6,40,-0.23983230618902684,-0.24159271039204405,-0.25315327407941807,-0.22639144532480923,0,40,40
real,all,20,upcr,anchored_pcr2,24,-0.00149374448552284,-0.0016487991423485004,-0.0025004178510740754,-0.0004719824518520438,4,20,0
real,QA,20,upcr,anchored_pcr2,9,-0.0015993003948145217,-0.0016265597147950839,-0.0037970190074471124,0.0005080537076330051,2,7,0
real,math,20,upcr,anchored_pcr2,15,-0.0014304109399478312,-0.001671038569901917,-0.0023393139959813625,-0.00035989697184971974,2,13,0
synthetic,independent,20,upcr,anchored_pcr2,40,-0.0006557384317014275,-0.00035886342034513463,-0.0010470378536603451,-0.000317176852062431,11,29,0
synthetic,grouped,20,upcr,anchored_pcr2,40,0.0036470099912184416,0.004695457428224026,0.00170713212214823,0.005494953987683058,33,7,0
synthetic,sparse_pairs,20,upcr,anchored_pcr2,40,0.0025462929006611346,0.0024961797231966565,0.0011682076097299183,0.0038451399039180147,33,7,0
synthetic,correlated_weak_block,20,upcr,anchored_pcr2,40,0.3132327585521065,0.322803046707471,0.2981385647300432,0.32761408002553394,40,0,0
real,all,20,upcr,anchored_pcr6,24,-0.003552641079178238,-0.0037286185944184758,-0.006398718591470704,-0.0005086827300632122,8,16,0
real,QA,20,upcr,anchored_pcr6,9,-0.006147282370058633,-0.006627662460995665,-0.00917886245146477,-0.002938875619403203,1,8,0
real,math,20,upcr,anchored_pcr6,15,-0.0019958563046500013,-0.0019241909199704255,-0.0059988325541805955,0.00201161238069054,7,8,0
synthetic,independent,20,upcr,anchored_pcr6,40,-0.003276552443504646,-0.002890608618011603,-0.003952499333016834,-0.0026403569080871293,1,39,0
synthetic,grouped,20,upcr,anchored_pcr6,40,0.0007091956198106763,0.0019268344078861577,-0.0026009873435400652,0.003837993078328778,22,18,0
synthetic,sparse_pairs,20,upcr,anchored_pcr6,40,0.00794019577855721,0.00855517991272825,0.005839250488531919,0.010089201814913636,35,4,0
synthetic,correlated_weak_block,20,upcr,anchored_pcr6,40,0.30711577424562553,0.3130204409512637,0.2952525197965235,0.31901919242367716,40,0,0
real,all,20,gold_ridge_all,anchored_pcr6,24,0.07288551181963271,0.07583650064386738,0.06230254907810607,0.08380422328182803,24,0,0
real,QA,20,gold_ridge_all,anchored_pcr6,9,0.0786292356762578,0.08308251167618075,0.061630268840074665,0.09574716891884509,9,0,0
real,math,20,gold_ridge_all,anchored_pcr6,15,0.06943927750565765,0.07207170640960592,0.056292510698223684,0.08290519882103677,15,0,0
synthetic,independent,20,gold_ridge_all,anchored_pcr6,40,0.02579333422850182,0.021705414393629607,0.021675438833474094,0.030196499806462655,40,0,0
synthetic,grouped,20,gold_ridge_all,anchored_pcr6,40,0.04493172371553498,0.041186607712612455,0.033806075831585354,0.05763713363812276,38,2,0
synthetic,sparse_pairs,20,gold_ridge_all,anchored_pcr6,40,0.0431544600306638,0.030289566790271116,0.033746640064854394,0.05334227782244114,39,1,0
