budget,repeat_count,method,mean_auc,mean_delta_vs_upcr
5,10,upcr,0.7752342382636633,0.0
5,10,gold_ridge_all,0.6621689339511136,-0.1130653043125498
5,10,anchored_pcr6,0.7715311324587356,-0.0037031058049277706
5,10,pseudo_gold_pcr6,0.735729834993086,-0.0395044032705774
5,11,upcr,0.77447968338136,0.0
5,11,gold_ridge_all,0.6623066074623635,-0.11217307591899668
5,11,anchored_pcr6,0.7718259143661944,-0.002653769015165804
5,11,pseudo_gold_pcr6,0.7368424431050222,-0.03763724027633777
5,12,upcr,0.7743241659166952,0.0
5,12,gold_ridge_all,0.6614587224492805,-0.11286544346741474
5,12,anchored_pcr6,0.7704460769512664,-0.0038780889654287803
5,12,pseudo_gold_pcr6,0.7347969073423911,-0.03952725857430409
5,13,upcr,0.7743303318458046,0.0
5,13,gold_ridge_all,0.6646318635619837,-0.10969846828382086
5,13,anchored_pcr6,0.7702172076097694,-0.004113124236035127
5,13,pseudo_gold_pcr6,0.7348680993203334,-0.03946223252547126
5,14,upcr,0.7745165010432964,0.0
5,14,gold_ridge_all,0.6614261578281279,-0.11309034321516863
5,14,anchored_pcr6,0.770649877404744,-0.00386662363855253
5,14,pseudo_gold_pcr6,0.7348790903415546,-0.039637410701741906
5,15,upcr,0.774555237282818,0.0
5,15,gold_ridge_all,0.6611694218291674,-0.11338581545365072
5,15,anchored_pcr6,0.7711149040623582,-0.0034403332204599227
5,15,pseudo_gold_pcr6,0.7356363466248425,-0.03891889065797572
5,16,upcr,0.7742346964568482,0.0
5,16,gold_ridge_all,0.6605299859418826,-0.11370471051496574
5,16,anchored_pcr6,0.7711100667935304,-0.003124629663317858
5,16,pseudo_gold_pcr6,0.7353306244086598,-0.03890407204818845
5,17,upcr,0.7741891482688382,0.0
5,17,gold_ridge_all,0.6633509482819596,-0.11083819998687842
5,17,anchored_pcr6,0.771265499768241,-0.0029236485005972915
5,17,pseudo_gold_pcr6,0.736472626507469,-0.03771652176136913
5,18,upcr,0.7740022775291049,0.0
5,18,gold_ridge_all,0.6661123940785549,-0.1078898834505499
5,18,anchored_pcr6,0.7710478502872679,-0.0029544272418369952
5,18,pseudo_gold_pcr6,0.7365588142092331,-0.0374434633198716
5,19,upcr,0.7736340521597782,0.0
5,19,gold_ridge_all,0.6654912635004769,-0.10814278865930121
5,19,anchored_pcr6,0.7707166152834516,-0.002917436876326692
5,19,pseudo_gold_pcr6,0.7363826352494693,-0.03725141691030891
5,20,upcr,0.7734119223574529,0.0
5,20,gold_ridge_all,0.6675505783351667,-0.10586134402228604
5,20,anchored_pcr6,0.7706508213822604,-0.002761100975192341
5,20,pseudo_gold_pcr6,0.7371108561544802,-0.036301066202972625
5,21,upcr,0.7730583880106311,0.0
5,21,gold_ridge_all,0.6686755763104412,-0.10438281170019
5,21,anchored_pcr6,0.7706193021890536,-0.0024390858215775405
5,21,pseudo_gold_pcr6,0.7373148412267149,-0.03574354678391621
5,22,upcr,0.7731036458998409,0.0
5,22,gold_ridge_all,0.6702464551859858,-0.10285719071385507
5,22,anchored_pcr6,0.7708674301133751,-0.0022362157864658228
5,22,pseudo_gold_pcr6,0.7378916138143682,-0.03521203208547261
5,23,upcr,0.7730954492080858,0.0
5,23,gold_ridge_all,0.6706443713351596,-0.10245107787292607
5,23,anchored_pcr6,0.7710783176552575,-0.002017131552828353
5,23,pseudo_gold_pcr6,0.7386298646106221,-0.03446558459746374
5,24,upcr,0.7734086816688759,0.0
5,24,gold_ridge_all,0.6703255756306948,-0.10308310603818109
5,24,anchored_pcr6,0.7714001764624084,-0.002008505206467675
5,24,pseudo_gold_pcr6,0.738623451177229,-0.03478523049164692
5,25,upcr,0.773553136156575,0.0
5,25,gold_ridge_all,0.6715764998282704,-0.10197663632830441
5,25,anchored_pcr6,0.7716740846596505,-0.0018790514969243832
5,25,pseudo_gold_pcr6,0.7394551703789269,-0.034097965777647864
5,26,upcr,0.7738821816272049,0.0
5,26,gold_ridge_all,0.6729582707654299,-0.10092391086177499
5,26,anchored_pcr6,0.7721768551765932,-0.0017053264506116845
5,26,pseudo_gold_pcr6,0.7405791870018943,-0.033302994625310625
5,27,upcr,0.7742040168488126,0.0
5,27,gold_ridge_all,0.6731705698602558,-0.10103344698855676
5,27,anchored_pcr6,0.7724782640989579,-0.0017257527498547587
5,27,pseudo_gold_pcr6,0.7408096490528605,-0.03339436779595205
5,28,upcr,0.7744454722064632,0.0
5,28,gold_ridge_all,0.6725483116707002,-0.10189716053576298
5,28,anchored_pcr6,0.772637187784163,-0.001808284422300128
5,28,pseudo_gold_pcr6,0.740737339741096,-0.03370813246536704
5,29,upcr,0.7745815704492139,0.0
5,29,gold_ridge_all,0.672349650916883,-0.10223191953233095
5,29,anchored_pcr6,0.7726561800425689,-0.0019253904066449622
5,29,pseudo_gold_pcr6,0.7402195072974275,-0.034362063151786304
5,30,upcr,0.7748552042786553,0.0
5,30,gold_ridge_all,0.6721098440774158,-0.10274536020123932
5,30,anchored_pcr6,0.7728110250692767,-0.002044179209378489
5,30,pseudo_gold_pcr6,0.7400817346259281,-0.03477346965272705
20,1,upcr,0.7781205225552528,0.0
20,1,gold_ridge_all,0.6759719249401681,-0.10214859761508456
20,1,anchored_pcr6,0.772766422280209,-0.005354100275043507
20,1,pseudo_gold_pcr6,0.7174385081576832,-0.06068201439756945
20,2,upcr,0.7799751072522779,0.0
20,2,gold_ridge_all,0.6841059437433087,-0.09586916350896901
20,2,anchored_pcr6,0.7766153636766647,-0.0033597435756131666
20,2,pseudo_gold_pcr6,0.7297109531760668,-0.05026415407621099
20,3,upcr,0.779086295602403,0.0
20,3,gold_ridge_all,0.692269242047615,-0.08681705355478786
20,3,anchored_pcr6,0.7764674285961476,-0.002618867006255396
20,3,pseudo_gold_pcr6,0.728772847671876,-0.05031344793052683
20,4,upcr,0.7775920495055253,0.0
20,4,gold_ridge_all,0.6985807759304264,-0.07901127357509878
20,4,anchored_pcr6,0.7745515118864627,-0.003040537619062723
20,4,pseudo_gold_pcr6,0.7314859287521175,-0.04610612075340797
20,5,upcr,0.7772912675156748,0.0
20,5,gold_ridge_all,0.7049159506042745,-0.07237531691140027
20,5,anchored_pcr6,0.7750038629824153,-0.0022874045332593553
20,5,pseudo_gold_pcr6,0.7327943633642944,-0.04449690415138036
20,6,upcr,0.7757555668030477,0.0
20,6,gold_ridge_all,0.7008741319786674,-0.0748814348243802
20,6,anchored_pcr6,0.7736189610675904,-0.0021366057354569637
20,6,pseudo_gold_pcr6,0.7315150527638772,-0.044240514039170266
20,7,upcr,0.7769188694753467,0.0
20,7,gold_ridge_all,0.7005337771786317,-0.07638509229671525
20,7,anchored_pcr6,0.7754676068306217,-0.001451262644725328
20,7,pseudo_gold_pcr6,0.7332004460567202,-0.043718423418626716
20,8,upcr,0.7771094868965981,0.0
20,8,gold_ridge_all,0.7005102428756868,-0.07659924402091135
20,8,anchored_pcr6,0.775320825759839,-0.0017886611367591797
20,8,pseudo_gold_pcr6,0.733846703937996,-0.043262782958602176
20,9,upcr,0.7757440931433597,0.0
20,9,gold_ridge_all,0.6957403600708351,-0.08000373307252463
20,9,anchored_pcr6,0.7739170982944851,-0.001826994848874446
20,9,pseudo_gold_pcr6,0.7301707210354298,-0.04557337210792992
20,10,upcr,0.7752342382636633,0.0
20,10,gold_ridge_all,0.6944853534930542,-0.08074888477060922
20,10,anchored_pcr6,0.773487373791574,-0.0017468644720894932
20,10,pseudo_gold_pcr6,0.7304017807632063,-0.04483245750045705
20,11,upcr,0.77447968338136,0.0
20,11,gold_ridge_all,0.6934352938760088,-0.08104438950535142
20,11,anchored_pcr6,0.7728036105147268,-0.0016760728666334324
20,11,pseudo_gold_pcr6,0.7311453635419616,-0.04333431983939854
20,12,upcr,0.7743241659166952,0.0
20,12,gold_ridge_all,0.6958227186541732,-0.07850144726252206
20,12,anchored_pcr6,0.7723120446284911,-0.002012121288204119
20,12,pseudo_gold_pcr6,0.7311958251957336,-0.0431283407209617
20,13,upcr,0.7743303318458046,0.0
20,13,gold_ridge_all,0.6951828738175095,-0.07914745802829502
20,13,anchored_pcr6,0.7722918145300667,-0.0020385173157378375
20,13,pseudo_gold_pcr6,0.7314599279543872,-0.04287040389141745
20,14,upcr,0.7745165010432964,0.0
20,14,gold_ridge_all,0.696123595552827,-0.07839290549046961
20,14,anchored_pcr6,0.772294396316274,-0.0022221047270224634
20,14,pseudo_gold_pcr6,0.7324501284009624,-0.042066372642334114
20,15,upcr,0.774555237282818,0.0
20,15,gold_ridge_all,0.6944279978115965,-0.08012723947122163
20,15,anchored_pcr6,0.7724340441559686,-0.0021211931268495104
20,15,pseudo_gold_pcr6,0.7317040704795622,-0.04285116680325602
20,16,upcr,0.7742346964568482,0.0
20,16,gold_ridge_all,0.6953495604838006,-0.07888513597304771
20,16,anchored_pcr6,0.7720788500746427,-0.0021558463822055154
20,16,pseudo_gold_pcr6,0.7326681628110007,-0.041566533645847746
20,17,upcr,0.7741891482688382,0.0
20,17,gold_ridge_all,0.6948337167180924,-0.07935543155074587
20,17,anchored_pcr6,0.7714717453922457,-0.002717402876592445
20,17,pseudo_gold_pcr6,0.7310973478530766,-0.04309180041576161
20,18,upcr,0.7740022775291049,0.0
20,18,gold_ridge_all,0.6940166951410832,-0.07998558238802154
20,18,anchored_pcr6,0.7707898438660732,-0.0032124336630316996
20,18,pseudo_gold_pcr6,0.7299738774240803,-0.04402840010502462
20,19,upcr,0.7736340521597782,0.0
20,19,gold_ridge_all,0.6933476538077664,-0.08028639835201186
20,19,anchored_pcr6,0.7705508749870331,-0.00308317717274513
20,19,pseudo_gold_pcr6,0.7284660956269366,-0.04516795653284156
20,20,upcr,0.7734119223574529,0.0
20,20,gold_ridge_all,0.6938445566120818,-0.07956736574537099
20,20,anchored_pcr6,0.7702570150006597,-0.0031549073567933386
20,20,pseudo_gold_pcr6,0.7288043663264391,-0.044607556031013795
20,21,upcr,0.7730583880106311,0.0
20,21,gold_ridge_all,0.6941956548475091,-0.0788627331631221
20,21,anchored_pcr6,0.7697397695523063,-0.003318618458324952
20,21,pseudo_gold_pcr6,0.7288279555800132,-0.04423043243061798
20,22,upcr,0.7731036458998409,0.0
20,22,gold_ridge_all,0.6958846036136576,-0.07721904228618326
20,22,anchored_pcr6,0.769891207733937,-0.003212438165903761
20,22,pseudo_gold_pcr6,0.7296149036244625,-0.04348874227537847
20,23,upcr,0.7730954492080858,0.0
20,23,gold_ridge_all,0.6963219280300654,-0.07677352117802032
20,23,anchored_pcr6,0.7697757102632327,-0.003319738944853115
20,23,pseudo_gold_pcr6,0.7296057791221148,-0.043489670085970905
20,24,upcr,0.7734086816688759,0.0
20,24,gold_ridge_all,0.6957880902764519,-0.07762059139242396
20,24,anchored_pcr6,0.7700016232297727,-0.003407058439103309
20,24,pseudo_gold_pcr6,0.7293408550220551,-0.044067826646820886
20,25,upcr,0.773553136156575,0.0
20,25,gold_ridge_all,0.6957697388787069,-0.07778339727786801
20,25,anchored_pcr6,0.7698650561300441,-0.0036880800265307787
20,25,pseudo_gold_pcr6,0.7292013737641719,-0.044351762392402884
20,26,upcr,0.7738821816272049,0.0
20,26,gold_ridge_all,0.696894955045682,-0.07698722658152292
20,26,anchored_pcr6,0.7703016155073739,-0.00358056611983093
20,26,pseudo_gold_pcr6,0.72950914919393,-0.044373032433274784
20,27,upcr,0.7742040168488126,0.0
20,27,gold_ridge_all,0.6977270664458345,-0.07647695040297815
20,27,anchored_pcr6,0.7706746210731844,-0.0035293957756282746
20,27,pseudo_gold_pcr6,0.7302085177355653,-0.04399549911324729
20,28,upcr,0.7744454722064632,0.0
20,28,gold_ridge_all,0.6973102363167222,-0.07713523588974082
20,28,anchored_pcr6,0.7706643257379104,-0.0037811464685526077
20,28,pseudo_gold_pcr6,0.7300941625936034,-0.04435130961285961
20,29,upcr,0.7745815704492139,0.0
20,29,gold_ridge_all,0.6982799351812967,-0.07630163526791711
20,29,anchored_pcr6,0.7709407625495941,-0.003640807899619703
20,29,pseudo_gold_pcr6,0.7307238799855451,-0.04385769046366878
20,30,upcr,0.7748552042786553,0.0
20,30,gold_ridge_all,0.6984170513798441,-0.07643815289881095
20,30,anchored_pcr6,0.7713025631994769,-0.003552641079178238
20,30,pseudo_gold_pcr6,0.7315722136077708,-0.043282990670884425
80,1,upcr,0.7781205225552528,0.0
80,1,gold_ridge_all,0.7398724414586658,-0.03824808109658692
80,1,anchored_pcr6,0.7768165872579474,-0.001303935297305191
80,1,pseudo_gold_pcr6,0.7592282585205484,-0.01889226403470416
80,2,upcr,0.7799751072522779,0.0
80,2,gold_ridge_all,0.7318793996496535,-0.04809570760262419
80,2,anchored_pcr6,0.7779777659086121,-0.001997341343665582
80,2,pseudo_gold_pcr6,0.7605603544292073,-0.019414752823070428
80,3,upcr,0.779086295602403,0.0
80,3,gold_ridge_all,0.7298513465688958,-0.04923494903350705
80,3,anchored_pcr6,0.7749981319680193,-0.004088163634383635
80,3,pseudo_gold_pcr6,0.75476730718639,-0.024318988416012762
80,4,upcr,0.7775920495055253,0.0
80,4,gold_ridge_all,0.7317876966876339,-0.04580435281789146
80,4,anchored_pcr6,0.7740017799479668,-0.0035902695575585667
80,4,pseudo_gold_pcr6,0.7549203805409638,-0.022671668964561537
80,5,upcr,0.7772912675156748,0.0
80,5,gold_ridge_all,0.730961631578873,-0.04632963593680187
80,5,anchored_pcr6,0.7737442219954804,-0.003547045520194312
80,5,pseudo_gold_pcr6,0.7540028781505489,-0.023288389365125898
80,6,upcr,0.7757555668030477,0.0
80,6,gold_ridge_all,0.7346958130811939,-0.041059753721853574
80,6,anchored_pcr6,0.7741109060013184,-0.0016446608017291475
80,6,pseudo_gold_pcr6,0.7547831734686709,-0.020972393334376723
80,7,upcr,0.7769188694753467,0.0
80,7,gold_ridge_all,0.7351287122346107,-0.04179015724073606
80,7,anchored_pcr6,0.7751969099204591,-0.0017219595548877327
80,7,pseudo_gold_pcr6,0.7564775582234139,-0.0204413112519331
80,8,upcr,0.7771094868965981,0.0
80,8,gold_ridge_all,0.7345937574243709,-0.042515729472227315
80,8,anchored_pcr6,0.7751730469884627,-0.0019364399081354077
80,8,pseudo_gold_pcr6,0.7555056982037672,-0.02160378869283087
80,9,upcr,0.7757440931433597,0.0
80,9,gold_ridge_all,0.7358487213152389,-0.039895371828120724
80,9,anchored_pcr6,0.7747823225997753,-0.000961770543584368
80,9,pseudo_gold_pcr6,0.7563233546409336,-0.019420738502425955
80,10,upcr,0.7752342382636633,0.0
80,10,gold_ridge_all,0.737103184627304,-0.03813105363635933
80,10,anchored_pcr6,0.7746412042292458,-0.0005930340344175907
80,10,pseudo_gold_pcr6,0.7564695672165819,-0.018764671047081526
80,11,upcr,0.77447968338136,0.0
80,11,gold_ridge_all,0.7379239741291636,-0.03655570925219647
80,11,anchored_pcr6,0.774135467700216,-0.00034421568114411755
80,11,pseudo_gold_pcr6,0.756896428519835,-0.017583254861525035
80,12,upcr,0.7743241659166952,0.0
80,12,gold_ridge_all,0.7388432848249048,-0.035480881091790414
80,12,anchored_pcr6,0.7743183174808483,-5.848435846921481e-06
80,12,pseudo_gold_pcr6,0.7575315938188233,-0.01679257209787202
80,13,upcr,0.7743303318458046,0.0
80,13,gold_ridge_all,0.7383427465396255,-0.035987585306179064
80,13,anchored_pcr6,0.7738610261002554,-0.00046930574554918575
80,13,pseudo_gold_pcr6,0.757231038595784,-0.01709929325002059
80,14,upcr,0.7745165010432964,0.0
80,14,gold_ridge_all,0.7381883734138364,-0.03632812762946012
80,14,anchored_pcr6,0.7735049519369221,-0.0010115491063743265
80,14,pseudo_gold_pcr6,0.7564425847998026,-0.01807391624349375
80,15,upcr,0.774555237282818,0.0
80,15,gold_ridge_all,0.7381460938931976,-0.03640914338962046
80,15,anchored_pcr6,0.7735614000786502,-0.0009938372041680503
80,15,pseudo_gold_pcr6,0.7559115616045333,-0.018643675678284805
80,16,upcr,0.7742346964568482,0.0
80,16,gold_ridge_all,0.7387261914359664,-0.035508505020881966
80,16,anchored_pcr6,0.7736685106520085,-0.0005661858048398213
80,16,pseudo_gold_pcr6,0.7560762899711068,-0.018158406485741598
80,17,upcr,0.7741891482688382,0.0
80,17,gold_ridge_all,0.7381351621616545,-0.03605398610718357
80,17,anchored_pcr6,0.7734558776826153,-0.000733270586222944
80,17,pseudo_gold_pcr6,0.7561234911224566,-0.01806565714638153
80,18,upcr,0.7740022775291049,0.0
80,18,gold_ridge_all,0.7378437831297237,-0.03615849439938112
80,18,anchored_pcr6,0.7730097307931824,-0.0009925467359224588
80,18,pseudo_gold_pcr6,0.7555160030290139,-0.01848627450009095
80,19,upcr,0.7736340521597782,0.0
80,19,gold_ridge_all,0.7380588966417833,-0.035575155517994984
80,19,anchored_pcr6,0.7728760362143192,-0.0007580159454589666
80,19,pseudo_gold_pcr6,0.7546052149394024,-0.01902883722037603
80,20,upcr,0.7734119223574529,0.0
80,20,gold_ridge_all,0.7374375003998265,-0.03597442195762639
80,20,anchored_pcr6,0.7724047014291052,-0.0010072209283476287
80,20,pseudo_gold_pcr6,0.7541952387222572,-0.019216683635195658
80,21,upcr,0.7730583880106311,0.0
80,21,gold_ridge_all,0.7377737842365178,-0.03528460377411326
80,21,anchored_pcr6,0.7724963643940229,-0.0005620236166082315
80,21,pseudo_gold_pcr6,0.7543376323827163,-0.01872075562791486
80,22,upcr,0.7731036458998409,0.0
80,22,gold_ridge_all,0.737608306988084,-0.035495338911756776
80,22,anchored_pcr6,0.7723408359295757,-0.0007628099702651584
80,22,pseudo_gold_pcr6,0.7542638235586923,-0.0188398223411485
80,23,upcr,0.7730954492080858,0.0
80,23,gold_ridge_all,0.7372297384650436,-0.03586571074304209
80,23,anchored_pcr6,0.7724563343835845,-0.0006391148245011857
80,23,pseudo_gold_pcr6,0.7544251026375434,-0.01867034657054234
80,24,upcr,0.7734086816688759,0.0
80,24,gold_ridge_all,0.737542161803192,-0.03586651986568402
80,24,anchored_pcr6,0.7728924285755726,-0.0005162530933032714
80,24,pseudo_gold_pcr6,0.7549893537097204,-0.018419327959155418
80,25,upcr,0.773553136156575,0.0
80,25,gold_ridge_all,0.7368086949668889,-0.036744441189685784
80,25,anchored_pcr6,0.7728140002090544,-0.0007391359475202771
80,25,pseudo_gold_pcr6,0.7546876149982253,-0.018865521158349583
80,26,upcr,0.7738821816272049,0.0
80,26,gold_ridge_all,0.7368947466403784,-0.03698743498682645
80,26,anchored_pcr6,0.7729869569473816,-0.0008952246798232671
80,26,pseudo_gold_pcr6,0.7548034552044823,-0.019078726422722528
80,27,upcr,0.7742040168488126,0.0
80,27,gold_ridge_all,0.737054494761782,-0.037149522087030616
80,27,anchored_pcr6,0.7730689588989974,-0.0011350579498151752
80,27,pseudo_gold_pcr6,0.7550073489384289,-0.019196667910383713
80,28,upcr,0.7744454722064632,0.0
80,28,gold_ridge_all,0.7376229383183938,-0.036822533888069296
80,28,anchored_pcr6,0.7733391827877147,-0.0011062894187483286
80,28,pseudo_gold_pcr6,0.7554669377460052,-0.018978534460457972
80,29,upcr,0.7745815704492139,0.0
80,29,gold_ridge_all,0.7378209006228126,-0.03676066982640121
80,29,anchored_pcr6,0.7735429018239843,-0.0010386686252295922
80,29,pseudo_gold_pcr6,0.755766531729961,-0.018815038719252792
80,30,upcr,0.7748552042786553,0.0
80,30,gold_ridge_all,0.738213926342234,-0.03664127793642116
80,30,anchored_pcr6,0.773944394123498,-0.0009108101551571814
80,30,pseudo_gold_pcr6,0.7562383445780823,-0.01861685970057284
