source,panel,budget,method,n_units,mean_auc,ci95_low,ci95_high
real,QA,20,gold_pcr2,9,0.7219992519648899,0.6440231338801377,0.7950903675449493
real,QA,20,gold_pcr6,9,0.6706539713373267,0.6106697052076225,0.7266476449356557
real,QA,20,gold_ridge_all,9,0.6777080565657738,0.6177441525519043,0.7359533242070633
real,QA,20,anchored_pcr2,9,0.7608852742172757,0.6944214473397857,0.8264470490532483
real,QA,20,anchored_pcr6,9,0.7563372922420315,0.6909463591393096,0.8190711647533868
real,QA,20,pseudo_gold_pcr6,9,0.7128219020245564,0.6528443492925718,0.7674964533478077
real,QA,40,upcr,9,0.7624845746120903,0.697406749665954,0.8276464749419848
real,QA,40,platt_upcr,9,0.7624845746120903,0.6972418677515653,0.8273615362723484
real,QA,40,gold_pcr2,9,0.7424598929013713,0.6670438908295244,0.8130009581122504
real,QA,40,gold_pcr6,9,0.6869096545873854,0.6268710027158266,0.7409022178677939
real,QA,40,gold_ridge_all,9,0.6873487407580021,0.6296990039594159,0.741737257985388
real,QA,40,anchored_pcr2,9,0.7617540430128824,0.6964083591321468,0.8271407327359116
real,QA,40,anchored_pcr6,9,0.7547471800848942,0.6907023603724535,0.8156476728175146
real,QA,40,pseudo_gold_pcr6,9,0.7184725964190919,0.6591391469800311,0.7721484055033092
real,QA,80,upcr,9,0.7624845746120903,0.6951850819690015,0.8273552123593167
real,QA,80,platt_upcr,9,0.7624845746120903,0.6990422240780086,0.8275132596147272
real,QA,80,gold_pcr2,9,0.7482572537151708,0.6711741848220887,0.8199478059269667
real,QA,80,gold_pcr6,9,0.7122120455572696,0.6492457054526619,0.7651388594609004
real,QA,80,gold_ridge_all,9,0.7109888140097014,0.6496798078934511,0.7662222767038149
real,QA,80,anchored_pcr2,9,0.7628533549105722,0.6966351236197025,0.8278240964509819
real,QA,80,anchored_pcr6,9,0.7568364547419713,0.690770673122923,0.8212171946259189
real,QA,80,pseudo_gold_pcr6,9,0.733713148388257,0.6693439943922994,0.7934435839683369
real,math,0,upcr,15,0.7822775820785941,0.7493792960379346,0.8154637813770894
real,math,0,platt_upcr,15,0.7822775820785941,0.7497998064359219,0.8150160673584831
real,math,0,anchored_pcr2,15,0.7822775820785941,0.7486971444532217,0.8153842552866247
real,math,0,anchored_pcr6,15,0.7822775820785941,0.7481383121282857,0.815424963766901
real,math,0,pseudo_gold_pcr6,15,0.7822775820785941,0.7494301123468273,0.8158507826275458
real,math,5,upcr,15,0.7822775820785941,0.7482408956006726,0.8152724777273311
real,math,5,platt_upcr,15,0.7822775820785941,0.7479926156903223,0.8146571086842793
real,math,5,gold_pcr2,15,0.6725974647773579,0.6333741765071147,0.7149093158095985
real,math,5,gold_pcr6,15,0.6269898801199033,0.5963433647098311,0.6637907307200006
real,math,5,gold_ridge_all,15,0.686046019426961,0.6445673578315139,0.7312115092231792
real,math,5,anchored_pcr2,15,0.7823785489092662,0.7488832142271926,0.8157145673277533
real,math,5,anchored_pcr6,15,0.7824142023223887,0.7488434164282022,0.8165877897689799
real,math,5,pseudo_gold_pcr6,15,0.75316519480018,0.7191490972122982,0.7895712593570477
real,math,10,upcr,15,0.7822775820785941,0.7497507576541731,0.8149996411797569
real,math,10,platt_upcr,15,0.7822775820785941,0.7487217468450007,0.8156022926418233
real,math,10,gold_pcr2,15,0.704328939486609,0.6661208132592705,0.7450418139724473
real,math,10,gold_pcr6,15,0.6588049085149212,0.6238789679571715,0.6967777483949464
real,math,10,gold_ridge_all,15,0.7048153959155149,0.6662001374178487,0.7454965383590421
real,math,10,anchored_pcr2,15,0.7816031257645801,0.748021774954342,0.8147511911012186
real,math,10,anchored_pcr6,15,0.7806873747659698,0.7468797918697556,0.8155484191144572
real,math,10,pseudo_gold_pcr6,15,0.7452186042635438,0.7103673412212242,0.7819040958080267
real,math,20,upcr,15,0.7822775820785941,0.7498954023603143,0.8161051729236142
real,math,20,platt_upcr,15,0.7822775820785941,0.7489922485023389,0.8150232363070502
real,math,20,gold_pcr2,15,0.7381028571942266,0.6992450323183178,0.7780594196488922
real,math,20,gold_pcr6,15,0.6907031545566534,0.6526975784390525,0.7323745114243836
real,math,20,gold_ridge_all,15,0.7108424482682866,0.6705662636924121,0.7543650696801945
real,math,20,anchored_pcr2,15,0.7808471711386462,0.7477205237233235,0.8136646014856316
real,math,20,anchored_pcr6,15,0.7802817257739442,0.7464622696333515,0.8154354640488208
real,math,20,pseudo_gold_pcr6,15,0.7428224005576994,0.7062806663286672,0.7808002267967264
real,math,40,upcr,15,0.7822775820785941,0.7496303998820015,0.8152254908571915
real,math,40,platt_upcr,15,0.7822775820785941,0.7491044111127688,0.8141647932113348
real,math,40,gold_pcr2,15,0.7599284503713569,0.7232093532655477,0.7967861737362152
real,math,40,gold_pcr6,15,0.728115116741885,0.6888892837413682,0.7693285035996505
real,math,40,gold_ridge_all,15,0.7318406252096515,0.6927131000288617,0.772904496523789
real,math,40,anchored_pcr2,15,0.7810988210228624,0.7466584709041485,0.8159305695608227
real,math,40,anchored_pcr6,15,0.7830000098178144,0.7485165086293751,0.8183982745569855
real,math,40,pseudo_gold_pcr6,15,0.7550836672199446,0.7180284257628492,0.7933160363410262
real,math,80,upcr,15,0.7822775820785941,0.7489849824057294,0.8152778597547833
real,math,80,platt_upcr,15,0.7822775820785941,0.7485802860574978,0.8157782021897494
real,math,80,gold_pcr2,15,0.7748028679669247,0.7402946976709147,0.809673895761569
real,math,80,gold_pcr6,15,0.759214516493834,0.721533502681202,0.7969566825508229
real,math,80,gold_ridge_all,15,0.7545489937417537,0.7145879514321358,0.795787349604816
real,math,80,anchored_pcr2,15,0.7816343302476462,0.7471190028528192,0.8169291569395316
real,math,80,anchored_pcr6,15,0.7842091577524142,0.7493877743559466,0.8200506937717085
real,math,80,pseudo_gold_pcr6,15,0.7697534622919775,0.7329883644985313,0.8076805826458985
synthetic,independent,0,upcr,40,0.9857335273194694,0.9846749098190009,0.9867772557160269
synthetic,independent,0,platt_upcr,40,0.9857335273194694,0.9846824874294605,0.9867861109894168
synthetic,independent,0,anchored_pcr2,40,0.9857335273194694,0.9846751872969123,0.9867744634458165
synthetic,independent,0,anchored_pcr6,40,0.9857335273194694,0.9846676424995603,0.9867953177601262
synthetic,independent,0,pseudo_gold_pcr6,40,0.9857335273194694,0.9846854171431749,0.9867841923869264
synthetic,independent,5,upcr,40,0.9857335273194694,0.9846561127911035,0.9867899276582852
synthetic,independent,5,platt_upcr,40,0.9857335273194694,0.9846676992873384,0.9867931960466768
synthetic,independent,5,gold_pcr2,40,0.9338661141991302,0.9108465568315713,0.9540461659408761
synthetic,independent,5,gold_pcr6,40,0.8323424799572294,0.8018577181112359,0.8596557474277131
synthetic,independent,5,gold_ridge_all,40,0.8805671168344725,0.8557424628872572,0.9025236844866271
synthetic,independent,5,anchored_pcr2,40,0.9852415868791526,0.9839406533133822,0.9864925200028984
synthetic,independent,5,anchored_pcr6,40,0.9838916854970101,0.9824507801974299,0.9853236279778339
synthetic,independent,5,pseudo_gold_pcr6,40,0.9687807634959761,0.9639995639019083,0.9730978036654729
synthetic,independent,10,upcr,40,0.9857335273194694,0.9846744949719383,0.9868022615535393
synthetic,independent,10,platt_upcr,40,0.9857335273194694,0.9846683717511451,0.9867753221079155
synthetic,independent,10,gold_pcr2,40,0.9740483289203248,0.9683473688560159,0.9789652710974649
synthetic,independent,10,gold_pcr6,40,0.9197864860679621,0.9030674490346727,0.9350757999060233
synthetic,independent,10,gold_ridge_all,40,0.9383198120942176,0.9269897730823523,0.9484603585104109
synthetic,independent,10,anchored_pcr2,40,0.9851031201979528,0.9839632365206118,0.9862373426003865
synthetic,independent,10,anchored_pcr6,40,0.982585535266187,0.9813312604750024,0.9838698536363886
synthetic,independent,10,pseudo_gold_pcr6,40,0.9695154111530773,0.9655441587502152,0.973274125882339
synthetic,independent,20,upcr,40,0.9857335273194694,0.984638049807428,0.9867660916925064
synthetic,independent,20,platt_upcr,40,0.9857335273194694,0.9846776418366002,0.9868105209185081
synthetic,independent,20,gold_pcr2,40,0.9825385384254913,0.9805630728755677,0.9843953975818489
synthetic,independent,20,gold_pcr6,40,0.961388248189257,0.954176912019832,0.9675255500070604
synthetic,independent,20,gold_ridge_all,40,0.9566636406474631,0.9514631534419212,0.9615807976375501
