uid,cell,group_id,category,tokens,steps,first_error_step,error_start,error_stop,gate_percentile,log2_tokens,error_start_fraction,error_step_fraction,feature_change_l2,predictor_disagreement,mean_signed_residual
pb_math_q8__ab94b777994ca751,pb_math_q8,pb_source_v2:a922b1548ed7c7b3ef3223be,1,1154,18,12,766,778,0.5965,10.172427508645482,0.6637781629116117,0.010398613518197574,0.5785584513390097,0.2030504991862181,0.019916585045834566
pb_math_q8__7259ea08bf848258,pb_math_q8,pb_source_v2:d228f351b2e50a4f0cbb3982,1,1528,8,2,276,465,0.7395,10.57742882803575,0.1806282722513089,0.12369109947643979,3.2817250439402885,0.25516556266887785,-0.018232076094381107
pb_math_q8__7e6a28520cd64251,pb_math_q8,pb_source_v2:0128a171e6f1405be3ccafeb,1,659,8,1,0,88,0.4785,9.364134655008051,0.0,0.13353566009104703,,0.2429574612013006,-0.033682530557132495
pb_math_q8__c5dbaf873a921acf,pb_math_q8,pb_source_v2:73fbe741cdf2aa0f624372dc,0,1481,6,4,483,913,0.7965,10.532355925288847,0.3261309925725861,0.29034436191762325,3.47125513272263,0.2712458471630312,-0.05827501616842349
pb_math_q8__3fba7b8d995a8dd5,pb_math_q8,prmb_source_v2:d8d073e8937e3226acdfd0a1,0,662,4,2,177,412,0.8015,9.370687406807217,0.2673716012084592,0.3549848942598187,4.313943328786479,0.29920211250784423,0.0815226686919532
pb_math_q8__26848c1d0fdcf3ec,pb_math_q8,pb_source_v2:e19e2f4e76a8f78b09cef299,1,156,3,2,44,94,0.3645,7.285402218862249,0.28205128205128205,0.32051282051282054,0.6970693329737605,0.25165190365876666,0.018199068358696054
pb_math_q8__2602329c7bda2386,pb_math_q8,pb_source_v2:db04dea116be40387033c346,0,436,5,1,0,115,0.6335,8.768184324776927,0.0,0.26376146788990823,,0.26252211016210397,0.08633935021518295
pb_math_q8__3a0c9e36601555b2,pb_math_q8,pb_source_v2:ec4a6e5635d208d70ba85048,1,968,12,9,614,650,0.9395,9.918863237274595,0.6342975206611571,0.0371900826446281,3.6740485086001673,0.33537196632069877,0.18309735632924462
pb_math_q8__adaa4e15ce07f946,pb_math_q8,pb_source_v2:692762e905fed76fad07fad8,1,455,5,1,0,114,0.5875,8.829722735086058,0.0,0.25054945054945055,,0.2497548001242685,-0.09312893784514584
pb_math_q8__9df6310263449267,pb_math_q8,pb_source_v2:2dc7cdf8541c3c373f7565ac,0,1436,8,7,1051,1288,0.7755,10.487840033823051,0.7318941504178273,0.16504178272980502,4.538814679726454,0.3771870646187426,0.20857788843185773
pb_math_q8__1c8a70939fd12d0b,pb_math_q8,pb_source_v2:9d8cc7ec4f425d7a2a785e37,2,1084,14,6,527,608,0.1945,10.08214904135387,0.48616236162361626,0.07472324723247233,3.6969863946921135,0.2634931029889364,0.04553907529025104
pb_math_q8__eb3f82db634c825f,pb_math_q8,pb_source_v2:a28ec64a0cbb2462c2276c82,0,649,6,4,231,408,0.8615,9.342074667999139,0.3559322033898305,0.2727272727272727,2.0054799879792378,0.30968194080402967,0.1338754941682091
pb_math_q8__016d19f30769a4f1,pb_math_q8,pb_source_v2:2726573f00b76be7b23d27c6,0,656,8,6,357,443,0.8025,9.357552004618084,0.5442073170731707,0.13109756097560976,4.14539760930727,0.3058314509878282,0.026107423872702516
pb_math_q8__925cb467e47047a9,pb_math_q8,pb_source_v2:073ce385d6e597596b420bac,1,1127,12,4,182,382,0.9835,10.138271800172221,0.16149068322981366,0.1774622892635315,0.6217622221966463,0.2595424173874688,-0.12134285242905828
pb_math_q8__355d1599b6b3215a,pb_math_q8,pb_source_v2:db6ec6aa6b0a63d9909ccd43,0,658,10,9,532,641,0.6115,9.361943773735241,0.8085106382978723,0.1656534954407295,2.8384519983296452,0.28814811579088184,0.11874033898337841
pb_math_q8__46cdd2ec72675585,pb_math_q8,pb_source_v2:8a72ba2247086bc1a2d0b42c,1,714,6,3,239,408,0.5975,9.479780264029099,0.33473389355742295,0.23669467787114845,3.6658255055622138,0.26249458868358655,-0.014745799717452964
pb_math_q8__6afc1a0e53e8571c,pb_math_q8,pb_source_v2:4d8f04de3171142f70fa5b21,1,872,7,6,594,796,0.6765,9.768184324776927,0.6811926605504587,0.231651376146789,3.520863871248882,0.24378418453144435,0.022000419200695325
pb_math_q8__60af5cae4fccf59e,pb_math_q8,pb_source_v2:2a1a9893950024fdf03e5290,0,381,3,1,0,127,0.6205,8.573647187493322,0.0,0.3333333333333333,,0.2947638083354284,0.02200071376902575
pb_math_q8__ff2abaadfb5dee8f,pb_math_q8,pb_source_v2:5e34384fd5c8b51e1141847b,1,1740,16,7,640,769,0.9985,10.76487159073609,0.367816091954023,0.07413793103448275,0.7349457629387097,0.29273104536246475,0.1330405006588419
pb_math_q8__910e1f08647a4b3b,pb_math_q8,prmb_source_v2:3c69a7e21f2bd9d76a7f525c,2,357,4,1,0,102,0.3205,8.479780264029099,0.0,0.2857142857142857,,0.32454015396826486,0.026350750141587276
pb_math_q8__555322a0daca5b6d,pb_math_q8,pb_source_v2:3353afb63600dc259739e1fc,0,403,4,2,107,278,0.9255,8.654636028527968,0.2655086848635236,0.42431761786600497,0.4189152711534708,0.25440763224292645,-0.0008046426170826755
pb_math_q8__69f30d2d802e2dea,pb_math_q8,pb_source_v2:70261f22f5d21f4fcef9984b,1,459,8,5,238,270,0.5025,8.842350343413807,0.5185185185185185,0.06971677559912855,3.0016042705926456,0.2994122699538879,0.022571315987556843
pb_math_q8__752c9dc7ee4e9d94,pb_math_q8,pb_source_v2:99338465f96d853fc16d91c4,2,503,7,2,34,106,0.2325,8.974414589805527,0.06759443339960239,0.14314115308151093,0.4347997921805214,0.29902219948552394,-0.10469399739719888
