method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,PRMScore_conditional,valid_answers,within_answers
Single Renyi view / alpha = 3,view__a3,35.78094342167656,36.56549741648598,34.99638942686714,0.7219430993931639,0.6951402701906751,0.6195368198107061,0.6195368198107061,13769,6030
Single Renyi view / alpha = 4,view__a4,35.80475683025128,36.581282088064306,35.028231572438244,0.7207028022035633,0.6942025261022068,0.6177127999487059,0.6177127999487059,13769,6030
Single Renyi view / alpha = 8,view__a8,35.87905396705527,36.57667016131673,35.18143777279381,0.7191712866849309,0.6930291365476893,0.6160196123869838,0.6160196123869838,13769,6030
Single Renyi view / alpha = inf (min-entropy),view__Hinf,35.77448428193377,36.51188874885053,35.037079815017,0.7178449973156557,0.6923946823401893,0.615788362161201,0.615788362161201,13769,6030
Escort varentropy / alpha = 0,view__ve0,35.56618874084806,36.24937630475982,34.88300117693631,0.7534060391728259,0.7230919254721395,0.6354767355299806,0.6354767355299806,13769,6030
Escort varentropy / alpha = 0.1,view__ve0.1,35.77126548086539,36.49836356839946,35.04416739333132,0.7481803517044943,0.7200837681884769,0.6340364035399682,0.6340364035399682,13769,6030
Escort varentropy / alpha = 0.25,view__ve0.25,34.89410605829819,35.353023917444425,34.43518819915195,0.7351511120779565,0.7089371411792609,0.6315565634107014,0.6315565634107014,13769,6030
Escort varentropy / alpha = 0.5,view__ve0.5,36.20421239741865,36.293126609527036,36.11529818531026,0.6788084002521176,0.634081384444858,0.5730599158875838,0.5730599158875838,13769,6030
Escort varentropy / alpha = 0.75,view__ve0.75,36.76476800211941,37.37513390808455,36.15440209615428,0.7323022945501653,0.7043142167386917,0.6186785249641445,0.6186785249641445,13769,6030
Escort varentropy / alpha = 1,view__ve1,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,0.6257812284738609,13769,6030
Escort varentropy / alpha = 1.5,view__ve1.5,35.46314802126952,35.857250187328745,35.0690458552103,0.7332790948725132,0.7048814557947314,0.6247614517863926,0.6247614517863926,13769,6030
Escort varentropy / alpha = 2,view__ve2,35.00820283156637,35.49658598088548,34.519819682247274,0.7259409547029397,0.6985972540878796,0.6194408280448117,0.6194408280448117,13769,6030
Escort varentropy / alpha = 3,view__ve3,34.98073986458355,35.99127336434037,33.970206364826716,0.7135518395982913,0.6876033074119943,0.6112893790406246,0.6112893790406246,13769,6030
Escort varentropy / alpha = 4,view__ve4,34.05840150217641,35.175221695080886,32.94158130927193,0.7060549464457347,0.6789868136514292,0.605988956106781,0.605988956106781,13769,6030
Escort varentropy / alpha = 8,view__ve8,34.17238049907586,34.49850539876049,33.84625559939122,0.682420649780617,0.645523770224321,0.5908891810227106,0.5908891810227106,13769,6030
Token entropy reference (frozen),entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639408146143,0.625425539209566,0.625425539209566,13769,6030
"Direct probability IU-PCR (17 inputs, frozen)",direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,0.6205441220076804,13769,6030
Raw varentropy15 reference (frozen Step339),ref__varentropy15,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,0.6257812284738609,13769,6030
Varentropy15 contribution IU (frozen Step339),ref__varentropy15_iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,0.710261309641098,0.6226885909285921,0.6226885909285921,13769,6030
