contrast,primary,ci_level,pb_delta_pp,pb_ci_low_pp,pb_ci_high_pp,prm_within_delta_common,prm_within_ci_low,prm_within_ci_high,common_prm_answers,gained,lost
view__a0.01_minus_view__a0.1,False,0.95,0.1333001695045022,-0.08413134979510087,0.3576664519423019,0.0013003969842010953,0.0007908776161027131,0.0018259974591986264,6030,13,8
view__a0.02_minus_view__a0.1,False,0.95,0.10671179190338553,-0.1030260469690626,0.3221889148528931,0.0011558952154327,0.0006601788721233899,0.0016523763765325817,6030,10,7
view__a0.05_minus_view__a0.1,False,0.95,0.16426621503999872,0.002589998941633652,0.3561863344819092,0.0007342431599278625,0.0003670639421828025,0.0011183607997936188,6030,8,3
view__a0.15_minus_view__a0.1,False,0.95,0.07354116319535087,-0.08574147382984412,0.23942227321771298,-0.00038264265362425134,-0.000765166895975563,-6.688321655279309e-06,6030,10,7
view__a0.2_minus_view__a0.1,False,0.95,0.11643364845053128,-0.09275670793484,0.3421074701800672,-0.00038830621595736516,-0.000999579244272887,0.00022781555780442816,6030,17,14
view__a0.25_minus_view__a0.1,False,0.95,0.14847469122714063,-0.0946429048946669,0.40026081685611653,-0.001133023297583284,-0.0019478883627732765,-0.0003262703411784596,6030,23,18
view__a0.3_minus_view__a0.1,False,0.95,0.12034275293412167,-0.17686157294091023,0.41900255433675776,-0.001722505738277146,-0.002737180900710593,-0.0007500348489516574,6030,30,25
view__a0.4_minus_view__a0.1,False,0.95,0.12287091609727296,-0.2529210381490356,0.5044848201692957,-0.003097597386843423,-0.004496770492155368,-0.0017219230893905529,6030,46,41
view__a0.5_minus_view__a0.1,False,0.95,0.18139866503188995,-0.3202278834118548,0.6787178009798128,-0.005412421111758854,-0.007021614957875199,-0.003824458343413313,6030,62,51
view__a0.75_minus_view__a0.1,False,0.95,0.0543357385159593,-0.6133255415694834,0.6870325651629344,-0.009544889597299737,-0.011639968296449286,-0.007488072103928018,6030,92,88
view__H1_minus_view__a0.1,False,0.95,0.07376261269326223,-0.6367059783143528,0.7698366218489725,-0.012412992975921784,-0.014850898926288178,-0.010018776400571593,6030,118,112
view__a1.5_minus_view__a0.1,False,0.95,0.09161203481425906,-0.6950734334683275,0.8672898297424464,-0.016009495235211665,-0.01888360839396091,-0.013167968446164755,6030,155,149
view__a2_minus_view__a0.1,False,0.95,0.2200204493032043,-0.6138285979241533,1.0535793040933243,-0.018366447316145337,-0.021469649217452737,-0.015302308050162318,6030,178,167
view__a3_minus_view__a0.1,False,0.95,0.410329392235681,-0.4644367544835144,1.266338911737252,-0.020581254695196453,-0.023964518891480487,-0.017274611176609,6030,197,174
view__a4_minus_view__a0.1,False,0.95,0.43414280081039425,-0.46070819854899914,1.321335962576475,-0.021821551884797084,-0.02535522750203081,-0.0184343390864969,6030,208,182
view__a8_minus_view__a0.1,False,0.95,0.5084399376143856,-0.4285330427970467,1.4424898404727635,-0.023353067403429524,-0.026971137097676373,-0.01984465804835991,6030,227,194
view__Hinf_minus_view__a0.1,False,0.95,0.4038702524928883,-0.5558047495027599,1.346208080354826,-0.0246793567727048,-0.028293164459924254,-0.02118877703393961,6030,233,210
view__H0lim_minus_view__a0.001,False,0.95,0.0,0.0,0.0,7.504458472238142e-06,-4.926044857942211e-05,7.411569467471182e-05,6030,0,0
view__a0.001_minus_view__a0.01,False,0.95,0.031031726503594204,0.0,0.08080248551276077,0.0001393695724038236,-3.390246690305436e-05,0.0003155107728181584,6030,2,0
view__a0.01_minus_view__a0.02,False,0.95,0.026588377601116653,-0.03291086153529549,0.08897384317095211,0.00014450176876839506,1.2872332246495186e-05,0.0002881724987107768,6030,3,1
view__a0.02_minus_view__a0.05,False,0.95,-0.057554423136613186,-0.18890865555286324,0.040558871007142075,0.00042165205550483777,0.00010621765676082151,0.0007560538988028992,6030,2,4
view__a0.1_minus_view__a0.15,False,0.95,-0.07354116319535087,-0.23942227321771303,0.0857414738298441,0.00038264265362425134,6.688321655279124e-06,0.000765166895975563,6030,7,10
view__a0.15_minus_view__a0.2,False,0.95,-0.04289248525518041,-0.19488155331576149,0.09018754504415717,5.663562333113824e-06,-0.00045408045620086126,0.00046083233818586505,6030,7,7
view__a0.2_minus_view__a0.25,False,0.95,-0.03204104277660935,-0.15089785894710311,0.09071875571173145,0.0007447170816259187,0.00026750147391071055,0.0012194893477731157,6030,4,6
view__a0.25_minus_view__a0.3,False,0.95,0.028131938293018965,-0.11611242477687772,0.1848098680899862,0.0005894824406938622,8.567773960061762e-05,0.0010979710661663039,6030,7,7
view__a0.3_minus_view__a0.4,False,0.95,-0.002528163163151298,-0.22971174314682638,0.22942628116438538,0.0013750916485662766,0.0006403637596172804,0.0021195670855509788,6030,16,16
view__a0.4_minus_view__a0.5,False,0.95,-0.058527748934616985,-0.3535865245794702,0.25488065348446465,0.0023148237249154303,0.0016755466973435507,0.0029695973366159426,6030,11,17
view__a0.5_minus_view__a0.75,False,0.95,0.12706292651593065,-0.3251954831973239,0.5870352341016114,0.004132468485540883,0.0030037937990888604,0.0053183289000651906,6030,42,35
view__H1_minus_view__a1.5,False,0.95,-0.017849422120996827,-0.3841070966780429,0.3515982052173941,0.0035965022592898827,0.0024220762606662724,0.004757000101269262,6030,45,45
view__a1.5_minus_view__a2,False,0.95,-0.12840841448894524,-0.4431804177936695,0.1923986202273139,0.0023569520809336732,0.0014843512079965654,0.0032500554476010872,6030,29,34
view__a2_minus_view__a3,False,0.95,-0.1903089429324767,-0.4356979703395816,0.04962649815336268,0.002214807379051115,0.0013552374621356366,0.0030670276626750988,6030,22,34
view__a3_minus_view__a4,False,0.95,-0.023813408574713257,-0.26105001944629347,0.21483065612458263,0.0012402971896006343,0.0006848258263987503,0.0018014993552099077,6030,14,17
view__a4_minus_view__a8,False,0.95,-0.0742971368039913,-0.3973441067291898,0.2574777782810683,0.0015315155186324334,0.0008396167748217137,0.002236618377710096,6030,28,35
view__a8_minus_view__Hinf,False,0.95,0.10456968512149722,-0.19342631182540385,0.40072450027911366,0.0013262893692752764,0.0007598189002509871,0.0019317152725219615,6030,34,24
view__H0lim_minus_ref__varentropy15,False,0.95,-0.4260413649564532,-1.52122458865085,0.6760059929064348,0.006185322701844192,0.0030923970518495878,0.009354993858533006,6030,333,352
view__a0.001_minus_ref__varentropy15,False,0.95,-0.4260413649564532,-1.52122458865085,0.6760059929064348,0.0061778182433719535,0.0031025320133323676,0.00936078349127433,6030,333,352
view__a0.01_minus_ref__varentropy15,False,0.95,-0.4570730914600474,-1.5652722345778098,0.6519725975936691,0.006038448670968131,0.0029432275829098706,0.009235129837394789,6030,332,353
view__a0.02_minus_ref__varentropy15,False,0.95,-0.48366146906116403,-1.5885428481972248,0.6196862616396445,0.005893946902199736,0.0028013750421507786,0.009077905231281063,6030,331,354
view__a0.05_minus_ref__varentropy15,False,0.95,-0.42610704592455084,-1.5266945395532647,0.6792476744656203,0.005472294846694899,0.0023813309079367593,0.00863766147115886,6030,334,355
view__a0.1_minus_ref__varentropy15,False,0.95,-0.5903732609645496,-1.721824237937632,0.5296212600798365,0.004738051686767036,0.0016337194073438991,0.00790049716820672,6030,333,359
view__a0.15_minus_ref__varentropy15,False,0.95,-0.5168320977691987,-1.6480511276515932,0.6093455925906248,0.004355409033142784,0.0012518804276118053,0.007531276801248618,6030,339,362
view__a0.2_minus_ref__varentropy15,False,0.95,-0.4739396125140183,-1.609521935335733,0.6584548930720976,0.004349745470809671,0.0011966598625584028,0.007491753457104142,6030,340,363
view__a0.25_minus_ref__varentropy15,False,0.95,-0.44189856973740893,-1.5778741360770114,0.7012164809888912,0.0036050283891837518,0.00039708430883467774,0.006840127823363077,6030,341,362
view__a0.3_minus_ref__varentropy15,False,0.95,-0.4700305080304279,-1.600112406613504,0.6785719054551949,0.003015545948489889,-0.00016585969742780255,0.006230301312452608,6030,341,362
view__a0.4_minus_ref__varentropy15,False,0.95,-0.4675023448672766,-1.6116568839462768,0.6783996332640477,0.0016404542999236132,-0.0016940784509225798,0.004995721718183477,6030,343,364
view__a0.5_minus_ref__varentropy15,False,0.95,-0.4089745959326596,-1.5768880815289301,0.7554092572771799,-0.0006743694249918173,-0.004142534558864829,0.002823577825077828,6030,356,371
view__a0.75_minus_ref__varentropy15,False,0.95,-0.5360375224485903,-1.7793491693443921,0.7174358653486727,-0.004806837910532701,-0.008643971275916892,-0.0009722573581409811,6030,373,395
view__H1_minus_ref__varentropy15,False,0.95,-0.5166106482712873,-1.766139125744079,0.7452808918201986,-0.0076749412891547455,-0.011780430057366027,-0.0035155702759721674,6030,381,401
view__a1.5_minus_ref__varentropy15,False,0.95,-0.4987612261502905,-1.771390339726011,0.7822095867606589,-0.011271443548444629,-0.015831577498889703,-0.006643794189775336,6030,396,416
view__a2_minus_ref__varentropy15,False,0.95,-0.37035281166134526,-1.6592800191653316,0.921584235393331,-0.013628395629378303,-0.01837014621899695,-0.008826926075722386,6030,410,425
view__a3_minus_ref__varentropy15,False,0.95,-0.18004386872886857,-1.480574575150113,1.1068650705076666,-0.015843203008429417,-0.0207369517473428,-0.010879000451784944,6030,421,424
view__a4_minus_ref__varentropy15,False,0.95,-0.15623046015415532,-1.4374530709026803,1.1211302150459819,-0.017083500198030052,-0.02216554488112215,-0.012027405839226226,6030,421,421
view__a8_minus_ref__varentropy15,False,0.95,-0.08193332335016401,-1.3762994843215783,1.2025871130208927,-0.018615015716662485,-0.023808913355035027,-0.013520639196190351,6030,426,419
view__Hinf_minus_ref__varentropy15,False,0.95,-0.18650300847166124,-1.4937470945161018,1.1233099699419544,-0.019941305085937763,-0.025067867044855432,-0.014838743437790484,6030,422,425
view__H0lim_minus_ref__varentropy15_iu,False,0.95,0.18511007522367118,-0.6666933471017462,1.0289573610607314,-0.0028521189526024993,-0.005271524146201146,-0.00040853295274162813,6030,229,224
view__a0.001_minus_ref__varentropy15_iu,False,0.95,0.18511007522367118,-0.6666933471017462,1.0289573610607314,-0.0028596234110747376,-0.005280733514831667,-0.00040880642828364694,6030,229,224
view__a0.01_minus_ref__varentropy15_iu,False,0.95,0.15407834872007697,-0.6983390852446969,1.0009542177377606,-0.002998992983478561,-0.005456040549004796,-0.0005273133684260896,6030,228,225
view__a0.02_minus_ref__varentropy15_iu,False,0.95,0.12748997111896032,-0.7298490923920975,0.978919028501077,-0.0031434947522469563,-0.005597756288436006,-0.0006737324219396107,6030,229,228
view__a0.05_minus_ref__varentropy15_iu,False,0.95,0.1850443942555735,-0.6772296488460531,1.046579504559763,-0.003565146807751794,-0.006011583744816744,-0.0011028116198133877,6030,233,230
view__a0.1_minus_ref__varentropy15_iu,False,0.95,0.020778179215574788,-0.8554707609507683,0.9028700841474011,-0.004299389967679657,-0.006745854079757076,-0.0018129726066318421,6030,232,234
view__a0.15_minus_ref__varentropy15_iu,False,0.95,0.09431934241092566,-0.8137153347798222,1.0152994121067562,-0.004682032621303908,-0.007144889876222656,-0.0021701542262893294,6030,240,239
view__a0.2_minus_ref__varentropy15_iu,False,0.95,0.13721182766610607,-0.7683778000436653,1.048834757967704,-0.004687696183637021,-0.007105978825817949,-0.0021793266421394337,6030,243,242
view__a0.25_minus_ref__varentropy15_iu,False,0.95,0.16925287044271542,-0.7416671877121551,1.0821293985819282,-0.00543241326526294,-0.007851182592947628,-0.002943320924620749,6030,245,242
view__a0.3_minus_ref__varentropy15_iu,False,0.95,0.14112093214969645,-0.776711009598782,1.0614783112600412,-0.006021895705956803,-0.00847337569796042,-0.0035754887196415416,6030,249,246
view__a0.4_minus_ref__varentropy15_iu,False,0.95,0.14364909531284775,-0.7949551111100159,1.0976502033800868,-0.00739698735452308,-0.00993928461415742,-0.004835418025610238,6030,256,253
view__a0.5_minus_ref__varentropy15_iu,False,0.95,0.20217684424746474,-0.7797040337166843,1.1888632179117766,-0.00971181107943851,-0.012346140374758244,-0.00704275689639752,6030,268,259
view__a0.75_minus_ref__varentropy15_iu,False,0.95,0.07511391773153409,-0.9671919988999151,1.1318075116727788,-0.013844279564979392,-0.016907957396468408,-0.010787757253208798,6030,290,288
view__H1_minus_ref__varentropy15_iu,False,0.95,0.09454079190883702,-0.9960965728055705,1.1990958002446195,-0.01671238294360144,-0.020045168250291383,-0.013385659062599078,6030,313,309
view__a1.5_minus_ref__varentropy15_iu,False,0.95,0.11239021402983385,-1.0219349667086608,1.2742983126522622,-0.020308885202891324,-0.024098816882977925,-0.016502881823444938,6030,339,335
view__a2_minus_ref__varentropy15_iu,False,0.95,0.2407986285187791,-0.9107028136302282,1.411668319723441,-0.022665837283824996,-0.026667603278004503,-0.01864198846366776,6030,353,344
view__a3_minus_ref__varentropy15_iu,False,0.95,0.4311075714512558,-0.7325530288000253,1.6114425509379828,-0.024880644662876112,-0.029082844974910902,-0.020694901822358537,6030,365,344
view__a4_minus_ref__varentropy15_iu,False,0.95,0.45492098002596904,-0.7263618476365987,1.6423029417802746,-0.026120941852476744,-0.030426751361496522,-0.021828183233601677,6030,371,347
view__a8_minus_ref__varentropy15_iu,False,0.95,0.5292181168299603,-0.6618549923170706,1.7443766714063664,-0.02765245737110918,-0.03204422664265844,-0.02325746686084455,6030,380,349
view__Hinf_minus_ref__varentropy15_iu,False,0.95,0.4246484317084631,-0.7753149631193865,1.6061003341807372,-0.028978746740384455,-0.03334294234653641,-0.024610597452764376,6030,377,356
view__ve0_minus_view__ve1,False,0.95,-0.39479854955736804,-1.5117734563286325,0.6870742618609829,0.0156197367712325,0.01214028973781335,0.019141065242959915,6030,305,324
view__ve0.1_minus_view__ve1,False,0.95,-0.18972180954004436,-1.278716068483936,0.8612086331801959,0.010394049302900856,0.007206686381404101,0.013633149199019595,6030,321,330
view__ve0.25_minus_view__ve1,False,0.95,-1.0668812321072418,-2.239221828627138,0.0856644936699997,-0.002635190323637052,-0.006152471437302965,0.0008531590311656275,6030,329,364
view__ve0.5_minus_view__ve1,False,0.95,0.24322510701321742,-1.2313781624128712,1.7117579424031995,-0.058977902149475785,-0.06669817567926833,-0.05105790443180313,6030,513,480
view__ve0.75_minus_view__ve1,False,0.95,0.8037807117139806,-0.2033782846533369,1.8083839492455325,-0.005484007851428076,-0.008916854375420682,-0.001960443941856931,6030,307,261
view__ve1.5_minus_view__ve1,False,0.95,-0.4978392691359135,-1.4495598558426162,0.4425483670504484,-0.004507207529080186,-0.007444264673009482,-0.0015672793436987647,6030,260,275
view__ve2_minus_view__ve1,False,0.95,-0.9527844588390622,-2.129926180514318,0.21058437968674015,-0.01184534769865361,-0.015781008241766935,-0.007879326126195433,6030,353,391
view__ve3_minus_view__ve1,False,0.95,-0.9802474258218841,-2.262186154962854,0.3217538844528441,-0.024234462803302135,-0.029292942998074875,-0.01915450263221722,6030,419,458
view__ve4_minus_view__ve1,False,0.95,-1.9025857882290276,-3.2078353436741884,-0.5799891158790089,-0.03173135595585868,-0.03735752505986895,-0.0259974744674561,6030,414,495
view__ve8_minus_view__ve1,False,0.95,-1.7886067913295778,-3.139163716486083,-0.443256832916037,-0.0553656526209764,-0.06216206974038012,-0.048537412865710054,6030,419,490
view__ve0_minus_view__a0.1,False,0.95,0.19557471140718152,-0.5198229007899284,0.880149535043908,0.010881685084465464,0.008718158634139574,0.013016799492484478,6030,107,100
view__ve0.1_minus_view__a0.1,False,0.95,0.4006514514245052,-0.11150359585064673,0.9108392975059841,0.0056559976161338205,0.004173782797588537,0.00716225067319103,6030,75,58
view__ve0.25_minus_view__a0.1,False,0.95,-0.4765079711426923,-1.0574825005058996,0.07959221354362964,-0.007373242010404087,-0.009740291662543676,-0.005098548248618571,6030,45,54
view__ve0.5_minus_view__a0.1,False,0.95,0.833598367977767,-0.6815878436585672,2.3239163373769047,-0.06371595383624282,-0.07178097904871475,-0.05563544073294577,6030,523,464
view__ve0.75_minus_view__a0.1,False,0.95,1.3941539726785301,0.13260095712295958,2.6843619324322705,-0.010222059538195112,-0.014792304420659461,-0.005582363273670548,6030,442,370
view__ve1_minus_view__a0.1,False,0.95,0.5903732609645496,-0.5296212600798369,1.721824237937632,-0.004738051686767036,-0.007900497168206722,-0.0016337194073439013,6030,359,333
view__ve1.5_minus_view__a0.1,False,0.95,0.09253399182863609,-0.8555130648830782,1.0483492717661391,-0.00924525921584722,-0.012099592729443453,-0.006350716282330177,6030,263,252
view__ve2_minus_view__a0.1,False,0.95,-0.3624111978745126,-1.2931146376703098,0.5657535748683802,-0.016583399385420645,-0.019687222022688414,-0.013487802539037105,6030,230,242
view__ve3_minus_view__a0.1,False,0.95,-0.3898741648573345,-1.3608855906256139,0.588474021972367,-0.028972514490069167,-0.03290582785511168,-0.025077038839402134,6030,243,256
view__ve4_minus_view__a0.1,False,0.95,-1.312212527264478,-2.3305667229392557,-0.2946960640917907,-0.03646940764262571,-0.04089371858599596,-0.031952948512000576,6030,264,319
view__ve8_minus_view__a0.1,False,0.95,-1.1982335303650282,-2.4189332146556475,0.007688600871632504,-0.060103704307743436,-0.06608064040045658,-0.054269701813021674,6030,329,374
view__ve0_minus_view__H1,False,0.95,0.12181209871391929,-0.8223821322902114,1.0660673362171853,0.02329467806038725,0.019854591243675158,0.026829820146312043,6030,184,183
view__ve0.1_minus_view__H1,False,0.95,0.32688883873124297,-0.5301701550239784,1.194404348506279,0.0180689905920556,0.015035120108210643,0.021181624782246156,6030,169,158
view__ve0.25_minus_view__H1,False,0.95,-0.5502705838359545,-1.4151053615451552,0.29298331095668684,0.005039750965517695,0.0019059951410343651,0.008090085362722857,6030,137,152
view__ve0.5_minus_view__H1,False,0.95,0.7598357552845048,-0.7764889885732629,2.295945429198358,-0.05130296086032104,-0.05973621020526652,-0.04274453790560435,6030,533,480
view__ve0.75_minus_view__H1,False,0.95,1.320391359985268,-0.04739064264485769,2.7086769482343787,0.002190933437726668,-0.0033818009978346963,0.007859451874232292,6030,468,402
view__ve1_minus_view__H1,False,0.95,0.5166106482712873,-0.745280891820199,1.7661391257440782,0.0076749412891547455,0.0035155702759721657,0.011780430057366023,6030,401,381
view__ve1.5_minus_view__H1,False,0.95,0.018771379135373856,-1.0725950427626358,1.0984347733520183,0.0031677337600745604,-1.1494832784224566e-05,0.006362283297543934,6030,324,319
view__ve2_minus_view__H1,False,0.95,-0.4361738105677748,-1.3721079809486385,0.48821239986572407,-0.004170406409498864,-0.006915690475504411,-0.0013834767089246057,6030,248,266
view__ve3_minus_view__H1,False,0.95,-0.46363677755059673,-1.314365680704575,0.39787171296288315,-0.016559521514147385,-0.019643015957147066,-0.013342530997783878,6030,200,219
view__ve4_minus_view__H1,False,0.95,-1.3859751399577402,-2.284190803625118,-0.5079936794700629,-0.024056414666703933,-0.02759675488598231,-0.020400031793526063,6030,208,269
view__ve8_minus_view__H1,False,0.95,-1.2719961430582905,-2.4136818503027566,-0.14723583377989174,-0.04769071133182165,-0.05280631871030575,-0.042629295149627315,6030,293,344
view__ve0_minus_view__ve0.1,False,0.95,-0.20507674001732368,-0.670920563070265,0.23239966400056947,0.005225687468331645,0.003759257343148317,0.006688978289594183,6030,43,53
view__ve0.1_minus_view__ve0.25,False,0.95,0.8771594225671975,0.22123672831128222,1.5640494186701974,0.013029239626537908,0.010414422232796225,0.015677584025211067,6030,89,63
view__ve0.25_minus_view__ve0.5,False,0.95,-1.3101063391204593,-2.898498968089163,0.2452395016958555,0.05634271182583874,0.047987480615471666,0.06466107615208823,6030,465,533
view__ve0.5_minus_view__ve0.75,False,0.95,-0.5605556047007632,-1.8583436910681719,0.7373055525539968,-0.05349389429804771,-0.05987006680087295,-0.04697659459692391,6030,428,441
view__ve1_minus_view__ve1.5,False,0.95,0.4978392691359135,-0.442548367050449,1.4495598558426157,0.004507207529080186,0.0015672793436987639,0.007444264673009479,6030,275,260
view__ve1.5_minus_view__ve2,False,0.95,0.4549451897031487,-0.31206031360159675,1.2399576221082884,0.007338140169573425,0.005126678447425676,0.009538745380379753,6030,197,174
view__ve2_minus_view__ve3,False,0.95,0.027462966982821913,-0.9174806788363206,0.9335285900548662,0.012389115104648522,0.009287988518774543,0.015369542485751913,6030,245,244
view__ve3_minus_view__ve4,False,0.95,0.9223383624071435,0.20900215071405245,1.6492642074139807,0.0074968931525565465,0.005068007266007861,0.009972240155335254,6030,190,148
view__ve4_minus_view__ve8,False,0.95,-0.11397899689944979,-1.1421705938235367,0.9087696479856103,0.02363429666511772,0.019193859640487677,0.028275807644061787,6030,331,341
view__ve0.25_minus_view__a0.25,False,0.95,-0.6249826623698329,-1.2734968608907973,-0.00616062144729762,-0.006240218712820804,-0.00865058931015013,-0.003932990699098775,6030,61,75
view__ve0.5_minus_view__a0.5,False,0.95,0.652199702945877,-0.8647195800622856,2.1752796163056143,-0.05830353272448398,-0.06658069024879495,-0.04997278162205763,6030,518,470
view__ve0.75_minus_view__a0.75,False,0.95,1.3398182341625708,-0.01579463093796286,2.7152180604989686,-0.0006771699408953777,-0.00609922331751374,0.004870637886585348,6030,463,395
view__ve1.5_minus_view__a1.5,False,0.95,0.0009219570143770284,-1.1260408589559516,1.110081162805343,0.006764236019364444,0.0030779906941694394,0.010451585138442911,6030,349,344
view__ve2_minus_view__a2,False,0.95,-0.5824316471777169,-1.6034309828719493,0.416984993968314,0.0017830479307246916,-0.0015135816368087051,0.0050338627460709,6030,291,314
view__ve3_minus_view__a3,False,0.95,-0.8002035570930155,-1.6555412194067396,0.08840560832654645,-0.008391259794872714,-0.011446949067433126,-0.00523828908953086,6030,214,250
view__ve4_minus_view__a4,False,0.95,-1.7463553280748723,-2.6167565732032885,-0.8791280651710328,-0.014647855757828626,-0.017836781779366023,-0.011372332171466003,6030,198,279
view__ve8_minus_view__a8,False,0.95,-1.7066734679794138,-2.6422473365617094,-0.7791980496849622,-0.03675063690431391,-0.040980934522596865,-0.03252218667434504,6030,226,304
