acc_correct,acc_correct_sd,acc_erroneous,acc_erroneous_sd,cal_f1,cal_f1_sd,f1,f1_sd,model,n,n_splits,sla,sla_sd,sla_tol1,sla_tol1_sd,subset,system,tau,tau_sd
0.46649839187070236,0.0677954508464225,0.1902669450083609,0.022870211606283445,0.27933306176386297,0.015484904494517528,0.26668252259633773,0.01811856298238466,llama31_8b,1000,100,0.1902669450083609,0.022870211606283445,0.417835391093978,0.03576133195865872,math,mindgap_control,0.5748606250212849,0.01342652825192652
0.5272797336948002,0.06807327748048722,0.21809333465641706,0.02092434357411867,0.32101287827563046,0.015677693120673734,0.30581187564677864,0.0158982819082625,llama31_8b,1000,100,0.21809333465641706,0.02092434357411867,0.46472430634909734,0.0342960215513169,math,candidate_detector__baseline_max_entropy,-0.18518744853544894,0.04030411794091323
0.5277088825339691,0.06468098958973235,0.17698890163891604,0.01823352743364404,0.2731947598028002,0.017264873445923885,0.26292331883320014,0.017089534244467183,llama31_8b,1000,100,0.17698890163891604,0.01823352743364404,0.38826004072381276,0.025705099671739794,math,candidate_detector__baseline_min_token_prob,-0.18746657652234652,0.03855826031434767
0.5795507601879657,0.06024142039054518,0.2085366179845538,0.020158035615745674,0.31546794496641206,0.01910415663476975,0.3049219475650063,0.0190922270784836,llama31_8b,1000,100,0.2085366179845538,0.020158035615745674,0.4762721741191859,0.031018601011687734,math,candidate_detector__baseline_entropy_cusum,-0.15280703298820078,0.03153075554280432
0.5873203242893628,0.06344168133868913,0.18847721576477997,0.019038039549872366,0.29484678584323837,0.018398185347219022,0.28361291561565194,0.019624128314958186,llama31_8b,1000,100,0.18847721576477997,0.019038039549872366,0.4188103248364004,0.028261276417404682,math,candidate_detector__baseline_change_point,-0.148066311777572,0.03264527087325781
0.4155586704564279,0.07279422335375062,0.12474241665006204,0.01757584967402019,0.2002138153644334,0.015911678163433415,0.18930743679570905,0.017387769702120016,llama31_8b,1000,100,0.12474241665006204,0.01757584967402019,0.42551872899299203,0.02959478086749737,math,candidate_detector__baseline_random,-0.27192326123252203,0.0508393486249283
0.4052099002721625,0.14001196027042653,0.04398676368753589,0.009675358752547814,0.08603948162508257,0.013696822866903543,0.07753735764574624,0.014274347875161835,llama31_8b,1000,100,0.04398676368753589,0.009675358752547814,0.18634058257348263,0.02651806652492774,math,candidate_detector__baseline_last_step,-0.28293506881927927,0.09914174006428475
0.5082498305469113,0.06557439491949961,0.1963278492758244,0.019507385720939668,0.29089621384460596,0.015563550675738187,0.28077581793677997,0.016715955926393418,llama31_8b,1000,100,0.1963278492758244,0.019507385720939668,0.4100926314520406,0.027364413279789012,olympiadbench,gl_liu_v1_frozen,-0.16725171492246266,0.0301442175762529
0.5013170417324998,0.06585916557382823,0.2011222181356823,0.018202960159586452,0.2934374237844001,0.015686699893380392,0.2847187034498283,0.015880261917998306,llama31_8b,1000,100,0.2011222181356823,0.018202960159586452,0.4165773115998559,0.026854309371079257,olympiadbench,unified_core_five_dufs,-0.16946304613886068,0.028673826416530775
0.3980624786856014,0.07258897225178065,0.16742238527201397,0.02269327444625192,0.24604372883016393,0.01636128747005159,0.23176614190096217,0.01891332124923985,llama31_8b,1000,100,0.16742238527201397,0.02269327444625192,0.35928962548229876,0.04123805187958702,olympiadbench,mindgap_control,0.647723380114395,0.012613149845004641
