cell_id,endpoint_auroc_64_128,family,method,missing_stream
processbench_gsm8k__qwen25_15b,0.6428571428571428,gsm8k,dyn_persist6_iu,sw_var_peak
processbench_gsm8k__qwen25_15b,0.7857142857142857,gsm8k,dyn_change6_iu,cusum_max
processbench_gsm8k__qwen25_15b,0.6173469387755102,gsm8k,dyn_change6_iu,sw_var_peak
processbench_gsm8k__qwen2_7b,0.7375,gsm8k,dyn_level4_iu,cusum_max
processbench_gsm8k__qwen2_7b,0.721875,gsm8k,dyn_level4_iu,sw_var_peak
processbench_gsm8k__qwen2_7b,0.73125,gsm8k,dyn_persist6_iu,cusum_max
processbench_gsm8k__qwen2_7b,0.715625,gsm8k,dyn_persist6_iu,sw_var_peak
processbench_gsm8k__qwen2_7b,0.6625000000000001,gsm8k,dyn_change6_iu,cusum_max
processbench_gsm8k__qwen2_7b,0.6125,gsm8k,dyn_change6_iu,sw_var_peak
processbench_math__llama31_8b,0.6990662139219015,math,dyn_level4_iu,cusum_max
processbench_math__llama31_8b,0.6842105263157894,math,dyn_level4_iu,sw_var_peak
processbench_math__llama31_8b,0.7007640067911716,math,dyn_persist6_iu,cusum_max
processbench_math__llama31_8b,0.6816638370118846,math,dyn_persist6_iu,sw_var_peak
processbench_math__llama31_8b,0.6808149405772496,math,dyn_change6_iu,cusum_max
processbench_math__llama31_8b,0.5585738539898133,math,dyn_change6_iu,sw_var_peak
processbench_math__qwen25math_7b,0.6888111888111887,math,dyn_level4_iu,cusum_max
processbench_math__qwen25math_7b,0.6372377622377623,math,dyn_level4_iu,sw_var_peak
processbench_math__qwen25math_7b,0.6853146853146853,math,dyn_persist6_iu,cusum_max
processbench_math__qwen25math_7b,0.6372377622377623,math,dyn_persist6_iu,sw_var_peak
processbench_math__qwen25math_7b,0.6258741258741258,math,dyn_change6_iu,cusum_max
processbench_math__qwen25math_7b,0.5882867132867133,math,dyn_change6_iu,sw_var_peak
processbench_olympiadbench__llama31_8b,0.6297297297297297,olympiadbench,dyn_level4_iu,cusum_max
processbench_olympiadbench__llama31_8b,0.6354354354354355,olympiadbench,dyn_level4_iu,sw_var_peak
processbench_olympiadbench__llama31_8b,0.6192192192192192,olympiadbench,dyn_persist6_iu,cusum_max
processbench_olympiadbench__llama31_8b,0.6222222222222222,olympiadbench,dyn_persist6_iu,sw_var_peak
processbench_olympiadbench__llama31_8b,0.6435435435435435,olympiadbench,dyn_change6_iu,cusum_max
processbench_olympiadbench__llama31_8b,0.5816816816816817,olympiadbench,dyn_change6_iu,sw_var_peak
processbench_olympiadbench__qwen25math_7b,0.6040723981900452,olympiadbench,dyn_level4_iu,cusum_max
processbench_olympiadbench__qwen25math_7b,0.6187782805429864,olympiadbench,dyn_level4_iu,sw_var_peak
processbench_olympiadbench__qwen25math_7b,0.6097285067873304,olympiadbench,dyn_persist6_iu,cusum_max
processbench_olympiadbench__qwen25math_7b,0.5999245852187028,olympiadbench,dyn_persist6_iu,sw_var_peak
processbench_olympiadbench__qwen25math_7b,0.6006787330316742,olympiadbench,dyn_change6_iu,cusum_max
processbench_olympiadbench__qwen25math_7b,0.5904977375565611,olympiadbench,dyn_change6_iu,sw_var_peak
processbench_omnimath__llama31_8b,0.6420525657071339,omnimath,dyn_level4_iu,cusum_max
processbench_omnimath__llama31_8b,0.4931163954943679,omnimath,dyn_level4_iu,sw_var_peak
processbench_omnimath__llama31_8b,0.6548811013767208,omnimath,dyn_persist6_iu,cusum_max
processbench_omnimath__llama31_8b,0.481226533166458,omnimath,dyn_persist6_iu,sw_var_peak
processbench_omnimath__llama31_8b,0.6163954943679599,omnimath,dyn_change6_iu,cusum_max
processbench_omnimath__llama31_8b,0.5009386733416771,omnimath,dyn_change6_iu,sw_var_peak
processbench_omnimath__qwen25math_7b,0.5394112060778727,omnimath,dyn_level4_iu,cusum_max
processbench_omnimath__qwen25math_7b,0.5565052231718899,omnimath,dyn_level4_iu,sw_var_peak
processbench_omnimath__qwen25math_7b,0.51994301994302,omnimath,dyn_persist6_iu,cusum_max
processbench_omnimath__qwen25math_7b,0.5360873694207027,omnimath,dyn_persist6_iu,sw_var_peak
processbench_omnimath__qwen25math_7b,0.5527065527065527,omnimath,dyn_change6_iu,cusum_max
processbench_omnimath__qwen25math_7b,0.5365622032288699,omnimath,dyn_change6_iu,sw_var_peak
