domain,cell_key,n,subset,method,n_feats,auroc,lo,hi,flipped
rag,Qwen-7B/2wikimultihopqa,192,ALL_H16,lsml,16,0.5554,0.3379,0.7723,False
rag,Qwen-7B/2wikimultihopqa,192,ALL_H16,upcr,16,0.6742,0.5046,0.8091,False
rag,Qwen-7B/narrativeqa,235,consensus_4,lsml,4,0.6632,0.5555,0.7723,False
rag,Qwen-7B/narrativeqa,235,consensus_4,upcr,4,0.6335,0.51,0.7555,False
rag,Qwen-7B/narrativeqa,235,GOOD_5,lsml,5,0.6496,0.5341,0.7647,False
rag,Qwen-7B/narrativeqa,235,GOOD_5,upcr,5,0.6489,0.5343,0.7658,False
rag,Qwen-7B/narrativeqa,235,STABLE_H9,lsml,9,0.6032,0.4895,0.7251,False
rag,Qwen-7B/narrativeqa,235,STABLE_H9,upcr,9,0.6592,0.5468,0.7717,False
rag,Qwen-7B/narrativeqa,235,ALL_H16,lsml,16,0.6285,0.5135,0.7496,False
rag,Qwen-7B/narrativeqa,235,ALL_H16,upcr,16,0.6686,0.5592,0.7794,False
rag,Mistral-24B/hotpotqa,46,consensus_4,lsml,4,0.629,0.4405,0.794,True
rag,Mistral-24B/hotpotqa,46,consensus_4,upcr,4,0.5933,0.396,0.7662,False
rag,Mistral-24B/hotpotqa,46,GOOD_5,lsml,5,0.6052,0.4106,0.7896,False
rag,Mistral-24B/hotpotqa,46,GOOD_5,upcr,5,0.6171,0.4266,0.7948,False
rag,Mistral-24B/hotpotqa,46,STABLE_H9,lsml,9,0.6032,0.4041,0.7914,False
rag,Mistral-24B/hotpotqa,46,STABLE_H9,upcr,9,0.6131,0.415,0.8076,False
rag,Mistral-24B/hotpotqa,46,ALL_H16,lsml,16,0.631,0.4411,0.8014,False
rag,Mistral-24B/hotpotqa,46,ALL_H16,upcr,16,0.5536,0.3773,0.725,True
rag,Mistral-24B/natural-questions,44,consensus_4,lsml,4,0.6857,0.4763,0.8698,True
rag,Mistral-24B/natural-questions,44,consensus_4,upcr,4,0.6444,0.4132,0.8381,False
rag,Mistral-24B/natural-questions,44,GOOD_5,lsml,5,0.3746,0.1778,0.5824,True
rag,Mistral-24B/natural-questions,44,GOOD_5,upcr,5,0.654,0.4122,0.8677,False
rag,Mistral-24B/natural-questions,44,STABLE_H9,lsml,9,0.3968,0.1745,0.6389,False
rag,Mistral-24B/natural-questions,44,STABLE_H9,upcr,9,0.5206,0.282,0.7683,False
rag,Mistral-24B/natural-questions,44,ALL_H16,lsml,16,0.4032,0.1487,0.6732,False
rag,Mistral-24B/natural-questions,44,ALL_H16,upcr,16,0.4413,0.1944,0.7112,False
rag,Mistral-24B/2wikimultihopqa,47,consensus_4,lsml,4,0.4979,0.3308,0.6571,False
rag,Mistral-24B/2wikimultihopqa,47,consensus_4,upcr,4,0.5188,0.3384,0.6884,False
rag,Mistral-24B/2wikimultihopqa,47,GOOD_5,lsml,5,0.4625,0.2964,0.6275,False
rag,Mistral-24B/2wikimultihopqa,47,GOOD_5,upcr,5,0.4396,0.2748,0.6089,False
rag,Mistral-24B/2wikimultihopqa,47,STABLE_H9,lsml,9,0.4146,0.2586,0.5793,False
rag,Mistral-24B/2wikimultihopqa,47,STABLE_H9,upcr,9,0.6229,0.4503,0.7805,False
rag,Mistral-24B/2wikimultihopqa,47,ALL_H16,lsml,16,0.4229,0.2593,0.5938,True
rag,Mistral-24B/2wikimultihopqa,47,ALL_H16,upcr,16,0.675,0.4923,0.8507,False
rag,Mistral-24B/narrativeqa,238,consensus_4,lsml,4,0.6034,0.4787,0.7273,False
rag,Mistral-24B/narrativeqa,238,consensus_4,upcr,4,0.6161,0.4942,0.7235,False
rag,Mistral-24B/narrativeqa,238,GOOD_5,lsml,5,0.6158,0.4989,0.7369,False
rag,Mistral-24B/narrativeqa,238,GOOD_5,upcr,5,0.6006,0.4828,0.723,False
rag,Mistral-24B/narrativeqa,238,STABLE_H9,lsml,9,0.5285,0.4149,0.6428,False
rag,Mistral-24B/narrativeqa,238,STABLE_H9,upcr,9,0.6202,0.5087,0.7331,False
rag,Mistral-24B/narrativeqa,238,ALL_H16,lsml,16,0.5679,0.4542,0.6802,False
rag,Mistral-24B/narrativeqa,238,ALL_H16,upcr,16,0.5832,0.49,0.6796,False
rag,Qwen-72B/hotpotqa,169,consensus_4,lsml,4,0.7361,0.6314,0.8332,False
rag,Qwen-72B/hotpotqa,169,consensus_4,upcr,4,0.7071,0.5921,0.8086,False
rag,Qwen-72B/hotpotqa,169,GOOD_5,lsml,5,0.7179,0.6046,0.8154,False
rag,Qwen-72B/hotpotqa,169,GOOD_5,upcr,5,0.702,0.5824,0.8058,False
rag,Qwen-72B/hotpotqa,169,STABLE_H9,lsml,9,0.7093,0.5899,0.8124,False
rag,Qwen-72B/hotpotqa,169,STABLE_H9,upcr,9,0.6832,0.5635,0.7878,False
rag,Qwen-72B/hotpotqa,169,ALL_H16,lsml,16,0.7617,0.6617,0.85,False
rag,Qwen-72B/hotpotqa,169,ALL_H16,upcr,16,0.7238,0.6134,0.8263,False
rag,Qwen-72B/natural-questions,171,consensus_4,lsml,4,0.6089,0.4698,0.7399,False
rag,Qwen-72B/natural-questions,171,consensus_4,upcr,4,0.6354,0.5248,0.7543,False
rag,Qwen-72B/natural-questions,171,GOOD_5,lsml,5,0.6495,0.527,0.7736,False
rag,Qwen-72B/natural-questions,171,GOOD_5,upcr,5,0.655,0.5392,0.777,False
rag,Qwen-72B/natural-questions,171,STABLE_H9,lsml,9,0.655,0.546,0.7677,False
rag,Qwen-72B/natural-questions,171,STABLE_H9,upcr,9,0.6367,0.5238,0.7537,False
rag,Qwen-72B/natural-questions,171,ALL_H16,lsml,16,0.6373,0.4926,0.788,False
rag,Qwen-72B/natural-questions,171,ALL_H16,upcr,16,0.6263,0.4891,0.7645,False
rag,Qwen-72B/2wikimultihopqa,198,consensus_4,lsml,4,0.5409,0.3878,0.687,False
