domain,cell,size,lsml,flat,avg,upcr
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5569,0.556,0.5233,0.5242
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.6003,0.5935,0.5444,0.456
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5838,0.58,0.5164,0.5658
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5474,0.5449,0.5268,0.5101
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5572,0.5518,0.4729,0.59
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5449,0.5425,0.5437,0.5567
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5636,0.5499,0.4847,0.4707
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5585,0.549,0.5308,0.5478
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.579,0.5644,0.5129,0.585
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5567,0.5521,0.4971,0.5321
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5424,0.5454,0.5513,0.5383
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5628,0.5531,0.4753,0.5342
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.6012,0.5894,0.4783,0.5668
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.6049,0.6004,0.524,0.5767
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5567,0.5535,0.4518,0.5304
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5708,0.5681,0.4736,0.5301
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.6081,0.5947,0.4926,0.5997
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5619,0.5614,0.5864,0.5744
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5469,0.5467,0.5625,0.554
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5544,0.5535,0.5661,0.5679
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5617,0.5575,0.5443,0.5632
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5706,0.5646,0.5286,0.5611
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5606,0.5603,0.5392,0.5511
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5585,0.5613,0.5367,0.5528
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5703,0.5633,0.5454,0.554
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5554,0.5589,0.5301,0.5432
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5792,0.5746,0.5289,0.5519
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5729,0.5664,0.5397,0.5665
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5644,0.5632,0.5347,0.554
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5586,0.5644,0.5119,0.5439
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5794,0.5768,0.494,0.5593
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5394,0.5374,0.5561,0.5432
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5424,0.5418,0.5468,0.5424
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5426,0.544,0.5344,0.5504
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5599,0.5479,0.5339,0.5474
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5582,0.5485,0.5268,0.5471
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5539,0.5506,0.5768,0.5624
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5626,0.5629,0.5706,0.5667
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5292,0.5421,0.5386,0.5482
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5599,0.555,0.5303,0.5428
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5643,0.5586,0.5169,0.5428
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5492,0.5496,0.5204,0.5414
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5656,0.5681,0.5138,0.5635
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5651,0.575,0.4671,0.5661
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5611,0.5621,0.5181,0.5628
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5432,0.5414,0.5289,0.5447
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5517,0.5513,0.5503,0.5486
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5501,0.546,0.5582,0.5585
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5421,0.5414,0.5497,0.5489
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5583,0.5597,0.5504,0.5642
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5539,0.5519,0.53,0.5503
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.586,0.5786,0.5199,0.5708
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5519,0.5547,0.5103,0.536
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5607,0.5621,0.5008,0.5168
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5587,0.5589,0.5249,0.5444
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5739,0.5749,0.5503,0.5636
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5996,0.5886,0.5181,0.5464
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5458,0.5436,0.5451,0.5363
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5421,0.541,0.5458,0.5425
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5489,0.5471,0.5425,0.5394
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5492,0.5454,0.535,0.5354
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5531,0.5507,0.5317,0.55
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5501,0.5624,0.551,0.5649
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5399,0.5365,0.4968,0.5407
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5994,0.6001,0.5129,0.5774
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,7,0.5657,0.5703,0.5047,0.5072
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5636,0.5569,0.5467,0.5501
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5646,0.5612,0.5215,0.5542
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5539,0.554,0.5371,0.5589
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5583,0.5579,0.5632,0.5693
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.565,0.554,0.535,0.5399
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5589,0.5557,0.529,0.5465
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5697,0.5635,0.5411,0.5471
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5607,0.5576,0.5471,0.5476
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5747,0.569,0.5594,0.5544
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5365,0.5349,0.5583,0.5428
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5368,0.5369,0.5358,0.5249
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5443,0.5376,0.5603,0.5418
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5524,0.5504,0.5185,0.5465
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5442,0.5404,0.5437,0.5454
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5572,0.5507,0.5772,0.5607
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5439,0.5418,0.5669,0.5517
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5481,0.5474,0.5443,0.5414
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5472,0.5469,0.4568,0.5085
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5585,0.5508,0.5453,0.5451
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5422,0.5458,0.5464,0.5428
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5733,0.5607,0.5333,0.5465
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5735,0.5651,0.5249,0.5533
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5581,0.5578,0.509,0.5403
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5617,0.5571,0.5611,0.5481
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5451,0.5507,0.5514,0.5371
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5486,0.5446,0.5254,0.5399
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5514,0.5456,0.5596,0.5522
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5574,0.5613,0.4732,0.4775
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5531,0.5533,0.5372,0.5564
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5561,0.5524,0.5306,0.5399
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5633,0.5596,0.5094,0.5439
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5987,0.5875,0.5244,0.5789
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5671,0.5713,0.554,0.5625
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5544,0.5649,0.5268,0.5482
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.564,0.5681,0.5565,0.5649
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.551,0.5404,0.5611,0.5464
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.54,0.5433,0.5257,0.5465
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.555,0.5507,0.5032,0.5361
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5453,0.5439,0.5411,0.5437
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5432,0.5461,0.5192,0.5365
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5583,0.5571,0.5024,0.5572
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5585,0.5574,0.5428,0.5597
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5483,0.5518,0.524,0.5342
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5471,0.5494,0.5565,0.5342
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5581,0.5553,0.5243,0.5479
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,8,0.5542,0.5542,0.5546,0.5428
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5496,0.5472,0.5375,0.5487
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5562,0.5519,0.5556,0.5574
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5564,0.5549,0.5517,0.5463
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5499,0.5467,0.5571,0.5596
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.576,0.5675,0.5032,0.5664
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5529,0.5532,0.5262,0.5568
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.555,0.5572,0.5319,0.5622
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5585,0.5543,0.5554,0.5465
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5701,0.5597,0.5349,0.5515
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.584,0.5794,0.5383,0.5617
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5688,0.571,0.5228,0.5608
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5663,0.5696,0.5112,0.5597
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5607,0.5603,0.495,0.5428
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5381,0.5351,0.554,0.5369
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.551,0.549,0.4978,0.5314
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5436,0.5424,0.5269,0.5403
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.559,0.5535,0.4967,0.5489
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5481,0.5414,0.5314,0.5443
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5562,0.5561,0.4971,0.5689
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5614,0.5551,0.5536,0.5613
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5604,0.5649,0.5444,0.5669
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.569,0.5731,0.5117,0.5494
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5439,0.5413,0.5429,0.546
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,9,0.5533,0.5528,0.5257,0.5162
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5544,0.5494,0.5517,0.5513
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5533,0.5486,0.5633,0.5597
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5543,0.5583,0.5575,0.5554
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5668,0.564,0.5233,0.5524
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5665,0.5717,0.5217,0.559
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5543,0.551,0.5674,0.5635
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.559,0.5547,0.5225,0.5533
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5612,0.5643,0.5322,0.5647
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,10,0.5611,0.5613,0.5508,0.5439
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,11,0.5564,0.5478,0.5633,0.5603
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,11,0.5512,0.5524,0.5553,0.554
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,12,0.5596,0.5563,0.5269,0.5443
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,13,0.5596,0.5578,0.5399,0.5482
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,13,0.5638,0.5637,0.5399,0.5514
gpqa,Llama-8B_T1.0,3,0.5457,0.555,0.5513,0.4678
gpqa,Llama-8B_T1.0,3,0.4993,0.4984,0.4937,0.4787
gpqa,Llama-8B_T1.0,4,0.4684,0.4985,0.4774,0.4817
gpqa,Llama-8B_T1.0,4,0.4459,0.5533,0.5297,0.5511
gpqa,Llama-8B_T1.0,4,0.452,0.4505,0.548,0.552
gpqa,Llama-8B_T1.0,4,0.5666,0.5511,0.5139,0.4478
gpqa,Llama-8B_T1.0,4,0.5649,0.4481,0.5395,0.4597
gpqa,Llama-8B_T1.0,4,0.5519,0.5524,0.5424,0.5559
gpqa,Llama-8B_T1.0,4,0.4789,0.4963,0.4636,0.4869
gpqa,Llama-8B_T1.0,4,0.5157,0.5327,0.505,0.5366
gpqa,Llama-8B_T1.0,5,0.5327,0.5361,0.4802,0.5077
gpqa,Llama-8B_T1.0,5,0.4928,0.5195,0.5197,0.5217
gpqa,Llama-8B_T1.0,5,0.5439,0.5413,0.5064,0.5321
gpqa,Llama-8B_T1.0,5,0.5422,0.539,0.5083,0.502
gpqa,Llama-8B_T1.0,5,0.5234,0.5356,0.4917,0.482
gpqa,Llama-8B_T1.0,5,0.5491,0.5451,0.5317,0.4314
gpqa,Llama-8B_T1.0,5,0.5684,0.5542,0.4964,0.5018
gpqa,Llama-8B_T1.0,5,0.5697,0.5538,0.4992,0.5032
gpqa,Llama-8B_T1.0,5,0.569,0.445,0.4786,0.4573
gpqa,Llama-8B_T1.0,5,0.566,0.5552,0.5227,0.5547
gpqa,Llama-8B_T1.0,5,0.5361,0.5422,0.5312,0.5349
gpqa,Llama-8B_T1.0,5,0.5675,0.552,0.5206,0.5521
gpqa,Llama-8B_T1.0,5,0.5686,0.5539,0.5179,0.5517
gpqa,Llama-8B_T1.0,5,0.5684,0.5491,0.5191,0.553
gpqa,Llama-8B_T1.0,5,0.5709,0.5533,0.5247,0.5486
gpqa,Llama-8B_T1.0,5,0.5722,0.4502,0.5437,0.5487
gpqa,Llama-8B_T1.0,5,0.521,0.528,0.5189,0.5438
gpqa,Llama-8B_T1.0,5,0.545,0.5477,0.5152,0.4675
gpqa,Llama-8B_T1.0,5,0.4618,0.4609,0.5355,0.5473
gpqa,Llama-8B_T1.0,5,0.4621,0.4614,0.5329,0.5512
gpqa,Llama-8B_T1.0,5,0.5191,0.5118,0.4937,0.4558
gpqa,Llama-8B_T1.0,6,0.4716,0.4681,0.5563,0.5422
gpqa,Llama-8B_T1.0,6,0.5316,0.5154,0.5345,0.5258
gpqa,Llama-8B_T1.0,6,0.498,0.509,0.52,0.5381
gpqa,Llama-8B_T1.0,6,0.5319,0.5451,0.5133,0.4999
gpqa,Llama-8B_T1.0,6,0.463,0.4507,0.5532,0.4493
gpqa,Llama-8B_T1.0,6,0.48,0.4783,0.5421,0.4528
gpqa,Llama-8B_T1.0,6,0.5433,0.5521,0.5116,0.5427
gpqa,Llama-8B_T1.0,6,0.5362,0.5365,0.5094,0.505
gpqa,Llama-8B_T1.0,6,0.5356,0.5448,0.544,0.5443
gpqa,Llama-8B_T1.0,6,0.5342,0.5457,0.5192,0.4658
gpqa,Llama-8B_T1.0,6,0.5381,0.5476,0.5256,0.5476
gpqa,Llama-8B_T1.0,6,0.5332,0.5329,0.5011,0.5041
gpqa,Llama-8B_T1.0,6,0.4971,0.4753,0.5214,0.5306
gpqa,Llama-8B_T1.0,6,0.544,0.5418,0.53,0.5485
gpqa,Llama-8B_T1.0,6,0.5555,0.5526,0.5565,0.5537
gpqa,Llama-8B_T1.0,6,0.4843,0.4716,0.5257,0.4621
gpqa,Llama-8B_T1.0,6,0.5456,0.5453,0.5426,0.5411
gpqa,Llama-8B_T1.0,6,0.4448,0.5472,0.5476,0.553
gpqa,Llama-8B_T1.0,6,0.5374,0.5427,0.5431,0.5511
gpqa,Llama-8B_T1.0,6,0.5688,0.4485,0.4782,0.5305
gpqa,Llama-8B_T1.0,6,0.4522,0.4535,0.5348,0.4806
gpqa,Llama-8B_T1.0,6,0.5196,0.4681,0.505,0.5126
gpqa,Llama-8B_T1.0,6,0.5701,0.5511,0.5152,0.552
gpqa,Llama-8B_T1.0,6,0.5383,0.5332,0.5431,0.4588
gpqa,Llama-8B_T1.0,6,0.5352,0.5463,0.5266,0.5515
gpqa,Llama-8B_T1.0,6,0.565,0.4497,0.5244,0.4532
gpqa,Llama-8B_T1.0,6,0.5684,0.4501,0.5291,0.5487
gpqa,Llama-8B_T1.0,6,0.5437,0.5439,0.5348,0.5489
gpqa,Llama-8B_T1.0,6,0.5385,0.5459,0.4969,0.5434
