domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
math500,Qwen-Math-7B_T1.0,3,364,0.956,0.8582,0.9125,0.9309,0.9394,0.9468
math500,Qwen-Math-7B_T1.0,4,1001,0.9538,0.9039,0.9264,0.9363,0.9419,0.9481
math500,Qwen-Math-7B_T1.0,5,2002,0.9585,0.9107,0.9309,0.9386,0.943,0.9487
math500,Qwen-Math-7B_T1.0,6,3003,0.9572,0.9207,0.9351,0.9403,0.9439,0.9489
math500,Qwen-Math-7B_T1.0,7,3432,0.9549,0.9265,0.9365,0.941,0.9443,0.9486
math500,Qwen-Math-7B_T1.0,8,3003,0.9541,0.9287,0.9371,0.9414,0.9444,0.9485
math500,Qwen-Math-7B_T1.0,9,2002,0.9534,0.9315,0.9379,0.9416,0.9446,0.9482
math500,Qwen-Math-7B_T1.0,10,1001,0.9512,0.9334,0.9382,0.9417,0.9444,0.9475
math500,Qwen-Math-7B_T1.0,11,364,0.9507,0.9351,0.9385,0.9416,0.9441,0.9468
math500,Qwen-Math-7B_T1.0,12,91,0.9489,0.9365,0.9388,0.9412,0.943,0.9458
math500,Qwen-Math-7B_T1.0,13,14,0.9442,0.9379,0.9403,0.9417,0.942,0.9438
math500,Qwen-Math-7B_T1.0,14,1,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,3,560,0.8843,0.7153,0.7887,0.8396,0.8604,0.8716
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,4,1820,0.8853,0.7825,0.8319,0.8517,0.8626,0.8737
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,5,4368,0.885,0.8188,0.8444,0.8583,0.8661,0.8751
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,6,8008,0.8863,0.8306,0.8507,0.861,0.8673,0.8752
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,7,11440,0.8835,0.8371,0.8542,0.8625,0.8683,0.8754
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,8,12870,0.8837,0.8431,0.8567,0.8636,0.8691,0.8753
