world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-B,g,oracle,0.01,8,0.7136689814814814,0.007563456856902619,0.0022067901234567727,0.00011621741933949232,0.001986607087237397
P1-B,g,oracle,0.03,8,0.7183989197530865,0.007664103002417309,0.0069367283950617364,0.000279654521358456,0.006406900922079319
P1-B,g,oracle,0.1,8,0.7330825617283951,0.007716841752745642,0.02162037037037043,0.0004602359425613804,0.020748417200300205
P1-B,g,oracle,0.3,8,0.7659567901234567,0.008061753040467287,0.054494598765432084,0.0010152052071580092,0.05257121270017455
P1-B,g,oracle,1.0,8,0.8227623456790123,0.007962381888209191,0.11130015432098767,0.00255168473130312,0.10646578702212593
P1-B,g,permuted_consensus,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,permuted_consensus,0.01,8,0.7114699074074075,0.0074525053204172196,7.716049382724965e-06,2.6569600514094468e-05,-4.262214729706683e-05
P1-B,g,permuted_consensus,0.03,8,0.7114699074074073,0.007415814364879789,7.716049382724965e-06,6.968896789272971e-05,-0.0001243151781976451
P1-B,g,permuted_consensus,0.1,8,0.7115354938271605,0.0073603340345739275,7.330246913579697e-05,0.00015650325405372036,-0.00022320524762134734
P1-B,g,permuted_consensus,0.3,8,0.7115856481481482,0.00712949586801042,0.00012345679012347455,0.0004649062683042945,-0.0007573446791780756
P1-B,g,permuted_consensus,1.0,8,0.7118479938271605,0.006704426644694365,0.00038580246913581806,0.0010401345777853103,-0.001584814248350557
P1-B,g,projected_ridge,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,projected_ridge,0.01,8,0.7112114197530864,0.007468269746421369,-0.00025077160493822137,3.974755231943581e-05,-0.0003260764671673201
P1-B,g,projected_ridge,0.03,8,0.7108371913580247,0.007484314341193075,-0.0006250000000000006,7.137718065502721e-05,-0.0007602296793606594
P1-B,g,projected_ridge,0.1,8,0.7096103395061728,0.007573183422827225,-0.0018518518518518268,0.00018380215473627455,-0.0022000794817846154
P1-B,g,projected_ridge,0.3,8,0.7065972222222222,0.007699081321054598,-0.004864969135802408,0.0005456986606099401,-0.005898838143020273
P1-B,g,projected_ridge,1.0,8,0.7009567901234568,0.007966465603741911,-0.010505401234567877,0.0011890291897171366,-0.01275811049823347
P1-C,g,a_to_g,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,a_to_g,0.01,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,a_to_g,0.03,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,a_to_g,0.1,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,a_to_g,0.3,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,a_to_g,1.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,consensus,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,consensus,0.01,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,consensus,0.03,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,consensus,0.1,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,consensus,0.3,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,consensus,1.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,direct_a,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,direct_a,0.01,8,0.6990316358024691,0.009076919225869295,-0.002399691358024744,0.0001235600868561831,-0.0026337856550255317
P1-C,g,direct_a,0.03,8,0.694429012345679,0.009057982829075502,-0.007002314814814836,0.00034489655692760925,-0.007655748452539092
P1-C,g,direct_a,0.1,8,0.6797222222222221,0.008923627433416704,-0.02170910493827162,0.0007916260011180537,-0.02320890262322284
P1-C,g,direct_a,0.3,8,0.6480324074074075,0.008677772432542242,-0.0533989197530864,0.0020169079006681747,-0.05722011031012932
P1-C,g,direct_a,1.0,8,0.5963657407407408,0.008084174361270615,-0.1050655864197531,0.003796387872868455,-0.11225814166031282
P1-C,g,direct_g,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,direct_g,0.01,8,0.6989506172839506,0.009065887544549055,-0.0024807098765432523,0.0001396142020389597,-0.002745219956692979
P1-C,g,direct_g,0.03,8,0.6942515432098765,0.00906060363747446,-0.007179783950617288,0.00039122892300149254,-0.007920997897828321
P1-C,g,direct_g,0.1,8,0.6791087962962963,0.008862024760474593,-0.02232253086419754,0.0008828098934464824,-0.02399508360068303
P1-C,g,direct_g,0.3,8,0.6465393518518519,0.008563413373235271,-0.05489197530864197,0.002250132452681046,-0.05915502811211018
P1-C,g,direct_g,1.0,8,0.5935108024691358,0.007787119238895861,-0.10792052469135806,0.004286072948211404,-0.11604082679889442
P1-C,g,g_to_a,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,g_to_a,0.01,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,g_to_a,0.03,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,g_to_a,0.1,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,g_to_a,0.3,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,g_to_a,1.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,iu,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,iu,0.01,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,iu,0.03,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,iu,0.1,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,iu,0.3,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,iu,1.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,mmdufs_shared,0.0,8,0.7014313271604938,0.009084316874125314,0.0,0.0,0.0
P1-C,g,mmdufs_shared,0.01,8,0.698923611111111,0.00906900255532451,-0.002507716049382741,0.0001358863677826358,-0.002765163454507115
P1-C,g,mmdufs_shared,0.03,8,0.6941087962962962,0.009079905049326615,-0.007322530864197568,0.0003803293439765003,-0.008043094702183364
P1-C,g,mmdufs_shared,0.1,8,0.6785493827160494,0.008885529705877257,-0.02288194444444447,0.0008295880937226636,-0.02445366429784883
P1-C,g,mmdufs_shared,0.3,8,0.6456635802469135,0.00863594405626002,-0.055767746913580246,0.002208696632549416,-0.05995229629874271
