world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-A,g,permuted_consensus,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,permuted_consensus,0.01,2,0.8404320987654321,0.019444444444444372,0.00018518518518517713,6.172839506168869e-05,-0.0002045525626340189
P1-A,g,permuted_consensus,0.03,2,0.8403703703703704,0.019382716049382687,0.00012345679012348842,0.0,0.00012345679012348842
P1-A,g,permuted_consensus,0.1,2,0.8401234567901235,0.019259259259259198,-0.00012345679012348842,0.00012345679012348842,-0.0009029322857625816
P1-A,g,permuted_consensus,0.3,2,0.8398765432098766,0.019259259259259198,-0.00037037037037035425,0.00012345679012348842,-0.0011498458660094473
P1-A,g,permuted_consensus,1.0,2,0.8391358024691358,0.01888888888888884,-0.0011111111111111738,0.0004938271604938427,-0.004229013093666845
P1-A,g,projected_ridge,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,projected_ridge,0.01,2,0.8409876543209878,0.01913580246913582,0.0007407407407408195,0.00024691358024686577,-0.0008182102505366654
P1-A,g,projected_ridge,0.03,2,0.8436419753086419,0.018456790123456853,0.0033950617283950435,0.00092592592592583,-0.002451004488896052
P1-A,g,projected_ridge,0.1,2,0.8495679012345678,0.017839506172839525,0.009320987654320934,0.001543209876543161,-0.0004224560411649255
P1-A,g,projected_ridge,0.3,2,0.857283950617284,0.015555555555555543,0.017037037037037073,0.0038271604938271415,-0.007126703327768505
P1-A,g,projected_ridge,1.0,2,0.8620987654320988,0.013950617283950584,0.021851851851851845,0.005432098765432103,-0.012445069956259491
P1-B,g,a_to_g,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,a_to_g,0.01,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,a_to_g,0.03,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,a_to_g,0.1,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,a_to_g,0.3,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,a_to_g,1.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,consensus,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,consensus,0.01,2,0.6344444444444444,0.0020987654320987477,-0.0017283950617283939,0.0017283950617283939,-0.012641052000672894
P1-B,g,consensus,0.03,2,0.6320987654320986,0.0044444444444444176,-0.004074074074074063,0.004074074074074063,-0.02979676543015748
P1-B,g,consensus,0.1,2,0.6251234567901234,0.01141975308641968,-0.011049382716049327,0.011049382716049326,-0.08081243957572992
P1-B,g,consensus,0.3,2,0.6094444444444445,0.02709876543209866,-0.026728395061728305,0.026728395061728305,-0.19548483986754817
P1-B,g,consensus,1.0,2,0.5874074074074074,0.04913580246913573,-0.04876543209876538,0.04876543209876538,-0.35665825287612796
P1-B,g,direct_a,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,direct_a,0.01,2,0.6377160493827161,0.0008024691358025082,0.0015432098765433278,0.000432098765432154,-0.0011849543581931477
P1-B,g,direct_a,0.03,2,0.6410493827160495,0.00030864197530861004,0.0048765432098766825,6.172839506174421e-05,0.004486805462057136
P1-B,g,direct_a,0.1,2,0.6491975308641975,0.0003086419753086655,0.013024691358024754,6.172839506168869e-05,0.012634953610205557
P1-B,g,direct_a,0.3,2,0.6728395061728395,0.002592592592592591,0.036666666666666736,0.0029629629629629446,0.01795925477133341
P1-B,g,direct_a,1.0,2,0.7246296296296297,0.0032716049382716657,0.08845679012345692,0.0036419753086420203,0.06546226300210928
P1-B,g,direct_g,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,direct_g,0.01,2,0.6334567901234567,0.0011111111111111183,-0.0027160493827160237,0.0007407407407407639,-0.00739290235654953
P1-B,g,direct_g,0.03,2,0.6285185185185185,0.0008641975308642524,-0.007654320987654228,0.0004938271604938982,-0.01077222297021025
P1-B,g,direct_g,0.1,2,0.6139506172839506,0.0002469135802469213,-0.022222222222222088,0.00012345679012343289,-0.02300169771786083
P1-B,g,direct_g,0.3,2,0.5837654320987655,0.0014197530864196728,-0.05240740740740729,0.0010493827160493183,-0.05903294912033748
P1-B,g,direct_g,1.0,2,0.5370987654320988,0.0011728395061728625,-0.09907407407407398,0.0015432098765432165,-0.1088175177695602
P1-B,g,g_to_a,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,g_to_a,0.01,2,0.6344444444444444,0.0020987654320987477,-0.0017283950617283939,0.0017283950617283939,-0.012641052000672894
P1-B,g,g_to_a,0.03,2,0.6320987654320986,0.0044444444444444176,-0.004074074074074063,0.004074074074074063,-0.02979676543015748
P1-B,g,g_to_a,0.1,2,0.6251234567901234,0.01141975308641968,-0.011049382716049327,0.011049382716049326,-0.08081243957572992
P1-B,g,g_to_a,0.3,2,0.6094444444444445,0.02709876543209866,-0.026728395061728305,0.026728395061728305,-0.19548483986754817
P1-B,g,g_to_a,1.0,2,0.5874074074074074,0.04913580246913573,-0.04876543209876538,0.04876543209876538,-0.35665825287612796
P1-B,g,iu,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,iu,0.01,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,iu,0.03,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,iu,0.1,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,iu,0.3,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
