world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-B,g,iu,1.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,mmdufs_shared,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,mmdufs_shared,0.01,2,0.6361111111111111,0.0003086419753086655,-6.17283950616887e-05,6.172839506168869e-05,-0.0004514661428808847
P1-B,g,mmdufs_shared,0.03,2,0.6362345679012344,6.172839506174421e-05,6.172839506174421e-05,0.00043209876543209846,-0.002666435839674381
P1-B,g,mmdufs_shared,0.1,2,0.6364814814814814,0.0010493827160493738,0.00030864197530866555,0.0014197530864197283,-0.008655326224538452
P1-B,g,mmdufs_shared,0.3,2,0.6376543209876543,0.0033333333333334103,0.001481481481481528,0.003703703703703764,-0.021902783387685656
P1-B,g,mmdufs_shared,1.0,2,0.6383333333333333,0.00796296296296295,0.002160493827160548,0.008333333333333304,-0.05045410212846457
P1-B,g,nuisance_only,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,nuisance_only,0.01,2,0.6327160493827161,0.0011111111111110628,-0.0034567901234566767,0.0007407407407407084,-0.008133643097289832
P1-B,g,nuisance_only,0.03,2,0.6274074074074074,0.0002469135802469213,-0.008765432098765291,0.00012345679012343289,-0.009544907594404033
P1-B,g,nuisance_only,0.1,2,0.610679012345679,0.0003086419753086655,-0.025493827160493754,0.0006790123456790198,-0.029780942386507716
P1-B,g,nuisance_only,0.3,2,0.5756172839506173,0.0003086419753086655,-0.060555555555555474,0.0006790123456790198,-0.06484267078156944
P1-B,g,nuisance_only,1.0,2,0.5213580246913581,0.00395061728395063,-0.1148148148148147,0.004320987654320985,-0.14209645716217595
P1-B,g,oracle,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,oracle,0.01,2,0.6381481481481481,0.0006172839506173865,0.001975308641975426,0.00024691358024703236,0.0004163576506968894
P1-B,g,oracle,0.03,2,0.6418518518518519,0.0001234567901234329,0.005679012345679191,0.00024691358024692134,0.004120061354401355
P1-B,g,oracle,0.1,2,0.6530864197530863,0.0006172839506172755,0.01691358024691364,0.0009876543209876298,0.010677776281802647
