world,replicate,seed,direction,k,direction_accepted,decision_agreement,stability_cka,audit_row_permutation_statistic,audit_row_permutation_p,raw_pass,decision,nuisance_veto,structural_pass,transfer_statistic,transfer_p,residual_transfer_statistic,residual_transfer_p,nuisance_cka,nuisance_p,zero_degree_count,n_components,largest_component_fraction,degree_min,degree_mean,degree_max
P1-D,3,3230003,g_to_a,11,True,True,0.9283825457444754,-0.1481787647781215,0.56,True,True,False,True,36.58604343402089,0.005,36.47638613790682,0.005,-0.001113775377701125,0.63,0,1,1.0,2.4437512598857793,6.780847444299225,10.061709521059171
P1-D,3,3230003,a_to_g,5,True,True,0.9272593003970437,-0.2775889194050959,0.595,True,True,False,True,29.547752984688252,0.005,28.56829395172806,0.005,-0.00019984075106858258,0.49,0,1,1.0,0.9739475665898832,2.942831986020411,4.617976817441348
P1-D,3,3230003,a_to_g,7,True,True,0.9272593003970437,-0.2775889194050959,0.595,True,True,False,True,35.61788406329825,0.005,33.0849380699444,0.005,-0.00098559568411685,0.565,0,1,1.0,1.2775285324980803,4.221052009420156,6.717891878081444
P1-D,3,3230003,a_to_g,11,True,True,0.9272593003970437,-0.2775889194050959,0.595,True,True,False,True,40.20616690847055,0.005,40.87195408450291,0.005,-0.0051456464660843935,0.91,0,1,1.0,2.3766241224528946,6.793485448694005,9.897771354033116
P1-D,4,3230004,g_to_a,5,True,True,0.9283723682203724,0.46339309180464033,0.295,True,True,False,True,23.10248393463359,0.005,22.66166226976191,0.005,0.007858030535311927,0.05,0,1,1.0,1.045260427578461,2.951520892002163,5.006410914801296
P1-D,4,3230004,g_to_a,7,True,True,0.9283723682203724,0.46339309180464033,0.295,True,True,False,True,27.67552642991931,0.005,25.91920444810365,0.005,0.009674271551915515,0.005,0,1,1.0,1.4659346067368555,4.233603578055556,6.9738122741321
P1-D,4,3230004,g_to_a,11,True,True,0.9283723682203724,0.46339309180464033,0.295,True,True,False,True,33.945771582640866,0.005,31.679348500914532,0.005,0.010587773235417531,0.005,0,1,1.0,2.490987167547245,6.73739681523989,10.588604036215843
P1-D,4,3230004,a_to_g,5,True,True,0.9267402592332665,-0.4757400236215408,0.72,True,True,False,True,26.807465300563045,0.005,27.448957341007514,0.005,-0.004123329270942652,0.845,0,1,1.0,1.0752720477781033,2.9566781791859453,4.586584473121404
P1-D,4,3230004,a_to_g,7,True,True,0.9267402592332665,-0.4757400236215408,0.72,True,True,False,True,29.607590522313533,0.005,30.945681756429877,0.005,-0.003898441459699286,0.82,0,1,1.0,1.6060636307111704,4.188265074493236,6.444916901358198
P1-D,4,3230004,a_to_g,11,True,True,0.9267402592332665,-0.4757400236215408,0.72,True,True,False,True,41.33235556456538,0.005,42.562415382051555,0.005,0.0004547846796700762,0.44,0,1,1.0,2.5202476783604024,6.717885126402378,9.978490603224262
P1-D,5,3230005,g_to_a,5,True,True,0.9292909891134933,0.04699173331510468,0.435,True,True,False,True,29.45123071705944,0.005,28.653603235338323,0.005,0.0001476417873779609,0.455,0,1,1.0,0.5737882629210541,2.9348913778040635,4.805725470129508
P1-D,5,3230005,g_to_a,7,True,True,0.9292909891134933,0.04699173331510468,0.435,True,True,False,True,33.50518680849043,0.005,32.995589288013804,0.005,-0.00096440518245389,0.575,0,1,1.0,1.2689294499664538,4.186870712544273,6.213110707519919
P1-D,5,3230005,g_to_a,11,True,True,0.9292909891134933,0.04699173331510468,0.435,True,True,False,True,40.98812141444316,0.005,43.32199201697109,0.005,0.0031060314633681836,0.23,0,1,1.0,2.1174546061243875,6.727064910376427,9.750264825485566
P1-D,5,3230005,a_to_g,5,True,True,0.9276439478369831,0.04781279514487862,0.51,True,True,False,True,24.725023540367232,0.005,25.091256640700756,0.005,-0.0025136478177371843,0.685,0,1,1.0,1.0517735588132573,2.954326272796606,4.966084468595133
P1-D,5,3230005,a_to_g,7,True,True,0.9276439478369831,0.04781279514487862,0.51,True,True,False,True,30.859417995306185,0.005,30.94899115572591,0.005,-0.003749191194174625,0.785,0,1,1.0,1.4158981820960856,4.2173722085867045,6.349680650165403
P1-D,5,3230005,a_to_g,11,True,True,0.9276439478369831,0.04781279514487862,0.51,True,True,False,True,41.08838085523201,0.005,39.19231294627818,0.005,-0.0017899254527575274,0.64,0,1,1.0,2.3576284013785083,6.720099899881191,9.558321409204762
P1-D,6,3230006,g_to_a,5,True,True,0.9278044304982611,-0.6695014186650914,0.75,True,True,False,True,27.332848720176955,0.005,27.281349459869478,0.005,-0.0017662913277743247,0.715,0,1,1.0,0.9270021926520708,2.922049591933612,5.106371572345951
P1-D,6,3230006,g_to_a,7,True,True,0.9278044304982611,-0.6695014186650914,0.75,True,True,False,True,30.837201514690637,0.005,29.649147195619424,0.005,-0.002455422817781314,0.75,0,1,1.0,1.431200654065484,4.197787632626066,6.381309500998718
P1-D,6,3230006,g_to_a,11,True,True,0.9278044304982611,-0.6695014186650914,0.75,True,True,False,True,41.549934033143565,0.005,39.60268035547037,0.005,-0.0012581282835116613,0.635,0,1,1.0,2.7806632415183867,6.747763133082006,10.19402571728926
P1-D,6,3230006,a_to_g,5,True,True,0.9265403513942034,1.134022192122298,0.125,True,True,False,True,28.665054857206236,0.005,29.30411412840549,0.005,0.004312189540886981,0.165,0,1,1.0,1.1946610250970604,2.9566868128779697,4.8992987604055
