cell,dataset_family,iu_auroc,iu_delta_pp,cardinality_auroc,cardinality_delta_pp,selected_auroc,selected_delta_pp,same_graph_u2_auroc,same_graph_u2_delta_pp,same_graph_cs_auroc,same_graph_cs_delta_pp,dufs_same_readout_auroc,dufs_same_readout_delta_pp,contribution_graph_auroc,contribution_graph_delta_pp,row_permuted_residual_graph_auroc,row_permuted_residual_graph_delta_pp,node_permuted_graph_auroc,node_permuted_graph_delta_pp,random_family_graph_auroc,random_family_graph_delta_pp,length_only_graph_auroc,length_only_graph_delta_pp,baseline_only_graph_auroc,baseline_only_graph_delta_pp,residual_only_graph_auroc,residual_only_graph_delta_pp,score_diffusion_auroc,score_diffusion_delta_pp,mutual_graph_auroc,mutual_graph_delta_pp
lapeigvals_gsm8k_llama3b,gsm8k,0.6947338043771702,0.0,0.7066192830079779,1.1885478630807689,0.694673294793383,-0.006050958378722715,0.694673294793383,-0.006050958378722715,0.6945034025004422,-0.023040187672807022,0.6949106785451634,0.017687416799316846,0.6949735154206347,0.023971104346443006,0.694731477085486,-0.0002327291684256494,0.6946663129183306,-0.0067491458839663565,0.6947454408355909,0.0011636458420616336,0.6942520549985571,-0.04817493786131166,0.6947268225021178,-0.0006981875052436415,0.694673294793383,-0.006050958378722715,0.6950037702125282,0.026996583535798813,0.6946616583349624,-0.007214604220784349
lapeigvals_gsm8k_llama8b,gsm8k,0.8180598927055809,0.0,0.8121146609015932,-0.594523180398765,0.8181199455520859,0.006005284650500986,0.8181199455520859,0.006005284650500986,0.8184001921691088,0.03402994635278711,0.8181599807830892,0.010008807750827575,0.8180598927055809,0.0,0.8180598927055809,0.0,0.8180598927055809,0.0,0.8180398750900794,-0.0020017615501521924,0.8181399631675875,0.00800704620066428,0.8181199455520859,0.006005284650500986,0.8181199455520859,0.006005284650500986,0.8191608615581711,0.11009688525902561,0.8180999279365841,0.004003523100326589
lapeigvals_gsm8k_mistral24b,gsm8k,0.8466525134581848,0.0,0.8630297975585716,1.6377284100386746,0.8466373493062401,-0.0015164151944691007,0.8466373493062401,-0.0015164151944691007,0.8462885738115096,-0.03639396466752487,0.8466904238380468,0.0037910379862005072,0.8467434983698536,0.009098491166881217,0.846713170065964,0.006065660777920812,0.8466525134581848,0.0,0.8466980059140192,0.004549245583440609,0.8465766926984609,-0.007582075972389912,0.8466904238380468,0.0037910379862005072,0.8466373493062401,-0.0015164151944691007,0.846334066267344,-0.03184471908408426,0.84663734930624,-0.001516415194480203
lapeigvals_gsm8k_nemo,gsm8k,0.7974812106439163,0.0,0.8081698151533618,1.0688604509445532,0.7974974608978265,0.0016250253910166101,0.7974974608978265,0.0016250253910166101,0.7971683932561445,-0.03128173877717799,0.7979727808247005,0.049157018078416215,0.7978509039203738,0.03696932764575278,0.7974730855169612,-0.0008125126955138562,0.7974649603900061,-0.0016250253910166101,0.797493398334349,0.0012187690432652332,0.7970424537883405,-0.0438756855575817,0.7974852732073938,0.000406256347751377,0.7974974608978265,0.0016250253910166101,0.7969490148283567,-0.05321958155596329,0.7974649603900061,-0.0016250253910166101
lapeigvals_gsm8k_phi35,gsm8k,0.809703717548216,0.0,0.817197554268016,0.7493836719799973,0.8095657668722576,-0.013795067595845367,0.8095657668722576,-0.013795067595845367,0.8078124582810455,-0.18912592671704864,0.809917318594861,0.021360104664502888,0.8097126175918262,0.0008900043610204911,0.809699267526411,-0.0004450021805046944,0.8096859174609956,-0.0017800087220409821,0.8095479667850373,-0.015575076317875247,0.8093121156293668,-0.03916019188492381,0.8096369672211394,-0.006675032707659234,0.8095657668722576,-0.013795067595845367,0.8092765154549257,-0.04272020932902798,0.809503466566986,-0.020025098122999907
noise_gsm8k_mistral7b,gsm8k,0.7856016259788752,0.0,0.7903701217184977,0.4768495739622569,0.7855924292657804,-0.0009196713094739017,0.7855924292657804,-0.0009196713094739017,0.7855395481654857,-0.006207781338951612,0.7857142857142856,0.011265973541041419,0.7856476095443488,0.0045983565473584065,0.7856016259788752,0.0,0.7856085235136961,0.0006897534820970996,0.7856039251571488,0.00022991782736569988,0.7854291876083488,-0.017243837052638433,0.7856223185833383,0.0020692604463135034,0.7855924292657804,-0.0009196713094739017,0.7852268599202644,-0.037476605861075374,0.7856039251571489,0.0002299178273768021
noise_gsm8k_phi3mini,gsm8k,0.6727700787753008,0.0,0.6806280823904844,0.7858003615183629,0.6726780254848139,-0.009205329048689315,0.6726780254848139,-0.009205329048689315,0.6722484434625426,-0.0521635312758173,0.6739807190198835,0.1210640244582728,0.6731159759880386,0.03458972127378113,0.6728035526991141,0.0033473923813254203,0.6727672892816496,-0.0002789493651178532,0.6727170783959295,-0.005300037937128188,0.6722121800450782,-0.05578987302226057,0.6728370266229273,0.0066947847626508405,0.6726780254848139,-0.009205329048689315,0.6728091316864164,0.0039052911115611266,0.6726138671308384,-0.015621164446244507
math500_dsmath7b,math500,0.7882463360046207,0.0,0.8006642119702548,1.241787596563415,0.7883907299111977,0.014439390657705609,0.7883907299111977,0.014439390657705609,0.7889683055375063,0.07219695328856135,0.7891126994440835,0.08663634394627806,0.7885351238177749,0.02887878131542232,0.7882463360046207,0.0,0.7883185329579092,0.007219695328852804,0.7883185329579091,0.007219695328841702,0.7878131542848893,-0.04331817197313903,0.7883907299111977,0.014439390657705609,0.7883907299111977,0.014439390657705609,0.7878853512381777,-0.03609847664429733,0.7882463360046206,-1.1102230246251565e-14
math500_qwenmath7b,math500,0.9307809330628803,0.0,0.9369295131845843,0.6148580121703939,0.9307175456389453,-0.006338742393507957,0.9307175456389453,-0.006338742393507957,0.9316049695740365,0.08240365111561454,0.9296399594320487,-0.11409736308316543,0.9302738336713995,-0.05070993914808586,0.9307809330628803,0.0,0.9307809330628803,0.0,0.9307175456389453,-0.006338742393507957,,,0.9307175456389453,-0.006338742393507957,0.9307175456389453,-0.006338742393507957,0.9326825557809331,0.190162271805272,0.9307175456389453,-0.006338742393507957
math500_r1distill8b,math500,0.8384046946316018,0.0,0.83307976526842,-0.5324929363181852,0.8384046946316018,0.0,0.8384046946316018,0.0,0.8386220386872418,0.02173440556400008,0.8384590306455119,0.005433601391002796,0.8384046946316018,0.0,0.8384590306455119,0.005433601391002796,0.8385133666594219,0.010867202782005592,0.8384046946316018,0.0,,,0.8385133666594219,0.010867202782005592,0.8384046946316018,0.0,0.8389480547707021,0.05433601391002796,0.8384046946316018,0.0
