baseline,cell_macro_delta_auroc,endpoint,equal_family_delta_auroc,family_ci_high,family_ci_low,family_losses,family_ties,family_wins,method,n_cells,n_dataset_families
iu28_no_length,-0.0015008251014086123,32,-0.005609877719941636,0.00431677412609347,-0.015536529565976741,3,0,2,global_gl_liu_no_length,11,5
deepconf_entropy_w64,-0.008805087629891028,32,-0.03299665762873234,0.02317368041081675,-0.11218265173688353,3,0,2,global_gl_liu_elapsed_length,11,5
iu28_no_length,-0.004452968781782433,32,-0.008409286864843385,0.002046022234206163,-0.021468616788846196,3,0,2,global_gl_liu_elapsed_length,11,5
deepconf_entropy_w64,-0.03251977035887963,32,-0.03457005721597046,-0.012361769739799893,-0.05626082881570151,4,0,1,local_temporal_gl_liu_max,11,5
iu28_no_length,-0.02816765151077104,32,-0.009982686452081497,0.0387778567123777,-0.04547982154176005,4,0,1,local_temporal_gl_liu_max,11,5
deepconf_entropy_w64,-0.032669314742247546,32,-0.033102865021270036,-0.018139310140079672,-0.04730010528384177,5,0,0,local_dufs_gl_liu_top5,11,5
iu28_no_length,-0.02831719589413895,32,-0.008515494257381078,0.05126550149125551,-0.04681959258795084,4,0,1,local_dufs_gl_liu_top5,11,5
deepconf_entropy_w64,-0.005884329568267116,32,-0.025476169209246224,0.0177947821725375,-0.08646601712162469,3,0,2,fused_gl_liu,11,5
iu28_no_length,-0.0015322107201585222,32,-0.0008887984453572612,0.0066529262926690175,-0.0078264692264011,3,0,2,fused_gl_liu,11,5
deepconf_entropy_w64,-0.036645773451985816,32,-0.03292238150931611,0.0025608558485321954,-0.06840561886716442,3,0,2,cusum_max,11,5
iu28_no_length,-0.032293654603877224,32,-0.008335010745427154,0.0415998636572862,-0.06058016066900496,3,0,2,cusum_max,11,5
deepconf_entropy_w64,-0.010520026677197843,32,-0.013679047100642041,0.0021115334063891737,-0.028959171998045197,4,0,1,sw_var_peak,11,5
iu28_no_length,-0.00616790782908925,32,0.010908323663246918,0.06491481142667216,-0.02249261360801835,4,0,1,sw_var_peak,11,5
deepconf_entropy_w64,-0.008865842355610736,32,-0.012623305875542848,0.002297569816511591,-0.028012932472985176,4,0,1,cusum_swvar_equal,11,5
iu28_no_length,-0.004513723507502141,32,0.011964064888346112,0.06537329614486584,-0.02019292512425545,4,0,1,cusum_swvar_equal,11,5
deepconf_entropy_w64,0.021883549938805105,64,0.016734032737579386,0.052804634603612885,-0.0219491481305067,1,0,4,global_gl_liu_no_length,11,5
iu28_no_length,-0.010062136390538035,64,-0.007720657831952948,0.02113594793640195,-0.04122080931197169,3,0,2,global_gl_liu_no_length,11,5
deepconf_entropy_w64,0.021985024610602876,64,0.018266348292782553,0.056188280624401676,-0.024206353267679996,1,0,4,global_gl_liu_elapsed_length,11,5
iu28_no_length,-0.009960661718740266,64,-0.0061883422767497805,0.02268892797163158,-0.03918336992308914,2,0,3,global_gl_liu_elapsed_length,11,5
deepconf_entropy_w64,-0.04261129705592097,64,-0.01939892642126097,0.0660649349384814,-0.0945459848670479,3,0,2,local_temporal_gl_liu_max,11,5
iu28_no_length,-0.0745569833852641,64,-0.0438536169907933,0.023743345478716326,-0.11759859606691761,3,0,2,local_temporal_gl_liu_max,11,5
deepconf_entropy_w64,-0.03680486044012063,64,-0.015996138456741534,0.04308513117270683,-0.0747676570239975,3,0,2,local_dufs_gl_liu_top5,11,5
iu28_no_length,-0.06875054676946378,64,-0.040450829026273866,0.0068194726680187445,-0.1057968068494617,3,0,2,local_dufs_gl_liu_top5,11,5
deepconf_entropy_w64,0.018677404322221557,64,0.024695740062035988,0.06807416422636495,-0.016658175890005223,1,0,4,fused_gl_liu,11,5
iu28_no_length,-0.013268282007121586,64,0.00024104949250365327,0.03841531663215706,-0.037933217647149756,2,0,3,fused_gl_liu,11,5
deepconf_entropy_w64,-0.034203992151143496,64,-0.013166125866758211,0.0495013855734322,-0.07583363730694861,2,0,3,cusum_max,11,5
iu28_no_length,-0.06614967848048664,64,-0.03762081643629055,0.027760036608063997,-0.10716969886909948,3,0,2,cusum_max,11,5
deepconf_entropy_w64,0.027020099931074227,64,0.022219805186437562,0.05226972938027139,-0.00544656553809787,2,0,3,sw_var_peak,11,5
iu28_no_length,-0.004925586398268914,64,-0.00223488538309477,0.00787223233228499,-0.013400478648802627,2,0,3,sw_var_peak,11,5
deepconf_entropy_w64,0.01834839162020844,64,0.0192049618283894,0.055486936257813535,-0.00622179248353763,2,0,3,cusum_swvar_equal,11,5
iu28_no_length,-0.013597294709134703,64,-0.005249728741142934,0.01362064014301173,-0.026859908873366166,2,0,3,cusum_swvar_equal,11,5
deepconf_entropy_w64,0.008670764132171242,128,0.00309442490340493,0.03974097684905338,-0.03355212704224352,2,0,3,global_gl_liu_no_length,11,5
iu28_no_length,-0.014388344673611235,128,-0.010680991291769993,0.004898165635841478,-0.02061189767967826,4,0,1,global_gl_liu_no_length,11,5
deepconf_entropy_w64,0.006101928958328718,128,-5.371961546524195e-06,0.04058965088071452,-0.04060039480380757,2,0,3,global_gl_liu_elapsed_length,11,5
iu28_no_length,-0.01695717984745376,128,-0.013780788156721447,-0.0022465381990036557,-0.02174429496408411,4,0,1,global_gl_liu_elapsed_length,11,5
deepconf_entropy_w64,-0.053154199429844666,128,-0.03354029846929096,0.03744467809982642,-0.09257625247436294,4,0,1,local_temporal_gl_liu_max,11,5
iu28_no_length,-0.07621330823562712,128,-0.04731571466446589,0.022904441166739654,-0.11753587049567142,3,0,2,local_temporal_gl_liu_max,11,5
deepconf_entropy_w64,-0.03238995312561192,128,-0.020404190356693004,0.020278058990903968,-0.05992891496893436,4,0,1,local_dufs_gl_liu_top5,11,5
iu28_no_length,-0.0554490619313944,128,-0.03417960655186793,0.010800199540042266,-0.07580006848637988,4,0,1,local_dufs_gl_liu_top5,11,5
deepconf_entropy_w64,0.007452713370666644,128,0.012273422745549305,0.04115022491085849,-0.016603379419759878,2,0,3,fused_gl_liu,11,5
iu28_no_length,-0.015606395435115833,128,-0.001501993449625616,0.04320263435281818,-0.02839674104512906,4,0,1,fused_gl_liu,11,5
deepconf_entropy_w64,-0.027649233976380205,128,-0.01445872890898085,0.022972667853486995,-0.05372683372453413,2,0,3,cusum_max,11,5
iu28_no_length,-0.05070834278216268,128,-0.028234145104155773,0.04247119513090073,-0.07089321895403311,4,0,1,cusum_max,11,5
deepconf_entropy_w64,0.007847813505895503,128,0.00957899358129668,0.043205931093205016,-0.01617747434122384,3,0,2,sw_var_peak,11,5
iu28_no_length,-0.015211295299886973,128,-0.0041964226138782425,0.03268689767349437,-0.03657440952392975,3,0,2,sw_var_peak,11,5
deepconf_entropy_w64,0.01063678646577947,128,0.012677013626499912,0.04392950004155438,-0.011430856678087742,2,1,2,cusum_swvar_equal,11,5
iu28_no_length,-0.012422322340003006,128,-0.001098402568675011,0.036039598434418556,-0.030423451806054103,3,0,2,cusum_swvar_equal,11,5
deepconf_entropy_w64,0.0006249189198473645,256,-0.00931258918816789,0.029332775653631276,-0.05532085365097779,2,0,3,global_gl_liu_no_length,11,5
iu28_no_length,0.03973971823175414,256,0.03338540722664675,0.053966508577801574,0.016022185623789917,0,0,5,global_gl_liu_no_length,11,5
deepconf_entropy_w64,0.00021675081898167833,256,-0.010519149856695914,0.030299171689546028,-0.056464646464646474,2,0,3,global_gl_liu_elapsed_length,11,5
iu28_no_length,0.03933155013088845,256,0.03217884655811872,0.05263339201266416,0.016821288585994444,0,0,5,global_gl_liu_elapsed_length,11,5
deepconf_entropy_w64,-0.055662202276247005,256,-0.058905190180639375,-0.025327823691460017,-0.09849374317026192,5,0,0,local_temporal_gl_liu_max,11,5
