method_family,basis_kind,rank,interaction,ridge,alpha,random_seed,cv_mse
factorial,factorial,2,True,1.0,0.5,0,0.11809729601729638
factorial,factorial,2,True,0.01,0.5,0,0.11824062401087848
factorial,factorial,1,False,0.1,0.5,0,0.12377431604536097
factorial,factorial,1,True,0.1,0.5,0,0.12377431604536097
factorial,factorial,1,False,0.01,0.5,0,0.12381264230242427
factorial,factorial,1,True,0.01,0.5,0,0.12381264230242427
factorial,factorial,1,False,1.0,0.5,0,0.12390436061966098
factorial,factorial,1,True,1.0,0.5,0,0.12390436061966098
hybrid,hybrid,6,True,0.1,0.25,0,0.03622586672543497
hybrid,hybrid,6,True,0.01,0.25,0,0.03731254210822001
hybrid,hybrid,4,True,0.1,0.25,0,0.03846457639273908
hybrid,hybrid,4,True,0.01,0.25,0,0.038932544816677433
hybrid,hybrid,3,True,0.1,0.25,0,0.0399634981279309
hybrid,hybrid,3,True,0.01,0.25,0,0.04030991895990355
hybrid,hybrid,2,True,0.1,0.25,0,0.042026656082615424
hybrid,hybrid,2,True,0.01,0.25,0,0.042033409515773446
hybrid,hybrid,3,False,0.1,0.25,0,0.048625416472313374
hybrid,hybrid,3,False,0.01,0.25,0,0.04896406946835343
hybrid,hybrid,6,True,0.1,0.5,0,0.05086884580878441
hybrid,hybrid,1,False,0.01,0.25,0,0.05098775617051522
hybrid,hybrid,1,True,0.01,0.25,0,0.05098775617051522
hybrid,hybrid,1,False,0.1,0.25,0,0.05099735934897087
hybrid,hybrid,1,True,0.1,0.25,0,0.05099735934897087
hybrid,hybrid,6,True,0.01,0.5,0,0.05317213964162107
hybrid,hybrid,6,True,1.0,0.25,0,0.05502409534995112
hybrid,hybrid,2,False,0.1,0.25,0,0.0551681208628175
hybrid,hybrid,2,False,0.01,0.25,0,0.055400668481290674
hybrid,hybrid,4,True,1.0,0.25,0,0.057966687634594755
hybrid,hybrid,3,True,1.0,0.25,0,0.061022380063204186
hybrid,hybrid,2,True,1.0,0.25,0,0.06141210794041052
hybrid,hybrid,6,True,1.0,0.5,0,0.06536152255785813
hybrid,hybrid,4,False,0.1,0.25,0,0.06616604190154299
hybrid,hybrid,4,True,0.1,0.5,0,0.0667270774425612
hybrid,hybrid,4,False,0.01,0.25,0,0.06690659276362171
hybrid,hybrid,3,True,0.1,0.5,0,0.06703729729438304
hybrid,hybrid,3,False,1.0,0.25,0,0.06730241063428408
hybrid,hybrid,3,True,0.01,0.5,0,0.06810559284117781
hybrid,hybrid,4,True,0.01,0.5,0,0.06811615428095874
hybrid,hybrid,1,False,1.0,0.25,0,0.06847905467403284
hybrid,hybrid,1,True,1.0,0.25,0,0.06847905467403284
hybrid,hybrid,6,True,0.1,0.75,0,0.06942493182362469
hybrid,hybrid,3,False,0.1,0.5,0,0.06990117106312421
hybrid,hybrid,6,False,0.1,0.25,0,0.07022909687867206
hybrid,hybrid,3,False,0.01,0.5,0,0.07044383282574004
hybrid,hybrid,6,False,0.01,0.25,0,0.07145088064457433
hybrid,hybrid,6,True,0.01,0.75,0,0.07212742206754663
hybrid,hybrid,2,False,1.0,0.25,0,0.07218181839133453
hybrid,hybrid,1,False,0.1,0.5,0,0.07442691251595235
hybrid,hybrid,1,True,0.1,0.5,0,0.07442691251595235
hybrid,hybrid,1,False,0.01,0.5,0,0.07444417078451906
hybrid,hybrid,1,True,0.01,0.5,0,0.07444417078451906
hybrid,hybrid,6,False,0.1,0.5,0,0.07610344397019009
hybrid,hybrid,2,True,0.1,0.5,0,0.07650288015165334
hybrid,hybrid,2,True,0.01,0.5,0,0.07675140383725187
hybrid,hybrid,6,False,0.01,0.5,0,0.07750860922041145
hybrid,hybrid,4,True,1.0,0.5,0,0.07814641810641601
hybrid,hybrid,6,True,1.0,0.75,0,0.07921923505943179
hybrid,hybrid,4,False,1.0,0.25,0,0.07976314623525113
hybrid,hybrid,3,True,1.0,0.5,0,0.08048564525691698
hybrid,hybrid,2,False,0.1,0.5,0,0.08208253542428434
hybrid,hybrid,2,False,0.01,0.5,0,0.08234364510309079
hybrid,hybrid,3,False,1.0,0.5,0,0.08305528058513957
hybrid,hybrid,4,False,0.1,0.5,0,0.08322385024944293
hybrid,hybrid,6,False,0.1,0.75,0,0.08401047569827175
hybrid,hybrid,4,False,0.01,0.5,0,0.08410886088458201
hybrid,hybrid,6,False,1.0,0.25,0,0.08424471087503871
hybrid,hybrid,6,False,0.01,0.75,0,0.08537957709145844
hybrid,hybrid,1,False,1.0,0.5,0,0.08674603517638482
hybrid,hybrid,1,True,1.0,0.5,0,0.08674603517638482
hybrid,hybrid,2,True,1.0,0.5,0,0.08838252013821699
hybrid,hybrid,6,False,1.0,0.5,0,0.08877249295851447
hybrid,hybrid,2,False,1.0,0.5,0,0.09250063484148835
hybrid,hybrid,4,False,1.0,0.5,0,0.09252873517219395
hybrid,hybrid,3,False,0.1,0.75,0,0.09323813420180684
hybrid,hybrid,3,False,0.01,0.75,0,0.09361700764834341
hybrid,hybrid,6,False,1.0,0.75,0,0.09427922709617348
hybrid,hybrid,3,True,0.1,0.75,0,0.09579938060636925
hybrid,hybrid,3,True,0.01,0.75,0,0.09678590931898287
hybrid,hybrid,4,True,0.1,0.75,0,0.09842291291663645
hybrid,hybrid,4,True,0.01,0.75,0,0.1004279317759253
hybrid,hybrid,4,False,0.1,0.75,0,0.10070221454555914
hybrid,hybrid,3,False,1.0,0.75,0,0.10095654792166703
hybrid,hybrid,4,False,0.01,0.75,0,0.10157349472358435
hybrid,hybrid,4,True,1.0,0.75,0,0.10185630409305607
hybrid,hybrid,3,True,1.0,0.75,0,0.10219076189392917
hybrid,hybrid,1,False,0.1,0.75,0,0.10427143285736877
hybrid,hybrid,1,True,0.1,0.75,0,0.10427143285736877
hybrid,hybrid,1,False,0.01,0.75,0,0.10446413990234554
hybrid,hybrid,1,True,0.01,0.75,0,0.10446413990234554
hybrid,hybrid,2,False,0.1,0.75,0,0.10535740544245756
hybrid,hybrid,2,False,0.01,0.75,0,0.10560620105589338
hybrid,hybrid,4,False,1.0,0.75,0,0.10570820165091
hybrid,hybrid,2,True,0.1,0.75,0,0.10702440136393554
hybrid,hybrid,2,True,0.01,0.75,0,0.10752664544421194
hybrid,hybrid,1,False,1.0,0.75,0,0.10911336941685716
hybrid,hybrid,1,True,1.0,0.75,0,0.10911336941685716
hybrid,hybrid,2,False,1.0,0.75,0,0.10971165174713024
hybrid,hybrid,2,True,1.0,0.75,0,0.11060858150640274
