method,heldout_family,chosen_contract_id,pe_mean,stft_spectral_entropy,cusum_shift_idx,rpdi,training_macro_auroc,cell,domain,auroc,stable_auroc,delta_vs_stable
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,ars_gsm8k_r1distill8b,math,0.7569893341952165,0.7555551066580477,0.0014342275371688196
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,internalstates_gsm8k_qwen25_7b,math,0.7135726811971248,0.7098340752731688,0.0037386059239560288
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,lapeigvals_gsm8k_llama3b,math,0.6941426722894034,0.6964047998063694,-0.0022621275169659727
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,lapeigvals_gsm8k_llama8b,math,0.8186203859396268,0.8153174793818561,0.0033029065577707684
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,lapeigvals_gsm8k_mistral24b,math,0.8471832587762529,0.8474410493593145,-0.0002577905830616345
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,lapeigvals_gsm8k_nemo,math,0.7989762340036564,0.7977168393256144,0.0012593946780419252
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,lapeigvals_gsm8k_phi35,math,0.8098283181587589,0.8122357799553218,-0.0024074617965629264
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,noise_gsm8k_mistral7b,math,0.7854728719955488,0.783516271284643,0.0019566007109058647
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,noise_gsm8k_phi3mini,math,0.6751299904041419,0.6782123808886211,-0.003082390484479225
dufs_liu,gsm8k,c249,mode,mode,squared,raw,0.7801567094086523,trace_gsm8k_llama8b_k10,math,0.8148834815546772,0.813556488801054,0.0013269927536231352
dufs_liu,hotpotqa,c181,squared,mode,raw,raw,0.785430432648627,losnet_hotpotqa_mistral7b,QA,0.5725879976402868,0.571962316094317,0.0006256815459697584
dufs_liu,math500,c213,mode,raw,raw,raw,0.7666689631596275,math500_dsmath7b,math,0.7874521695184463,0.7896180781171034,-0.0021659085986570625
dufs_liu,math500,c213,mode,raw,raw,raw,0.7666689631596275,math500_qwenmath7b,math,0.9205755578093306,0.8962981744421907,0.024277383367139915
dufs_liu,math500,c213,mode,raw,raw,raw,0.7666689631596275,math500_r1distill8b,math,0.8369919582699412,0.8320473810041296,0.004944577265811656
dufs_liu,math500,c213,mode,raw,raw,raw,0.7666689631596275,math500_r1distill8b_mn4096,math,0.8257437765634488,0.8321423567325207,-0.00639858016907191
dufs_liu,math500,c213,mode,raw,raw,raw,0.7666689631596275,trace_math500_qwenmath15b_k10,math,0.6868498782474052,0.6863671519685057,0.00048272627889944797
dufs_liu,nq_open,c181,squared,mode,raw,raw,0.778006202957738,se_nq_open_llama8b,QA,0.7433452805307296,0.7461348555638374,-0.0027895750331078384
dufs_liu,sciq,c181,squared,mode,raw,raw,0.7781812728153116,sciq_llama8b,QA,0.7393186738065399,0.7406858835593028,-0.0013672097527628324
dufs_liu,squad_v2,c249,mode,mode,squared,raw,0.775055131843366,se_squad_v2_llama8b,QA,0.8107251278381216,0.8100821857721653,0.0006429420659562757
dufs_liu,triviaqa,c057,drop,mode,squared,raw,0.7663197196457465,epr_triviaqa_mistral24b,QA,0.744192570979688,0.7447957580518461,-0.0006031870721580068
dufs_liu,triviaqa,c057,drop,mode,squared,raw,0.7663197196457465,seiclr_triviaqa_opt30b,QA,0.8256896098165885,0.8206605248669244,0.005029084949664031
dufs_liu,triviaqa,c057,drop,mode,squared,raw,0.7663197196457465,semenergy_triviaqa_qwen3_8b,QA,0.8054886396792027,0.8059055131200836,-0.00041687344088092715
dufs_liu,triviaqa,c057,drop,mode,squared,raw,0.7663197196457465,spilled_triviaqa_llama8b,QA,0.934,0.9326666666666666,0.0013333333333334085
dufs_liu,truthfulqa,c249,mode,mode,squared,raw,0.7815629839944048,truthfulqa_llama8b,QA,0.661044528364226,0.6601732487823823,0.0008712795818437424
