checkpoint_date,git_rev,stale_rows_at_gate,new_bench_rows,variant,pool_mode,n_cells,macro_all,macro_qa,macro_math,delta_vs_good5_all,wilcoxon_p,wins,ties,losses,G_macro,role,current_best_ref,delta_vs_current_best_ref,n_cells_shared_with_best_ref,delta_vs_current_best_ref_MATCHED
2026-07-23,d75d7a8-dirty,0,0,ref.consensus_4,c46,25,0.7242,0.6866,0.7493,-0.0277,0.00081,5,0,20,FAIL,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.04630000000000001,24,-0.0361140987728904
2026-07-23,d75d7a8-dirty,0,0,lapscore_s5,c46,25,0.7231,0.6624,0.7635,-0.0288,0.0802,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.0474,24,-0.041257094124751426
2026-07-23,d75d7a8-dirty,0,0,spec_s5,c46,25,0.7231,0.6624,0.7635,-0.0288,0.0802,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.0474,24,-0.041257094124751426
2026-07-23,d75d7a8-dirty,0,0,a1.upcrres_greedy,c46,25,0.7225,0.6726,0.7557,-0.0294,0.0013,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04799999999999993,24,-0.043099124091508845
2026-07-23,d75d7a8-dirty,0,0,random_s5,c46,25,0.7212,0.6707,0.755,-0.0307,0.00019,4,0,21,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04930000000000001,24,-0.04001340245319518
2026-07-23,d75d7a8-dirty,0,0,a3.cae_k7,c46,25,0.7189,0.6799,0.7449,-0.033,9e-05,5,0,20,FAIL,fs_selector_candidate,ref.LOCO_5,-0.05159999999999998,24,-0.0438177399113755
2026-07-23,d75d7a8-dirty,0,0,a3.cae_k8,c46,25,0.7187,0.671,0.7505,-0.0332,0.00309,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.05179999999999996,24,-0.037677196192718476
2026-07-23,d75d7a8-dirty,0,0,mcfs_s4,c46,25,0.7181,0.6419,0.7688,-0.0338,0.1014,10,0,15,FAIL,fs_selector_candidate,ref.LOCO_5,-0.0524,24,-0.04428244264042569
2026-07-23,d75d7a8-dirty,0,0,a3.cae_k4,c46,25,0.7172,0.6877,0.737,-0.0347,0.02191,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.053300000000000014,24,-0.041847947115602135
2026-07-23,d75d7a8-dirty,0,0,mcfs_adapt,c46,25,0.7169,0.6347,0.7717,-0.035,0.12665,10,0,15,FAIL,fs_selector_candidate,ref.LOCO_5,-0.05359999999999998,24,-0.04447953769369928
2026-07-23,d75d7a8-dirty,0,0,a4.recon_s6,c46,25,0.7151,0.679,0.7393,-0.0368,0.00226,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.055400000000000005,24,-0.0423994239636345
2026-07-23,d75d7a8-dirty,0,0,a3.cae_k5,c46,25,0.7132,0.6752,0.7384,-0.0387,0.00012,4,0,21,FAIL,fs_selector_candidate,ref.LOCO_5,-0.05730000000000002,24,-0.04579491526391388
2026-07-23,d75d7a8-dirty,0,0,a4.recon_s5,c46,25,0.7124,0.6767,0.7361,-0.0395,0.00063,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.05809999999999993,24,-0.04527947514407449
2026-07-23,d75d7a8-dirty,0,0,a4.recon_s4,c46,25,0.7116,0.6829,0.7307,-0.0403,0.00251,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.05889999999999995,24,-0.04736987621622335
2026-07-23,d75d7a8-dirty,0,0,a4.recon_adapt,c46,25,0.7102,0.681,0.7297,-0.0417,0.00038,4,0,21,FAIL,fs_selector_candidate,ref.LOCO_5,-0.06029999999999991,24,-0.04881016770223312
2026-07-23,d75d7a8-dirty,0,0,a3.cae,c46,25,0.7032,0.6755,0.7216,-0.0487,0.00025,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.06729999999999992,24,-0.05620360178564654
2026-07-23,d75d7a8-dirty,0,0,ref.STABLE_H9,c46,25,0.7025,0.6572,0.7328,-0.0493,0.0,2,0,23,FAIL,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.06799999999999995,24,-0.05850086142076005
2026-07-23,d75d7a8-dirty,0,0,random_s4,c46,25,0.6976,0.6583,0.7238,-0.0543,0.00012,5,0,20,FAIL,fs_selector_candidate,ref.LOCO_5,-0.07289999999999996,24,-0.06676926307035025
2026-07-23,d75d7a8-dirty,0,0,kurtosis_s5,c46,25,0.6959,0.682,0.7052,-0.056,0.00163,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.0746,24,-0.06674094054453084
2026-07-23,d75d7a8-dirty,0,0,a1.minres+K_ah,c46,25,0.6955,0.6574,0.7209,-0.0564,0.00115,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.07499999999999996,24,-0.06986338713898943
2026-07-23,d75d7a8-dirty,0,0,a1.relres_greedy,c46,25,0.6952,0.6567,0.7209,-0.0567,0.00115,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.07529999999999992,24,-0.07014321748185404
2026-07-23,d75d7a8-dirty,0,0,ref.ALL_H16,c46,25,0.6919,0.6631,0.711,-0.06,0.0,2,0,23,FAIL,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.0786,24,-0.06902688165114468
2026-07-23,d75d7a8-dirty,0,0,a3.cae_k6,c46,25,0.691,0.6642,0.7088,-0.0609,0.00033,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.07950000000000002,24,-0.0649837660165401
2026-07-23,d75d7a8-dirty,0,0,a1.router@minres,c46,25,0.6851,0.6541,0.7057,-0.0668,0.00016,7,0,18,FAIL,"router (fixed subset, learned fusion choice only)",ref.LOCO_5,-0.08539999999999992,24,-0.08064650081680025
2026-07-23,d75d7a8-dirty,0,0,kurtosis_s4,c46,25,0.6804,0.6869,0.6761,-0.0715,0.00022,5,0,20,FAIL,fs_selector_candidate,ref.LOCO_5,-0.09009999999999996,24,-0.08428484647502488
2026-07-23,d75d7a8-dirty,0,0,mad_s6,c46,25,0.6779,0.6453,0.6996,-0.074,0.00012,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.09260000000000002,24,-0.08395988424723766
2026-07-23,d75d7a8-dirty,0,0,mad_s5,c46,25,0.6713,0.6422,0.6906,-0.0806,0.00012,4,0,21,FAIL,fs_selector_candidate,ref.LOCO_5,-0.09919999999999995,24,-0.09214760716538739
2026-07-23,d75d7a8-dirty,0,0,decorr_s6,c46,25,0.6617,0.6371,0.6782,-0.0902,0.0,1,0,24,FAIL,fs_selector_candidate,ref.LOCO_5,-0.10880000000000001,24,-0.10533062550036265
2026-07-23,d75d7a8-dirty,0,0,mad_s4,c46,25,0.6503,0.6252,0.667,-0.1016,2e-05,5,0,20,FAIL,fs_selector_candidate,ref.LOCO_5,-0.12019999999999997,24,-0.11474211000172696
2026-07-23,d75d7a8-dirty,0,0,decorr_s5,c46,25,0.6401,0.6291,0.6474,-0.1118,0.0,0,0,25,FAIL,fs_selector_candidate,ref.LOCO_5,-0.13039999999999996,24,-0.12252303408503284
2026-07-23,d75d7a8-dirty,0,0,decorr_s4,c46,25,0.6284,0.6236,0.6315,-0.1235,0.0,0,0,25,FAIL,fs_selector_candidate,ref.LOCO_5,-0.1421,24,-0.13638613208790218
2026-07-23,d75d7a8-dirty,0,0,ref.GOOD_5,h16,25,0.7519,0.721,0.7725,-0.0,0.71722,10,6,9,PASS,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.01859999999999995,24,-0.015789648672519085
2026-07-23,d75d7a8-dirty,0,0,a1.router@good5,h16,25,0.7496,0.7134,0.7737,-0.0023,0.79434,11,4,10,PASS,"router (fixed subset, learned fusion choice only)",ref.LOCO_5,-0.02089999999999992,24,-0.015213440842828718
2026-07-23,d75d7a8-dirty,0,0,ref.top_macro_5,h16,25,0.7489,0.7211,0.7675,-0.003,0.79148,14,0,11,PASS,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.021599999999999953,24,-0.01792845406211807
2026-07-23,d75d7a8-dirty,0,0,a4.good5+K_intrinsic_kn,h16,25,0.7472,0.7099,0.7721,-0.0047,0.16765,8,3,14,PASS,fs_selector_candidate,ref.LOCO_5,-0.023299999999999987,24,-0.01700369769146981
2026-07-23,d75d7a8-dirty,0,0,a1.good5+K_kn,h16,25,0.7467,0.7096,0.7715,-0.0052,0.11377,7,4,14,FAIL,fs_selector_candidate,ref.LOCO_5,-0.023799999999999932,24,-0.017504117850731027
2026-07-23,d75d7a8-dirty,0,0,a1.good5+K_ah,h16,25,0.7445,0.7104,0.7673,-0.0074,0.22733,8,6,11,FAIL,fs_selector_candidate,ref.LOCO_5,-0.025999999999999912,24,-0.025410712005979774
2026-07-23,d75d7a8-dirty,0,0,a4.good5+K_intrinsic_ah,h16,25,0.7413,0.717,0.7576,-0.0106,0.01729,1,17,7,FAIL,fs_selector_candidate,ref.LOCO_5,-0.029200000000000004,24,-0.02678015932286293
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_s4,h16,25,0.7398,0.6979,0.7677,-0.0121,0.41077,14,0,11,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03069999999999995,24,-0.03133335517869096
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.0_s4,h16,25,0.7398,0.6979,0.7677,-0.0121,0.41077,14,0,11,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03069999999999995,24,-0.03133335517869096
2026-07-23,d75d7a8-dirty,0,0,a2.groups@good5,h16,25,0.7397,0.7012,0.7655,-0.0122,0.05558,8,1,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03079999999999994,24,-0.022134005603435813
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_adapt,h16,25,0.7391,0.6941,0.7691,-0.0128,0.27518,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.031399999999999983,24,-0.02605319866809508
2026-07-23,d75d7a8-dirty,0,0,a4.intrinsic_k_ah,h16,25,0.7379,0.6952,0.7663,-0.014,0.23036,13,0,12,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03259999999999996,24,-0.030890402787314475
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_s5,h16,25,0.7363,0.6922,0.7657,-0.0156,0.14848,13,0,12,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03420000000000001,24,-0.029105265348725484
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.0_s5,h16,25,0.7363,0.6922,0.7657,-0.0156,0.14848,13,0,12,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03420000000000001,24,-0.029105265348725484
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_s5,h16,25,0.7358,0.6921,0.7649,-0.0161,0.17296,13,0,12,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03469999999999995,24,-0.02903267970527279
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_s6,h16,25,0.7346,0.6884,0.7653,-0.0173,0.03181,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03589999999999993,24,-0.028161506167406536
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.0_s6,h16,25,0.7346,0.6884,0.7653,-0.0173,0.03181,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03589999999999993,24,-0.028161506167406536
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_s5,h16,25,0.7325,0.688,0.7621,-0.0194,0.03417,10,0,15,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03799999999999992,24,-0.028823800437489333
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_s4,h16,25,0.7319,0.6936,0.7575,-0.02,0.03417,11,0,14,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03859999999999997,24,-0.03133335517869096
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_s6,h16,25,0.7309,0.6816,0.7638,-0.021,0.04215,11,0,14,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03959999999999997,24,-0.028166393122249445
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_s6,h16,25,0.7307,0.6811,0.7637,-0.0212,0.01145,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03979999999999995,24,-0.02823965681627072
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_adapt,h16,25,0.7303,0.6848,0.7607,-0.0216,0.0046,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.040200000000000014,24,-0.02592084691226082
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_s4,h16,25,0.7297,0.6887,0.757,-0.0222,0.00737,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04079999999999995,24,-0.03133335517869096
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_s6,h16,25,0.729,0.6735,0.7659,-0.0229,0.00251,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04149999999999998,24,-0.02820292038456651
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_s5,h16,25,0.7288,0.6859,0.7575,-0.0231,0.01051,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04169999999999996,24,-0.02828427075759199
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_s4,h16,25,0.7284,0.6845,0.7576,-0.0235,0.00342,7,0,18,FAIL,fs_selector_candidate,ref.LOCO_5,-0.042099999999999915,24,-0.031160862950318946
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_adapt,h16,25,0.7275,0.6782,0.7605,-0.0244,0.00103,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04299999999999993,24,-0.025988342680958176
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_adapt,h16,25,0.7245,0.6773,0.756,-0.0274,0.00043,6,0,19,FAIL,fs_selector_candidate,ref.LOCO_5,-0.04599999999999993,24,-0.026053198668094968
2026-07-23,d75d7a8-dirty,0,0,ref.consensus_4,h16,25,0.7242,0.6866,0.7493,-0.0277,0.00081,5,0,20,FAIL,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.04630000000000001,24,-0.0361140987728904
