channel,in_bank11,r_level_marginal,r_level_conditional,max_r_with_bank11,sd_after_z,within_auc_single,auc_oriented
hist_entropy_pe_series,False,0.11989758782913224,0.10758637465516999,0.3129768047440138,0.9999097652567862,0.5602521588239158,0.5602521588239158
hist_entropy_rolling_rs_hurst,False,0.28547811936200496,0.267932027656318,0.47508498051489206,0.9999946922993225,0.6116934042034039,0.6116934042034039
hist_entropy_cusum_abs_series,False,0.09878769248259783,0.06793865483525934,0.2181509382105302,0.9999946922993225,0.6229240389414108,0.6229240389414108
hist_spilled_series,False,0.5218081718500456,0.4983767803157543,1.0,0.9999946922993224,0.6975067839657089,0.6975067839657089
hist_spilled_sw_var_series,False,0.03816275902666242,0.04505600081113956,0.6928245317578757,0.9999946922993225,0.64039393037296,0.64039393037296
hist_spilled_cusum_abs_series,False,0.09924236046511976,0.09361313180787556,0.20061919028015884,0.9999946922993226,0.5322032090052273,0.5322032090052273
hist_spilled_rolling_min,False,-0.12812177080195564,-0.10254409206370242,0.5191378399036966,0.9999946922993225,0.5660415617579128,0.5660415617579128
hist_energy_series,False,-0.3330815619179133,-0.3199161177892079,0.9661981870902753,0.9999946922993226,0.40399248090408396,0.596007519095916
hist_energy_rolling_min,False,-0.35318835869164483,-0.3369605629518217,0.666508104264546,0.9999946922993224,0.39052603763697136,0.6094739623630286
hist_energy_sw_var_series,False,-0.034931006105183224,-0.03463578992006454,0.46878117688086196,0.9999946922993225,0.5119608852610708,0.5119608852610708
hist_energy_cusum_abs_series,False,0.04850841905508127,0.013802850446385944,0.23548108350568075,0.9999946922993226,0.6321071340611567,0.6321071340611567
hist_top1_logprob_series,False,-0.16057533695603424,-0.1694753641819301,0.6955250107864833,0.9999363057324194,0.4774773065500444,0.5225226934499556
hist_logprob_margin_series,False,-0.26762917283533894,-0.26493098630779494,0.89964233466437,0.9999946922993225,0.4550243647962555,0.5449756352037445
hist_topk_entropy_series,False,0.9508416318342868,0.9477874680154205,0.9971529560954725,0.9999946922993225,0.7307758845927832,0.7307758845927832
hist_topk_varentropy_series,False,0.9398086747739304,0.9354544133962694,0.9772710577957021,0.9999946922993225,0.742464548435578,0.742464548435578
hist_topk_renyi2_series,False,0.9230150221781186,0.9184723968758682,0.991496002600838,0.9999946922993225,0.7244980706606982,0.7244980706606982
hist_topk_tail_mass_series,False,0.8448280841461886,0.8339285438911115,0.8520844040067044,0.9999946922993224,0.7317963965731861,0.7317963965731861
