method,name,cell,benchmark,pb_f1,answers,valid_answers,clean_accuracy,error_exact_accuracy,within_auc,pooled_auc,fold_mean_auc,prmscore
drop_first_top10,Top10: remove first token,pb_math_q8,ProcessBench,0.3254068747604057,1000.0,1000.0,0.4630541871921182,0.25084175084175087,,,,
drop_first_top10,Top10: remove first token,pb_olympiadbench_q4,ProcessBench,0.3381908166070938,1000.0,1000.0,0.5309734513274337,0.2481089258698941,,,,
drop_first_top10,Top10: remove first token,pb_olympiadbench_q8,ProcessBench,0.33472250270796233,1000.0,1000.0,0.4690265486725664,0.26021180030257185,,,,
drop_first_top10,Top10: remove first token,pb_omnimath_q4,ProcessBench,0.3465958323271638,1000.0,1000.0,0.5062240663900415,0.2635046113306983,,,,
drop_first_top10,Top10: remove first token,pb_omnimath_q8,ProcessBench,0.3448831587429492,1000.0,1000.0,0.44398340248962653,0.28194993412384717,,,,
drop_first_top10,Top10: remove first token,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7438711514382497,0.7090716826684543,0.7094336592807293,0.6274685051522597
hierarchical,Time fusion: shared + local,pb_gsm8k_q4,ProcessBench,0.3756177924217463,400.0,400.0,0.5906735751295337,0.2753623188405797,,,,
hierarchical,Time fusion: shared + local,pb_gsm8k_q8,ProcessBench,0.3142931761369996,400.0,400.0,0.41968911917098445,0.25120772946859904,,,,
hierarchical,Time fusion: shared + local,pb_math_q4,ProcessBench,0.2694560669456067,1000.0,1000.0,0.5665024630541872,0.17676767676767677,,,,
hierarchical,Time fusion: shared + local,pb_math_q8,ProcessBench,0.28131078856800834,1000.0,1000.0,0.4630541871921182,0.20202020202020202,,,,
hierarchical,Time fusion: shared + local,pb_olympiadbench_q4,ProcessBench,0.29023746701846964,1000.0,1000.0,0.5309734513274337,0.19969742813918306,,,,
hierarchical,Time fusion: shared + local,pb_olympiadbench_q8,ProcessBench,0.294680788582392,1000.0,1000.0,0.4690265486725664,0.21482602118003025,,,,
hierarchical,Time fusion: shared + local,pb_omnimath_q4,ProcessBench,0.26323991273285224,1000.0,1000.0,0.5062240663900415,0.17786561264822134,,,,
hierarchical,Time fusion: shared + local,pb_omnimath_q8,ProcessBench,0.26194072607948327,1000.0,1000.0,0.44398340248962653,0.1857707509881423,,,,
hierarchical,Time fusion: shared + local,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.6645444120214686,0.6436413270410648,0.6439623966016967,0.572718387088336
local,Time fusion: current answer,pb_gsm8k_q4,ProcessBench,0.3845076461340574,400.0,400.0,0.5906735751295337,0.28502415458937197,,,,
local,Time fusion: current answer,pb_gsm8k_q8,ProcessBench,0.3217477656405164,400.0,400.0,0.41968911917098445,0.2608695652173913,,,,
local,Time fusion: current answer,pb_math_q4,ProcessBench,0.24117626724127997,1000.0,1000.0,0.5665024630541872,0.1531986531986532,,,,
local,Time fusion: current answer,pb_math_q8,ProcessBench,0.2576208082322827,1000.0,1000.0,0.4630541871921182,0.17845117845117844,,,,
local,Time fusion: current answer,pb_olympiadbench_q4,ProcessBench,0.26889110663377713,1000.0,1000.0,0.5309734513274337,0.1800302571860817,,,,
local,Time fusion: current answer,pb_olympiadbench_q8,ProcessBench,0.2756299133239266,1000.0,1000.0,0.4690265486725664,0.1951588502269289,,,,
local,Time fusion: current answer,pb_omnimath_q4,ProcessBench,0.24247899539253767,1000.0,1000.0,0.5062240663900415,0.15942028985507245,,,,
local,Time fusion: current answer,pb_omnimath_q8,ProcessBench,0.2593102726828928,1000.0,1000.0,0.44398340248962653,0.1831357048748353,,,,
local,Time fusion: current answer,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.6423803722732961,0.6225423017933869,0.6226650676923736,0.5776447210165732
reference__diagonal__old,Saved RBM diagonal variance reference,pb_gsm8k_q4,ProcessBench,0.4339830031366451,400.0,400.0,0.5906735751295337,0.34299516908212563,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_gsm8k_q8,ProcessBench,0.4075721780750468,400.0,400.0,0.41968911917098445,0.3961352657004831,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_math_q4,ProcessBench,0.3428349736594928,1000.0,1000.0,0.5665024630541872,0.24579124579124578,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_math_q8,ProcessBench,0.3239869585468095,1000.0,1000.0,0.4630541871921182,0.24915824915824916,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_olympiadbench_q4,ProcessBench,0.3282172784446264,1000.0,1000.0,0.5309734513274337,0.23751891074130105,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_olympiadbench_q8,ProcessBench,0.3126665144249067,1000.0,1000.0,0.4690265486725664,0.2344931921331316,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_omnimath_q4,ProcessBench,0.3664976298092823,1000.0,1000.0,0.5062240663900415,0.2872200263504611,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,pb_omnimath_q8,ProcessBench,0.3487973921690305,1000.0,1000.0,0.44398340248962653,0.2872200263504611,,,,
reference__diagonal__old,Saved RBM diagonal variance reference,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7330448590587003,0.7047273028297086,0.70495021124748,0.6253013416428403
reference__entropy__old,Token entropy: Top10,pb_gsm8k_q4,ProcessBench,0.44163770000265345,400.0,400.0,0.5906735751295337,0.3526570048309179,,,,
reference__entropy__old,Token entropy: Top10,pb_gsm8k_q8,ProcessBench,0.39709625718864894,400.0,400.0,0.41968911917098445,0.37681159420289856,,,,
reference__entropy__old,Token entropy: Top10,pb_math_q4,ProcessBench,0.34771756445508695,1000.0,1000.0,0.5665024630541872,0.25084175084175087,,,,
reference__entropy__old,Token entropy: Top10,pb_math_q8,ProcessBench,0.3392461952265841,1000.0,1000.0,0.4630541871921182,0.2676767676767677,,,,
reference__entropy__old,Token entropy: Top10,pb_olympiadbench_q4,ProcessBench,0.31197692225506607,1000.0,1000.0,0.5309734513274337,0.22087745839636913,,,,
reference__entropy__old,Token entropy: Top10,pb_olympiadbench_q8,ProcessBench,0.30449199922884135,1000.0,1000.0,0.4690265486725664,0.2254160363086233,,,,
reference__entropy__old,Token entropy: Top10,pb_omnimath_q4,ProcessBench,0.3544794188861985,1000.0,1000.0,0.5062240663900415,0.2727272727272727,,,,
reference__entropy__old,Token entropy: Top10,pb_omnimath_q8,ProcessBench,0.3389040741276524,1000.0,1000.0,0.44398340248962653,0.2740447957839262,,,,
reference__entropy__old,Token entropy: Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7301113611124386,0.7026639408146143,0.7030379238662297,0.625425539209566
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_gsm8k_q4,ProcessBench,0.4491371838310614,400.0,400.0,0.5906735751295337,0.36231884057971014,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_gsm8k_q8,ProcessBench,0.3916653411802132,400.0,400.0,0.41968911917098445,0.3671497584541063,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_math_q4,ProcessBench,0.3509392399179491,1000.0,1000.0,0.5665024630541872,0.2542087542087542,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_math_q8,ProcessBench,0.3405951356492595,1000.0,1000.0,0.4630541871921182,0.26936026936026936,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_olympiadbench_q4,ProcessBench,0.34376918354818914,1000.0,1000.0,0.5309734513274337,0.25416036308623297,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_olympiadbench_q8,ProcessBench,0.33472250270796233,1000.0,1000.0,0.4690265486725664,0.26021180030257185,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_omnimath_q4,ProcessBench,0.3420055208318435,1000.0,1000.0,0.5062240663900415,0.25823451910408435,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,pb_omnimath_q8,ProcessBench,0.35073342620667053,1000.0,1000.0,0.44398340248962653,0.2898550724637681,,,,
reference__initial12__old,RBM12 initialization: posterior + Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7463248825565488,0.6901095815877019,0.6902917377169364,0.6053132074697835
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_gsm8k_q4,ProcessBench,0.43009593618626707,400.0,400.0,0.5906735751295337,0.33816425120772947,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_gsm8k_q8,ProcessBench,0.3860993912847434,400.0,400.0,0.41968911917098445,0.357487922705314,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_math_q4,ProcessBench,0.34446923617691105,1000.0,1000.0,0.5665024630541872,0.2474747474747475,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_math_q8,ProcessBench,0.3446050042170368,1000.0,1000.0,0.4630541871921182,0.27441077441077444,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_olympiadbench_q4,ProcessBench,0.33394983838348913,1000.0,1000.0,0.5309734513274337,0.24357034795763993,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_olympiadbench_q8,ProcessBench,0.3232432836937813,1000.0,1000.0,0.4690265486725664,0.24659606656580937,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_omnimath_q4,ProcessBench,0.3621785090031352,1000.0,1000.0,0.5062240663900415,0.28194993412384717,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,pb_omnimath_q8,ProcessBench,0.35265560627992426,1000.0,1000.0,0.44398340248962653,0.2924901185770751,,,,
reference__initial6__old,RBM6 initialization: posterior + Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.744067528910734,0.6950464031735148,0.695218891299853,0.6130847986432351
reference__rbm12__logit_old,RBM12: logit + Top10,pb_gsm8k_q4,ProcessBench,0.45648612808445355,400.0,400.0,0.5906735751295337,0.3719806763285024,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_gsm8k_q8,ProcessBench,0.4075721780750468,400.0,400.0,0.41968911917098445,0.3961352657004831,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_math_q4,ProcessBench,0.3328853509769461,1000.0,1000.0,0.5665024630541872,0.2356902356902357,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_math_q8,ProcessBench,0.3268201098671859,1000.0,1000.0,0.4630541871921182,0.25252525252525254,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_olympiadbench_q4,ProcessBench,0.34789685163521694,1000.0,1000.0,0.5309734513274337,0.2586989409984871,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_olympiadbench_q8,ProcessBench,0.33346824637574507,1000.0,1000.0,0.4690265486725664,0.2586989409984871,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_omnimath_q4,ProcessBench,0.3420055208318435,1000.0,1000.0,0.5062240663900415,0.25823451910408435,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,pb_omnimath_q8,ProcessBench,0.3545640805639178,1000.0,1000.0,0.44398340248962653,0.2951251646903821,,,,
reference__rbm12__logit_old,RBM12: logit + Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7452044991713739,0.7058494397346221,0.7062049842083509,0.622215135338216
reference__rbm12__old,RBM12: posterior + Top10,pb_gsm8k_q4,ProcessBench,0.4636890204659544,400.0,400.0,0.5906735751295337,0.38164251207729466,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_gsm8k_q8,ProcessBench,0.41011407307997316,400.0,400.0,0.41968911917098445,0.40096618357487923,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_math_q4,ProcessBench,0.3278159819394305,1000.0,1000.0,0.5665024630541872,0.23063973063973064,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_math_q8,ProcessBench,0.3365295814473189,1000.0,1000.0,0.4630541871921182,0.26430976430976433,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_olympiadbench_q4,ProcessBench,0.3409907905097744,1000.0,1000.0,0.5309734513274337,0.25113464447806355,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_olympiadbench_q8,ProcessBench,0.33472250270796233,1000.0,1000.0,0.4690265486725664,0.26021180030257185,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_omnimath_q4,ProcessBench,0.35224607930818363,1000.0,1000.0,0.5062240663900415,0.27009222661396576,,,,
reference__rbm12__old,RBM12: posterior + Top10,pb_omnimath_q8,ProcessBench,0.3438957041329048,1000.0,1000.0,0.44398340248962653,0.28063241106719367,,,,
reference__rbm12__old,RBM12: posterior + Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7387017592037592,0.710417498206284,0.7108125617128248,0.6292760348084029
reference__rbm6__logit_old,RBM6: logit + Top10,pb_gsm8k_q4,ProcessBench,0.42616822429906537,400.0,400.0,0.5906735751295337,0.3333333333333333,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_gsm8k_q8,ProcessBench,0.38326419497018416,400.0,400.0,0.41968911917098445,0.3526570048309179,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_math_q4,ProcessBench,0.33954604170511166,1000.0,1000.0,0.5665024630541872,0.24242424242424243,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_math_q8,ProcessBench,0.3351618211738892,1000.0,1000.0,0.4630541871921182,0.26262626262626265,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_olympiadbench_q4,ProcessBench,0.3209233584347948,1000.0,1000.0,0.5309734513274337,0.22995461422087746,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_olympiadbench_q8,ProcessBench,0.31400846926568043,1000.0,1000.0,0.4690265486725664,0.23600605143721634,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_omnimath_q4,ProcessBench,0.33968654917044605,1000.0,1000.0,0.5062240663900415,0.25559947299077734,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,pb_omnimath_q8,ProcessBench,0.3389040741276524,1000.0,1000.0,0.44398340248962653,0.2740447957839262,,,,
reference__rbm6__logit_old,RBM6: logit + Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7356357370021873,0.7000044693128635,0.700317801956164,0.622232585877287
reference__rbm6__old,RBM6: posterior + Top10,pb_gsm8k_q4,ProcessBench,0.4454065469904963,400.0,400.0,0.5906735751295337,0.357487922705314,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_gsm8k_q8,ProcessBench,0.3916653411802132,400.0,400.0,0.41968911917098445,0.3671497584541063,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_math_q4,ProcessBench,0.35572249226690233,1000.0,1000.0,0.5665024630541872,0.25925925925925924,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_math_q8,ProcessBench,0.3432744978697504,1000.0,1000.0,0.4630541871921182,0.2727272727272727,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_olympiadbench_q4,ProcessBench,0.32965886566748964,1000.0,1000.0,0.5309734513274337,0.23903177004538578,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_olympiadbench_q8,ProcessBench,0.31931918739291704,1000.0,1000.0,0.4690265486725664,0.24205748865355523,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_omnimath_q4,ProcessBench,0.3632636950967018,1000.0,1000.0,0.5062240663900415,0.28326745718050067,,,,
reference__rbm6__old,RBM6: posterior + Top10,pb_omnimath_q8,ProcessBench,0.3478241330237435,1000.0,1000.0,0.44398340248962653,0.2859025032938076,,,,
reference__rbm6__old,RBM6: posterior + Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7359819427631672,0.7081098773075334,0.7084114634537172,0.6307492926682718
reference__shrinkage__old,Saved RBM shrinkage reference,pb_gsm8k_q4,ProcessBench,0.4221992266216437,400.0,400.0,0.5906735751295337,0.3285024154589372,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_gsm8k_q8,ProcessBench,0.3860993912847434,400.0,400.0,0.41968911917098445,0.357487922705314,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_math_q4,ProcessBench,0.35254018514410174,1000.0,1000.0,0.5665024630541872,0.2558922558922559,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_math_q8,ProcessBench,0.33789102491184164,1000.0,1000.0,0.4630541871921182,0.265993265993266,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_olympiadbench_q4,ProcessBench,0.33536900941931475,1000.0,1000.0,0.5309734513274337,0.24508320726172467,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_olympiadbench_q8,ProcessBench,0.3309440236467763,1000.0,1000.0,0.4690265486725664,0.2556732223903177,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_omnimath_q4,ProcessBench,0.35780124015418135,1000.0,1000.0,0.5062240663900415,0.2766798418972332,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,pb_omnimath_q8,ProcessBench,0.34684735384823173,1000.0,1000.0,0.44398340248962653,0.2845849802371542,,,,
reference__shrinkage__old,Saved RBM shrinkage reference,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.738630248995498,0.7079965583222773,0.7082592641948146,0.6295438953640439
reference__var15__old,Varentropy15: Top10,pb_gsm8k_q4,ProcessBench,0.4528301886792453,400.0,400.0,0.5906735751295337,0.3671497584541063,,,,
reference__var15__old,Varentropy15: Top10,pb_gsm8k_q8,ProcessBench,0.4075721780750468,400.0,400.0,0.41968911917098445,0.3961352657004831,,,,
reference__var15__old,Varentropy15: Top10,pb_math_q4,ProcessBench,0.3278159819394305,1000.0,1000.0,0.5665024630541872,0.23063973063973064,,,,
reference__var15__old,Varentropy15: Top10,pb_math_q8,ProcessBench,0.3337877000263456,1000.0,1000.0,0.4630541871921182,0.2609427609427609,,,,
reference__var15__old,Varentropy15: Top10,pb_olympiadbench_q4,ProcessBench,0.35332716412888027,1000.0,1000.0,0.5309734513274337,0.264750378214826,,,,
reference__var15__old,Varentropy15: Top10,pb_olympiadbench_q8,ProcessBench,0.3322087642645134,1000.0,1000.0,0.4690265486725664,0.25718608169440244,,,,
reference__var15__old,Varentropy15: Top10,pb_omnimath_q4,ProcessBench,0.33144226927686776,1000.0,1000.0,0.5062240663900415,0.2463768115942029,,,,
reference__var15__old,Varentropy15: Top10,pb_omnimath_q8,ProcessBench,0.33789473684210525,1000.0,1000.0,0.44398340248962653,0.2727272727272727,,,,
reference__var15__old,Varentropy15: Top10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7377863024015934,0.710137783099181,0.7105331032863103,0.6257812284738609
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_gsm8k_q4,ProcessBench,0.43783005280844933,400.0,400.0,0.5906735751295337,0.34782608695652173,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_gsm8k_q8,ProcessBench,0.40499999999999997,400.0,400.0,0.41968911917098445,0.391304347826087,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_math_q4,ProcessBench,0.3244005641748942,1000.0,1000.0,0.5665024630541872,0.22727272727272727,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_math_q8,ProcessBench,0.33102019678922834,1000.0,1000.0,0.4630541871921182,0.25757575757575757,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_olympiadbench_q4,ProcessBench,0.34789685163521694,1000.0,1000.0,0.5309734513274337,0.2586989409984871,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_olympiadbench_q8,ProcessBench,0.33597156571763587,1000.0,1000.0,0.4690265486725664,0.2617246596066566,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_omnimath_q4,ProcessBench,0.3350001445212013,1000.0,1000.0,0.5062240663900415,0.2503293807641634,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,pb_omnimath_q8,ProcessBench,0.3307241158152582,1000.0,1000.0,0.44398340248962653,0.2635046113306983,,,,
reference__var15_equal__old,Varentropy15 contributions: equal weights,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.746980350290861,0.6999879034964627,0.7001582996975813,0.6128118227013558
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_gsm8k_q4,ProcessBench,0.4339830031366451,400.0,400.0,0.5906735751295337,0.34299516908212563,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_gsm8k_q8,ProcessBench,0.39976260386081086,400.0,400.0,0.41968911917098445,0.38164251207729466,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_math_q4,ProcessBench,0.32951289398280803,1000.0,1000.0,0.5665024630541872,0.23232323232323232,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_math_q8,ProcessBench,0.3239869585468095,1000.0,1000.0,0.4630541871921182,0.24915824915824916,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_olympiadbench_q4,ProcessBench,0.3409907905097744,1000.0,1000.0,0.5309734513274337,0.25113464447806355,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_olympiadbench_q8,ProcessBench,0.32839863460967644,1000.0,1000.0,0.4690265486725664,0.2526475037821483,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_omnimath_q4,ProcessBench,0.33144226927686776,1000.0,1000.0,0.5062240663900415,0.2463768115942029,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,pb_omnimath_q8,ProcessBench,0.339909714094633,1000.0,1000.0,0.44398340248962653,0.2753623188405797,,,,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.74682374405604,0.710261309641098,0.7104753244529731,0.6226885909285921
reference__var50__old,Varentropy50: Top10,pb_gsm8k_q4,ProcessBench,0.4339830031366451,400.0,400.0,0.5906735751295337,0.34299516908212563,,,,
reference__var50__old,Varentropy50: Top10,pb_gsm8k_q8,ProcessBench,0.40499999999999997,400.0,400.0,0.41968911917098445,0.391304347826087,,,,
reference__var50__old,Varentropy50: Top10,pb_math_q4,ProcessBench,0.32951289398280803,1000.0,1000.0,0.5665024630541872,0.23232323232323232,,,,
reference__var50__old,Varentropy50: Top10,pb_math_q8,ProcessBench,0.32112689238832864,1000.0,1000.0,0.4630541871921182,0.24579124579124578,,,,
reference__var50__old,Varentropy50: Top10,pb_olympiadbench_q4,ProcessBench,0.3423826690130017,1000.0,1000.0,0.5309734513274337,0.2526475037821483,,,,
reference__var50__old,Varentropy50: Top10,pb_olympiadbench_q8,ProcessBench,0.3457809177089716,1000.0,1000.0,0.4690265486725664,0.27382753403933435,,,,
reference__var50__old,Varentropy50: Top10,pb_omnimath_q4,ProcessBench,0.3373514798012529,1000.0,1000.0,0.5062240663900415,0.25296442687747034,,,,
reference__var50__old,Varentropy50: Top10,pb_omnimath_q8,ProcessBench,0.3389040741276524,1000.0,1000.0,0.44398340248962653,0.2740447957839262,,,,
