bank,question,cell,category,feature,n,mean,median,p10,p90,total,stratum,exact,early,late,gate_miss,ci_low,ci_high,ci_level,draws
6,residual_by_error_type,pb_olympiadbench_q4,exact,mean_abs_correlation_excess,96,0.3381558822254764,0.33615823663649247,0.2978620824595702,0.38052703260338716,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q4,early,mean_abs_correlation_excess,392,0.3319512417883643,0.3304479015011811,0.2943938520270574,0.3715380545239382,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q4,late,mean_abs_correlation_excess,16,0.316074240764189,0.3031153790512386,0.282512242262035,0.36937510629250575,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q4,gate_miss,mean_abs_correlation_excess,157,0.3606883230149377,0.3565005532268638,0.33187382419589434,0.39375683894540175,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q8,exact,mean_abs_correlation_excess,104,0.33071278923757325,0.32829289763533875,0.2865548873401194,0.3776804216835742,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q8,early,mean_abs_correlation_excess,404,0.33028241349135523,0.33133680903971463,0.29031285431731507,0.37036831900794986,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q8,late,mean_abs_correlation_excess,17,0.3132577066870362,0.30752124174256074,0.2710408052370639,0.3654039136697195,,,,,,,,,,
6,residual_by_error_type,pb_olympiadbench_q8,gate_miss,mean_abs_correlation_excess,136,0.3610188897398703,0.3571219134559859,0.33319175890880637,0.3931261370792607,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q4,exact,mean_abs_correlation_excess,154,0.3245899057580097,0.322549154978658,0.2748258801593037,0.3747282817259437,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q4,early,mean_abs_correlation_excess,463,0.32473827693859164,0.323422459195202,0.2851098937645347,0.3638999982900576,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q4,late,mean_abs_correlation_excess,32,0.3146481480139205,0.30785226559874834,0.27327615925911025,0.369708426048674,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q4,gate_miss,mean_abs_correlation_excess,110,0.35886981938472085,0.35101583262617053,0.33002421654546876,0.3943468814149471,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q8,exact,mean_abs_correlation_excess,167,0.3206714670939584,0.3148402718853386,0.2761374497499527,0.36888023063766784,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q8,early,mean_abs_correlation_excess,469,0.3229706001984151,0.3224115503270463,0.2810319318777637,0.3618741651765755,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q8,late,mean_abs_correlation_excess,28,0.30978618883637576,0.3009034221745795,0.2652002199833418,0.37147239288375344,,,,,,,,,,
6,residual_by_error_type,pb_omnimath_q8,gate_miss,mean_abs_correlation_excess,95,0.35703853953532466,0.35326480169516006,0.32954400298747716,0.3863991619697717,,,,,,,,,,
6,readout_gained,,exact,,456,,,,,456,,,,,,,,,
6,readout_gained,,early,,0,,,,,456,,,,,,,,,
6,readout_gained,,late,,0,,,,,456,,,,,,,,,
6,readout_gained,,gate_miss,,0,,,,,456,,,,,,,,,
6,readout_lost,,exact,,0,,,,,732,,,,,,,,,
6,readout_lost,,early,,732,,,,,732,,,,,,,,,
6,readout_lost,,late,,0,,,,,732,,,,,,,,,
6,readout_lost,,gate_miss,,0,,,,,732,,,,,,,,,
6,learning_gained,,exact,,228,,,,,228,,,,,,,,,
6,learning_gained,,early,,0,,,,,228,,,,,,,,,
6,learning_gained,,late,,0,,,,,228,,,,,,,,,
6,learning_gained,,gate_miss,,0,,,,,228,,,,,,,,,
6,learning_lost,,exact,,0,,,,,390,,,,,,,,,
6,learning_lost,,early,,371,,,,,390,,,,,,,,,
6,learning_lost,,late,,19,,,,,390,,,,,,,,,
6,learning_lost,,gate_miss,,0,,,,,390,,,,,,,,,
6,truth_is_longest,,,,1330,,,,,,True,407,655,40,228,,,,
6,truth_is_longest,,,,3112,,,,,,False,533,1740,204,635,,,,
12,residual_by_error_type,pb_gsm8k_q4,exact,mean_abs_correlation_excess,63,0.41237379733719887,0.43759881524157973,0.30620911834451936,0.47374908453898446,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q4,early,mean_abs_correlation_excess,84,0.41468376622571224,0.4293294596008952,0.3213781186169872,0.46567059634461283,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q4,late,mean_abs_correlation_excess,7,0.4203740441350573,0.44237897276199317,0.35390446341322945,0.46892411746732016,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q4,gate_miss,mean_abs_correlation_excess,53,0.46369848828462945,0.4565020448341276,0.4323705035218391,0.5037459892782595,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q8,exact,mean_abs_correlation_excess,57,0.40145345534234633,0.4239135181361696,0.3039421322317246,0.4790345737977015,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q8,early,mean_abs_correlation_excess,110,0.41191641078915864,0.433037968713732,0.31234966403586467,0.4736881895611602,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q8,late,mean_abs_correlation_excess,8,0.4190498291114929,0.4502818611735784,0.30721795816772535,0.47193165183978397,,,,,,,,,,
12,residual_by_error_type,pb_gsm8k_q8,gate_miss,mean_abs_correlation_excess,32,0.4658963419262315,0.46716682973702456,0.43586671574791586,0.5008305825764231,,,,,,,,,,
12,residual_by_error_type,pb_math_q4,exact,mean_abs_correlation_excess,117,0.3985341335916078,0.4062165432703111,0.3155184112683645,0.4503700114615999,,,,,,,,,,
12,residual_by_error_type,pb_math_q4,early,mean_abs_correlation_excess,287,0.3998621592523535,0.4059432204915749,0.3310961549226198,0.44574857585780214,,,,,,,,,,
12,residual_by_error_type,pb_math_q4,late,mean_abs_correlation_excess,32,0.42355953884401737,0.43032067603484364,0.3342474532823425,0.48722867187863805,,,,,,,,,,
12,residual_by_error_type,pb_math_q4,gate_miss,mean_abs_correlation_excess,158,0.4329944972678884,0.429334132031163,0.40190679274608504,0.47466552219202796,,,,,,,,,,
12,residual_by_error_type,pb_math_q8,exact,mean_abs_correlation_excess,132,0.3985648630300029,0.4055831453164177,0.31089313396811935,0.46464083304246806,,,,,,,,,,
12,residual_by_error_type,pb_math_q8,early,mean_abs_correlation_excess,303,0.39689756953561317,0.4039133799324097,0.3240541483840643,0.44596913827251256,,,,,,,,,,
12,residual_by_error_type,pb_math_q8,late,mean_abs_correlation_excess,37,0.4244161725023959,0.4456620599027661,0.31737088187675866,0.4902864583683764,,,,,,,,,,
12,residual_by_error_type,pb_math_q8,gate_miss,mean_abs_correlation_excess,122,0.4338262389156269,0.42874551666874383,0.40434986911540727,0.4778835841687319,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q4,exact,mean_abs_correlation_excess,76,0.3877908869333161,0.39202346829291934,0.3395497278478803,0.4263634737220888,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q4,early,mean_abs_correlation_excess,418,0.390279150238917,0.39432261147502806,0.3547148387356062,0.42375473831483307,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q4,late,mean_abs_correlation_excess,10,0.37655229873888685,0.3793361816866349,0.3481618283231391,0.4148027240326734,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q4,gate_miss,mean_abs_correlation_excess,157,0.4206714826555841,0.4174242192181961,0.3984157626923953,0.44401749398287016,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q8,exact,mean_abs_correlation_excess,80,0.38932467689763844,0.3946482348711855,0.34592669344217647,0.43023534862223206,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q8,early,mean_abs_correlation_excess,434,0.3896300853563895,0.39408053541513444,0.35392946107830286,0.424008832748371,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q8,late,mean_abs_correlation_excess,11,0.376445946280847,0.37818549837691,0.2966661768637988,0.4463539307569957,,,,,,,,,,
12,residual_by_error_type,pb_olympiadbench_q8,gate_miss,mean_abs_correlation_excess,136,0.421519027214518,0.4194457226839221,0.3997281922231656,0.4464277181689047,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q4,exact,mean_abs_correlation_excess,125,0.37552491188143267,0.38002033072280045,0.30031710786430016,0.4217619686622109,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q4,early,mean_abs_correlation_excess,508,0.3828303965020151,0.38837556093078374,0.34041741047998975,0.4182494149612034,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q4,late,mean_abs_correlation_excess,16,0.36090125094399594,0.36616075437244777,0.29542633221254533,0.4129490204159304,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q4,gate_miss,mean_abs_correlation_excess,110,0.4163387491304651,0.4130013713133243,0.3951286249239927,0.44033074475678446,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q8,exact,mean_abs_correlation_excess,128,0.3722419031895122,0.3775359532109597,0.29533621731888965,0.42541654684433,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q8,early,mean_abs_correlation_excess,520,0.3803133240152531,0.3865807585016058,0.3177374732453381,0.4181582237280137,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q8,late,mean_abs_correlation_excess,16,0.355623160231863,0.36508430814056064,0.29417125205082556,0.3957510045439626,,,,,,,,,,
12,residual_by_error_type,pb_omnimath_q8,gate_miss,mean_abs_correlation_excess,95,0.4170837364332546,0.4163283845685092,0.3964590764666119,0.4394096005127851,,,,,,,,,,
12,readout_gained,,exact,,448,,,,,448,,,,,,,,,
12,readout_gained,,early,,0,,,,,448,,,,,,,,,
12,readout_gained,,late,,0,,,,,448,,,,,,,,,
12,readout_gained,,gate_miss,,0,,,,,448,,,,,,,,,
12,readout_lost,,exact,,0,,,,,882,,,,,,,,,
12,readout_lost,,early,,882,,,,,882,,,,,,,,,
12,readout_lost,,late,,0,,,,,882,,,,,,,,,
12,readout_lost,,gate_miss,,0,,,,,882,,,,,,,,,
12,learning_gained,,exact,,212,,,,,212,,,,,,,,,
12,learning_gained,,early,,0,,,,,212,,,,,,,,,
12,learning_gained,,late,,0,,,,,212,,,,,,,,,
12,learning_gained,,gate_miss,,0,,,,,212,,,,,,,,,
12,learning_lost,,exact,,0,,,,,573,,,,,,,,,
12,learning_lost,,early,,555,,,,,573,,,,,,,,,
12,learning_lost,,late,,18,,,,,573,,,,,,,,,
12,learning_lost,,gate_miss,,0,,,,,573,,,,,,,,,
12,truth_is_longest,,,,1330,,,,,,True,322,754,26,228,,,,
12,truth_is_longest,,,,3112,,,,,,False,456,1910,111,635,,,,
6,residual_model_excess,,,mean_abs_correlation,13769,0.36818388700612303,0.366459368581795,0.30978463124780536,0.43049812661564585,,all,,,,,0.3664409067528656,0.3699139329393697,0.95,10000
6,residual_model_excess,,,largest_eigenvalue,13769,1.999990072013425,1.985140834540423,1.7441582356423044,2.2820601128656173,,all,,,,,1.9920757306468622,2.0079206901792332,0.95,10000
6,residual_model_excess,,,top_eigen_share,13769,0.3333316786689041,0.33085680575673726,0.2906930392737173,0.38034335214426956,,all,,,,,0.33201262177447716,0.33465344836320565,0.95,10000
6,residual_model_excess,,,mean_variance,13769,-0.3551536326765569,-0.35663206181798335,-0.39384574925526317,-0.3141506284796593,,all,,,,,-0.3562839228288698,-0.35402687655234005,0.95,10000
6,residual_model_excess,,,mean_squared_residual_mean,13769,-0.002980591997546613,-0.0022973268714645617,-0.00587350910160043,-0.0008711603596235234,,all,,,,,-0.0030725565015180673,-0.0028896182574300764,0.95,10000
6,class_log_variance_ratio,,,entropy15,4030,-0.8045958092433455,-0.5070440906431569,-3.4140865330146677,1.544358006621812,,all,,,,,-0.8802331450898294,-0.7290008646333357,0.95,10000
6,class_log_variance_ratio,,,varentropy15,4030,-0.9179622604178552,-0.6098616410865147,-3.574731705936872,1.3856090749038672,,all,,,,,-0.992582766737431,-0.8443232634277781,0.95,10000
6,class_log_variance_ratio,,,moment3_15,4030,-0.7928744050722883,-0.5127618342070657,-3.5486892877466003,1.6785517701077508,,all,,,,,-0.8697043974374036,-0.7160381580746756,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,4030,-1.2126650467817972,-0.8796473581508877,-3.9751408816667055,1.1811905409452543,,all,,,,,-1.2954941156768198,-1.1318893046948557,0.95,10000
6,class_log_variance_ratio,,,selected_squared,4029,-2.440528143075206,-2.216300018020317,-5.337952547621748,0.11207881396523231,,all,,,,,-2.5345695727793918,-2.3471756802110284,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,4029,-4.0434292748730725,-3.9398080386766026,-7.283935964776234,-1.2740478016139525,,all,,,,,-4.157813541701159,-3.9311106621067036,0.95,10000
6,lag_excess,,,lag1,13364,0.15710102787529093,0.15014654265471616,-0.17853015574756476,0.5021323304816209,,all,,,,,0.14943747390513704,0.16496941582274194,0.95,10000
6,lag_excess,,,lag2,12388,0.06655775724412404,0.07257132204272049,-0.3002102759196528,0.4208097035288532,,all,,,,,0.058184143912569986,0.07494601456693405,0.95,10000
6,lag_excess,,,lag3,11032,0.02507611957196475,0.030024959606746247,-0.3666922118137789,0.3996140080262429,,all,,,,,0.01598115644683019,0.03408789841664149,0.95,10000
6,class_log_variance_ratio,,,entropy15,972,-0.8551119191927875,-0.5369746704980596,-3.8854486121777088,1.6740655292421303,,entropy_low,,,,,-1.008358250729116,-0.7004669772649997,0.95,10000
6,class_log_variance_ratio,,,varentropy15,972,-0.8345061293367889,-0.5999101745031464,-3.7314519484451,1.6339728922555485,,entropy_low,,,,,-1.0009295094906654,-0.6676257586924789,0.95,10000
6,class_log_variance_ratio,,,moment3_15,972,-0.74966707120658,-0.5040534320474304,-3.754287302872065,1.6582277588703274,,entropy_low,,,,,-0.9059551883045946,-0.5958237548064467,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,972,-1.3638996947321753,-1.1030753745799666,-5.0204225956765764,1.9178890819355117,,entropy_low,,,,,-1.579929631886414,-1.153230236525726,0.95,10000
6,class_log_variance_ratio,,,selected_squared,970,-2.0974975743980804,-2.2741963668531344,-6.682583332571609,2.6547969128650024,,entropy_low,,,,,-2.383778887936994,-1.8096901907568188,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,969,-3.1290053075609974,-3.5958217831650265,-9.284914074213601,3.7891883875994385,,entropy_low,,,,,-3.5283711277574454,-2.7206184220892062,0.95,10000
6,lag_excess,,,lag1,5728,0.12076875196377773,0.10922414167188957,-0.33547044302521656,0.5988626118705733,,entropy_low,,,,,0.10522278336302877,0.13628174095702142,0.95,10000
6,lag_excess,,,lag2,4490,0.07868021134798962,0.07758274767203259,-0.3808380951761094,0.5465599890651317,,entropy_low,,,,,0.06228479698315448,0.09559785456951818,0.95,10000
6,lag_excess,,,lag3,3589,0.03189707603100608,0.02559575977411359,-0.4424875055622694,0.5011413799814005,,entropy_low,,,,,0.013094604174616286,0.05053424751411707,0.95,10000
6,class_log_variance_ratio,,,entropy15,1778,-0.6584682465270187,-0.3782700822890112,-4.095538158742872,2.3059795290304064,,entropy_high,,,,,-0.7931186151519624,-0.5242014391609088,0.95,10000
6,class_log_variance_ratio,,,varentropy15,1778,-0.7841731356869583,-0.5225356432355641,-4.05296685994115,2.0344801208596626,,entropy_high,,,,,-0.9102400948981444,-0.6592704060641169,0.95,10000
6,class_log_variance_ratio,,,moment3_15,1778,-0.6529757830448685,-0.45657252015631006,-3.7840402165819005,2.2694690366035646,,entropy_high,,,,,-0.7850199396274121,-0.5215957109933803,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,1778,-0.9743050938313543,-0.7949250915101282,-4.145907440361874,1.9082754512015871,,entropy_high,,,,,-1.112642480358866,-0.8390505518769177,0.95,10000
6,class_log_variance_ratio,,,selected_squared,1778,-1.4282440399217124,-1.3065040419602962,-5.26502675235415,2.2246144323416024,,entropy_high,,,,,-1.6109726048787785,-1.2497329520010039,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,1778,-1.8304852531977773,-1.5898857686147863,-6.801926358565938,2.909077858524932,,entropy_high,,,,,-2.0754710847655686,-1.5863688455345881,0.95,10000
6,lag_excess,,,lag1,4099,0.10434242318046416,0.09691483359511632,-0.3345758490640583,0.5581949053085578,,entropy_high,,,,,0.08864303653052803,0.12044045088415507,0.95,10000
6,lag_excess,,,lag2,3119,0.05747561087584824,0.05351039599814548,-0.38102603862568984,0.5142243022090813,,entropy_high,,,,,0.04021482450890293,0.07447751315619258,0.95,10000
6,lag_excess,,,lag3,2487,0.033656644326790976,0.02631940130037778,-0.40958749643382397,0.49122347064451427,,entropy_high,,,,,0.01425572917100884,0.05270639826023072,0.95,10000
6,class_log_variance_ratio,,,entropy15,1214,-0.7394181248438285,-0.5421326682134131,-3.65782582439849,2.018744964225356,,short,,,,,-0.8900149761089555,-0.5944049648239853,0.95,10000
6,class_log_variance_ratio,,,varentropy15,1214,-0.8701589442659594,-0.5188453610740734,-3.8712311134041513,1.7239345498197636,,short,,,,,-1.0264595986608862,-0.7153477749242368,0.95,10000
6,class_log_variance_ratio,,,moment3_15,1214,-0.6394387627619568,-0.49584921508662816,-3.6290621447139486,2.1823249666380304,,short,,,,,-0.7898395738672425,-0.49231228047947667,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,1214,-1.1500475782346007,-0.9265402914211711,-4.533083752110498,1.996589669673386,,short,,,,,-1.3207296157980861,-0.9791363752586457,0.95,10000
6,class_log_variance_ratio,,,selected_squared,1213,-1.9646373569069462,-2.028689338121573,-5.857252784133733,2.5106108020060693,,short,,,,,-2.192656681928014,-1.7324703117623288,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,1212,-2.957822697232774,-3.3614902040509795,-8.086299151529447,3.024803958012409,,short,,,,,-3.2651388876068763,-2.6463747862216507,0.95,10000
6,lag_excess,,,lag1,5163,0.16004650479235716,0.14156132711711636,-0.3181574495746434,0.6631312721043056,,short,,,,,0.14303844624615078,0.17727466630587735,0.95,10000
6,lag_excess,,,lag2,4313,0.08316988328983856,0.0785848404100646,-0.37870251182344944,0.5575457000453232,,short,,,,,0.06566893628058432,0.1002747201041391,0.95,10000
6,lag_excess,,,lag3,3455,0.037611620870919245,0.022294341185984962,-0.42876257452879424,0.5026387721281345,,short,,,,,0.018792032122570537,0.0565320389098372,0.95,10000
6,class_log_variance_ratio,,,entropy15,1491,-0.4120307269104555,-0.23341022791333196,-3.8382609589290353,2.697538938588706,,long,,,,,-0.5598859373838936,-0.26314718133281173,0.95,10000
6,class_log_variance_ratio,,,varentropy15,1491,-0.5409333998750834,-0.27575741125743963,-3.8074709677771232,2.2683423372649005,,long,,,,,-0.6890764446268461,-0.39284824428939025,0.95,10000
6,class_log_variance_ratio,,,moment3_15,1491,-0.3348386994577731,-0.1359396198725309,-3.5891963739946458,2.750122661027312,,long,,,,,-0.4885468126412559,-0.17903576535168528,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,1491,-0.3344832106559626,-0.20944581815799523,-3.567934548880825,2.538820245423749,,long,,,,,-0.47265557251496837,-0.19345430549076256,0.95,10000
6,class_log_variance_ratio,,,selected_squared,1491,-0.7288295537958774,-0.7756068685593841,-4.408966959981255,3.028722076642886,,long,,,,,-0.9263045804141967,-0.5384891327002755,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,1491,-1.1443079090806891,-1.1074438142818461,-6.36776035260118,3.7809592271569996,,long,,,,,-1.4226948646745345,-0.8716953347211553,0.95,10000
6,lag_excess,,,lag1,3834,0.13562229119441074,0.12474476501502704,-0.3342376044994391,0.6246345932915132,,long,,,,,0.11655148240853062,0.1543085010364034,0.95,10000
6,lag_excess,,,lag2,3135,0.11023388780293529,0.10387631242154077,-0.3762046357227502,0.6062018323460232,,long,,,,,0.08989581309895717,0.13038194854047855,0.95,10000
6,lag_excess,,,lag3,2439,0.06413421708710297,0.06939607670528451,-0.4275906088444504,0.5465049108238508,,long,,,,,0.0406247942395984,0.08771560513733684,0.95,10000
6,class_log_variance_ratio,,,entropy15,865,-0.5668272368716761,-0.43979391095384324,-3.8624801337958194,2.5628213574581045,,early,,,,,-0.763163471819927,-0.3691140777163808,0.95,10000
6,class_log_variance_ratio,,,varentropy15,865,-0.6856322998272482,-0.552147968049058,-3.8313677930718355,2.353337148284194,,early,,,,,-0.8970391077213155,-0.46980224360920975,0.95,10000
6,class_log_variance_ratio,,,moment3_15,865,-0.4937335770376047,-0.36922007965532155,-3.7214599226327487,2.511711601694254,,early,,,,,-0.7095868197363373,-0.2744149119225283,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,865,-1.3156364923645842,-1.0210540393541898,-4.540919307547685,1.4229577246545022,,early,,,,,-1.5154892362231387,-1.1169126947393548,0.95,10000
6,class_log_variance_ratio,,,selected_squared,865,-2.860409446352885,-2.7478489986808774,-6.0791098252270235,-0.08842513735868124,,early,,,,,-3.0737714815430763,-2.6371217772469757,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,865,-4.625041876072672,-4.644484295907352,-8.530174225562355,-1.7393147025698639,,early,,,,,-4.879625116945786,-4.358585234435084,0.95,10000
6,lag_excess,,,lag1,9497,0.17484936146460334,0.16271200562607432,-0.2509061113131434,0.6161729013353019,,early,,,,,0.1614831765408019,0.1883764558611172,0.95,10000
6,lag_excess,,,lag2,6709,0.09059047691223696,0.09559040069259965,-0.36927136955476164,0.5417099376657075,,early,,,,,0.07456497611312328,0.10677849844015615,0.95,10000
6,lag_excess,,,lag3,4738,0.029856590195719526,0.037171236099474224,-0.4576303736623193,0.5081361671763012,,early,,,,,0.009238843840500886,0.05033613263140354,0.95,10000
6,class_log_variance_ratio,,,entropy15,1937,-0.7437593592982931,-0.593025393118209,-3.643690037919026,1.9674594885019472,,late,,,,,-0.8574376487001958,-0.6316071740065968,0.95,10000
6,class_log_variance_ratio,,,varentropy15,1937,-0.893204505656078,-0.6458111718982091,-4.022038042049063,1.8289897224695022,,late,,,,,-1.004116068736426,-0.7785743928507155,0.95,10000
6,class_log_variance_ratio,,,moment3_15,1937,-0.7668810404305337,-0.6040596720009503,-3.8180546707306573,2.2149223833270395,,late,,,,,-0.8824383323198609,-0.6495773251782955,0.95,10000
6,class_log_variance_ratio,,,selected_surprisal,1937,-0.49945509530304566,-0.27433283960295723,-4.080196623493323,2.6032304432904763,,late,,,,,-0.6240907575413545,-0.37423123256373386,0.95,10000
6,class_log_variance_ratio,,,selected_squared,1936,-0.1709227309087631,-0.022333668059197072,-4.065869826263169,3.4598324992159197,,late,,,,,-0.32022757408360863,-0.020208374536058588,0.95,10000
6,class_log_variance_ratio,,,selected_cubed,1935,0.1262620825477813,0.11287911935985077,-4.3390614870867505,4.3635424781939856,,late,,,,,-0.05823234495216731,0.3118264132227245,0.95,10000
6,lag_excess,,,lag1,7958,0.09266719872454882,0.07747287819793151,-0.2934392081858051,0.4980108108520162,,late,,,,,0.08276084835617914,0.10271724975753369,0.95,10000
6,lag_excess,,,lag2,5585,0.021687051229602666,0.01906072490782849,-0.41751253369259195,0.45667138487198533,,late,,,,,0.009021351831401693,0.03464314361440605,0.95,10000
6,lag_excess,,,lag3,4006,0.003368144078560806,-4.0415472461384494e-05,-0.43415472043769326,0.4412880271323222,,late,,,,,-0.012208362708925604,0.019036649683468937,0.95,10000
6,reliability_regime_interaction,,,entropy15,2401,-0.09745753180256665,-0.017857142857142794,-0.6833333333333333,0.5,,high_minus_low_entropy,,,,,-0.11848561938317843,-0.07694755204195833,0.95,10000
6,reliability_regime_interaction,,,varentropy15,2401,-0.08932845935695899,-0.033333333333333326,-0.6666666666666667,0.5,,high_minus_low_entropy,,,,,-0.11045661593685321,-0.06858623805557039,0.95,10000
6,reliability_regime_interaction,,,moment3_15,2401,-0.10085929219997858,-0.010227272727272696,-0.6666666666666666,0.4907635467980296,,high_minus_low_entropy,,,,,-0.12111290679151453,-0.08120825728441579,0.95,10000
6,reliability_regime_interaction,,,selected_surprisal,2401,0.02021449710980967,0.0,-0.55,0.6666666666666666,,high_minus_low_entropy,,,,,-0.001999945441476836,0.04269765808646353,0.95,10000
6,reliability_regime_interaction,,,selected_squared,2401,0.036532671390468036,0.0,-0.5333333333333334,0.6666666666666667,,high_minus_low_entropy,,,,,0.01355829374628083,0.05996959720529497,0.95,10000
6,reliability_regime_interaction,,,selected_cubed,2401,0.04201123780475885,0.0,-0.5333333333333332,0.6896551724137931,,high_minus_low_entropy,,,,,0.01905577775828332,0.06493960475018248,0.95,10000
6,reliability_regime_interaction,,,entropy15,2632,0.02160087148268878,0.0,-0.33333333333333337,0.375,,long_minus_short,,,,,0.008982851498115167,0.034606040690543016,0.95,10000
6,reliability_regime_interaction,,,varentropy15,2632,0.017942360583596835,0.0,-0.3666666666666666,0.38454670329670343,,long_minus_short,,,,,0.005046465366011824,0.031230247259493592,0.95,10000
6,reliability_regime_interaction,,,moment3_15,2632,0.02402667922417145,0.0,-0.3333333333333333,0.33333333333333337,,long_minus_short,,,,,0.012335556515586231,0.03584061219236692,0.95,10000
