lane,representation,graph,tie_seed,graph_role,cells,median_raw_target_effect,exact_eligible_cells,exact_eligible_fraction,median_exact_target_effect,fraction_exact_effect_positive,fraction_exact_holm_p_le_0p05,median_exact_purity_excess,crt_eligible_cells,crt_eligible_fraction,median_crt_target_effect,fraction_crt_effect_positive,fraction_crt_holm_p_le_0p05,median_crt_purity_excess,pair_eligible_cells,pair_eligible_fraction,median_pair_target_effect,fraction_pair_effect_positive,fraction_pair_holm_p_le_0p05,median_pair_purity_excess,median_length_effect,healthy_graph_fraction,median_largest_component_fraction,median_isolated_fraction,mean_iu_auroc,mean_liu_auroc,mean_liu_delta_auroc,spearman_exact_effect_vs_liu_delta
processbench,drop_length,length_only_knn_k7,101,control,4,0.06594864399574371,4,1.0,0.0007906460464665599,0.5,0.0,0.0002144338872905882,3,0.75,-0.0290890026727556,0.3333333333333333,0.0,-0.008514137105250175,4,1.0,0.008183771117484976,1.0,0.0,0.0038768953253707217,0.992925041292394,0.0,0.6395,0.0,0.7878115650319852,0.7866277093438611,-0.0011838556881240136,0.39999999999999997
processbench,drop_length,length_only_knn_k7,211,control,4,0.0666958138500866,4,1.0,0.000702387951485412,0.5,0.0,-0.00033205257273738464,3,0.75,-0.027932914214258534,0.3333333333333333,0.0,-0.00919990271340465,4,1.0,0.007789273284746434,1.0,0.0,0.003506917808757948,0.992924581320497,0.0,0.6395,0.0,0.7878115650319852,0.7866283641345456,-0.0011832008974395902,0.39999999999999997
processbench,drop_length,length_only_knn_k7,307,control,4,0.06418620913554011,4,1.0,2.163019467397183e-05,0.5,0.0,0.0001521016294031008,3,0.75,-0.031051116702561103,0.3333333333333333,0.0,-0.010663836031909901,4,1.0,0.008210549023574116,1.0,0.0,0.0037381464102334006,0.9929249535723852,0.0,0.6395,0.0,0.7878115650319852,0.7866213999161322,-0.0011901651158528204,-0.39999999999999997
processbench,drop_length,permuted_self_safe_union_knn_k7,101,control,4,0.005419177928283088,4,1.0,0.004333801672782904,0.75,0.0,0.00269247451164889,3,0.75,0.0037594397194473856,0.6666666666666666,0.0,0.0008326076233446944,4,1.0,-0.0025413358349152377,0.5,0.0,-0.0015565505484070319,0.006347549413607935,1.0,1.0,0.0,0.7878115650319852,0.7878254829138742,1.3917881888980688e-05,0.0
processbench,drop_length,permuted_self_safe_union_knn_k7,211,control,4,0.002673350535538043,4,1.0,-0.008296229163946577,0.25,0.0,-0.0010374899993204623,3,0.75,0.011240259906283648,0.6666666666666666,0.0,0.0015835386359630554,4,1.0,-0.012600948857270276,0.25,0.0,-0.003594080415009915,0.005841917418916474,1.0,1.0,0.0,0.7878115650319852,0.7878492625077882,3.7697475803066816e-05,0.7999999999999999
processbench,drop_length,permuted_self_safe_union_knn_k7,307,control,4,-0.009301242565763004,4,1.0,-0.006301418977919025,0.25,0.0,-0.002330536602659472,3,0.75,-0.00571158666232128,0.0,0.0,0.001101516692393556,4,1.0,-0.0023742380220098916,0.25,0.0,-5.31482090923574e-06,0.006299806612929744,1.0,1.0,0.0,0.7878115650319852,0.787851880510071,4.031547808597269e-05,0.39999999999999997
processbench,train_residualized,union_knn_k7_self_safe,101,candidate,4,0.22474900237317402,4,1.0,0.13867908358058312,1.0,1.0,0.05155298407677977,3,0.75,0.19357552616366158,1.0,1.0,0.0771509294333903,4,1.0,0.17727572944266204,1.0,1.0,0.0698138149264304,0.3722163197900208,1.0,1.0,0.0,0.7393293757116732,0.7418551822489228,0.002525806537249542,1.0
processbench,train_residualized,union_knn_k7_self_safe,211,candidate,4,0.22474900237317402,4,1.0,0.13867908358058312,1.0,1.0,0.05155298407677977,3,0.75,0.19357552616366158,1.0,1.0,0.0771509294333903,4,1.0,0.17727572944266204,1.0,1.0,0.0698138149264304,0.3722163197900208,1.0,1.0,0.0,0.7393293757116732,0.7418551822489228,0.002525806537249542,1.0
processbench,train_residualized,union_knn_k7_self_safe,307,candidate,4,0.22474900237317402,4,1.0,0.13867908358058312,1.0,1.0,0.05155298407677977,3,0.75,0.19357552616366158,1.0,1.0,0.0771509294333903,4,1.0,0.17727572944266204,1.0,1.0,0.0698138149264304,0.3722163197900208,1.0,1.0,0.0,0.7393293757116732,0.7418551822489228,0.002525806537249542,1.0
processbench,train_residualized,radius_edge_matched_k7,101,candidate,4,0.16194791010374465,4,1.0,0.09495885492912612,1.0,1.0,0.0313517506386915,3,0.75,0.14879422056051994,1.0,1.0,0.027407002731084984,4,1.0,0.1259942216412206,1.0,1.0,0.04038911867230349,0.2390534368369518,0.0,0.8089999999999999,0.14925,0.7393293757116732,0.7396474824431765,0.00031810673150334257,-0.39999999999999997
