lane,representation,graph,tie_seed,cells,mean_liu_delta_auroc,median_liu_delta_auroc,ci_low,ci_high,positive_cells_fraction
processbench,original,diffusion_edge_matched_base25_t2,307,4,0.0019267261594683172,0.0019089312917502932,0.001226751521829772,0.0026444956648248863,1.0
processbench,original,diffusion_edge_matched_base25_t4,101,4,0.0017245317386165027,0.0016582176420306127,0.001048018497523312,0.0024673590762955833,1.0
processbench,original,diffusion_edge_matched_base25_t4,211,4,0.0017245317386165027,0.0016582176420306127,0.001048018497523312,0.0024673590762955833,1.0
processbench,original,diffusion_edge_matched_base25_t4,307,4,0.0017245317386165027,0.0016582176420306127,0.001048018497523312,0.0024673590762955833,1.0
processbench,original,deployed_union_knn_k7,101,4,0.0021147657360987837,0.0022479501987673345,0.001368806731787131,0.0028002286580766644,1.0
processbench,original,deployed_union_knn_k7,211,4,0.0021147657360987837,0.0022479501987673345,0.001368806731787131,0.0028002286580766644,1.0
processbench,original,deployed_union_knn_k7,307,4,0.0021147657360987837,0.0022479501987673345,0.001368806731787131,0.0028002286580766644,1.0
processbench,original,mutual_knn_k7,101,4,0.001619452651574621,0.00138111879077496,0.001055492202231001,0.002421746961717902,1.0
processbench,original,mutual_knn_k7,211,4,0.001619452651574621,0.00138111879077496,0.001055492202231001,0.002421746961717902,1.0
processbench,original,mutual_knn_k7,307,4,0.001619452651574621,0.00138111879077496,0.001055492202231001,0.002421746961717902,1.0
processbench,original,length_only_knn_k7,101,4,-0.002422604569601444,-0.002533072836933714,-0.0035105800147294253,-0.0012241608571411933,0.0
processbench,original,length_only_knn_k7,211,4,-0.0024228747202975354,-0.0025428547178895644,-0.0035154331233729352,-0.0012103363196301065,0.0
processbench,original,length_only_knn_k7,307,4,-0.0024162869684622446,-0.00252760593628365,-0.0035171763151133906,-0.001204078653989693,0.0
processbench,original,permuted_self_safe_union_knn_k7,101,4,4.871391192004526e-05,2.6406895585751045e-06,-2.6143958987145943e-05,0.00016481041642033012,0.5
processbench,original,permuted_self_safe_union_knn_k7,211,4,3.4245548839878515e-05,6.787245429240585e-06,-1.753469130499896e-05,0.00011056470359194215,0.5
processbench,original,permuted_self_safe_union_knn_k7,307,4,-6.195572658379556e-05,-5.511496295740326e-05,-0.00010502176413482167,-2.573045265916174e-05,0.0
processbench,drop_length,union_knn_k7_self_safe,101,4,0.0010875928649199396,0.001173283805308012,0.000541313846823821,0.0015481809426279858,1.0
processbench,drop_length,union_knn_k7_self_safe,211,4,0.0010875928649199396,0.001173283805308012,0.000541313846823821,0.0015481809426279858,1.0
processbench,drop_length,union_knn_k7_self_safe,307,4,0.0010875928649199396,0.001173283805308012,0.000541313846823821,0.0015481809426279858,1.0
processbench,drop_length,radius_edge_matched_k7,101,4,0.00025246644969034726,0.00013582434473835558,4.399480623318297e-05,0.0005590740115972159,1.0
processbench,drop_length,radius_edge_matched_k7,211,4,0.00025246644969034726,0.00013582434473835558,4.399480623318297e-05,0.0005590740115972159,1.0
processbench,drop_length,radius_edge_matched_k7,307,4,0.00025246644969034726,0.00013582434473835558,4.399480623318297e-05,0.0005590740115972159,1.0
processbench,drop_length,adaptive_knn_mean7_k3_25,101,4,0.0011398840103556962,0.0011209880530925753,0.0005047061948542653,0.001793957783120248,1.0
processbench,drop_length,adaptive_knn_mean7_k3_25,211,4,0.0011398840103556962,0.0011209880530925753,0.0005047061948542653,0.001793957783120248,1.0
processbench,drop_length,adaptive_knn_mean7_k3_25,307,4,0.0011398840103556962,0.0011209880530925753,0.0005047061948542653,0.001793957783120248,1.0
processbench,drop_length,diffusion_edge_matched_base25_t2,101,4,0.000997163728053363,0.0010385098924853842,0.0005475062841492351,0.0014054750075254696,1.0
processbench,drop_length,diffusion_edge_matched_base25_t2,211,4,0.000997163728053363,0.0010385098924853842,0.0005475062841492351,0.0014054750075254696,1.0
processbench,drop_length,diffusion_edge_matched_base25_t2,307,4,0.000997163728053363,0.0010385098924853842,0.0005475062841492351,0.0014054750075254696,1.0
processbench,drop_length,diffusion_edge_matched_base25_t4,101,4,0.0008769167207970108,0.0009061911476885287,0.0005044416814181107,0.0012201173332843929,1.0
processbench,drop_length,diffusion_edge_matched_base25_t4,211,4,0.0008769167207970108,0.0009061911476885287,0.0005044416814181107,0.0012201173332843929,1.0
processbench,drop_length,diffusion_edge_matched_base25_t4,307,4,0.0008769167207970108,0.0009061911476885287,0.0005044416814181107,0.0012201173332843929,1.0
processbench,drop_length,deployed_union_knn_k7,101,4,0.0010828651756447372,0.0011615970708519496,0.0005415509637792804,0.0015454474923029815,1.0
processbench,drop_length,deployed_union_knn_k7,211,4,0.0010828651756447372,0.0011615970708519496,0.0005415509637792804,0.0015454474923029815,1.0
processbench,drop_length,deployed_union_knn_k7,307,4,0.0010828651756447372,0.0011615970708519496,0.0005415509637792804,0.0015454474923029815,1.0
processbench,drop_length,mutual_knn_k7,101,4,0.0008126274951008594,0.0008276740214195333,0.0004998284437421341,0.0011254265464595847,1.0
processbench,drop_length,mutual_knn_k7,211,4,0.0008126274951008594,0.0008276740214195333,0.0004998284437421341,0.0011254265464595847,1.0
processbench,drop_length,mutual_knn_k7,307,4,0.0008126274951008594,0.0008276740214195333,0.0004998284437421341,0.0011254265464595847,1.0
processbench,drop_length,length_only_knn_k7,101,4,-0.0011838556881240136,-0.0011399479262134138,-0.0018956418264859387,-0.0005159773116726885,0.0
processbench,drop_length,length_only_knn_k7,211,4,-0.0011832008974395902,-0.0011579301581441936,-0.0018863499076113566,-0.0005053226265632205,0.0
processbench,drop_length,length_only_knn_k7,307,4,-0.0011901651158528204,-0.001167712039100044,-0.0018944628564092347,-0.0005083204520491824,0.0
processbench,drop_length,permuted_self_safe_union_knn_k7,101,4,1.3917881888980688e-05,1.1156779528620486e-05,-8.200350974929549e-06,3.731900283640566e-05,0.5
processbench,drop_length,permuted_self_safe_union_knn_k7,211,4,3.7697475803066816e-05,4.3012894492433507e-05,-5.689878878667454e-06,8.108483048480108e-05,0.75
processbench,drop_length,permuted_self_safe_union_knn_k7,307,4,4.031547808597269e-05,2.6106919237101067e-05,1.352769352980232e-05,8.131182149101468e-05,1.0
processbench,train_residualized,union_knn_k7_self_safe,101,4,0.002525806537249542,0.0024578584621695043,0.0018390819109230239,0.00321253116357606,1.0
