contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,p_adjusted,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,analysis_tier,inference
pb::P2R_A_TOPK2::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPK2,P2R_A_TOPK5_REFERENCE,macro_f1,-0.024574680973367513,-0.0404415211616117,-0.009942357348308105,,0,0,8,-0.062465615815852915,processbench_gsm8k_qwen3_8b,0,0,4,-0.054034541952463655,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_TOPK2::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPK2,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.031913723833081886,-0.043930622865086734,-0.02004342983147544,,0,0,8,-0.09178743961352659,processbench_gsm8k_qwen3_8b,0,0,4,-0.07971014492753625,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK2::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPK2,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.00787476931165676,-0.019917749064226824,0.004337713300272927,,3,1,4,-0.043478260869565244,processbench_gsm8k_qwen3_8b,1,0,3,-0.03140096618357488,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK2::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPK2,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.007619551589805429,0.0008681924064067067,0.014649758533087375,,6,2,0,0.0,processbench_gsm8k_qwen3_4b,4,0,0,0.006157635467980316,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK2::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPK2,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.015375000000000028,-0.023125000000000007,-0.007687500000000014,,0,0,8,-0.040000000000000036,processbench_gsm8k_qwen3_8b,0,0,4,-0.03750000000000003,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK3::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPK3,P2R_A_TOPK5_REFERENCE,macro_f1,-0.01184287795974337,-0.0231443681767296,-0.000943675133688773,,1,0,7,-0.025059218319582355,processbench_gsm8k_qwen3_8b,0,0,4,-0.018637637998141332,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_TOPK3::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPK3,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.01603603732295439,-0.024847856774751365,-0.0074578810504534795,,1,0,7,-0.048309178743961345,processbench_gsm8k_qwen3_8b,0,0,4,-0.03381642512077296,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK3::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPK3,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.004559520637761771,-0.013327265911688879,0.004172042864985972,,3,0,5,-0.01932367149758457,processbench_gsm8k_qwen3_8b,1,0,3,-0.012077294685990364,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK3::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPK3,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.006893048868810148,0.001701863811718038,0.012402992925695206,,5,2,1,-0.0024630541871921152,processbench_math_qwen3_4b,4,0,0,0.0020746887966804906,omnimath,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK3::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPK3,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.006687500000000068,-0.012437499999999935,-0.0010000000000000009,,1,1,6,-0.013000000000000012,processbench_math_qwen3_4b,1,0,3,-0.01125000000000001,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK8::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPK8,P2R_A_TOPK5_REFERENCE,macro_f1,0.009199071671290304,-0.0004587058781313695,0.01904690191993205,,7,0,1,-0.0030603574140507517,processbench_math_qwen3_8b,3,0,1,-0.0010530788600555396,math,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_TOPK8::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPK8,P2R_A_TOPK5_REFERENCE,first_error_exact,0.013202789698382678,0.0053996581480495595,0.02137803009481023,,7,0,1,-0.0033670033670033517,processbench_math_qwen3_8b,4,0,0,0.0008417508417508657,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK8::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPK8,P2R_A_TOPK5_REFERENCE,first_error_within_one,0.005709488048500133,-0.0030949671200639697,0.014537955752043601,,4,2,2,-0.006734006734006759,processbench_math_qwen3_8b,3,0,1,-0.0033670033670033794,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK8::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPK8,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,-0.002705749459947504,-0.008130195613053412,0.0025370475328909577,,2,2,4,-0.015544041450777202,processbench_gsm8k_qwen3_8b,0,1,3,-0.006157635467980288,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK8::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPK8,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,0.006624999999999992,0.001375000000000015,0.011937499999999992,,5,1,2,-0.0020000000000000018,processbench_math_qwen3_4b,3,0,1,-0.0020000000000000018,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK10::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPK10,P2R_A_TOPK5_REFERENCE,macro_f1,0.012936029154168471,0.0014438677363772625,0.02522463975302794,,6,0,2,-0.0017168298967323303,processbench_math_qwen3_4b,3,0,1,-0.0005954226189631429,math,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_TOPK10::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPK10,P2R_A_TOPK5_REFERENCE,first_error_exact,0.01627408953265691,0.006296861210834302,0.026509252025967427,,7,1,0,0.0,processbench_math_qwen3_8b,4,0,0,0.0016835016835016758,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK10::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPK10,P2R_A_TOPK5_REFERENCE,first_error_within_one,0.008432886717600285,-0.0017202310091515903,0.01855400873202672,,7,0,1,-0.0016835016835016758,processbench_math_qwen3_8b,4,0,0,0.0025252525252525138,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK10::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPK10,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,-0.0036403551859929273,-0.009369707404457644,0.0018859412300232426,,3,2,3,-0.017241379310344862,processbench_math_qwen3_4b,1,0,3,-0.007772020725388601,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPK10::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPK10,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,0.008750000000000036,0.00243749999999998,0.015125000000000055,,6,0,2,-0.0050000000000000044,processbench_math_qwen3_4b,3,0,1,-0.0020000000000000018,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ25::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPQ25,P2R_A_TOPK5_REFERENCE,macro_f1,-0.06745354867967823,-0.09138568209497165,-0.04480420745182154,,0,0,8,-0.09295958736931953,processbench_gsm8k_qwen3_4b,0,0,4,-0.08779840176697665,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_TOPQ25::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPQ25,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.07187892208940688,-0.08946128262211377,-0.05463661100053455,,0,0,8,-0.12077294685990339,processbench_gsm8k_qwen3_4b,0,0,4,-0.11594202898550726,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ25::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPQ25,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.04755285982675317,-0.06661523955324929,-0.02874396079829202,,1,0,7,-0.08585858585858586,processbench_math_qwen3_8b,0,0,4,-0.07407407407407407,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ25::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPQ25,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.0037060040587443277,-0.0070678798121362124,0.014408526915645758,,4,1,3,-0.020725388601036288,processbench_gsm8k_qwen3_4b,3,0,1,-0.010362694300518144,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ25::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPQ25,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.042625000000000024,-0.053874999999999895,-0.03143749999999995,,0,0,8,-0.07250000000000001,processbench_gsm8k_qwen3_4b,0,0,4,-0.06500000000000003,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ50::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPQ50,P2R_A_TOPK5_REFERENCE,macro_f1,-0.07411926174341843,-0.09992032448026973,-0.049402612017661045,,0,0,8,-0.10197748134215262,processbench_gsm8k_qwen3_8b,0,0,4,-0.08595502954631112,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_TOPQ50::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPQ50,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.0770579072312283,-0.09552616066238696,-0.058309766022541565,,0,0,8,-0.13043478260869568,processbench_gsm8k_qwen3_8b,0,0,4,-0.11111111111111113,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ50::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPQ50,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.05125547279234055,-0.0713467215784813,-0.03161236466282118,,0,0,8,-0.09259259259259262,processbench_math_qwen3_8b,0,0,4,-0.0824915824915825,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ50::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPQ50,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.0019202361277120827,-0.009116598209305327,0.012934710519692819,,4,1,3,-0.020725388601036288,processbench_gsm8k_qwen3_4b,3,0,1,-0.015544041450777202,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ50::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPQ50,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.046999999999999986,-0.058750000000000024,-0.03518749999999998,,0,0,8,-0.07250000000000001,processbench_gsm8k_qwen3_8b,0,0,4,-0.065,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE75::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_QUANTILE75,P2R_A_TOPK5_REFERENCE,macro_f1,-0.07495034734420447,-0.10180103440399964,-0.049525497941198655,,0,0,8,-0.10491563750863309,processbench_gsm8k_qwen3_4b,0,0,4,-0.10344655942539285,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_QUANTILE75::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_QUANTILE75,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.07870161358370925,-0.09829177070014146,-0.05920390278066903,,0,0,8,-0.13043478260869568,processbench_gsm8k_qwen3_4b,0,0,4,-0.13043478260869568,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE75::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_QUANTILE75,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.05278938555676693,-0.07328878238878991,-0.03250331328441689,,1,0,7,-0.1159420289855072,processbench_gsm8k_qwen3_4b,0,0,4,-0.0821256038647343,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE75::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_QUANTILE75,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,-0.004382330346056729,-0.016114744801413866,0.007268971913130232,,3,1,4,-0.03626943005181349,processbench_gsm8k_qwen3_4b,1,0,3,-0.023316062176165803,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE75::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_QUANTILE75,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.04956250000000001,-0.06193749999999998,-0.03718593750000007,,0,0,8,-0.08500000000000002,processbench_gsm8k_qwen3_4b,0,0,4,-0.07875000000000001,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE90::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_QUANTILE90,P2R_A_TOPK5_REFERENCE,macro_f1,-0.06928705971248861,-0.0923875940175493,-0.04752513339054054,,0,0,8,-0.09236129048604769,processbench_math_qwen3_8b,0,0,4,-0.08937895201763082,math,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_QUANTILE90::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_QUANTILE90,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.0723397035761372,-0.08935278310157803,-0.05552275069793505,,0,0,8,-0.10628019323671498,processbench_gsm8k_qwen3_4b,0,0,4,-0.10386473429951691,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE90::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_QUANTILE90,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.04801650657731693,-0.06607455089523387,-0.03026228011384097,,0,0,8,-0.08695652173913043,processbench_gsm8k_qwen3_4b,0,0,4,-0.08080808080808083,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE90::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_QUANTILE90,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,-0.0028146494553622503,-0.013496437841156636,0.007869803068842942,,4,0,4,-0.025906735751295373,processbench_gsm8k_qwen3_4b,1,0,3,-0.020725388601036288,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_QUANTILE90::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_QUANTILE90,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.04568749999999999,-0.0566875,-0.03475,,0,0,8,-0.0675,processbench_gsm8k_qwen3_4b,0,0,4,-0.06375000000000003,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEDIAN::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_MEDIAN,P2R_A_TOPK5_REFERENCE,macro_f1,-0.07624580496482969,-0.1038968516280433,-0.04856378253714272,,0,0,8,-0.12185761302296211,processbench_gsm8k_qwen3_8b,0,0,4,-0.08874923642377605,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_MEDIAN::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_MEDIAN,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.07853405793779406,-0.09953866295045696,-0.05749739587101073,,0,0,8,-0.1497584541062802,processbench_gsm8k_qwen3_8b,0,0,4,-0.1111111111111111,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEDIAN::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_MEDIAN,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.04916972682380827,-0.07106324625388362,-0.028013754299627814,,0,0,8,-0.07912457912457915,processbench_math_qwen3_8b,0,0,4,-0.0723905723905724,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEDIAN::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_MEDIAN,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.0013783634707957848,-0.010747742909632523,0.013519280956538779,,5,0,3,-0.024896265560165998,processbench_omnimath_qwen3_4b,2,0,2,-0.02072538860103626,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEDIAN::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_MEDIAN,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.04800000000000004,-0.06131250000000005,-0.03475000000000006,,0,0,8,-0.08750000000000002,processbench_gsm8k_qwen3_8b,0,0,4,-0.06750000000000003,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ10_EXPLORATORY::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPQ10_EXPLORATORY,P2R_A_TOPK5_REFERENCE,macro_f1,-0.06972509851324915,-0.08670501470280334,-0.05350677535364166,,0,0,8,-0.09207400382778269,processbench_gsm8k_qwen3_8b,0,0,4,-0.08654024040426564,gsm8k,2,POST_HOC_EXPLORATORY,descriptive Bonferroni interval across 2 post-hoc tail-fraction amendments; promotion forbidden on this opened population
pb::P2R_A_TOPQ10_EXPLORATORY::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPQ10_EXPLORATORY,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.07577709277209377,-0.09159264837841617,-0.060817459562621835,,0,0,8,-0.12560386473429952,processbench_gsm8k_qwen3_8b,0,0,4,-0.11835748792270533,gsm8k,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ10_EXPLORATORY::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPQ10_EXPLORATORY,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.04605587712951392,-0.0626738750893995,-0.029710133020839424,,0,0,8,-0.07407407407407407,processbench_math_qwen3_8b,0,0,4,-0.06818181818181818,math,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ10_EXPLORATORY::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPQ10_EXPLORATORY,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.011813875130009865,0.0015515004613515433,0.022120789488657488,,7,0,1,-0.005181347150259086,processbench_gsm8k_qwen3_4b,4,0,0,0.005181347150259058,gsm8k,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ10_EXPLORATORY::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_TOPQ10_EXPLORATORY,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.04181250000000003,-0.051937500000000025,-0.03193750000000001,,0,0,8,-0.06,processbench_gsm8k_qwen3_4b,0,0,4,-0.058750000000000024,gsm8k,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ05_EXPLORATORY::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_TOPQ05_EXPLORATORY,P2R_A_TOPK5_REFERENCE,macro_f1,-0.0712270536686263,-0.08814277154091034,-0.05540668829243298,,0,0,8,-0.0878825819163705,processbench_gsm8k_qwen3_8b,0,0,4,-0.08787707306359674,gsm8k,2,POST_HOC_EXPLORATORY,descriptive Bonferroni interval across 2 post-hoc tail-fraction amendments; promotion forbidden on this opened population
pb::P2R_A_TOPQ05_EXPLORATORY::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_TOPQ05_EXPLORATORY,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.0775673013101481,-0.0932221498548833,-0.06252990045326409,,0,0,8,-0.12560386473429952,processbench_gsm8k_qwen3_8b,0,0,4,-0.12318840579710146,gsm8k,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ05_EXPLORATORY::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_TOPQ05_EXPLORATORY,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.04785848796899245,-0.06391668977540885,-0.03198770448410104,,0,0,8,-0.06565656565656564,processbench_math_qwen3_8b,0,0,4,-0.058922558922558904,math,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
pb::P2R_A_TOPQ05_EXPLORATORY::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_TOPQ05_EXPLORATORY,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.011956791634416208,0.0020366437463502753,0.021774990145605074,,6,1,1,-0.0024630541871921152,processbench_math_qwen3_4b,4,0,0,0.003694581280788173,math,1,POST_HOC_EXPLORATORY,unadjusted paired diagnostic percentile interval
