contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm
module_conflict__dufs_liu_pcr_minus_module_conflict__equal_mean,module_conflict__dufs_liu_pcr,module_conflict__equal_mean,auroc,0.0057545436252877755,-0.005688856486361909,0.016768772904797336,9,0,4,-0.12330198965412642,0.414306640625,1.0
module_conflict__dufs_liu_pcr_minus_module_conflict__equal_mean,module_conflict__dufs_liu_pcr,module_conflict__equal_mean,auprc,0.0035497596595226136,-0.0038642816671391883,0.010317521766792232,7,1,5,-0.0744970861054329,0.541748046875,1.0
module_conflict__hierarchical_iu_pcr_minus_module_conflict__best_layer_oracle,module_conflict__hierarchical_iu_pcr,module_conflict__best_layer_oracle,auroc,-0.07332942408717795,-0.08782308655948202,-0.058505693029655775,2,0,11,-0.21091435868112546,0.010498046875,0.304443359375
module_conflict__hierarchical_iu_pcr_minus_module_conflict__best_layer_oracle,module_conflict__hierarchical_iu_pcr,module_conflict__best_layer_oracle,auprc,-0.07013689835723325,-0.08551810989760128,-0.05530870667284123,2,0,11,-0.1740239225995715,0.004638671875,0.13916015625
module_conflict__hierarchical_iu_pcr_minus_module_conflict__equal_mean,module_conflict__hierarchical_iu_pcr,module_conflict__equal_mean,auroc,0.016560985520758614,0.002234248369701513,0.03120994912400925,6,1,6,-0.11377532134638774,0.892578125,1.0
module_conflict__hierarchical_iu_pcr_minus_module_conflict__equal_mean,module_conflict__hierarchical_iu_pcr,module_conflict__equal_mean,auprc,-0.0013088020581656474,-0.013411047239771124,0.010349143920108892,5,1,7,-0.10383204689068204,0.7353515625,1.0
prediction_revision__iu_pcr_minus_prediction_revision__best_layer_oracle,prediction_revision__iu_pcr,prediction_revision__best_layer_oracle,auroc,-0.006003753152474991,-0.016498959962571915,0.004726369350006551,6,0,7,-0.10645473352739787,0.892578125,1.0
prediction_revision__iu_pcr_minus_prediction_revision__best_layer_oracle,prediction_revision__iu_pcr,prediction_revision__best_layer_oracle,auprc,0.007654407020280909,-0.004413229804638047,0.01871895841873081,7,1,5,-0.06588425208702092,0.83935546875,1.0
prediction_revision__iu_pcr_minus_prediction_revision__equal_mean,prediction_revision__iu_pcr,prediction_revision__equal_mean,auroc,-0.00380655986009099,-0.007586448786852274,0.00012167362537749552,6,0,7,-0.07091646070192781,0.786865234375,1.0
prediction_revision__iu_pcr_minus_prediction_revision__equal_mean,prediction_revision__iu_pcr,prediction_revision__equal_mean,auprc,0.0010408821369695504,-0.003695101602539633,0.005987570332580005,4,4,5,-0.021126234172319958,0.946044921875,1.0
prediction_revision__dufs_liu_pcr_minus_prediction_revision__best_layer_oracle,prediction_revision__dufs_liu_pcr,prediction_revision__best_layer_oracle,auroc,-0.004882999957259757,-0.015361564293115769,0.005855801924277346,6,0,7,-0.10617835630984418,0.83935546875,1.0
prediction_revision__dufs_liu_pcr_minus_prediction_revision__best_layer_oracle,prediction_revision__dufs_liu_pcr,prediction_revision__best_layer_oracle,auprc,0.009594365983445284,-0.0025621602592112956,0.02066930125245386,7,1,5,-0.062324456778484694,0.7353515625,1.0
prediction_revision__dufs_liu_pcr_minus_prediction_revision__equal_mean,prediction_revision__dufs_liu_pcr,prediction_revision__equal_mean,auroc,-0.002685806664875757,-0.006523599310973068,0.0013095201439778826,6,0,7,-0.07064008348437412,0.892578125,1.0
prediction_revision__dufs_liu_pcr_minus_prediction_revision__equal_mean,prediction_revision__dufs_liu_pcr,prediction_revision__equal_mean,auprc,0.002980841100133926,-0.0018581981162248465,0.007886129031915904,7,2,4,-0.022642605537103955,0.635498046875,1.0
prediction_revision__hierarchical_iu_pcr_minus_prediction_revision__best_layer_oracle,prediction_revision__hierarchical_iu_pcr,prediction_revision__best_layer_oracle,auroc,-0.04950950942436908,-0.06264439591150947,-0.036668258724266704,4,0,9,-0.22985049706156968,0.09423828125,1.0
prediction_revision__hierarchical_iu_pcr_minus_prediction_revision__best_layer_oracle,prediction_revision__hierarchical_iu_pcr,prediction_revision__best_layer_oracle,auprc,-0.030232352954144195,-0.04384733923276857,-0.017642404195790416,4,1,8,-0.12222238141005551,0.080322265625,1.0
prediction_revision__hierarchical_iu_pcr_minus_prediction_revision__equal_mean,prediction_revision__hierarchical_iu_pcr,prediction_revision__equal_mean,auroc,-0.04731231613198508,-0.05572051047439042,-0.03820324184523626,5,0,8,-0.23653252496036925,0.10986328125,1.0
prediction_revision__hierarchical_iu_pcr_minus_prediction_revision__equal_mean,prediction_revision__hierarchical_iu_pcr,prediction_revision__equal_mean,auprc,-0.036845877837455555,-0.0464093222511952,-0.026518595416701627,3,2,8,-0.22174765979410196,0.09423828125,1.0
ghost_geometry__iu_pcr_minus_ghost_geometry__best_layer_oracle,ghost_geometry__iu_pcr,ghost_geometry__best_layer_oracle,auroc,-0.15577912440813949,-0.17165968220966746,-0.1403488089371808,0,0,13,-0.5196884279129708,0.000244140625,0.0107421875
ghost_geometry__iu_pcr_minus_ghost_geometry__best_layer_oracle,ghost_geometry__iu_pcr,ghost_geometry__best_layer_oracle,auprc,-0.11142160649221304,-0.12659507033383025,-0.09741618968935478,2,0,11,-0.4329707109690669,0.001220703125,0.042724609375
ghost_geometry__iu_pcr_minus_ghost_geometry__equal_mean,ghost_geometry__iu_pcr,ghost_geometry__equal_mean,auroc,-0.009198692780285725,-0.018178026125082212,0.0002484622998843301,4,1,8,-0.08946977818091861,0.2734375,1.0
ghost_geometry__iu_pcr_minus_ghost_geometry__equal_mean,ghost_geometry__iu_pcr,ghost_geometry__equal_mean,auprc,-0.005804342879828736,-0.012682873410382442,0.0015155627946016805,3,3,7,-0.05943738736656651,0.21630859375,1.0
ghost_geometry__dufs_liu_pcr_minus_ghost_geometry__best_layer_oracle,ghost_geometry__dufs_liu_pcr,ghost_geometry__best_layer_oracle,auroc,-0.1559248318649916,-0.17180841065413954,-0.14036717301704332,0,0,13,-0.5194368628975692,0.000244140625,0.0107421875
ghost_geometry__dufs_liu_pcr_minus_ghost_geometry__best_layer_oracle,ghost_geometry__dufs_liu_pcr,ghost_geometry__best_layer_oracle,auprc,-0.11180776235440484,-0.1270387050462381,-0.09784935130497088,2,0,11,-0.43291331696369106,0.001220703125,0.042724609375
ghost_geometry__dufs_liu_pcr_minus_ghost_geometry__equal_mean,ghost_geometry__dufs_liu_pcr,ghost_geometry__equal_mean,auroc,-0.009344400237137814,-0.018654331112881978,0.0002694102898199932,4,0,9,-0.08227508864517186,0.305419921875,1.0
ghost_geometry__dufs_liu_pcr_minus_ghost_geometry__equal_mean,ghost_geometry__dufs_liu_pcr,ghost_geometry__equal_mean,auprc,-0.0061904987420205344,-0.01315429469914289,0.0014341470313161543,3,3,7,-0.05435091473191339,0.10986328125,1.0
ghost_geometry__hierarchical_iu_pcr_minus_ghost_geometry__best_layer_oracle,ghost_geometry__hierarchical_iu_pcr,ghost_geometry__best_layer_oracle,auroc,-0.11365036602198379,-0.12683427185875898,-0.10143853287123597,0,0,13,-0.5076836632958687,0.000244140625,0.0107421875
ghost_geometry__hierarchical_iu_pcr_minus_ghost_geometry__best_layer_oracle,ghost_geometry__hierarchical_iu_pcr,ghost_geometry__best_layer_oracle,auprc,-0.08644509458927319,-0.09958595190394123,-0.07402392245693092,2,0,11,-0.42900593289934164,0.001708984375,0.0546875
ghost_geometry__hierarchical_iu_pcr_minus_ghost_geometry__equal_mean,ghost_geometry__hierarchical_iu_pcr,ghost_geometry__equal_mean,auroc,0.03293006560586999,0.024207386395073548,0.04148110300528923,5,3,5,-0.08165441176470589,0.7353515625,1.0
ghost_geometry__hierarchical_iu_pcr_minus_ghost_geometry__equal_mean,ghost_geometry__hierarchical_iu_pcr,ghost_geometry__equal_mean,auprc,0.01917216902311112,0.011869824033502249,0.02697187867406879,5,3,5,-0.05231214577146537,0.786865234375,1.0
