cell,family,domain,n,positive_rate,method_key,method,auroc,auprc,score_variance
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,iu_pcr,IU-PCR,0.8266982889919704,0.8088777496010454,0.1301206362260003
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,su_pcr,SU-PCR reproduction,0.8258026500621319,0.8081295092178676,0.13297430174143895
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,sdsf,SDSF,0.7796983095739782,0.7049283337877494,0.18325438520769438
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,dufs_liu,DUFS-LIU,0.8256868762686879,0.8080820766823155,0.11194592084807205
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_direct_selected,CM-LFF direct factor,0.7632018303836744,0.7107810361800421,6.204730973255464
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_iu_selected,CM-deflated IU-PCR,0.7708308409808355,0.7131832460735973,0.11563600698277769
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_dufs_selected,CM-deflated DUFS-LIU,0.7696948106326652,0.7117851264992158,0.09756764554238423
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,pca_iu_selected,Second-order deflation control,0.7901198805471725,0.7543011056819843,0.24364552648900661
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,permuted_cm_iu_selected,Permuted-moment control,0.8290708477728981,0.8112283382487455,0.19571464094803945
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_direct_k0,cm_direct_k0,0.7438547431236798,0.6766163383051709,6.593612995059384
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_direct_k1,cm_direct_k1,0.7856341284420192,0.7500591937719354,6.820076276786464
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_direct_k2,cm_direct_k2,0.7632018303836744,0.7107810361800421,6.204730973255464
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_direct_k3,cm_direct_k3,0.6142619002595906,0.53288934696673,5.829663763343709
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_direct_k4,cm_direct_k4,0.4719590244385614,0.44306549388874805,5.401549200266144
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_iu_k0,cm_iu_k0,0.8266982889919704,0.8088777496010454,0.1301206362260003
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_iu_k1,cm_iu_k1,0.7911796931479924,0.7467363864412535,0.17531445348158375
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_iu_k2,cm_iu_k2,0.7708308409808355,0.7131832460735973,0.11563600698277769
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,cm_iu_k3,cm_iu_k3,0.7041467439263782,0.6029488246520027,0.09783419586155935
