series,population,stratum,bin,centre,mean,n
ct7,label_clean,steps_2_to_5,1,0.15,nan,0
ct7,label_clean,steps_2_to_5,2,0.25,0.47035166626434705,406
ct7,label_clean,steps_2_to_5,3,0.35,0.34891341011058014,388
ct7,label_clean,steps_2_to_5,4,0.45,nan,0
ct7,label_clean,steps_2_to_5,5,0.55,-0.08263900401327935,532
ct7,label_clean,steps_2_to_5,6,0.65,-0.13593538412858738,388
ct7,label_clean,steps_2_to_5,7,0.75,-0.21969801229567354,406
ct7,label_clean,steps_2_to_5,8,0.85,nan,0
ct7,label_clean,steps_2_to_5,9,0.95,-0.7048783427408211,950
ct7,label_clean,steps_6_to_10,0,0.05,0.6984360543615981,1124
ct7,label_clean,steps_6_to_10,1,0.15,0.4475184743408771,686
ct7,label_clean,steps_6_to_10,2,0.25,0.31859558195326315,886
ct7,label_clean,steps_6_to_10,3,0.35,0.09609925697411723,462
ct7,label_clean,steps_6_to_10,4,0.45,-0.006961491803613981,744
ct7,label_clean,steps_6_to_10,5,0.55,-0.01716804511763261,686
ct7,label_clean,steps_6_to_10,6,0.65,-0.15879291993994657,900
ct7,label_clean,steps_6_to_10,7,0.75,-0.3492955355591717,448
ct7,label_clean,steps_6_to_10,8,0.85,-0.25631455329826697,1124
ct7,label_clean,steps_6_to_10,9,0.95,-0.7244316069364884,1124
ct7,label_clean,steps_11_plus,0,0.05,0.7625465410805347,520
ct7,label_clean,steps_11_plus,1,0.15,0.35275219538757235,342
ct7,label_clean,steps_11_plus,2,0.25,0.18188093775880887,384
ct7,label_clean,steps_11_plus,3,0.35,-0.1251732909327693,356
ct7,label_clean,steps_11_plus,4,0.45,-0.08893178272200351,354
ct7,label_clean,steps_11_plus,5,0.55,-0.13375309245073003,408
ct7,label_clean,steps_11_plus,6,0.65,-0.3213093720053715,382
ct7,label_clean,steps_11_plus,7,0.75,-0.2145055137967295,358
ct7,label_clean,steps_11_plus,8,0.85,-0.300827262022019,368
ct7,label_clean,steps_11_plus,9,0.95,-0.2460527633651072,594
ct7,pre_error,all,0,0.05,0.11994353374448842,4454
ct7,pre_error,all,1,0.15,0.17543794996474849,1918
ct7,pre_error,all,2,0.25,0.03027600017509603,1964
ct7,pre_error,all,3,0.35,0.0010679708868153654,1184
ct7,pre_error,all,4,0.45,-0.10751498748226751,878
ct7,pre_error,all,5,0.55,-0.1149966100756605,946
ct7,pre_error,all,6,0.65,-0.2733369696011254,602
ct7,pre_error,all,7,0.75,-0.26846019091650025,270
ct7,pre_error,all,8,0.85,-0.23223473662897023,146
ct7,pre_error,all,9,0.95,-0.36991955097189316,22
ct7,pre_error,steps_2_to_5,0,0.05,0.05943166612576261,1016
ct7,pre_error,steps_2_to_5,1,0.15,nan,0
ct7,pre_error,steps_2_to_5,2,0.25,0.24201009305195842,320
ct7,pre_error,steps_2_to_5,3,0.35,0.07828870622021242,168
ct7,pre_error,steps_2_to_5,4,0.45,nan,0
ct7,pre_error,steps_2_to_5,5,0.55,-0.11377267501397918,164
ct7,pre_error,steps_2_to_5,6,0.65,-0.9043183988530589,44
ct7,pre_error,steps_2_to_5,7,0.75,-0.1646988049913031,28
ct7,pre_error,steps_2_to_5,8,0.85,nan,0
ct7,pre_error,steps_2_to_5,9,0.95,nan,0
ct7,pre_error,steps_6_to_10,0,0.05,0.029958608025493428,2108
ct7,pre_error,steps_6_to_10,1,0.15,0.20055486433939865,1218
ct7,pre_error,steps_6_to_10,2,0.25,0.050117894068251935,1044
ct7,pre_error,steps_6_to_10,3,0.35,0.07029412019423253,560
ct7,pre_error,steps_6_to_10,4,0.45,-0.031284990396000766,500
ct7,pre_error,steps_6_to_10,5,0.55,-0.11173267531889292,440
ct7,pre_error,steps_6_to_10,6,0.65,-0.16900016774623294,312
ct7,pre_error,steps_6_to_10,7,0.75,-0.28564474191311695,88
ct7,pre_error,steps_6_to_10,8,0.85,-0.14622809668981837,58
ct7,pre_error,steps_6_to_10,9,0.95,nan,0
ct7,pre_error,steps_11_plus,0,0.05,0.308791865260477,1330
ct7,pre_error,steps_11_plus,1,0.15,0.13173451895285768,700
ct7,pre_error,steps_11_plus,2,0.25,-0.11717374473332162,600
ct7,pre_error,steps_11_plus,3,0.35,-0.11239634303459757,456
ct7,pre_error,steps_11_plus,4,0.45,-0.2083483169614563,378
ct7,pre_error,steps_11_plus,5,0.55,-0.11978274061102136,342
ct7,pre_error,steps_11_plus,6,0.65,-0.29280810493300063,246
ct7,pre_error,steps_11_plus,7,0.75,-0.2775061540217161,154
ct7,pre_error,steps_11_plus,8,0.85,-0.2889209311343203,88
ct7,pre_error,steps_11_plus,9,0.95,-0.36991955097189316,22
token_lsml,gate_closed,all,0,0.05,0.4070494423765278,2472
token_lsml,gate_closed,all,1,0.15,0.27247755675567287,1000
token_lsml,gate_closed,all,2,0.25,0.23260687858713555,1550
token_lsml,gate_closed,all,3,0.35,0.1185998597294983,1208
token_lsml,gate_closed,all,4,0.45,-0.05604107082145472,988
token_lsml,gate_closed,all,5,0.55,-0.027702694303018863,1571
token_lsml,gate_closed,all,6,0.65,-0.09021677953566282,1587
token_lsml,gate_closed,all,7,0.75,-0.13505938079556515,1171
token_lsml,gate_closed,all,8,0.85,-0.11655306973230568,1379
token_lsml,gate_closed,all,9,0.95,-0.48017622356782635,2544
token_lsml,gate_closed,steps_2_to_5,0,0.05,0.2502000561161551,947
token_lsml,gate_closed,steps_2_to_5,1,0.15,nan,0
token_lsml,gate_closed,steps_2_to_5,2,0.25,0.4340674037611039,400
token_lsml,gate_closed,steps_2_to_5,3,0.35,0.3299710170882314,395
token_lsml,gate_closed,steps_2_to_5,4,0.45,nan,0
token_lsml,gate_closed,steps_2_to_5,5,0.55,0.00876759726076249,524
token_lsml,gate_closed,steps_2_to_5,6,0.65,-0.02204944596974385,395
token_lsml,gate_closed,steps_2_to_5,7,0.75,-0.03995405262345703,400
token_lsml,gate_closed,steps_2_to_5,8,0.85,nan,0
token_lsml,gate_closed,steps_2_to_5,9,0.95,-0.5499556865401264,947
token_lsml,gate_closed,steps_6_to_10,0,0.05,0.4670687150940069,1009
token_lsml,gate_closed,steps_6_to_10,1,0.15,0.33218075594359403,655
token_lsml,gate_closed,steps_6_to_10,2,0.25,0.20586035390744392,779
token_lsml,gate_closed,steps_6_to_10,3,0.35,0.06762090517440424,459
token_lsml,gate_closed,steps_6_to_10,4,0.45,0.009162853265846252,639
token_lsml,gate_closed,steps_6_to_10,5,0.55,-0.01176843863008995,655
token_lsml,gate_closed,steps_6_to_10,6,0.65,-0.05298355955316278,813
token_lsml,gate_closed,steps_6_to_10,7,0.75,-0.23354391328599103,425
token_lsml,gate_closed,steps_6_to_10,8,0.85,-0.13979063691423282,1009
token_lsml,gate_closed,steps_6_to_10,9,0.95,-0.5897127116613434,1009
token_lsml,gate_closed,steps_11_plus,0,0.05,0.5775473544242719,516
token_lsml,gate_closed,steps_11_plus,1,0.15,0.15912800467425717,345
token_lsml,gate_closed,steps_11_plus,2,0.25,0.07155925771352929,371
token_lsml,gate_closed,steps_11_plus,3,0.35,-0.051152306982116015,354
token_lsml,gate_closed,steps_11_plus,4,0.45,-0.17542590604147,349
token_lsml,gate_closed,steps_11_plus,5,0.55,-0.10307863880605404,392
token_lsml,gate_closed,steps_11_plus,6,0.65,-0.2411315674098335,379
token_lsml,gate_closed,steps_11_plus,7,0.75,-0.12403685177941524,346
token_lsml,gate_closed,steps_11_plus,8,0.85,-0.05318359598483364,370
token_lsml,gate_closed,steps_11_plus,9,0.95,-0.1798301896883578,588
token_lsml,label_clean,all,0,0.05,0.4172583417233839,2594
token_lsml,label_clean,all,1,0.15,0.293478634276646,1028
token_lsml,label_clean,all,2,0.25,0.2583864177018503,1676
token_lsml,label_clean,all,3,0.35,0.09332244377168686,1206
token_lsml,label_clean,all,4,0.45,-0.02203677285608172,1098
token_lsml,label_clean,all,5,0.55,-0.005548425206408562,1626
token_lsml,label_clean,all,6,0.65,-0.0996050543242785,1670
token_lsml,label_clean,all,7,0.75,-0.17039272845707834,1212
token_lsml,label_clean,all,8,0.85,-0.15457911085682383,1492
token_lsml,label_clean,all,9,0.95,-0.4846177289101596,2668
token_lsml,label_clean,steps_2_to_5,0,0.05,0.29368510429414246,950
token_lsml,label_clean,steps_2_to_5,1,0.15,nan,0
token_lsml,label_clean,steps_2_to_5,2,0.25,0.3632592861143125,406
token_lsml,label_clean,steps_2_to_5,3,0.35,0.2593936873806683,388
token_lsml,label_clean,steps_2_to_5,4,0.45,nan,0
token_lsml,label_clean,steps_2_to_5,5,0.55,0.015946451258842118,532
token_lsml,label_clean,steps_2_to_5,6,0.65,0.012175278668254052,388
token_lsml,label_clean,steps_2_to_5,7,0.75,-0.06259470448342604,406
token_lsml,label_clean,steps_2_to_5,8,0.85,nan,0
token_lsml,label_clean,steps_2_to_5,9,0.95,-0.542024147492907,950
token_lsml,label_clean,steps_6_to_10,0,0.05,0.4575384892726835,1124
token_lsml,label_clean,steps_6_to_10,1,0.15,0.3038616223419004,686
token_lsml,label_clean,steps_6_to_10,2,0.25,0.25133519917284686,886
token_lsml,label_clean,steps_6_to_10,3,0.35,0.09471100153501143,462
token_lsml,label_clean,steps_6_to_10,4,0.45,0.00785663121244504,744
token_lsml,label_clean,steps_6_to_10,5,0.55,0.018269371111569125,686
token_lsml,label_clean,steps_6_to_10,6,0.65,-0.08980604758262406,900
token_lsml,label_clean,steps_6_to_10,7,0.75,-0.25548161495108096,448
token_lsml,label_clean,steps_6_to_10,8,0.85,-0.13971985873531031,1124
token_lsml,label_clean,steps_6_to_10,9,0.95,-0.5829302479617594,1124
token_lsml,label_clean,steps_11_plus,0,0.05,0.5559500527087072,520
token_lsml,label_clean,steps_11_plus,1,0.15,0.27265193891768374,342
token_lsml,label_clean,steps_11_plus,2,0.25,0.16377442562173908,384
token_lsml,label_clean,steps_11_plus,3,0.35,-0.08947855680960744,356
token_lsml,label_clean,steps_11_plus,4,0.45,-0.08486358818654467,354
token_lsml,label_clean,steps_11_plus,5,0.55,-0.07362264715161888,408
token_lsml,label_clean,steps_11_plus,6,0.65,-0.23622776445148147,382
token_lsml,label_clean,steps_11_plus,7,0.75,-0.18616417142911632,358
token_lsml,label_clean,steps_11_plus,8,0.85,-0.19996443527144733,368
token_lsml,label_clean,steps_11_plus,9,0.95,-0.20677367324078103,594
token_lsml,pre_error,all,0,0.05,-0.11815422309738995,4454
token_lsml,pre_error,all,1,0.15,-0.02264786195908898,1918
token_lsml,pre_error,all,2,0.25,-0.051228131278249524,1964
token_lsml,pre_error,all,3,0.35,-0.01835522173542226,1184
token_lsml,pre_error,all,4,0.45,-0.06941675814514753,878
token_lsml,pre_error,all,5,0.55,-0.09246515821166588,946
token_lsml,pre_error,all,6,0.65,-0.2018643278262531,602
token_lsml,pre_error,all,7,0.75,-0.12625486668263333,270
token_lsml,pre_error,all,8,0.85,-0.14217766889446046,146
token_lsml,pre_error,all,9,0.95,-0.003541900223998029,22
token_lsml,pre_error,steps_2_to_5,0,0.05,-0.17325699496216465,1016
token_lsml,pre_error,steps_2_to_5,1,0.15,nan,0
token_lsml,pre_error,steps_2_to_5,2,0.25,0.08915166087464058,320
token_lsml,pre_error,steps_2_to_5,3,0.35,0.04849059520305837,168
token_lsml,pre_error,steps_2_to_5,4,0.45,nan,0
token_lsml,pre_error,steps_2_to_5,5,0.55,-0.06307653708652262,164
token_lsml,pre_error,steps_2_to_5,6,0.65,-0.5806859276504232,44
token_lsml,pre_error,steps_2_to_5,7,0.75,0.22220330231853297,28
token_lsml,pre_error,steps_2_to_5,8,0.85,nan,0
token_lsml,pre_error,steps_2_to_5,9,0.95,nan,0
token_lsml,pre_error,steps_6_to_10,0,0.05,-0.20482555764902408,2108
token_lsml,pre_error,steps_6_to_10,1,0.15,-0.008782853259410346,1218
token_lsml,pre_error,steps_6_to_10,2,0.25,-0.040973192752731216,1044
token_lsml,pre_error,steps_6_to_10,3,0.35,0.04438680524996962,560
token_lsml,pre_error,steps_6_to_10,4,0.45,-0.0042058770137069,500
token_lsml,pre_error,steps_6_to_10,5,0.55,-0.06249346410699252,440
token_lsml,pre_error,steps_6_to_10,6,0.65,-0.11001553676891401,312
token_lsml,pre_error,steps_6_to_10,7,0.75,-0.188993384775237,88
token_lsml,pre_error,steps_6_to_10,8,0.85,-0.08529063501499523,58
token_lsml,pre_error,steps_6_to_10,9,0.95,nan,0
token_lsml,pre_error,steps_11_plus,0,0.05,0.06131012987212511,1330
token_lsml,pre_error,steps_11_plus,1,0.15,-0.04677297709652985,700
token_lsml,pre_error,steps_11_plus,2,0.25,-0.1439409467941926,600
token_lsml,pre_error,steps_11_plus,3,0.35,-0.12003424006323833,456
token_lsml,pre_error,steps_11_plus,4,0.45,-0.1556745374195397,378
token_lsml,pre_error,steps_11_plus,5,0.55,-0.14511802157593418,342
token_lsml,pre_error,steps_11_plus,6,0.65,-0.250598768548311,246
token_lsml,pre_error,steps_11_plus,7,0.75,-0.1537603156429159,154
token_lsml,pre_error,steps_11_plus,8,0.85,-0.1796713957695625,88
token_lsml,pre_error,steps_11_plus,9,0.95,-0.003541900223998029,22
top5__all__soft__equal,gate_closed,all,0,0.05,1.0059809027499158,2472
top5__all__soft__equal,gate_closed,all,1,0.15,0.10687283089561497,1000
top5__all__soft__equal,gate_closed,all,2,0.25,0.056464622172715036,1550
top5__all__soft__equal,gate_closed,all,3,0.35,-0.044172401458907946,1208
top5__all__soft__equal,gate_closed,all,4,0.45,-0.22427831488701774,988
top5__all__soft__equal,gate_closed,all,5,0.55,-0.17049436573609467,1571
top5__all__soft__equal,gate_closed,all,6,0.65,-0.22979354260034915,1587
top5__all__soft__equal,gate_closed,all,7,0.75,-0.27234917528645175,1171
top5__all__soft__equal,gate_closed,all,8,0.85,-0.21654537482195887,1379
top5__all__soft__equal,gate_closed,all,9,0.95,-0.45446721461175504,2544
top5__all__soft__equal,gate_closed,steps_2_to_5,0,0.05,0.6422353573989904,947
top5__all__soft__equal,gate_closed,steps_2_to_5,1,0.15,nan,0
top5__all__soft__equal,gate_closed,steps_2_to_5,2,0.25,0.2834385949686908,400
top5__all__soft__equal,gate_closed,steps_2_to_5,3,0.35,0.16138161440973167,395
top5__all__soft__equal,gate_closed,steps_2_to_5,4,0.45,nan,0
top5__all__soft__equal,gate_closed,steps_2_to_5,5,0.55,-0.19535032341942246,524
top5__all__soft__equal,gate_closed,steps_2_to_5,6,0.65,-0.2561599128299144,395
top5__all__soft__equal,gate_closed,steps_2_to_5,7,0.75,-0.28756200572917484,400
top5__all__soft__equal,gate_closed,steps_2_to_5,8,0.85,nan,0
top5__all__soft__equal,gate_closed,steps_2_to_5,9,0.95,-0.4928685552322077,947
top5__all__soft__equal,gate_closed,steps_6_to_10,0,0.05,1.202036646459261,1009
top5__all__soft__equal,gate_closed,steps_6_to_10,1,0.15,0.1560266922640404,655
top5__all__soft__equal,gate_closed,steps_6_to_10,2,0.25,0.017687641827140603,779
top5__all__soft__equal,gate_closed,steps_6_to_10,3,0.35,-0.1057864761582719,459
top5__all__soft__equal,gate_closed,steps_6_to_10,4,0.45,-0.16867595151250547,639
top5__all__soft__equal,gate_closed,steps_6_to_10,5,0.55,-0.12014113429120679,655
top5__all__soft__equal,gate_closed,steps_6_to_10,6,0.65,-0.19697747141292218,813
top5__all__soft__equal,gate_closed,steps_6_to_10,7,0.75,-0.3068753817890535,425
top5__all__soft__equal,gate_closed,steps_6_to_10,8,0.85,-0.24954447798498347,1009
top5__all__soft__equal,gate_closed,steps_6_to_10,9,0.95,-0.5465249398948488,1009
top5__all__soft__equal,gate_closed,steps_11_plus,0,0.05,1.2901801005107645,516
top5__all__soft__equal,gate_closed,steps_11_plus,1,0.15,0.01355173177585048,345
top5__all__soft__equal,gate_closed,steps_11_plus,2,0.25,-0.10683004475231928,371
top5__all__soft__equal,gate_closed,steps_11_plus,3,0.35,-0.19364408502134975,354
top5__all__soft__equal,gate_closed,steps_11_plus,4,0.45,-0.3260832151629881,349
top5__all__soft__equal,gate_closed,steps_11_plus,5,0.55,-0.22140468402777147,392
top5__all__soft__equal,gate_closed,steps_11_plus,6,0.65,-0.27270844928821214,379
top5__all__soft__equal,gate_closed,steps_11_plus,7,0.75,-0.2123527303711489,346
top5__all__soft__equal,gate_closed,steps_11_plus,8,0.85,-0.1265559286287365,370
top5__all__soft__equal,gate_closed,steps_11_plus,9,0.95,-0.23465035342432436,588
top5__all__soft__equal,label_clean,all,0,0.05,1.003786781738678,2594
top5__all__soft__equal,label_clean,all,1,0.15,0.11644653086354122,1028
top5__all__soft__equal,label_clean,all,2,0.25,0.0812673043170939,1676
top5__all__soft__equal,label_clean,all,3,0.35,-0.07098156124550319,1206
top5__all__soft__equal,label_clean,all,4,0.45,-0.2085484751363928,1098
top5__all__soft__equal,label_clean,all,5,0.55,-0.17101333036322677,1626
top5__all__soft__equal,label_clean,all,6,0.65,-0.2061556679615553,1670
top5__all__soft__equal,label_clean,all,7,0.75,-0.2732702405837893,1212
top5__all__soft__equal,label_clean,all,8,0.85,-0.2436070585018759,1492
top5__all__soft__equal,label_clean,all,9,0.95,-0.4603189863166059,2668
top5__all__soft__equal,label_clean,steps_2_to_5,0,0.05,0.6735853034520117,950
top5__all__soft__equal,label_clean,steps_2_to_5,1,0.15,nan,0
top5__all__soft__equal,label_clean,steps_2_to_5,2,0.25,0.2177404070695099,406
top5__all__soft__equal,label_clean,steps_2_to_5,3,0.35,0.09311554246650376,388
top5__all__soft__equal,label_clean,steps_2_to_5,4,0.45,nan,0
top5__all__soft__equal,label_clean,steps_2_to_5,5,0.55,-0.20699642385172146,532
top5__all__soft__equal,label_clean,steps_2_to_5,6,0.65,-0.18832506031613597,388
top5__all__soft__equal,label_clean,steps_2_to_5,7,0.75,-0.2948835371228372,406
top5__all__soft__equal,label_clean,steps_2_to_5,8,0.85,nan,0
top5__all__soft__equal,label_clean,steps_2_to_5,9,0.95,-0.4858131969084078,950
top5__all__soft__equal,label_clean,steps_6_to_10,0,0.05,1.1769863088049943,1124
top5__all__soft__equal,label_clean,steps_6_to_10,1,0.15,0.11756497200343168,686
top5__all__soft__equal,label_clean,steps_6_to_10,2,0.25,0.06635298837199695,886
top5__all__soft__equal,label_clean,steps_6_to_10,3,0.35,-0.09943024134197319,462
top5__all__soft__equal,label_clean,steps_6_to_10,4,0.45,-0.17839685706869607,744
top5__all__soft__equal,label_clean,steps_6_to_10,5,0.55,-0.12399847570033294,686
top5__all__soft__equal,label_clean,steps_6_to_10,6,0.65,-0.20095939842704622,900
top5__all__soft__equal,label_clean,steps_6_to_10,7,0.75,-0.2727195273150501,448
top5__all__soft__equal,label_clean,steps_6_to_10,8,0.85,-0.25266837595739305,1124
top5__all__soft__equal,label_clean,steps_6_to_10,9,0.95,-0.5441306767808122,1124
top5__all__soft__equal,label_clean,steps_11_plus,0,0.05,1.2326620431805844,520
top5__all__soft__equal,label_clean,steps_11_plus,1,0.15,0.11420310799229867,342
top5__all__soft__equal,label_clean,steps_11_plus,2,0.25,-0.02861289305302198,384
top5__all__soft__equal,label_clean,steps_11_plus,3,0.35,-0.21290961190755262,356
top5__all__soft__equal,label_clean,steps_11_plus,4,0.45,-0.27191797751595875,354
top5__all__soft__equal,label_clean,steps_11_plus,5,0.55,-0.2031436846839776,408
top5__all__soft__equal,label_clean,steps_11_plus,6,0.65,-0.2365088573528683,382
top5__all__soft__equal,label_clean,steps_11_plus,7,0.75,-0.24944823262161508,358
top5__all__soft__equal,label_clean,steps_11_plus,8,0.85,-0.21593064323013156,368
top5__all__soft__equal,label_clean,steps_11_plus,9,0.95,-0.2609522520674852,594
top5__all__soft__equal,pre_error,all,0,0.05,0.6580505847741664,4454
top5__all__soft__equal,pre_error,all,1,0.15,-0.20240597784566208,1918
top5__all__soft__equal,pre_error,all,2,0.25,-0.26119431760236084,1964
top5__all__soft__equal,pre_error,all,3,0.35,-0.22506936165938757,1184
top5__all__soft__equal,pre_error,all,4,0.45,-0.24212540442446576,878
top5__all__soft__equal,pre_error,all,5,0.55,-0.24868186293149241,946
top5__all__soft__equal,pre_error,all,6,0.65,-0.3139889515529864,602
top5__all__soft__equal,pre_error,all,7,0.75,-0.2644582207541242,270
top5__all__soft__equal,pre_error,all,8,0.85,-0.15811705490619005,146
top5__all__soft__equal,pre_error,all,9,0.95,0.21840890893355314,22
top5__all__soft__equal,pre_error,steps_2_to_5,0,0.05,0.29846341863665293,1016
top5__all__soft__equal,pre_error,steps_2_to_5,1,0.15,nan,0
top5__all__soft__equal,pre_error,steps_2_to_5,2,0.25,-0.23152868865064988,320
top5__all__soft__equal,pre_error,steps_2_to_5,3,0.35,-0.12684924300834577,168
top5__all__soft__equal,pre_error,steps_2_to_5,4,0.45,nan,0
top5__all__soft__equal,pre_error,steps_2_to_5,5,0.55,-0.248491864885483,164
top5__all__soft__equal,pre_error,steps_2_to_5,6,0.65,-0.7325865542080119,44
top5__all__soft__equal,pre_error,steps_2_to_5,7,0.75,-0.07072692193924257,28
top5__all__soft__equal,pre_error,steps_2_to_5,8,0.85,nan,0
top5__all__soft__equal,pre_error,steps_2_to_5,9,0.95,nan,0
top5__all__soft__equal,pre_error,steps_6_to_10,0,0.05,0.7238350518341148,2108
top5__all__soft__equal,pre_error,steps_6_to_10,1,0.15,-0.21284685584120527,1218
top5__all__soft__equal,pre_error,steps_6_to_10,2,0.25,-0.26824585229574816,1044
top5__all__soft__equal,pre_error,steps_6_to_10,3,0.35,-0.2460109239104989,560
top5__all__soft__equal,pre_error,steps_6_to_10,4,0.45,-0.2543063131076546,500
top5__all__soft__equal,pre_error,steps_6_to_10,5,0.55,-0.21709133262827224,440
top5__all__soft__equal,pre_error,steps_6_to_10,6,0.65,-0.29665446943503987,312
top5__all__soft__equal,pre_error,steps_6_to_10,7,0.75,-0.4447304717549622,88
top5__all__soft__equal,pre_error,steps_6_to_10,8,0.85,-0.17916732456326473,58
top5__all__soft__equal,pre_error,steps_6_to_10,9,0.95,nan,0
top5__all__soft__equal,pre_error,steps_11_plus,0,0.05,0.8284768285586288,1330
top5__all__soft__equal,pre_error,steps_11_plus,1,0.15,-0.184238850133416,700
top5__all__soft__equal,pre_error,steps_11_plus,2,0.25,-0.26474631601011384,600
top5__all__soft__equal,pre_error,steps_11_plus,3,0.35,-0.23553801313472228,456
top5__all__soft__equal,pre_error,steps_11_plus,4,0.45,-0.22601309135146574,378
top5__all__soft__equal,pre_error,steps_11_plus,5,0.55,-0.28941576063021296,342
top5__all__soft__equal,pre_error,steps_11_plus,6,0.65,-0.26110303246346717,246
top5__all__soft__equal,pre_error,steps_11_plus,7,0.75,-0.19666937840829893,154
top5__all__soft__equal,pre_error,steps_11_plus,8,0.85,-0.14424301354129987,88
top5__all__soft__equal,pre_error,steps_11_plus,9,0.95,0.21840890893355314,22
top5__all__pmf__equal,gate_closed,all,0,0.05,1.0059809027499156,2472
top5__all__pmf__equal,gate_closed,all,1,0.15,0.106872830895615,1000
top5__all__pmf__equal,gate_closed,all,2,0.25,0.05646462217271503,1550
top5__all__pmf__equal,gate_closed,all,3,0.35,-0.044172401458907946,1208
top5__all__pmf__equal,gate_closed,all,4,0.45,-0.22427831488701772,988
top5__all__pmf__equal,gate_closed,all,5,0.55,-0.17049436573609475,1571
top5__all__pmf__equal,gate_closed,all,6,0.65,-0.2297935426003492,1587
top5__all__pmf__equal,gate_closed,all,7,0.75,-0.2723491752864516,1171
top5__all__pmf__equal,gate_closed,all,8,0.85,-0.21654537482195896,1379
top5__all__pmf__equal,gate_closed,all,9,0.95,-0.4544672146117549,2544
top5__all__pmf__equal,gate_closed,steps_2_to_5,0,0.05,0.6422353573989903,947
top5__all__pmf__equal,gate_closed,steps_2_to_5,1,0.15,nan,0
top5__all__pmf__equal,gate_closed,steps_2_to_5,2,0.25,0.2834385949686908,400
top5__all__pmf__equal,gate_closed,steps_2_to_5,3,0.35,0.16138161440973167,395
top5__all__pmf__equal,gate_closed,steps_2_to_5,4,0.45,nan,0
top5__all__pmf__equal,gate_closed,steps_2_to_5,5,0.55,-0.19535032341942266,524
top5__all__pmf__equal,gate_closed,steps_2_to_5,6,0.65,-0.25615991282991435,395
top5__all__pmf__equal,gate_closed,steps_2_to_5,7,0.75,-0.28756200572917445,400
top5__all__pmf__equal,gate_closed,steps_2_to_5,8,0.85,nan,0
