mass,rule,primary_delta,sla,f1,tolerance_one,early,late,mae,delta_sla_vs_argmax,delta_sla_ci95,delta_f1_vs_argmax,delta_f1_ci95,sla_all,late_all,sla_steps_2_to_5,late_steps_2_to_5,sla_steps_6_to_10,late_steps_6_to_10,sla_steps_11_plus,late_steps_11_plus
token_lsml,random_of_top2,False,0.29317360165712464,0.3299503401992326,0.5684779646538838,0.26513176282547457,0.44169463551740074,1.9062666725134658,-0.06606328086052488,"[-0.08806894031070471, -0.044515242143096094]",-0.043293930281027626,"[-0.05937431650286151, -0.026902933896622818]",0.27375056280954524,0.4594777127420081,0.3521341463414634,0.3879573170731707,0.2673310225303293,0.46880415944540726,0.16666666666666666,0.5474452554744526
token_lsml,earliest_within_0.25sd,False,0.3631407283605863,0.3832198987709294,0.6011794837807796,0.2840664782181259,0.3527927934212878,1.750488395985995,0.003903845842936793,"[-0.0059530874106130255, 0.013623991844144102]",0.00997562829066917,"[0.0017434682583460336, 0.0182322249791043]",0.33610986042323276,0.36627645204862674,0.4344512195121951,0.3163109756097561,0.32019064124783364,0.3682842287694974,0.22384428223844283,0.44038929440389296
token_lsml,earliest_within_0.5sd,True,0.3517644128584403,0.3793755595480775,0.6026125309531545,0.36398337892286453,0.2842522082186951,1.7635810183662584,-0.007472469659209224,"[-0.02273875695056609, 0.0074773879209618635]",0.0061312890678172915,"[-0.0065225436670625385, 0.018424073987203166]",0.3275551553354345,0.2883836109860423,0.4367378048780488,0.2576219512195122,0.30329289428076256,0.2902946273830156,0.22141119221411193,0.33211678832116787
token_lsml,earliest_within_1.0sd,False,0.3218810398931099,0.3640379091064159,0.572881058496562,0.5021591770054245,0.17595978310146568,1.8977666251189569,-0.037355842624539615,"[-0.058440509208763654, -0.015723695349801222]",-0.009206361373844285,"[-0.02654614952517399, 0.008060391469009807]",0.29828905898244035,0.17514633048176498,0.42301829268292684,0.1714939024390244,0.26126516464471405,0.1707105719237435,0.20316301703163017,0.19343065693430658
top5__all__soft__equal,argmax,True,0.32489485450660877,0.3524359319607616,0.5556470502122676,0.3145470441439987,0.36055810134939253,1.9590858872661805,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.3009905447996398,0.3743809095002251,0.42073170731707316,0.3208841463414634,0.2885615251299827,0.38778162911611785,0.14476885644768855,0.4221411192214112
top5__all__soft__equal,earliest_of_top2,True,0.2606756823646582,0.3170549963534677,0.5200103658878242,0.6338774870766912,0.10544683055865059,2.0955071749528433,-0.06421917214195055,"[-0.08810682653130829, -0.04079735489382191]",-0.03538093560729394,"[-0.055293786511941154, -0.016221338168483066]",0.24268347591175146,0.11008554705087799,0.3490853658536585,0.06783536585365854,0.22790294627383015,0.1304159445407279,0.11435523114355231,0.12043795620437957
top5__all__soft__equal,latest_of_top2,False,0.2787788483621543,0.30292619617678707,0.5314260476235086,0.10772053506628919,0.6135006165715565,2.0258557532615287,-0.04611600614445449,"[-0.06906048739670043, -0.02354872868334612]",-0.04950973578397455,"[-0.0676414414790241, -0.03072138634267472]",0.265195857721747,0.6215668617739757,0.35289634146341464,0.5769817073170732,0.2564991334488735,0.6273830155979203,0.14963503649635038,0.6763990267639902
top5__all__soft__equal,random_of_top2,False,0.27318096718461776,0.3127190195163942,0.5306037999544215,0.37196760961807335,0.3548514231973089,2.0683159319078213,-0.051713887321991,"[-0.07223639106485413, -0.032026710021851125]",-0.039716912444367425,"[-0.0560568958657391, -0.02326057695246273]",0.25529040972534894,0.3590724898694282,0.34222560975609756,0.33384146341463417,0.25043327556325823,0.36741767764298094,0.13017031630170317,0.3759124087591241
top5__all__soft__equal,earliest_within_0.25sd,False,0.3210213223245191,0.35132003379629234,0.5545854353573225,0.3550011920604895,0.3239774856149914,1.9731105370617312,-0.0038735321820896895,"[-0.010341311311825266, 0.0024491985441221003]",-0.0011158981644692756,"[-0.006634977142845017, 0.004318941415513075]",0.2978388113462404,0.3325078793336335,0.4184451219512195,0.2919207317073171,0.28422876949740034,0.3396880415944541,0.1435523114355231,0.3771289537712895
top5__all__soft__equal,earliest_within_0.5sd,True,0.31437235994313545,0.34742119471721233,0.5471494528259641,0.402399895156259,0.28322774490060554,2.00576377580094,-0.010522494563473317,"[-0.021076032710452393, -0.0003550953509633427]",-0.005014737243549283,"[-0.013565202189217281, 0.0034196825695763174]",0.28905898244034217,0.289959477712742,0.4108231707317073,0.25609756097560976,0.2755632582322357,0.29462738301559793,0.13260340632603407,0.3309002433090024
top5__all__soft__equal,earliest_within_1.0sd,False,0.2820954673796218,0.329189411823663,0.5134112895492229,0.515602773442509,0.20230175917786916,2.1117708830947994,-0.04279938712698694,"[-0.05786750264592711, -0.0277563171339542]",-0.023246520137098603,"[-0.03579022160931471, -0.010718380116334879]",0.2624943719045475,0.20058532192705988,0.38414634146341464,0.1836890243902439,0.24263431542461006,0.19930675909878684,0.12408759124087591,0.23114355231143552
top5__all__pmf__equal,argmax,True,0.32489485450660877,0.3524359319607616,0.5556470502122676,0.3145470441439987,0.36055810134939253,1.9590858872661805,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.3009905447996398,0.3743809095002251,0.42073170731707316,0.3208841463414634,0.2885615251299827,0.38778162911611785,0.14476885644768855,0.4221411192214112
top5__all__pmf__equal,earliest_of_top2,True,0.2606756823646582,0.3170549963534677,0.5200103658878242,0.6338774870766912,0.10544683055865059,2.0955071749528433,-0.06421917214195055,"[-0.08810682653130829, -0.04079735489382191]",-0.03538093560729394,"[-0.055293786511941154, -0.016221338168483066]",0.24268347591175146,0.11008554705087799,0.3490853658536585,0.06783536585365854,0.22790294627383015,0.1304159445407279,0.11435523114355231,0.12043795620437957
top5__all__pmf__equal,latest_of_top2,False,0.2787788483621543,0.30292619617678707,0.5314260476235086,0.10772053506628919,0.6135006165715565,2.0258557532615287,-0.04611600614445449,"[-0.06906048739670043, -0.02354872868334612]",-0.04950973578397455,"[-0.0676414414790241, -0.03072138634267472]",0.265195857721747,0.6215668617739757,0.35289634146341464,0.5769817073170732,0.2564991334488735,0.6273830155979203,0.14963503649635038,0.6763990267639902
top5__all__pmf__equal,random_of_top2,False,0.2710461656845594,0.312705731707404,0.5346234467501652,0.36121952051373873,0.36773431380170185,2.047419479719026,-0.05384868882204935,"[-0.07414857897590903, -0.033483919377646394]",-0.039730200253357606,"[-0.05600523574210872, -0.02329997414019668]",0.25371454299864926,0.3696533093201261,0.3429878048780488,0.32698170731707316,0.24610051993067592,0.3804159445407279,0.13260340632603407,0.4075425790754258
top5__all__pmf__equal,earliest_within_0.25sd,False,0.3210213223245191,0.35132003379629234,0.5545854353573225,0.3550011920604895,0.3239774856149914,1.9731105370617312,-0.0038735321820896895,"[-0.010341311311825266, 0.0024491985441221003]",-0.0011158981644692756,"[-0.006634977142845017, 0.004318941415513075]",0.2978388113462404,0.3325078793336335,0.4184451219512195,0.2919207317073171,0.28422876949740034,0.3396880415944541,0.1435523114355231,0.3771289537712895
top5__all__pmf__equal,earliest_within_0.5sd,True,0.31437235994313545,0.34742119471721233,0.5471494528259641,0.402399895156259,0.28322774490060554,2.00576377580094,-0.010522494563473317,"[-0.021076032710452393, -0.0003550953509633427]",-0.005014737243549283,"[-0.013565202189217281, 0.0034196825695763174]",0.28905898244034217,0.289959477712742,0.4108231707317073,0.25609756097560976,0.2755632582322357,0.29462738301559793,0.13260340632603407,0.3309002433090024
top5__all__pmf__equal,earliest_within_1.0sd,False,0.2820954673796218,0.329189411823663,0.5134112895492229,0.515602773442509,0.20230175917786916,2.1117708830947994,-0.04279938712698694,"[-0.05786750264592711, -0.0277563171339542]",-0.023246520137098603,"[-0.03579022160931471, -0.010718380116334879]",0.2624943719045475,0.20058532192705988,0.38414634146341464,0.1836890243902439,0.24263431542461006,0.19930675909878684,0.12408759124087591,0.23114355231143552
