family,members,n_locators,reference,stratum,miss_type,n_reference_misses,union_hit_given_miss,shuffled_union_hit_given_miss,real_minus_shuffled,real_minus_shuffled_ci95,any_channel_top5_hit_given_miss,shuffled_any_channel_top5_hit_given_miss
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,steps_2_to_5,any,687,0.9810771470160117,0.9941775836972343,-0.013100436681222627,"[-0.025720147714186598, -0.0014619883040935672]",0.7889374090247453,0.8733624454148472
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,steps_2_to_5,late,366,0.9808743169398907,0.9972677595628415,-0.016393442622950838,"[-0.032172657252888315, -0.0027170240893067]",0.7978142076502732,0.912568306010929
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,steps_6_to_10,any,1480,0.9371621621621622,0.9716216216216216,-0.034459459459459385,"[-0.0507794984551395, -0.01803003853117868]",0.6101351351351352,0.6736486486486486
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,steps_6_to_10,late,815,0.9361963190184049,0.9656441717791411,-0.029447852760736137,"[-0.051574531783053684, -0.0065092222614232444]",0.6110429447852761,0.6957055214723926
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,steps_11_plus,any,576,0.8055555555555556,0.8871527777777778,-0.08159722222222221,"[-0.1261283127787982, -0.038849713436033]",0.3628472222222222,0.4913194444444444
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,steps_11_plus,late,345,0.7971014492753623,0.8898550724637682,-0.09275362318840585,"[-0.15789925845541689, -0.03647140093948606]",0.3710144927536232,0.5014492753623189
peak,max q90 top10 top30 log_top5 boxcar8_max,56,any_channel_top5,all,any,1210,0.8297520661157025,0.9305785123966942,-0.10082644628099169,"[-0.1271232575305908, -0.07285270784194926]",0.0,0.5363636363636364
peak,max q90 top10 top30 log_top5 boxcar8_max,56,any_channel_top5,steps_2_to_5,any,159,0.9182389937106918,1.0,-0.08176100628930816,"[-0.1250163612565445, -0.03875843960990248]",0.0,0.7610062893081762
peak,max q90 top10 top30 log_top5 boxcar8_max,56,any_channel_top5,steps_6_to_10,any,635,0.8692913385826772,0.9574803149606299,-0.08818897637795275,"[-0.1219540822168785, -0.05546485804762362]",0.0,0.5637795275590551
peak,max q90 top10 top30 log_top5 boxcar8_max,56,any_channel_top5,steps_11_plus,any,416,0.7355769230769231,0.8629807692307693,-0.12740384615384615,"[-0.18547156308201695, -0.0720201677992786]",0.0,0.40865384615384615
spread,std iqr frac_above_z,30,top5__all__soft__equal,all,any,3105,0.7648953301127214,0.9120772946859903,-0.14718196457326893,"[-0.16591085882698942, -0.12936640082695994]",0.6106280193236715,0.6843800322061192
spread,std iqr frac_above_z,30,top5__all__soft__equal,all,late,1663,0.761876127480457,0.9170174383644016,-0.15514131088394467,"[-0.1802084926055037, -0.12965080826982822]",0.6211665664461816,0.7227901383042694
spread,std iqr frac_above_z,30,top5__all__soft__equal,steps_2_to_5,any,760,0.9210526315789473,0.993421052631579,-0.07236842105263164,"[-0.09608209175656038, -0.04986700013776879]",0.7907894736842105,0.8697368421052631
spread,std iqr frac_above_z,30,top5__all__soft__equal,steps_2_to_5,late,421,0.9287410926365796,0.995249406175772,-0.0665083135391924,"[-0.09813084112149532, -0.038810575092832415]",0.8028503562945368,0.9026128266033254
spread,std iqr frac_above_z,30,top5__all__soft__equal,steps_6_to_10,any,1642,0.7630937880633374,0.9403166869671132,-0.17722289890377585,"[-0.20340050377833754, -0.1528815131752032]",0.6138855054811205,0.669305724725944
spread,std iqr frac_above_z,30,top5__all__soft__equal,steps_6_to_10,late,895,0.7463687150837989,0.9441340782122905,-0.19776536312849158,"[-0.23336856099557923, -0.16225395745039153]",0.6145251396648045,0.7094972067039106
spread,std iqr frac_above_z,30,top5__all__soft__equal,steps_11_plus,any,703,0.6002844950213371,0.7581792318634424,-0.1578947368421053,"[-0.20939807688360734, -0.10817139012322595]",0.40825035561877665,0.519203413940256
spread,std iqr frac_above_z,30,top5__all__soft__equal,steps_11_plus,late,347,0.5994236311239193,0.7521613832853026,-0.1527377521613833,"[-0.22191002241434518, -0.08281148429035769]",0.41786743515850144,0.5389048991354467
spread,std iqr frac_above_z,30,ct7,all,any,2743,0.7754283631060882,0.9183375865840321,-0.14290922347794388,"[-0.16241601794302482, -0.12315061240842491]",0.6029894276339774,0.6853809697411594
spread,std iqr frac_above_z,30,ct7,all,late,1526,0.7758846657929227,0.9233289646133683,-0.14744429882044563,"[-0.17293765852528037, -0.12036392233912539]",0.601572739187418,0.7038007863695938
spread,std iqr frac_above_z,30,ct7,steps_2_to_5,any,687,0.9301310043668122,0.9941775836972343,-0.06404657933042213,"[-0.08650160046375643, -0.04310241709288897]",0.7889374090247453,0.8733624454148472
spread,std iqr frac_above_z,30,ct7,steps_2_to_5,late,366,0.9316939890710383,0.9972677595628415,-0.06557377049180324,"[-0.10116141420540027, -0.03581021251475798]",0.7978142076502732,0.912568306010929
spread,std iqr frac_above_z,30,ct7,steps_6_to_10,any,1480,0.775,0.9425675675675675,-0.16756756756756752,"[-0.1954408427025323, -0.14025944375259444]",0.6101351351351352,0.6736486486486486
spread,std iqr frac_above_z,30,ct7,steps_6_to_10,late,815,0.7815950920245399,0.9521472392638037,-0.17055214723926382,"[-0.20543007049671827, -0.13379918025773108]",0.6110429447852761,0.6957055214723926
spread,std iqr frac_above_z,30,ct7,steps_11_plus,any,576,0.5920138888888888,0.765625,-0.17361111111111116,"[-0.23442637963129767, -0.11523201342730227]",0.3628472222222222,0.4913194444444444
spread,std iqr frac_above_z,30,ct7,steps_11_plus,late,345,0.5971014492753624,0.7768115942028986,-0.17971014492753623,"[-0.2532498162215143, -0.106922580248432]",0.3710144927536232,0.5014492753623189
spread,std iqr frac_above_z,30,any_channel_top5,all,any,1210,0.6520661157024793,0.9,-0.24793388429752072,"[-0.28023945874571893, -0.21655351995973998]",0.0,0.5363636363636364
spread,std iqr frac_above_z,30,any_channel_top5,steps_2_to_5,any,159,0.8364779874213837,0.9874213836477987,-0.15094339622641506,"[-0.22951373504652195, -0.08108108108108109]",0.0,0.7610062893081762
spread,std iqr frac_above_z,30,any_channel_top5,steps_6_to_10,any,635,0.6818897637795276,0.952755905511811,-0.2708661417322834,"[-0.314419343886105, -0.22825904581266412]",0.0,0.5637795275590551
spread,std iqr frac_above_z,30,any_channel_top5,steps_11_plus,any,416,0.5360576923076923,0.7860576923076923,-0.25,"[-0.31713117097121335, -0.18331790123456798]",0.0,0.40865384615384615
trend,slope jump,22,top5__all__soft__equal,all,any,3105,0.8325281803542673,0.8357487922705314,-0.0032206119162641045,"[-0.022691809419721144, 0.014767919602722413]",0.6106280193236715,0.6843800322061192
trend,slope jump,22,top5__all__soft__equal,all,late,1663,0.8406494287432351,0.846662657847264,-0.006013229104028905,"[-0.030665691473814576, 0.017075000373396255]",0.6211665664461816,0.7227901383042694
trend,slope jump,22,top5__all__soft__equal,steps_2_to_5,any,760,0.9697368421052631,0.9763157894736842,-0.006578947368421129,"[-0.023841162446375033, 0.009374641422834173]",0.7907894736842105,0.8697368421052631
trend,slope jump,22,top5__all__soft__equal,steps_2_to_5,late,421,0.9738717339667459,0.9928741092636579,-0.019002375296912066,"[-0.038834951456310676, 0.0]",0.8028503562945368,0.9026128266033254
trend,slope jump,22,top5__all__soft__equal,steps_6_to_10,any,1642,0.8483556638246041,0.8611449451887941,-0.012789281364189997,"[-0.038042173723557615, 0.01302891963639288]",0.6138855054811205,0.669305724725944
trend,slope jump,22,top5__all__soft__equal,steps_6_to_10,late,895,0.846927374301676,0.8726256983240224,-0.025698324022346397,"[-0.0595105937354866, 0.008477182539682477]",0.6145251396648045,0.7094972067039106
trend,slope jump,22,top5__all__soft__equal,steps_11_plus,any,703,0.647226173541963,0.6244665718349929,0.022759601706970112,"[-0.03774264942258711, 0.0779276683581319]",0.40825035561877665,0.519203413940256
trend,slope jump,22,top5__all__soft__equal,steps_11_plus,late,347,0.6628242074927954,0.6023054755043228,0.060518731988472574,"[-0.017197501033514376, 0.13636363636363635]",0.41786743515850144,0.5389048991354467
trend,slope jump,22,ct7,all,any,2743,0.8301130149471382,0.8534451330659861,-0.023332118118847944,"[-0.04322621542548797, -0.004610674401924833]",0.6029894276339774,0.6853809697411594
trend,slope jump,22,ct7,all,late,1526,0.8433813892529489,0.8636959370904325,-0.020314547837483543,"[-0.04536911756841036, 0.00374201007215145]",0.601572739187418,0.7038007863695938
trend,slope jump,22,ct7,steps_2_to_5,any,687,0.9694323144104804,0.9781659388646288,-0.008733624454148381,"[-0.025974964342016366, 0.007289162532180789]",0.7889374090247453,0.8733624454148472
trend,slope jump,22,ct7,steps_2_to_5,late,366,0.9726775956284153,0.994535519125683,-0.021857923497267784,"[-0.044522626112759645, -0.0025438883227257908]",0.7978142076502732,0.912568306010929
trend,slope jump,22,ct7,steps_6_to_10,any,1480,0.845945945945946,0.8777027027027027,-0.03175675675675671,"[-0.05722028622150038, -0.007255102933558788]",0.6101351351351352,0.6736486486486486
trend,slope jump,22,ct7,steps_6_to_10,late,815,0.8711656441717791,0.905521472392638,-0.03435582822085892,"[-0.06480710324678579, -0.002514330803685403]",0.6110429447852761,0.6957055214723926
trend,slope jump,22,ct7,steps_11_plus,any,576,0.6232638888888888,0.6423611111111112,-0.01909722222222232,"[-0.08334107806691449, 0.04264278928143599]",0.3628472222222222,0.4913194444444444
trend,slope jump,22,ct7,steps_11_plus,late,345,0.6405797101449275,0.6260869565217392,0.01449275362318836,"[-0.0640491674847089, 0.09039586719294172]",0.3710144927536232,0.5014492753623189
trend,slope jump,22,any_channel_top5,all,any,1210,0.7793388429752066,0.8190082644628099,-0.03966942148760333,"[-0.07172458356673048, -0.006451094284825229]",0.0,0.5363636363636364
trend,slope jump,22,any_channel_top5,steps_2_to_5,any,159,0.9371069182389937,0.9874213836477987,-0.05031446540880502,"[-0.09589428062843433, -0.012903225806451613]",0.0,0.7610062893081762
trend,slope jump,22,any_channel_top5,steps_6_to_10,any,635,0.8472440944881889,0.8929133858267716,-0.04566929133858266,"[-0.08322178557636908, -0.006125106671498548]",0.0,0.5637795275590551
trend,slope jump,22,any_channel_top5,steps_11_plus,any,416,0.6153846153846154,0.6418269230769231,-0.02644230769230771,"[-0.09739013578511374, 0.04546552481335084]",0.0,0.40865384615384615
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,all,any,3105,0.9117552334943639,0.9330112721417069,-0.021256038647342934,"[-0.03557120163932309, -0.007776179624945126]",0.6106280193236715,0.6843800322061192
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,all,late,1663,0.9410703547805171,0.9530968129885748,-0.0120264582080577,"[-0.027011256684728716, 0.002417582823195474]",0.6211665664461816,0.7227901383042694
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,steps_2_to_5,any,760,0.9815789473684211,0.9921052631578947,-0.010526315789473606,"[-0.023161719449185388, 0.0]",0.7907894736842105,0.8697368421052631
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,steps_2_to_5,late,421,0.9833729216152018,1.0,-0.016627078384798155,"[-0.03253904827143781, -0.004597701149425287]",0.8028503562945368,0.9026128266033254
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,steps_6_to_10,any,1642,0.9232643118148599,0.9470158343483557,-0.023751522533495772,"[-0.04262126723798113, -0.005800406729570259]",0.6138855054811205,0.669305724725944
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,steps_6_to_10,late,895,0.9530726256983241,0.958659217877095,-0.005586592178770888,"[-0.024720227369090523, 0.01276176280148923]",0.6145251396648045,0.7094972067039106
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,steps_11_plus,any,703,0.8093883357041252,0.8364153627311522,-0.027027027027027084,"[-0.06811403883224666, 0.013078925932390722]",0.40825035561877665,0.519203413940256
sequential,cusum_top5 page_wmax onset80,32,top5__all__soft__equal,steps_11_plus,late,347,0.8587896253602305,0.8818443804034583,-0.023054755043227737,"[-0.07277628032345014, 0.026473717146433023]",0.41786743515850144,0.5389048991354467
sequential,cusum_top5 page_wmax onset80,32,ct7,all,any,2743,0.9026613197229311,0.9289099526066351,-0.02624863288370405,"[-0.04196229915703693, -0.011854931037890046]",0.6029894276339774,0.6853809697411594
sequential,cusum_top5 page_wmax onset80,32,ct7,all,late,1526,0.9161205766710354,0.9384010484927916,-0.022280471821756187,"[-0.04139516506697083, -0.00327611278474286]",0.601572739187418,0.7038007863695938
sequential,cusum_top5 page_wmax onset80,32,ct7,steps_2_to_5,any,687,0.9796215429403202,0.9912663755458515,-0.011644832605531286,"[-0.025532057881491647, 0.0]",0.7889374090247453,0.8733624454148472
sequential,cusum_top5 page_wmax onset80,32,ct7,steps_2_to_5,late,366,0.9836065573770492,0.9972677595628415,-0.013661202185792365,"[-0.031746031746031744, 0.0]",0.7978142076502732,0.912568306010929
sequential,cusum_top5 page_wmax onset80,32,ct7,steps_6_to_10,any,1480,0.9155405405405406,0.9445945945945946,-0.029054054054054035,"[-0.04930988868367194, -0.009212835199688848]",0.6101351351351352,0.6736486486486486
sequential,cusum_top5 page_wmax onset80,32,ct7,steps_6_to_10,late,815,0.9325153374233128,0.9521472392638037,-0.019631901840490906,"[-0.04460254080313144, 0.004860860753934869]",0.6110429447852761,0.6957055214723926
sequential,cusum_top5 page_wmax onset80,32,ct7,steps_11_plus,any,576,0.7777777777777778,0.8142361111111112,-0.03645833333333337,"[-0.08411372289876963, 0.01091260673028627]",0.3628472222222222,0.4913194444444444
sequential,cusum_top5 page_wmax onset80,32,ct7,steps_11_plus,late,345,0.8057971014492754,0.8434782608695652,-0.03768115942028982,"[-0.09659090909090909, 0.022606964207663498]",0.3710144927536232,0.5014492753623189
sequential,cusum_top5 page_wmax onset80,32,any_channel_top5,all,any,1210,0.8,0.8809917355371901,-0.08099173553719008,"[-0.1124725474162454, -0.05235096454040553]",0.0,0.5363636363636364
sequential,cusum_top5 page_wmax onset80,32,any_channel_top5,steps_2_to_5,any,159,0.9182389937106918,0.9874213836477987,-0.0691823899371069,"[-0.12258064516129032, -0.024691358024691357]",0.0,0.7610062893081762
sequential,cusum_top5 page_wmax onset80,32,any_channel_top5,steps_6_to_10,any,635,0.8346456692913385,0.9212598425196851,-0.08661417322834652,"[-0.12394286057274173, -0.04951922364711053]",0.0,0.5637795275590551
sequential,cusum_top5 page_wmax onset80,32,any_channel_top5,steps_11_plus,any,416,0.7019230769230769,0.7788461538461539,-0.07692307692307698,"[-0.14212010834033809, -0.01284620402785138]",0.0,0.40865384615384615
first_token,first_token,9,top5__all__soft__equal,all,any,3105,0.6260869565217392,0.7214170692431562,-0.095330112721417,"[-0.11907534811723043, -0.06955809783546657]",0.6106280193236715,0.6843800322061192
first_token,first_token,9,top5__all__soft__equal,all,late,1663,0.6422128683102826,0.7360192423331329,-0.0938063740228503,"[-0.12646064550773684, -0.06138144732832522]",0.6211665664461816,0.7227901383042694
first_token,first_token,9,top5__all__soft__equal,steps_2_to_5,any,760,0.8039473684210526,0.8973684210526316,-0.09342105263157896,"[-0.13416546489168407, -0.054043185276429304]",0.7907894736842105,0.8697368421052631
first_token,first_token,9,top5__all__soft__equal,steps_2_to_5,late,421,0.828978622327791,0.9073634204275535,-0.07838479809976251,"[-0.12833368219773258, -0.029628136200716856]",0.8028503562945368,0.9026128266033254
first_token,first_token,9,top5__all__soft__equal,steps_6_to_10,any,1642,0.6400730816077954,0.7222898903775883,-0.08221680876979287,"[-0.11624427104143652, -0.044854679748730454]",0.6138855054811205,0.669305724725944
first_token,first_token,9,top5__all__soft__equal,steps_6_to_10,late,895,0.6335195530726258,0.7363128491620111,-0.10279329608938537,"[-0.14973047530171382, -0.05561119343875381]",0.6145251396648045,0.7094972067039106
first_token,first_token,9,top5__all__soft__equal,steps_11_plus,any,703,0.4011379800853485,0.5291607396870555,-0.12802275960170695,"[-0.18155933310832445, -0.076186718589875]",0.40825035561877665,0.519203413940256
first_token,first_token,9,top5__all__soft__equal,steps_11_plus,late,347,0.43804034582132567,0.5273775216138329,-0.08933717579250722,"[-0.1634794776119403, -0.011867685547473378]",0.41786743515850144,0.5389048991354467
first_token,first_token,9,ct7,all,any,2743,0.6474662777980313,0.7291286912139993,-0.08166241341596792,"[-0.10773754367014146, -0.054657947600072525]",0.6029894276339774,0.6853809697411594
first_token,first_token,9,ct7,all,late,1526,0.6559633027522935,0.7359108781127129,-0.07994757536041941,"[-0.11125898990149925, -0.046347581796734344]",0.601572739187418,0.7038007863695938
first_token,first_token,9,ct7,steps_2_to_5,any,687,0.8093158660844251,0.8893740902474527,-0.08005822416302766,"[-0.12368770114428751, -0.04004793439521179]",0.7889374090247453,0.8733624454148472
first_token,first_token,9,ct7,steps_2_to_5,late,366,0.8579234972677595,0.907103825136612,-0.049180327868852514,"[-0.10289644565960356, 0.0]",0.7978142076502732,0.912568306010929
first_token,first_token,9,ct7,steps_6_to_10,any,1480,0.6635135135135135,0.7324324324324324,-0.06891891891891888,"[-0.10505677298222905, -0.029560702141347355]",0.6101351351351352,0.6736486486486486
first_token,first_token,9,ct7,steps_6_to_10,late,815,0.6662576687116565,0.7460122699386503,-0.07975460122699385,"[-0.12627813165143356, -0.029998502994011984]",0.6110429447852761,0.6957055214723926
first_token,first_token,9,ct7,steps_11_plus,any,576,0.4131944444444444,0.5295138888888888,-0.11631944444444442,"[-0.176575622513629, -0.05862982788247415]",0.3628472222222222,0.4913194444444444
first_token,first_token,9,ct7,steps_11_plus,late,345,0.41739130434782606,0.5304347826086957,-0.11304347826086963,"[-0.18663246299963085, -0.03415972614342181]",0.3710144927536232,0.5014492753623189
first_token,first_token,9,any_channel_top5,all,any,1210,0.528099173553719,0.6553719008264463,-0.1272727272727272,"[-0.16755125294024126, -0.08601051155330793]",0.0,0.5363636363636364
first_token,first_token,9,any_channel_top5,steps_2_to_5,any,159,0.6792452830188679,0.8867924528301887,-0.20754716981132082,"[-0.3032313681868743, -0.11916790032075007]",0.0,0.7610062893081762
first_token,first_token,9,any_channel_top5,steps_6_to_10,any,635,0.5921259842519685,0.6866141732283465,-0.09448818897637801,"[-0.15094933887980982, -0.03745883874442926]",0.0,0.5637795275590551
first_token,first_token,9,any_channel_top5,steps_11_plus,any,416,0.37259615384615385,0.5192307692307693,-0.14663461538461542,"[-0.2194650937297996, -0.07544788642960826]",0.0,0.40865384615384615
mean,mean,11,top5__all__soft__equal,all,any,3105,0.6057971014492753,0.6982286634460547,-0.09243156199677938,"[-0.11755354208547732, -0.06893047302823654]",0.6106280193236715,0.6843800322061192
mean,mean,11,top5__all__soft__equal,all,late,1663,0.5995189416716777,0.6921226698737222,-0.09260372820204443,"[-0.12550898031627994, -0.06177005547258376]",0.6211665664461816,0.7227901383042694
mean,mean,11,top5__all__soft__equal,steps_2_to_5,any,760,0.8486842105263158,0.9184210526315789,-0.0697368421052631,"[-0.10685403527095971, -0.034703427592116545]",0.7907894736842105,0.8697368421052631
mean,mean,11,top5__all__soft__equal,steps_2_to_5,late,421,0.8717339667458432,0.9121140142517815,-0.040380047505938266,"[-0.08816875938310359, 0.007231566854213907]",0.8028503562945368,0.9026128266033254
mean,mean,11,top5__all__soft__equal,steps_6_to_10,any,1642,0.6029232643118149,0.7003654080389768,-0.09744214372716198,"[-0.13213461395279577, -0.0619186984004128]",0.6138855054811205,0.669305724725944
mean,mean,11,top5__all__soft__equal,steps_6_to_10,late,895,0.5854748603351956,0.693854748603352,-0.10837988826815637,"[-0.15430866822024444, -0.06152043830498904]",0.6145251396648045,0.7094972067039106
mean,mean,11,top5__all__soft__equal,steps_11_plus,any,703,0.34992887624466573,0.45519203413940257,-0.10526315789473684,"[-0.15952184541287515, -0.054310025540320564]",0.40825035561877665,0.519203413940256
mean,mean,11,top5__all__soft__equal,steps_11_plus,late,347,0.30547550432276654,0.4207492795389049,-0.11527377521613835,"[-0.1947895601617796, -0.04134313537061952]",0.41786743515850144,0.5389048991354467
mean,mean,11,ct7,all,any,2743,0.6212176449143274,0.7065257017863653,-0.08530805687203791,"[-0.11166265877542692, -0.06042140068577791]",0.6029894276339774,0.6853809697411594
mean,mean,11,ct7,all,late,1526,0.5950196592398427,0.7031454783748362,-0.10812581913499353,"[-0.14502332287060118, -0.07339793281653748]",0.601572739187418,0.7038007863695938
mean,mean,11,ct7,steps_2_to_5,any,687,0.8544395924308588,0.9199417758369723,-0.06550218340611358,"[-0.10160715106568806, -0.02828380890037058]",0.7889374090247453,0.8733624454148472
mean,mean,11,ct7,steps_2_to_5,late,366,0.855191256830601,0.9207650273224044,-0.06557377049180335,"[-0.11710876920907938, -0.013053134854701443]",0.7978142076502732,0.912568306010929
mean,mean,11,ct7,steps_6_to_10,any,1480,0.6195945945945946,0.7047297297297297,-0.08513513513513504,"[-0.12299911803780157, -0.04858635594026271]",0.6101351351351352,0.6736486486486486
mean,mean,11,ct7,steps_6_to_10,late,815,0.603680981595092,0.7079754601226994,-0.10429447852760743,"[-0.15495403205221703, -0.0531767514426963]",0.6110429447852761,0.6957055214723926
mean,mean,11,ct7,steps_11_plus,any,576,0.3472222222222222,0.4565972222222222,-0.109375,"[-0.17052572452217213, -0.048336217321627094]",0.3628472222222222,0.4913194444444444
mean,mean,11,ct7,steps_11_plus,late,345,0.2985507246376812,0.4608695652173913,-0.16231884057971013,"[-0.24528671363121335, -0.08307379883231364]",0.3710144927536232,0.5014492753623189
mean,mean,11,any_channel_top5,all,any,1210,0.5008264462809917,0.6801652892561983,-0.17933884297520664,"[-0.21708774145212648, -0.14274185182706464]",0.0,0.5363636363636364
mean,mean,11,any_channel_top5,steps_2_to_5,any,159,0.7169811320754716,0.9182389937106918,-0.2012578616352202,"[-0.2973015737256244, -0.10883562727416551]",0.0,0.7610062893081762
mean,mean,11,any_channel_top5,steps_6_to_10,any,635,0.573228346456693,0.7464566929133858,-0.17322834645669283,"[-0.22566475712264542, -0.11754189376067682]",0.0,0.5637795275590551
mean,mean,11,any_channel_top5,steps_11_plus,any,416,0.3076923076923077,0.4879807692307692,-0.1802884615384615,"[-0.24410043832682124, -0.11351750510426085]",0.0,0.40865384615384615
