series,population,step_index,mean,n
ct7,pre_error,13,-0.23622358729238413,34
ct7,pre_error,14,-0.33487471006691927,26
ct7,pre_error,15,-0.2492434078515739,20
ct7,pre_error,16,-0.5781819557047355,14
ct7,pre_error,17,-0.9712453620944236,12
ct7,pre_error,18,-1.220506675892587,8
ct7,pre_error,19,-0.5457243758274386,8
ct7,pre_error,20+,-0.39411404875098627,16
token_lsml,gate_closed,0,0.4059912044490703,2244
token_lsml,gate_closed,1,0.3324567049832774,2244
token_lsml,gate_closed,2,0.05120562767695503,2216
token_lsml,gate_closed,3,-0.1159322631324984,2092
token_lsml,gate_closed,4,-0.18915870766168746,1697
token_lsml,gate_closed,5,-0.24693769691012915,1297
token_lsml,gate_closed,6,-0.3184264740849696,943
token_lsml,gate_closed,7,-0.28032118123371735,713
token_lsml,gate_closed,8,-0.3214381512601189,517
token_lsml,gate_closed,9,-0.20100432763906292,377
token_lsml,gate_closed,10,-0.20713295490643682,288
token_lsml,gate_closed,11,-0.17673274541651982,220
token_lsml,gate_closed,12,-0.014754405339485967,146
token_lsml,gate_closed,13,-0.07383498520909973,116
token_lsml,gate_closed,14,-0.11479393930705334,91
token_lsml,gate_closed,15,-0.5240525839871221,77
token_lsml,gate_closed,16,-0.03144189288166701,53
token_lsml,gate_closed,17,0.0989966124765756,41
token_lsml,gate_closed,18,0.12661501102897427,27
token_lsml,gate_closed,19,0.32363829709544184,19
token_lsml,gate_closed,20+,0.06657649525796565,52
token_lsml,label_clean,0,0.42093401000299735,2358
token_lsml,label_clean,1,0.2960907418360849,2358
token_lsml,label_clean,2,0.08810413315114733,2328
token_lsml,label_clean,3,-0.10149378831429254,2202
token_lsml,label_clean,4,-0.1555089124208921,1814
token_lsml,label_clean,5,-0.266154750465509,1408
token_lsml,label_clean,6,-0.32602257834807963,970
token_lsml,label_clean,7,-0.32267058016742767,732
token_lsml,label_clean,8,-0.2996238753790984,508
token_lsml,label_clean,9,-0.16339628856735813,366
token_lsml,label_clean,10,-0.30825487049354805,284
token_lsml,label_clean,11,-0.262874002877888,216
token_lsml,label_clean,12,-0.07210049329192435,160
token_lsml,label_clean,13,-0.05885001366930395,122
token_lsml,label_clean,14,-0.39152607241309184,96
token_lsml,label_clean,15,-0.36497480218088046,76
token_lsml,label_clean,16,-0.2456582562896972,54
token_lsml,label_clean,17,-0.21087834710538841,48
token_lsml,label_clean,18,-0.22272648435450237,36
token_lsml,label_clean,19,-0.18309036277609653,28
token_lsml,label_clean,20+,0.13041748377135118,106
token_lsml,pre_error,0,-0.1375745589799024,3898
token_lsml,pre_error,1,0.011060353655179721,2844
token_lsml,pre_error,2,-0.07087142959950349,1860
token_lsml,pre_error,3,-0.05013766507349894,1214
token_lsml,pre_error,4,-0.09233807424703255,818
token_lsml,pre_error,5,-0.04896246578220675,520
token_lsml,pre_error,6,-0.11258049660784832,356
token_lsml,pre_error,7,-0.06408949196252382,238
token_lsml,pre_error,8,-0.2558678737651096,174
token_lsml,pre_error,9,-0.24544430215123655,128
token_lsml,pre_error,10,-0.10381598499229633,84
token_lsml,pre_error,11,0.002452440969805237,60
token_lsml,pre_error,12,-0.377711079779923,52
token_lsml,pre_error,13,-0.3090870068538008,34
token_lsml,pre_error,14,-0.3048508663864521,26
token_lsml,pre_error,15,-0.22016267344479665,20
token_lsml,pre_error,16,-0.48311673044686865,14
token_lsml,pre_error,17,-0.8408253410308796,12
token_lsml,pre_error,18,-1.2107155114661519,8
token_lsml,pre_error,19,-0.4608721428299535,8
token_lsml,pre_error,20+,-0.36683225708355216,16
top5__all__soft__equal,gate_closed,0,1.0741911332577982,2244
top5__all__soft__equal,gate_closed,1,0.16621394326455305,2244
top5__all__soft__equal,gate_closed,2,-0.13359521924022658,2216
top5__all__soft__equal,gate_closed,3,-0.23766930910091633,2092
top5__all__soft__equal,gate_closed,4,-0.2738920529516762,1697
top5__all__soft__equal,gate_closed,5,-0.33685128514105317,1297
top5__all__soft__equal,gate_closed,6,-0.38377975711119694,943
top5__all__soft__equal,gate_closed,7,-0.3106405590859267,713
top5__all__soft__equal,gate_closed,8,-0.34541042236869063,517
top5__all__soft__equal,gate_closed,9,-0.23599117877564724,377
top5__all__soft__equal,gate_closed,10,-0.31987980544980044,288
top5__all__soft__equal,gate_closed,11,-0.3262988289051411,220
top5__all__soft__equal,gate_closed,12,-0.02646505622927726,146
top5__all__soft__equal,gate_closed,13,-0.13626567084831392,116
top5__all__soft__equal,gate_closed,14,-0.2488191321326525,91
top5__all__soft__equal,gate_closed,15,-0.4271852255006836,77
top5__all__soft__equal,gate_closed,16,0.12446875055129603,53
top5__all__soft__equal,gate_closed,17,0.03554550451094509,41
top5__all__soft__equal,gate_closed,18,-0.13558328858320726,27
top5__all__soft__equal,gate_closed,19,0.0890040211707074,19
top5__all__soft__equal,gate_closed,20+,-0.08763191417480624,52
top5__all__soft__equal,label_clean,0,1.085176077813676,2358
top5__all__soft__equal,label_clean,1,0.11278321910096287,2358
top5__all__soft__equal,label_clean,2,-0.0913973321137643,2328
top5__all__soft__equal,label_clean,3,-0.23239775363964918,2202
top5__all__soft__equal,label_clean,4,-0.2576821601789821,1814
top5__all__soft__equal,label_clean,5,-0.3238423122045576,1408
top5__all__soft__equal,label_clean,6,-0.3751524155886077,970
top5__all__soft__equal,label_clean,7,-0.33926133472295233,732
top5__all__soft__equal,label_clean,8,-0.32710165411578435,508
top5__all__soft__equal,label_clean,9,-0.22606960715982696,366
top5__all__soft__equal,label_clean,10,-0.3827738263614318,284
top5__all__soft__equal,label_clean,11,-0.3394263480963282,216
top5__all__soft__equal,label_clean,12,-0.08445352213369076,160
top5__all__soft__equal,label_clean,13,-0.11533856707208741,122
top5__all__soft__equal,label_clean,14,-0.4315913869684364,96
top5__all__soft__equal,label_clean,15,-0.3442073294689053,76
top5__all__soft__equal,label_clean,16,-0.20731356759622066,54
top5__all__soft__equal,label_clean,17,-0.11896958168324041,48
top5__all__soft__equal,label_clean,18,-0.2620162281418936,36
top5__all__soft__equal,label_clean,19,-0.235787677211172,28
top5__all__soft__equal,label_clean,20+,-0.05267113317879736,106
top5__all__soft__equal,pre_error,0,0.7760828574545201,3898
top5__all__soft__equal,pre_error,1,-0.20455334851711446,2844
top5__all__soft__equal,pre_error,2,-0.2766053324263145,1860
top5__all__soft__equal,pre_error,3,-0.2522633083598606,1214
top5__all__soft__equal,pre_error,4,-0.23402565806218956,818
top5__all__soft__equal,pre_error,5,-0.2123376997860964,520
top5__all__soft__equal,pre_error,6,-0.24211571409095017,356
top5__all__soft__equal,pre_error,7,-0.15424598581105686,238
top5__all__soft__equal,pre_error,8,-0.27691503187640293,174
top5__all__soft__equal,pre_error,9,-0.20617718126307233,128
top5__all__soft__equal,pre_error,10,-0.11325294281507366,84
top5__all__soft__equal,pre_error,11,-0.17029057614168916,60
top5__all__soft__equal,pre_error,12,-0.4740054510832188,52
top5__all__soft__equal,pre_error,13,-0.22043022691844533,34
top5__all__soft__equal,pre_error,14,-0.33045936550301025,26
top5__all__soft__equal,pre_error,15,-0.3563603532648135,20
top5__all__soft__equal,pre_error,16,-0.2785324628514199,14
top5__all__soft__equal,pre_error,17,-0.5374055760444237,12
top5__all__soft__equal,pre_error,18,-0.7616526733760137,8
top5__all__soft__equal,pre_error,19,0.22695155354160457,8
top5__all__soft__equal,pre_error,20+,-0.2757634788580507,16
top5__all__pmf__equal,gate_closed,0,1.0741911332577982,2244
top5__all__pmf__equal,gate_closed,1,0.16621394326455316,2244
top5__all__pmf__equal,gate_closed,2,-0.13359521924022658,2216
top5__all__pmf__equal,gate_closed,3,-0.23766930910091605,2092
top5__all__pmf__equal,gate_closed,4,-0.27389205295167623,1697
top5__all__pmf__equal,gate_closed,5,-0.3368512851410532,1297
top5__all__pmf__equal,gate_closed,6,-0.3837797571111969,943
top5__all__pmf__equal,gate_closed,7,-0.31064055908592675,713
top5__all__pmf__equal,gate_closed,8,-0.34541042236869046,517
top5__all__pmf__equal,gate_closed,9,-0.23599117877564735,377
top5__all__pmf__equal,gate_closed,10,-0.31987980544980016,288
top5__all__pmf__equal,gate_closed,11,-0.32629882890514106,220
top5__all__pmf__equal,gate_closed,12,-0.026465056229277334,146
top5__all__pmf__equal,gate_closed,13,-0.13626567084831423,116
top5__all__pmf__equal,gate_closed,14,-0.24881913213265228,91
top5__all__pmf__equal,gate_closed,15,-0.42718522550068366,77
top5__all__pmf__equal,gate_closed,16,0.12446875055129616,53
top5__all__pmf__equal,gate_closed,17,0.035545504510944945,41
top5__all__pmf__equal,gate_closed,18,-0.1355832885832068,27
top5__all__pmf__equal,gate_closed,19,0.08900402117070814,19
top5__all__pmf__equal,gate_closed,20+,-0.08763191417480624,52
top5__all__pmf__equal,label_clean,0,1.085176077813676,2358
top5__all__pmf__equal,label_clean,1,0.11278321910096291,2358
top5__all__pmf__equal,label_clean,2,-0.09139733211376441,2328
top5__all__pmf__equal,label_clean,3,-0.23239775363964893,2202
top5__all__pmf__equal,label_clean,4,-0.2576821601789821,1814
top5__all__pmf__equal,label_clean,5,-0.32384231220455767,1408
top5__all__pmf__equal,label_clean,6,-0.3751524155886077,970
top5__all__pmf__equal,label_clean,7,-0.33926133472295245,732
top5__all__pmf__equal,label_clean,8,-0.327101654115784,508
top5__all__pmf__equal,label_clean,9,-0.22606960715982688,366
top5__all__pmf__equal,label_clean,10,-0.3827738263614316,284
top5__all__pmf__equal,label_clean,11,-0.339426348096328,216
top5__all__pmf__equal,label_clean,12,-0.08445352213369078,160
top5__all__pmf__equal,label_clean,13,-0.11533856707208787,122
top5__all__pmf__equal,label_clean,14,-0.43159138696843624,96
top5__all__pmf__equal,label_clean,15,-0.34420732946890553,76
top5__all__pmf__equal,label_clean,16,-0.20731356759622083,54
top5__all__pmf__equal,label_clean,17,-0.11896958168324016,48
top5__all__pmf__equal,label_clean,18,-0.2620162281418938,36
top5__all__pmf__equal,label_clean,19,-0.23578767721117203,28
top5__all__pmf__equal,label_clean,20+,-0.05267113317879742,106
top5__all__pmf__equal,pre_error,0,0.7760828574545197,3898
top5__all__pmf__equal,pre_error,1,-0.20455334851711435,2844
top5__all__pmf__equal,pre_error,2,-0.2766053324263147,1860
top5__all__pmf__equal,pre_error,3,-0.2522633083598606,1214
top5__all__pmf__equal,pre_error,4,-0.23402565806218956,818
top5__all__pmf__equal,pre_error,5,-0.21233769978609654,520
top5__all__pmf__equal,pre_error,6,-0.24211571409095034,356
top5__all__pmf__equal,pre_error,7,-0.15424598581105695,238
top5__all__pmf__equal,pre_error,8,-0.2769150318764032,174
top5__all__pmf__equal,pre_error,9,-0.20617718126307233,128
top5__all__pmf__equal,pre_error,10,-0.11325294281507366,84
top5__all__pmf__equal,pre_error,11,-0.17029057614168916,60
top5__all__pmf__equal,pre_error,12,-0.4740054510832189,52
top5__all__pmf__equal,pre_error,13,-0.2204302269184454,34
top5__all__pmf__equal,pre_error,14,-0.3304593655030106,26
top5__all__pmf__equal,pre_error,15,-0.3563603532648134,20
top5__all__pmf__equal,pre_error,16,-0.27853246285141997,14
top5__all__pmf__equal,pre_error,17,-0.5374055760444237,12
top5__all__pmf__equal,pre_error,18,-0.7616526733760134,8
top5__all__pmf__equal,pre_error,19,0.22695155354160412,8
top5__all__pmf__equal,pre_error,20+,-0.2757634788580505,16
q15_H1__top5,gate_closed,0,0.6420540000235587,2244
q15_H1__top5,gate_closed,1,0.44155542082240257,2244
q15_H1__top5,gate_closed,2,-0.009431143579560607,2216
q15_H1__top5,gate_closed,3,-0.21628144241516106,2092
q15_H1__top5,gate_closed,4,-0.27417495327570357,1697
q15_H1__top5,gate_closed,5,-0.330363036101455,1297
q15_H1__top5,gate_closed,6,-0.3886055608879167,943
q15_H1__top5,gate_closed,7,-0.3071745925363225,713
q15_H1__top5,gate_closed,8,-0.37374535475476933,517
q15_H1__top5,gate_closed,9,-0.23629882560572385,377
q15_H1__top5,gate_closed,10,-0.21755418051590059,288
q15_H1__top5,gate_closed,11,-0.27621378264718693,220
q15_H1__top5,gate_closed,12,-0.03770535088932746,146
q15_H1__top5,gate_closed,13,-0.020061464795362312,116
q15_H1__top5,gate_closed,14,-0.2599081506946189,91
q15_H1__top5,gate_closed,15,-0.4590000299966879,77
q15_H1__top5,gate_closed,16,-0.10461024817114173,53
q15_H1__top5,gate_closed,17,-0.0007752377985172673,41
q15_H1__top5,gate_closed,18,-0.09608501358012404,27
q15_H1__top5,gate_closed,19,0.07811880768484851,19
q15_H1__top5,gate_closed,20+,0.0041056957634468295,52
q15_H1__top5,label_clean,0,0.6209013300486717,2358
q15_H1__top5,label_clean,1,0.4054010601158215,2358
q15_H1__top5,label_clean,2,0.028217173711107216,2328
q15_H1__top5,label_clean,3,-0.20048488927599373,2202
q15_H1__top5,label_clean,4,-0.24598023747516504,1814
q15_H1__top5,label_clean,5,-0.3135131293453682,1408
q15_H1__top5,label_clean,6,-0.3739695228051312,970
q15_H1__top5,label_clean,7,-0.3336020222870525,732
q15_H1__top5,label_clean,8,-0.3704142244947406,508
q15_H1__top5,label_clean,9,-0.1718559325056451,366
q15_H1__top5,label_clean,10,-0.30868503479597487,284
q15_H1__top5,label_clean,11,-0.28046035945029135,216
q15_H1__top5,label_clean,12,-0.09815103209483123,160
q15_H1__top5,label_clean,13,-0.10277267100766521,122
q15_H1__top5,label_clean,14,-0.48145236599868696,96
q15_H1__top5,label_clean,15,-0.3676496272702043,76
q15_H1__top5,label_clean,16,-0.30031450521887326,54
q15_H1__top5,label_clean,17,-0.22508782026663718,48
q15_H1__top5,label_clean,18,-0.40280658762502586,36
q15_H1__top5,label_clean,19,-0.4035139481308475,28
q15_H1__top5,label_clean,20+,0.046022689988170086,106
q15_H1__top5,pre_error,0,-0.05229489625880247,3898
q15_H1__top5,pre_error,1,0.07327940784328149,2844
q15_H1__top5,pre_error,2,-0.06304591408065141,1860
q15_H1__top5,pre_error,3,-0.09671081324232791,1214
q15_H1__top5,pre_error,4,-0.09981794082823817,818
q15_H1__top5,pre_error,5,-0.07897389839058307,520
q15_H1__top5,pre_error,6,-0.14527022768086947,356
q15_H1__top5,pre_error,7,-0.11813974982365365,238
q15_H1__top5,pre_error,8,-0.28062287691449167,174
q15_H1__top5,pre_error,9,-0.30247887115817923,128
q15_H1__top5,pre_error,10,-0.14096734393928548,84
q15_H1__top5,pre_error,11,-0.03261893196184423,60
q15_H1__top5,pre_error,12,-0.4206712504006435,52
q15_H1__top5,pre_error,13,-0.2153828920781341,34
q15_H1__top5,pre_error,14,-0.42906878875058074,26
q15_H1__top5,pre_error,15,-0.30378235990648095,20
q15_H1__top5,pre_error,16,-0.30655934617626507,14
q15_H1__top5,pre_error,17,-0.7973582374756488,12
q15_H1__top5,pre_error,18,-0.9853836765735535,8
q15_H1__top5,pre_error,19,-0.38651762154351876,8
q15_H1__top5,pre_error,20+,-0.4985669791402175,16
q15_H1__top10,gate_closed,0,0.7357688034110568,2244
q15_H1__top10,gate_closed,1,0.4314157965306185,2244
q15_H1__top10,gate_closed,2,-0.005103854236462905,2216
q15_H1__top10,gate_closed,3,-0.22223195898880477,2092
q15_H1__top10,gate_closed,4,-0.2979310311137325,1697
q15_H1__top10,gate_closed,5,-0.34849998871790894,1297
q15_H1__top10,gate_closed,6,-0.40879448112131206,943
q15_H1__top10,gate_closed,7,-0.3572915177237602,713
q15_H1__top10,gate_closed,8,-0.4092621584451448,517
q15_H1__top10,gate_closed,9,-0.25698151076889664,377
q15_H1__top10,gate_closed,10,-0.25722482602649327,288
q15_H1__top10,gate_closed,11,-0.29972174108810906,220
q15_H1__top10,gate_closed,12,-0.07598320361594345,146
q15_H1__top10,gate_closed,13,-0.1108597426734381,116
q15_H1__top10,gate_closed,14,-0.20327871895270133,91
q15_H1__top10,gate_closed,15,-0.5598312266396162,77
q15_H1__top10,gate_closed,16,-0.05298025174831642,53
q15_H1__top10,gate_closed,17,-0.008753590463913804,41
q15_H1__top10,gate_closed,18,-0.24115347423450284,27
q15_H1__top10,gate_closed,19,0.07979691717848196,19
q15_H1__top10,gate_closed,20+,-0.055706788083160576,52
q15_H1__top10,label_clean,0,0.7112151012140284,2358
q15_H1__top10,label_clean,1,0.3874330495255055,2358
q15_H1__top10,label_clean,2,0.03584800083353433,2328
q15_H1__top10,label_clean,3,-0.20365815086926056,2202
q15_H1__top10,label_clean,4,-0.2639320054812786,1814
q15_H1__top10,label_clean,5,-0.3357452287912941,1408
q15_H1__top10,label_clean,6,-0.40049783124127913,970
q15_H1__top10,label_clean,7,-0.39373448252619,732
q15_H1__top10,label_clean,8,-0.3843643490732877,508
q15_H1__top10,label_clean,9,-0.2086073244122791,366
q15_H1__top10,label_clean,10,-0.3462494109964873,284
q15_H1__top10,label_clean,11,-0.3141183787729298,216
q15_H1__top10,label_clean,12,-0.11789564011192628,160
q15_H1__top10,label_clean,13,-0.14781615056483108,122
q15_H1__top10,label_clean,14,-0.46055049239257917,96
q15_H1__top10,label_clean,15,-0.4159224685390073,76
q15_H1__top10,label_clean,16,-0.228675163280469,54
q15_H1__top10,label_clean,17,-0.2520103468937858,48
q15_H1__top10,label_clean,18,-0.43015405102920695,36
q15_H1__top10,label_clean,19,-0.32802621514338653,28
q15_H1__top10,label_clean,20+,0.02088750963095623,106
q15_H1__top10,pre_error,0,0.004456961700834529,3898
q15_H1__top10,pre_error,1,0.05849923378594591,2844
q15_H1__top10,pre_error,2,-0.0781827948562151,1860
q15_H1__top10,pre_error,3,-0.07727048776224851,1214
q15_H1__top10,pre_error,4,-0.11568395831991807,818
q15_H1__top10,pre_error,5,-0.07267907929496158,520
q15_H1__top10,pre_error,6,-0.13360610733126113,356
q15_H1__top10,pre_error,7,-0.133024305228279,238
q15_H1__top10,pre_error,8,-0.26634281017680067,174
q15_H1__top10,pre_error,9,-0.2602678089796573,128
q15_H1__top10,pre_error,10,-0.17722336302212915,84
q15_H1__top10,pre_error,11,-0.07297549523072802,60
q15_H1__top10,pre_error,12,-0.44724633362825755,52
q15_H1__top10,pre_error,13,-0.24677166701641037,34
q15_H1__top10,pre_error,14,-0.383363993545816,26
q15_H1__top10,pre_error,15,-0.2832566993464728,20
q15_H1__top10,pre_error,16,-0.3363719546603932,14
q15_H1__top10,pre_error,17,-0.8330055405847531,12
q15_H1__top10,pre_error,18,-0.9343530450027387,8
q15_H1__top10,pre_error,19,-0.3025869696863613,8
q15_H1__top10,pre_error,20+,-0.4734900822145065,16
q15_H1__max,gate_closed,0,0.3652136037268878,2244
q15_H1__max,gate_closed,1,0.3889368117595165,2244
q15_H1__max,gate_closed,2,-0.027366552570756264,2216
q15_H1__max,gate_closed,3,-0.154456007481215,2092
q15_H1__max,gate_closed,4,-0.19992412485246894,1697
q15_H1__max,gate_closed,5,-0.2209105945368184,1297
q15_H1__max,gate_closed,6,-0.3051841848982961,943
q15_H1__max,gate_closed,7,-0.17502887832396358,713
q15_H1__max,gate_closed,8,-0.25120287501873406,517
q15_H1__max,gate_closed,9,-0.20518957446434996,377
q15_H1__max,gate_closed,10,-0.06484630146711044,288
q15_H1__max,gate_closed,11,-0.16783712511145607,220
q15_H1__max,gate_closed,12,-0.020601278156464457,146
q15_H1__max,gate_closed,13,0.14750085260489776,116
q15_H1__max,gate_closed,14,-0.22406270615788376,91
q15_H1__max,gate_closed,15,-0.09782117475661023,77
q15_H1__max,gate_closed,16,-0.035214059602665174,53
q15_H1__max,gate_closed,17,0.09194821214065524,41
q15_H1__max,gate_closed,18,0.036252584010460644,27
q15_H1__max,gate_closed,19,-0.013878313373214324,19
q15_H1__max,gate_closed,20+,0.07420178396259038,52
q15_H1__max,label_clean,0,0.35821318255910106,2358
q15_H1__max,label_clean,1,0.3585914998398983,2358
q15_H1__max,label_clean,2,0.008816967226527682,2328
q15_H1__max,label_clean,3,-0.13625889700674662,2202
q15_H1__max,label_clean,4,-0.18262710110526187,1814
q15_H1__max,label_clean,5,-0.211508611329186,1408
q15_H1__max,label_clean,6,-0.287329008100584,970
q15_H1__max,label_clean,7,-0.17818536101178292,732
q15_H1__max,label_clean,8,-0.28213060877514823,508
q15_H1__max,label_clean,9,-0.12724358459129592,366
q15_H1__max,label_clean,10,-0.1485435338445301,284
q15_H1__max,label_clean,11,-0.1838462597334346,216
q15_H1__max,label_clean,12,-0.11338494580171825,160
q15_H1__max,label_clean,13,-0.14565650809558237,122
q15_H1__max,label_clean,14,-0.24667838092845504,96
q15_H1__max,label_clean,15,-0.07157596382260505,76
q15_H1__max,label_clean,16,-0.30879402400152395,54
q15_H1__max,label_clean,17,-0.11761637937175139,48
q15_H1__max,label_clean,18,-0.3502731546580734,36
q15_H1__max,label_clean,19,-0.410926488753894,28
q15_H1__max,label_clean,20+,0.10170507084959274,106
q15_H1__max,pre_error,0,-0.19644588322647386,3898
q15_H1__max,pre_error,1,0.03496132265626781,2844
q15_H1__max,pre_error,2,-0.07859543206747811,1860
q15_H1__max,pre_error,3,-0.12863174306614283,1214
q15_H1__max,pre_error,4,-0.11595242277529552,818
q15_H1__max,pre_error,5,-0.0907685642559306,520
q15_H1__max,pre_error,6,-0.11471581650497081,356
q15_H1__max,pre_error,7,-0.11792630759415863,238
q15_H1__max,pre_error,8,-0.19635014584403326,174
q15_H1__max,pre_error,9,-0.27224368578781655,128
q15_H1__max,pre_error,10,-0.05921258471326439,84
q15_H1__max,pre_error,11,-0.0694006529793269,60
q15_H1__max,pre_error,12,-0.4190801104993955,52
q15_H1__max,pre_error,13,-0.11524719549446266,34
q15_H1__max,pre_error,14,-0.4190582286537462,26
q15_H1__max,pre_error,15,-0.260368936605368,20
q15_H1__max,pre_error,16,-0.2528335645787784,14
q15_H1__max,pre_error,17,-0.9215290756397713,12
q15_H1__max,pre_error,18,-1.1103244752133041,8
q15_H1__max,pre_error,19,-0.6670109936407956,8
q15_H1__max,pre_error,20+,-0.4031269293616724,16
q15_H1__mean,gate_closed,0,0.4843686431748559,2244
q15_H1__mean,gate_closed,1,0.2363711230572183,2244
q15_H1__mean,gate_closed,2,-0.15063693609993667,2216
q15_H1__mean,gate_closed,3,-0.17388235480412276,2092
q15_H1__mean,gate_closed,4,-0.20474778475998553,1697
q15_H1__mean,gate_closed,5,-0.16486784485364225,1297
q15_H1__mean,gate_closed,6,-0.20088828604161543,943
q15_H1__mean,gate_closed,7,-0.07950729574831172,713
q15_H1__mean,gate_closed,8,-0.22573141907480238,517
q15_H1__mean,gate_closed,9,-0.05337046611118167,377
q15_H1__mean,gate_closed,10,-0.041293850820245614,288
q15_H1__mean,gate_closed,11,0.09642350155906579,220
q15_H1__mean,gate_closed,12,0.13522989150450687,146
q15_H1__mean,gate_closed,13,0.139003519662977,116
q15_H1__mean,gate_closed,14,-0.20501334904885674,91
q15_H1__mean,gate_closed,15,-0.07906689064534186,77
q15_H1__mean,gate_closed,16,-0.10601636534936404,53
q15_H1__mean,gate_closed,17,0.0219975874324173,41
q15_H1__mean,gate_closed,18,0.2630686584241376,27
q15_H1__mean,gate_closed,19,-0.1343078406197809,19
q15_H1__mean,gate_closed,20+,0.08068970761693202,52
q15_H1__mean,label_clean,0,0.45918642270096943,2358
q15_H1__mean,label_clean,1,0.25287277975236755,2358
q15_H1__mean,label_clean,2,-0.12807800598461191,2328
q15_H1__mean,label_clean,3,-0.18230436547820467,2202
q15_H1__mean,label_clean,4,-0.1737727348560055,1814
q15_H1__mean,label_clean,5,-0.11280450293315973,1408
q15_H1__mean,label_clean,6,-0.22209447064879104,970
q15_H1__mean,label_clean,7,-0.09509868777888768,732
q15_H1__mean,label_clean,8,-0.2441868538431604,508
q15_H1__mean,label_clean,9,-0.03603060619868912,366
q15_H1__mean,label_clean,10,-0.13166755354283988,284
q15_H1__mean,label_clean,11,0.09131221412061556,216
q15_H1__mean,label_clean,12,0.09344811349402803,160
q15_H1__mean,label_clean,13,-0.0028801692383406377,122
q15_H1__mean,label_clean,14,-0.3322591845297294,96
q15_H1__mean,label_clean,15,-0.15503984089623699,76
q15_H1__mean,label_clean,16,-0.24298540011260575,54
q15_H1__mean,label_clean,17,-0.07737377644290665,48
q15_H1__mean,label_clean,18,-0.40107616289717146,36
q15_H1__mean,label_clean,19,-0.5537669722594984,28
q15_H1__mean,label_clean,20+,0.09833774644750572,106
q15_H1__mean,pre_error,0,-0.12109831351030187,3898
q15_H1__mean,pre_error,1,0.02000050516117978,2844
q15_H1__mean,pre_error,2,-0.08785125756432813,1860
q15_H1__mean,pre_error,3,-0.12214496327834325,1214
q15_H1__mean,pre_error,4,-0.1399252615634039,818
q15_H1__mean,pre_error,5,-0.15097873890460414,520
q15_H1__mean,pre_error,6,-0.16096628852898826,356
q15_H1__mean,pre_error,7,-0.23001490306131703,238
q15_H1__mean,pre_error,8,-0.2874563598563851,174
q15_H1__mean,pre_error,9,-0.26059440362130953,128
q15_H1__mean,pre_error,10,-0.2117958719218052,84
q15_H1__mean,pre_error,11,-0.3031184839922271,60
q15_H1__mean,pre_error,12,-0.25859416763702525,52
q15_H1__mean,pre_error,13,-0.28230640557802333,34
q15_H1__mean,pre_error,14,-0.2469021118883263,26
q15_H1__mean,pre_error,15,0.2785744044152608,20
q15_H1__mean,pre_error,16,-0.32578233649489496,14
