locator,channel,readout,reference,stratum,miss_type,n_reference_misses,hit_given_miss,hit_given_miss_tolerance_one,shuffled_hit_given_miss,real_minus_shuffled,degenerate,real_minus_shuffled_ci95
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_6_to_10,late,1033,0.05227492739593417,0.33010648596321396,0.21393998063891578,-0.1616650532429816,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_6_to_10,early,645,0.09302325581395349,0.4201550387596899,0.19224806201550387,-0.09922480620155039,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_11_plus,any,682,0.060117302052785926,0.18475073313782991,0.08797653958944282,-0.027859237536656895,False,"[-0.05775143532590341, 0.0028657423845817173]"
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_11_plus,late,438,0.03424657534246575,0.1506849315068493,0.08904109589041095,-0.0547945205479452,False,"[-0.0900934769355822, -0.02026913149104161]"
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_11_plus,early,244,0.10655737704918032,0.2459016393442623,0.0860655737704918,0.02049180327868852,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,all,any,3105,0.13043478260869565,0.42866344605475043,0.18357487922705315,-0.0531400966183575,False,"[-0.07324843333477206, -0.031391142219543165]"
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,all,late,1663,0.09801563439567047,0.4010823812387252,0.20444978953698137,-0.1064341551413109,False,"[-0.1322925878108309, -0.07888296064163171]"
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,all,early,1442,0.1678224687933426,0.4604715672676838,0.15950069348127602,0.00832177531206657,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_2_to_5,any,760,0.14736842105263157,0.6631578947368421,0.26973684210526316,-0.1223684210526316,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_2_to_5,late,421,0.09263657957244656,0.6460807600950119,0.28741092636579574,-0.19477434679334918,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_2_to_5,early,339,0.2153392330383481,0.6843657817109144,0.24778761061946902,-0.03244837758112093,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_6_to_10,any,1642,0.1285018270401949,0.402557856272838,0.18574908647990257,-0.05724725943970768,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_6_to_10,late,895,0.10391061452513967,0.35977653631284917,0.20893854748603352,-0.10502793296089385,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_6_to_10,early,747,0.15796519410977242,0.4538152610441767,0.15796519410977242,0.0,False,
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_11_plus,any,703,0.1166429587482219,0.2361308677098151,0.08534850640113797,0.03129445234708393,False,"[-0.004695389317034281, 0.0657352043929225]"
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_11_plus,late,347,0.0893371757925072,0.21037463976945245,0.09221902017291066,-0.0028818443804034533,False,"[-0.05053443980608672, 0.043478260869565216]"
q15_H1__top10,q15_H1,top10,fused_top5_soft_equal,steps_11_plus,early,356,0.14325842696629212,0.2612359550561798,0.07865168539325842,0.0646067415730337,False,
q15_H1__top10,q15_H1,top10,ct7,all,any,2743,0.12650382792562886,0.41924899744804955,0.17535545023696683,-0.04885162231133797,False,"[-0.07006671087664428, -0.02765449486650402]"
q15_H1__top10,q15_H1,top10,ct7,all,late,1526,0.09174311926605505,0.3636959370904325,0.16972477064220184,-0.0779816513761468,False,"[-0.10317286623316364, -0.05296804153868658]"
q15_H1__top10,q15_H1,top10,ct7,all,early,1217,0.17009038619556285,0.48890714872637636,0.18241577649958915,-0.012325390304026296,False,
q15_H1__top10,q15_H1,top10,ct7,steps_2_to_5,any,687,0.16593886462882096,0.6404657933042213,0.2590975254730713,-0.09315866084425034,False,
q15_H1__top10,q15_H1,top10,ct7,steps_2_to_5,late,366,0.10655737704918032,0.6092896174863388,0.25956284153005466,-0.15300546448087432,False,
q15_H1__top10,q15_H1,top10,ct7,steps_2_to_5,early,321,0.2336448598130841,0.67601246105919,0.2585669781931464,-0.02492211838006228,False,
q15_H1__top10,q15_H1,top10,ct7,steps_6_to_10,any,1480,0.125,0.4006756756756757,0.1777027027027027,-0.05270270270270269,False,
q15_H1__top10,q15_H1,top10,ct7,steps_6_to_10,late,815,0.09202453987730061,0.3337423312883436,0.16932515337423312,-0.07730061349693251,False,
q15_H1__top10,q15_H1,top10,ct7,steps_6_to_10,early,665,0.16541353383458646,0.48270676691729325,0.18796992481203006,-0.022556390977443608,False,
q15_H1__top10,q15_H1,top10,ct7,steps_11_plus,any,576,0.08333333333333333,0.203125,0.06944444444444445,0.013888888888888881,False,"[-0.018667654567328856, 0.04642584731443723]"
q15_H1__top10,q15_H1,top10,ct7,steps_11_plus,late,345,0.07536231884057971,0.17391304347826086,0.07536231884057971,0.0,False,"[-0.040760939580023185, 0.04069925429726996]"
q15_H1__top10,q15_H1,top10,ct7,steps_11_plus,early,231,0.09523809523809523,0.24675324675324675,0.06060606060606061,0.034632034632034625,False,
q15_H1__max,q15_H1,max,same_channel_top5,all,any,3119,0.09265790317409427,0.4107085604360372,0.16768194934273806,-0.07502404616864379,False,"[-0.09271379887506034, -0.05820567796440986]"
q15_H1__max,q15_H1,max,same_channel_top5,all,late,1959,0.08473711077080143,0.39867279224093927,0.17355793772332823,-0.0888208269525268,False,"[-0.11083428355455338, -0.06800860663904232]"
q15_H1__max,q15_H1,max,same_channel_top5,all,early,1160,0.1060344827586207,0.43103448275862066,0.15775862068965518,-0.05172413793103449,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_2_to_5,any,759,0.13043478260869565,0.6310935441370223,0.2648221343873518,-0.13438735177865616,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_2_to_5,late,488,0.11065573770491803,0.6536885245901639,0.2807377049180328,-0.17008196721311475,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_2_to_5,early,271,0.16605166051660517,0.5904059040590406,0.23616236162361623,-0.07011070110701106,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_6_to_10,any,1678,0.0899880810488677,0.3808104886769964,0.1567342073897497,-0.06674612634088199,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_6_to_10,late,1033,0.08712487899322362,0.3601161665053243,0.15876089060987417,-0.07163601161665055,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_6_to_10,early,645,0.09457364341085271,0.413953488372093,0.15348837209302327,-0.058914728682170556,False,
q15_H1__max,q15_H1,max,same_channel_top5,steps_11_plus,any,682,0.05718475073313783,0.23900293255131966,0.08651026392961877,-0.029325513196480947,False,"[-0.06144324473975637, -0.0014002684407096188]"
q15_H1__max,q15_H1,max,same_channel_top5,steps_11_plus,late,438,0.0502283105022831,0.2054794520547945,0.08904109589041095,-0.03881278538812785,False,"[-0.0767267887943853, -0.004354975821174254]"
q15_H1__max,q15_H1,max,same_channel_top5,steps_11_plus,early,244,0.06967213114754098,0.29918032786885246,0.08196721311475409,-0.012295081967213115,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,all,any,3105,0.13623188405797101,0.42962962962962964,0.15845410628019324,-0.022222222222222227,False,"[-0.041069468690340345, -0.004574568448966066]"
q15_H1__max,q15_H1,max,fused_top5_soft_equal,all,late,1663,0.11665664461815996,0.4143114852675887,0.17378232110643416,-0.0571256764882742,False,"[-0.08202653799758745, -0.03281322005774451]"
q15_H1__max,q15_H1,max,fused_top5_soft_equal,all,early,1442,0.15880721220527047,0.4472954230235784,0.1407766990291262,0.018030513176144264,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_2_to_5,any,760,0.20789473684210527,0.6526315789473685,0.25526315789473686,-0.04736842105263159,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_2_to_5,late,421,0.16864608076009502,0.6603325415676959,0.2684085510688836,-0.0997624703087886,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_2_to_5,early,339,0.25663716814159293,0.6430678466076696,0.23893805309734514,0.017699115044247787,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_6_to_10,any,1642,0.12667478684531058,0.40012180267965897,0.14738124238733252,-0.02070645554202194,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_6_to_10,late,895,0.10949720670391061,0.3642458100558659,0.15977653631284916,-0.05027932960893855,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_6_to_10,early,747,0.14725568942436412,0.4431057563587684,0.13253012048192772,0.014725568942436401,False,
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_11_plus,any,703,0.08108108108108109,0.2574679943100996,0.07965860597439545,0.001422475106685639,False,"[-0.03274176542814435, 0.03401035273065723]"
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_11_plus,late,347,0.07204610951008646,0.24495677233429394,0.09510086455331412,-0.023054755043227668,False,"[-0.0685942892847225, 0.02027897743103924]"
q15_H1__max,q15_H1,max,fused_top5_soft_equal,steps_11_plus,early,356,0.0898876404494382,0.2696629213483146,0.06460674157303371,0.025280898876404487,False,
q15_H1__max,q15_H1,max,ct7,all,any,2743,0.14473204520597885,0.4312796208530806,0.15676266861100985,-0.012030623405030999,False,"[-0.032077640264557415, 0.0073770485304666044]"
q15_H1__max,q15_H1,max,ct7,all,late,1526,0.1127129750982962,0.38073394495412843,0.15465268676277852,-0.04193971166448232,False,"[-0.06777654255934404, -0.01720690520050416]"
q15_H1__max,q15_H1,max,ct7,all,early,1217,0.1848808545603944,0.49465899753492193,0.15940838126540674,0.02547247329498767,False,
q15_H1__max,q15_H1,max,ct7,steps_2_to_5,any,687,0.21688500727802038,0.6302765647743813,0.24745269286754004,-0.030567685589519666,False,
q15_H1__max,q15_H1,max,ct7,steps_2_to_5,late,366,0.16939890710382513,0.6120218579234973,0.27049180327868855,-0.10109289617486342,False,
q15_H1__max,q15_H1,max,ct7,steps_2_to_5,early,321,0.27102803738317754,0.6510903426791277,0.22118380062305296,0.04984423676012459,False,
q15_H1__max,q15_H1,max,ct7,steps_6_to_10,any,1480,0.13108108108108107,0.40945945945945944,0.1472972972972973,-0.016216216216216217,False,
q15_H1__max,q15_H1,max,ct7,steps_6_to_10,late,815,0.09570552147239264,0.3460122699386503,0.1374233128834356,-0.041717791411042954,False,
q15_H1__max,q15_H1,max,ct7,steps_6_to_10,early,665,0.17443609022556392,0.48721804511278194,0.1593984962406015,0.015037593984962405,False,
q15_H1__max,q15_H1,max,ct7,steps_11_plus,any,576,0.09375,0.25,0.07291666666666667,0.02083333333333333,False,"[-0.01862893317207088, 0.057570539126281024]"
q15_H1__max,q15_H1,max,ct7,steps_11_plus,late,345,0.0927536231884058,0.21739130434782608,0.07246376811594203,0.020289855072463767,False,"[-0.029615882329698116, 0.06995253064577275]"
q15_H1__max,q15_H1,max,ct7,steps_11_plus,early,231,0.09523809523809523,0.2987012987012987,0.0735930735930736,0.021645021645021634,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,all,any,3119,0.10131452388586085,0.39147162552100034,0.13369669765950626,-0.03238217377364541,False,"[-0.04948996226594166, -0.01385660839069816]"
q15_H1__mean,q15_H1,mean,same_channel_top5,all,late,1959,0.08728943338437979,0.37059724349157736,0.13374170495150586,-0.04645227156712607,False,"[-0.06796815421550628, -0.025095573071299532]"
q15_H1__mean,q15_H1,mean,same_channel_top5,all,early,1160,0.125,0.4267241379310345,0.1336206896551724,-0.008620689655172403,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_2_to_5,any,759,0.13043478260869565,0.5744400527009222,0.23847167325428195,-0.1080368906455863,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_2_to_5,late,488,0.11885245901639344,0.5881147540983607,0.2336065573770492,-0.11475409836065575,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_2_to_5,early,271,0.15129151291512916,0.5498154981549815,0.24723247232472326,-0.0959409594095941,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_6_to_10,any,1678,0.10011918951132301,0.3867699642431466,0.11501787842669844,-0.014898688915375435,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_6_to_10,late,1033,0.08809293320425944,0.3504356243949661,0.11907066795740562,-0.030977734753146177,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_6_to_10,early,645,0.11937984496124031,0.4449612403100775,0.10852713178294573,0.010852713178294573,False,
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_11_plus,any,682,0.0718475073313783,0.19941348973607037,0.06304985337243402,0.008797653958944288,False,"[-0.02098007098007098, 0.04029910929224843]"
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_11_plus,late,438,0.0502283105022831,0.17579908675799086,0.05707762557077625,-0.00684931506849315,False,"[-0.03769953026975337, 0.026512473250666864]"
q15_H1__mean,q15_H1,mean,same_channel_top5,steps_11_plus,early,244,0.11065573770491803,0.24180327868852458,0.07377049180327869,0.036885245901639344,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,all,any,3105,0.13365539452495975,0.41320450885668275,0.1323671497584541,0.0012882447665056584,False,"[-0.01823839194812099, 0.021407719753486862]"
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,all,late,1663,0.11665664461815996,0.40408899579073965,0.13950691521346964,-0.022850270595309682,False,"[-0.047539088383778426, 0.002411863804268863]"
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,all,early,1442,0.15325936199722606,0.4237170596393897,0.12413314840499307,0.029126213592232997,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_2_to_5,any,760,0.17894736842105263,0.6013157894736842,0.24078947368421053,-0.06184210526315789,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_2_to_5,late,421,0.1496437054631829,0.6033254156769596,0.24228028503562946,-0.09263657957244656,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_2_to_5,early,339,0.2153392330383481,0.5988200589970502,0.23893805309734514,-0.02359882005899705,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_6_to_10,any,1642,0.13520097442143728,0.41291108404384896,0.11266747868453106,0.022533495736906217,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_6_to_10,late,895,0.12402234636871508,0.39329608938547483,0.1217877094972067,0.0022346368715083775,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_6_to_10,early,747,0.14859437751004015,0.4364123159303882,0.10174029451137885,0.0468540829986613,False,
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_11_plus,any,703,0.08108108108108109,0.21052631578947367,0.06116642958748222,0.01991465149359887,False,"[-0.00938432519421662, 0.051040671971706426]"
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_11_plus,late,347,0.05763688760806916,0.19020172910662825,0.06051873198847262,-0.00288184438040346,False,"[-0.036620455718604825, 0.03403732609156592]"
q15_H1__mean,q15_H1,mean,fused_top5_soft_equal,steps_11_plus,early,356,0.10393258426966293,0.2303370786516854,0.06179775280898876,0.04213483146067416,False,
q15_H1__mean,q15_H1,mean,ct7,all,any,2743,0.12249362012395187,0.3977397010572366,0.13598250091141087,-0.013488880787458996,False,"[-0.033636132354703537, 0.0073154228354831135]"
q15_H1__mean,q15_H1,mean,ct7,all,late,1526,0.09239842726081259,0.3486238532110092,0.13958060288335516,-0.04718217562254258,False,"[-0.07124738981600343, -0.023026434072742328]"
q15_H1__mean,q15_H1,mean,ct7,all,early,1217,0.16023007395234182,0.45932621199671325,0.1314708299096138,0.028759244042728005,False,
q15_H1__mean,q15_H1,mean,ct7,steps_2_to_5,any,687,0.17612809315866085,0.5793304221251819,0.23435225618631733,-0.058224163027656484,False,
q15_H1__mean,q15_H1,mean,ct7,steps_2_to_5,late,366,0.11748633879781421,0.546448087431694,0.23497267759562843,-0.11748633879781421,False,
q15_H1__mean,q15_H1,mean,ct7,steps_2_to_5,early,321,0.24299065420560748,0.616822429906542,0.2336448598130841,0.009345794392523366,False,
q15_H1__mean,q15_H1,mean,ct7,steps_6_to_10,any,1480,0.11891891891891893,0.39864864864864863,0.11891891891891893,0.0,False,
q15_H1__mean,q15_H1,mean,ct7,steps_6_to_10,late,815,0.10061349693251534,0.34355828220858897,0.13006134969325153,-0.029447852760736193,False,
q15_H1__mean,q15_H1,mean,ct7,steps_6_to_10,early,665,0.14135338345864662,0.46616541353383456,0.10526315789473684,0.036090225563909784,False,
q15_H1__mean,q15_H1,mean,ct7,steps_11_plus,any,576,0.06770833333333333,0.17881944444444445,0.0625,0.005208333333333329,False,"[-0.028012405107631345, 0.03890409339185702]"
q15_H1__mean,q15_H1,mean,ct7,steps_11_plus,late,345,0.0463768115942029,0.15072463768115943,0.06086956521739131,-0.014492753623188408,False,"[-0.05, 0.026166615667074643]"
q15_H1__mean,q15_H1,mean,ct7,steps_11_plus,early,231,0.09956709956709957,0.22077922077922077,0.06493506493506493,0.03463203463203464,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,all,any,3119,0.1535748637383777,0.44725873677460726,0.18788073100352679,-0.03430586726514909,False,"[-0.05462215617954499, -0.015322736929416615]"
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,all,late,1959,0.15160796324655437,0.44869831546707506,0.1990811638591118,-0.047473200612557415,False,"[-0.07315969421614171, -0.0219768743006341]"
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,all,early,1160,0.15689655172413794,0.44482758620689655,0.16896551724137931,-0.012068965517241376,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_2_to_5,any,759,0.20816864295125165,0.6706192358366272,0.3096179183135705,-0.10144927536231885,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_2_to_5,late,488,0.21311475409836064,0.6905737704918032,0.3319672131147541,-0.11885245901639344,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_2_to_5,early,271,0.1992619926199262,0.6346863468634686,0.2693726937269373,-0.07011070110701109,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_6_to_10,any,1678,0.14958283671036948,0.42491060786650775,0.17938021454112038,-0.0297973778307509,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_6_to_10,late,1033,0.14811229428848016,0.41723136495643753,0.1868344627299129,-0.038722168441432725,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_6_to_10,early,645,0.15193798449612403,0.4372093023255814,0.16744186046511628,-0.015503875968992248,False,
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_11_plus,any,682,0.10263929618768329,0.2536656891495601,0.07331378299120235,0.02932551319648094,False,"[-0.0029108720039887456, 0.06085706038689438]"
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_11_plus,late,438,0.091324200913242,0.2534246575342466,0.07990867579908675,0.01141552511415525,False,"[-0.028306928696275713, 0.051525271849677284]"
q15_H1__log_top5,q15_H1,log_top5,same_channel_top5,steps_11_plus,early,244,0.12295081967213115,0.2540983606557377,0.06147540983606557,0.06147540983606557,False,
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,all,any,3105,0.17326892109500805,0.47053140096618357,0.18099838969404186,-0.007729468599033812,False,"[-0.02896326547479867, 0.011869614037635695]"
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,all,late,1663,0.17498496692723992,0.4696331930246542,0.19603126879134095,-0.02104630186410103,False,"[-0.05164143391998058, 0.007563680361293165]"
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,all,early,1442,0.17128987517337033,0.47156726768377255,0.1636615811373093,0.007628294036061023,False,
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,steps_2_to_5,any,760,0.23684210526315788,0.6894736842105263,0.29078947368421054,-0.05394736842105266,False,
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,steps_2_to_5,late,421,0.22327790973871733,0.7007125890736342,0.32066508313539194,-0.0973871733966746,False,
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,steps_2_to_5,early,339,0.2536873156342183,0.6755162241887905,0.2536873156342183,0.0,False,
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,steps_6_to_10,any,1642,0.16504263093788063,0.451278928136419,0.17113276492082827,-0.0060901339829476375,False,
q15_H1__log_top5,q15_H1,log_top5,fused_top5_soft_equal,steps_6_to_10,late,895,0.17318435754189945,0.4335195530726257,0.1776536312849162,-0.004469273743016755,False,
