cell,group,weak,feature,auc_raw,auc_oriented,oracle_sign,nonmono_gain_cv,auc_dev_from_own_median,nonmono_dev_from_own_median,n_cells_for_feature
epr_triviaqa_mistral24b,QA,False,min_spilled,0.4344,0.5656,-1,0.0159,-0.0638,0.0282,11
epr_triviaqa_mistral24b,QA,False,epr_energy,0.2711,0.7289,-1,-0.0396,0.007,-0.0274,25
epr_triviaqa_mistral24b,QA,False,min_energy,0.2646,0.7354,-1,-0.0243,0.0413,-0.0042,25
epr_triviaqa_mistral24b,QA,False,sw_var_peak_energy,0.6831,0.6831,1,-0.0267,0.107,-0.0089,25
epr_triviaqa_mistral24b,QA,False,cusum_max_energy,0.6478,0.6478,1,-0.0084,-0.0025,0.0093,25
epr_triviaqa_mistral24b,QA,False,mean_top1_logprob,0.7342,0.7342,1,-0.0272,-0.0023,-0.0106,25
epr_triviaqa_mistral24b,QA,False,logprob_margin,0.7044,0.7044,1,-0.022,-0.0268,0.0002,24
epr_triviaqa_mistral24b,QA,False,mean_logprob_entropy,0.7422,0.7422,1,-0.0265,-0.0032,-0.0058,25
epr_triviaqa_mistral24b,QA,False,varentropy,0.7362,0.7362,1,-0.0271,-0.0103,-0.0133,25
epr_triviaqa_mistral24b,QA,False,renyi_entropy_2,0.738,0.738,1,-0.0223,-0.0024,-0.0016,25
epr_triviaqa_mistral24b,QA,False,topk_tail_mass,0.7548,0.7548,1,-0.0298,-0.0108,-0.0121,25
inside_coqa_llama7b,QA,True,epr,0.5728,0.5728,1,0.1055,-0.1703,0.1278,25
inside_coqa_llama7b,QA,True,spectral_entropy,0.3592,0.6408,-1,-0.0142,0.0,0.0021,25
inside_coqa_llama7b,QA,True,low_band_power,0.6075,0.6075,1,0.0161,-0.0193,0.0325,25
inside_coqa_llama7b,QA,True,high_band_power,0.538,0.538,1,0.0113,-0.0538,0.0242,25
inside_coqa_llama7b,QA,True,hl_ratio,0.4763,0.5237,-1,0.0102,-0.102,0.0271,25
inside_coqa_llama7b,QA,True,dominant_freq,0.433,0.567,-1,0.0177,-0.0391,0.0223,23
inside_coqa_llama7b,QA,True,spectral_centroid,0.448,0.552,-1,0.0224,-0.0872,0.0406,25
inside_coqa_llama7b,QA,True,stft_max_high_power,0.5366,0.5366,1,0.057,-0.0242,0.0785,20
inside_coqa_llama7b,QA,True,stft_spectral_entropy,0.4212,0.5788,-1,0.0187,0.0242,0.0182,20
inside_coqa_llama7b,QA,True,rpdi,0.438,0.562,-1,0.0028,-0.0307,-0.0021,25
inside_coqa_llama7b,QA,True,sw_var_peak,0.6152,0.6152,1,0.0116,-0.1158,0.0288,25
inside_coqa_llama7b,QA,True,pe_mean,0.5221,0.5221,1,0.1376,0.0005,0.1341,25
inside_coqa_llama7b,QA,True,hurst_exponent,0.4064,0.5936,-1,-0.0107,0.0023,-0.0002,25
inside_coqa_llama7b,QA,True,cusum_max,0.5363,0.5363,1,0.0787,-0.1832,0.1041,25
inside_coqa_llama7b,QA,True,cusum_shift_idx,0.597,0.597,1,0.0032,0.0335,0.0086,25
inside_coqa_llama7b,QA,True,epr_spilled,0.4274,0.5726,-1,0.1085,-0.1476,0.1296,25
inside_coqa_llama7b,QA,True,sw_var_peak_spilled,0.4899,0.5101,-1,0.0171,-0.1465,0.0365,25
inside_coqa_llama7b,QA,True,cusum_max_spilled,0.4736,0.5264,-1,0.0801,-0.1832,0.0984,25
inside_coqa_llama7b,QA,True,epr_energy,0.3376,0.6624,-1,0.0124,-0.0595,0.0246,25
inside_coqa_llama7b,QA,True,min_energy,0.3785,0.6215,-1,0.0355,-0.0726,0.0556,25
inside_coqa_llama7b,QA,True,sw_var_peak_energy,0.6538,0.6538,1,-0.0077,0.0777,0.0101,25
inside_coqa_llama7b,QA,True,cusum_max_energy,0.5616,0.5616,1,0.024,-0.0887,0.0417,25
inside_coqa_llama7b,QA,True,mean_top1_logprob,0.5757,0.5757,1,0.1123,-0.1608,0.1289,25
inside_coqa_llama7b,QA,True,mean_logprob_entropy,0.5728,0.5728,1,0.1055,-0.1726,0.1262,25
inside_coqa_llama7b,QA,True,varentropy,0.5598,0.5598,1,0.1257,-0.1867,0.1395,25
inside_coqa_llama7b,QA,True,renyi_entropy_2,0.5752,0.5752,1,0.1085,-0.1652,0.1292,25
inside_coqa_llama7b,QA,True,topk_tail_mass,0.6153,0.6153,1,0.0365,-0.1503,0.0542,25
losnet_hotpotqa_mistral7b,QA,True,epr,0.5598,0.5598,1,-0.0369,-0.1833,-0.0146,25
losnet_hotpotqa_mistral7b,QA,True,trace_length,0.4277,0.5723,-1,-0.0443,-0.1196,-0.0267,20
losnet_hotpotqa_mistral7b,QA,True,spectral_entropy,0.5748,0.5748,1,0.0035,-0.066,0.0198,25
losnet_hotpotqa_mistral7b,QA,True,low_band_power,0.5001,0.5001,1,0.0175,-0.1267,0.0339,25
losnet_hotpotqa_mistral7b,QA,True,high_band_power,0.519,0.519,1,-0.0046,-0.0728,0.0083,25
losnet_hotpotqa_mistral7b,QA,True,hl_ratio,0.508,0.508,1,0.0267,-0.1177,0.0436,25
losnet_hotpotqa_mistral7b,QA,True,dominant_freq,0.4674,0.5326,-1,-0.0104,-0.0735,-0.0058,23
losnet_hotpotqa_mistral7b,QA,True,spectral_centroid,0.4956,0.5044,-1,0.0279,-0.1348,0.0461,25
losnet_hotpotqa_mistral7b,QA,True,stft_max_high_power,0.571,0.571,1,-0.0085,0.0102,0.0129,20
losnet_hotpotqa_mistral7b,QA,True,stft_spectral_entropy,0.5346,0.5346,1,0.0057,-0.0201,0.0052,20
losnet_hotpotqa_mistral7b,QA,True,rpdi,0.4991,0.5009,-1,0.0454,-0.0918,0.0405,25
losnet_hotpotqa_mistral7b,QA,True,sw_var_peak,0.5834,0.5834,1,-0.014,-0.1476,0.0032,25
losnet_hotpotqa_mistral7b,QA,True,pe_mean,0.527,0.527,1,-0.0158,0.0054,-0.0193,25
losnet_hotpotqa_mistral7b,QA,True,hurst_exponent,0.4796,0.5204,-1,-0.0122,-0.0709,-0.0017,25
losnet_hotpotqa_mistral7b,QA,True,cusum_max,0.5452,0.5452,1,-0.0322,-0.1743,-0.0068,25
losnet_hotpotqa_mistral7b,QA,True,cusum_shift_idx,0.464,0.536,-1,0.0096,-0.0275,0.015,25
losnet_hotpotqa_mistral7b,QA,True,epr_spilled,0.4406,0.5594,-1,-0.0338,-0.1608,-0.0127,25
losnet_hotpotqa_mistral7b,QA,True,sw_var_peak_spilled,0.4046,0.5954,-1,-0.0124,-0.0612,0.007,25
losnet_hotpotqa_mistral7b,QA,True,cusum_max_spilled,0.4429,0.5571,-1,-0.0386,-0.1525,-0.0203,25
losnet_hotpotqa_mistral7b,QA,True,epr_energy,0.4717,0.5283,-1,-0.0043,-0.1936,0.0079,25
losnet_hotpotqa_mistral7b,QA,True,min_energy,0.4578,0.5422,-1,-0.0288,-0.1519,-0.0087,25
losnet_hotpotqa_mistral7b,QA,True,sw_var_peak_energy,0.5421,0.5421,1,-0.0288,-0.034,-0.011,25
losnet_hotpotqa_mistral7b,QA,True,cusum_max_energy,0.5445,0.5445,1,-0.0031,-0.1058,0.0146,25
losnet_hotpotqa_mistral7b,QA,True,mean_top1_logprob,0.5594,0.5594,1,-0.0338,-0.1771,-0.0172,25
losnet_hotpotqa_mistral7b,QA,True,logprob_margin,0.5444,0.5444,1,-0.0349,-0.1868,-0.0128,24
losnet_hotpotqa_mistral7b,QA,True,mean_logprob_entropy,0.5675,0.5675,1,-0.0207,-0.1779,0.0,25
losnet_hotpotqa_mistral7b,QA,True,varentropy,0.5833,0.5833,1,-0.0306,-0.1632,-0.0168,25
losnet_hotpotqa_mistral7b,QA,True,renyi_entropy_2,0.5605,0.5605,1,-0.0207,-0.1799,0.0,25
losnet_hotpotqa_mistral7b,QA,True,topk_tail_mass,0.5731,0.5731,1,-0.0207,-0.1925,-0.003,25
sciq_llama8b,QA,False,epr,0.7389,0.7389,1,-0.0475,-0.0042,-0.0252,25
sciq_llama8b,QA,False,trace_length,0.2985,0.7015,-1,-0.0389,0.0096,-0.0213,20
sciq_llama8b,QA,False,spectral_entropy,0.6947,0.6947,1,-0.0569,0.0539,-0.0406,25
sciq_llama8b,QA,False,low_band_power,0.5972,0.5972,1,-0.0755,-0.0296,-0.0591,25
sciq_llama8b,QA,False,high_band_power,0.5232,0.5232,1,-0.0034,-0.0686,0.0095,25
sciq_llama8b,QA,False,hl_ratio,0.4165,0.5835,-1,-0.0147,-0.0422,0.0022,25
sciq_llama8b,QA,False,dominant_freq,0.3939,0.6061,-1,-0.0509,0.0,-0.0463,23
sciq_llama8b,QA,False,spectral_centroid,0.412,0.588,-1,-0.0324,-0.0512,-0.0142,25
sciq_llama8b,QA,False,stft_max_high_power,0.6322,0.6322,1,-0.0733,0.0714,-0.0519,20
sciq_llama8b,QA,False,stft_spectral_entropy,0.5927,0.5927,1,0.0069,0.0381,0.0064,20
sciq_llama8b,QA,False,rpdi,0.4394,0.5606,-1,0.0066,-0.0321,0.0017,25
sciq_llama8b,QA,False,sw_var_peak,0.6906,0.6906,1,-0.0471,-0.0404,-0.0299,25
sciq_llama8b,QA,False,pe_mean,0.4974,0.5026,-1,0.1159,-0.019,0.1124,25
sciq_llama8b,QA,False,hurst_exponent,0.3423,0.6577,-1,-0.0918,0.0664,-0.0813,25
sciq_llama8b,QA,False,cusum_max,0.7195,0.7195,1,-0.0605,0.0,-0.0351,25
sciq_llama8b,QA,False,cusum_shift_idx,0.522,0.522,1,0.0291,-0.0415,0.0345,25
sciq_llama8b,QA,False,epr_spilled,0.3056,0.6944,-1,-0.0362,-0.0258,-0.0151,25
sciq_llama8b,QA,False,sw_var_peak_spilled,0.3356,0.6644,-1,-0.0525,0.0078,-0.0331,25
sciq_llama8b,QA,False,cusum_max_spilled,0.2904,0.7096,-1,-0.0549,0.0,-0.0366,25
sciq_llama8b,QA,False,min_spilled,0.439,0.561,-1,-0.0039,-0.0684,0.0083,11
sciq_llama8b,QA,False,epr_energy,0.2781,0.7219,-1,-0.0734,0.0,-0.0612,25
sciq_llama8b,QA,False,min_energy,0.3059,0.6941,-1,-0.0708,0.0,-0.0507,25
sciq_llama8b,QA,False,sw_var_peak_energy,0.4128,0.5872,-1,-0.0723,0.0111,-0.0545,25
sciq_llama8b,QA,False,cusum_max_energy,0.6503,0.6503,1,-0.1031,0.0,-0.0854,25
sciq_llama8b,QA,False,mean_top1_logprob,0.7279,0.7279,1,-0.021,-0.0086,-0.0044,25
sciq_llama8b,QA,False,logprob_margin,0.7409,0.7409,1,-0.0496,0.0097,-0.0274,24
sciq_llama8b,QA,False,mean_logprob_entropy,0.7354,0.7354,1,-0.0592,-0.01,-0.0385,25
sciq_llama8b,QA,False,varentropy,0.7438,0.7438,1,-0.0443,-0.0027,-0.0305,25
sciq_llama8b,QA,False,renyi_entropy_2,0.7308,0.7308,1,-0.0432,-0.0096,-0.0225,25
sciq_llama8b,QA,False,topk_tail_mass,0.7236,0.7236,1,-0.0566,-0.042,-0.0389,25
se_nq_open_llama8b,QA,False,epr,0.7416,0.7416,1,-0.0038,-0.0015,0.0185,25
se_nq_open_llama8b,QA,False,trace_length,0.3782,0.6218,-1,-0.0044,-0.0701,0.0132,20
se_nq_open_llama8b,QA,False,spectral_entropy,0.6064,0.6064,1,-0.0034,-0.0344,0.0129,25
se_nq_open_llama8b,QA,False,low_band_power,0.5639,0.5639,1,0.0013,-0.0629,0.0177,25
se_nq_open_llama8b,QA,False,high_band_power,0.4431,0.5569,-1,-0.0014,-0.0349,0.0115,25
se_nq_open_llama8b,QA,False,hl_ratio,0.4319,0.5681,-1,-0.0008,-0.0576,0.0161,25
se_nq_open_llama8b,QA,False,dominant_freq,0.4331,0.5669,-1,-0.0043,-0.0392,0.0003,23
se_nq_open_llama8b,QA,False,spectral_centroid,0.4134,0.5866,-1,-0.0041,-0.0526,0.0141,25
se_nq_open_llama8b,QA,False,rpdi,0.5413,0.5413,1,0.066,-0.0514,0.0611,25
se_nq_open_llama8b,QA,False,sw_var_peak,0.731,0.731,1,-0.0042,0.0,0.013,25
se_nq_open_llama8b,QA,False,pe_mean,0.4939,0.5061,-1,0.0437,-0.0155,0.0402,25
se_nq_open_llama8b,QA,False,hurst_exponent,0.4541,0.5459,-1,-0.0044,-0.0454,0.0061,25
se_nq_open_llama8b,QA,False,cusum_max,0.7046,0.7046,1,-0.0065,-0.0149,0.0189,25
se_nq_open_llama8b,QA,False,cusum_shift_idx,0.4839,0.5161,-1,0.0295,-0.0474,0.0349,25
se_nq_open_llama8b,QA,False,epr_spilled,0.2887,0.7113,-1,-0.0058,-0.0089,0.0153,25
se_nq_open_llama8b,QA,False,sw_var_peak_spilled,0.3137,0.6863,-1,-0.006,0.0297,0.0134,25
se_nq_open_llama8b,QA,False,cusum_max_spilled,0.3061,0.6939,-1,-0.0047,-0.0157,0.0136,25
se_nq_open_llama8b,QA,False,epr_energy,0.2893,0.7107,-1,-0.0053,-0.0112,0.0069,25
se_nq_open_llama8b,QA,False,min_energy,0.3144,0.6856,-1,-0.0082,-0.0085,0.0119,25
se_nq_open_llama8b,QA,False,sw_var_peak_energy,0.5518,0.5518,1,0.0052,-0.0243,0.023,25
se_nq_open_llama8b,QA,False,cusum_max_energy,0.5969,0.5969,1,0.0004,-0.0534,0.0181,25
se_nq_open_llama8b,QA,False,mean_top1_logprob,0.729,0.729,1,-0.0063,-0.0075,0.0103,25
se_nq_open_llama8b,QA,False,logprob_margin,0.7213,0.7213,1,-0.0062,-0.0099,0.0159,24
se_nq_open_llama8b,QA,False,mean_logprob_entropy,0.7426,0.7426,1,-0.0033,-0.0028,0.0174,25
se_nq_open_llama8b,QA,False,varentropy,0.7465,0.7465,1,-0.0035,0.0,0.0103,25
se_nq_open_llama8b,QA,False,renyi_entropy_2,0.735,0.735,1,-0.0061,-0.0054,0.0146,25
se_nq_open_llama8b,QA,False,topk_tail_mass,0.7405,0.7405,1,-0.0071,-0.0251,0.0106,25
se_squad_v2_llama8b,QA,False,epr,0.7464,0.7464,1,0.0017,0.0033,0.024,25
se_squad_v2_llama8b,QA,False,trace_length,0.2334,0.7666,-1,-0.004,0.0747,0.0136,20
se_squad_v2_llama8b,QA,False,spectral_entropy,0.7093,0.7093,1,0.0262,0.0685,0.0425,25
se_squad_v2_llama8b,QA,False,low_band_power,0.6873,0.6873,1,0.0367,0.0605,0.0531,25
se_squad_v2_llama8b,QA,False,high_band_power,0.4094,0.5906,-1,0.05,-0.0012,0.0629,25
se_squad_v2_llama8b,QA,False,hl_ratio,0.2908,0.7092,-1,0.0182,0.0835,0.0351,25
se_squad_v2_llama8b,QA,False,dominant_freq,0.3878,0.6122,-1,0.0353,0.0061,0.0399,23
se_squad_v2_llama8b,QA,False,spectral_centroid,0.3283,0.6717,-1,0.0226,0.0325,0.0408,25
se_squad_v2_llama8b,QA,False,rpdi,0.6765,0.6765,1,0.0614,0.0838,0.0565,25
se_squad_v2_llama8b,QA,False,sw_var_peak,0.7535,0.7535,1,-0.0136,0.0225,0.0036,25
se_squad_v2_llama8b,QA,False,pe_mean,0.5078,0.5078,1,0.1363,-0.0138,0.1328,25
se_squad_v2_llama8b,QA,False,hurst_exponent,0.3371,0.6629,-1,0.0698,0.0716,0.0803,25
se_squad_v2_llama8b,QA,False,cusum_max,0.7707,0.7707,1,-0.0019,0.0512,0.0235,25
se_squad_v2_llama8b,QA,False,cusum_shift_idx,0.4395,0.5605,-1,0.1151,-0.003,0.1205,25
se_squad_v2_llama8b,QA,False,epr_spilled,0.2582,0.7418,-1,-0.004,0.0216,0.0171,25
se_squad_v2_llama8b,QA,False,sw_var_peak_spilled,0.254,0.746,-1,-0.0079,0.0894,0.0115,25
se_squad_v2_llama8b,QA,False,cusum_max_spilled,0.2435,0.7565,-1,-0.0061,0.0469,0.0122,25
se_squad_v2_llama8b,QA,False,epr_energy,0.2327,0.7673,-1,-0.0088,0.0454,0.0034,25
se_squad_v2_llama8b,QA,False,min_energy,0.212,0.788,-1,-0.0035,0.0939,0.0166,25
se_squad_v2_llama8b,QA,False,sw_var_peak_energy,0.462,0.538,-1,-0.009,-0.0381,0.0088,25
se_squad_v2_llama8b,QA,False,cusum_max_energy,0.6555,0.6555,1,0.0145,0.0052,0.0322,25
se_squad_v2_llama8b,QA,False,mean_top1_logprob,0.7365,0.7365,1,0.008,0.0,0.0246,25
se_squad_v2_llama8b,QA,False,logprob_margin,0.7676,0.7676,1,0.0109,0.0363,0.033,24
se_squad_v2_llama8b,QA,False,mean_logprob_entropy,0.7464,0.7464,1,0.0009,0.001,0.0216,25
se_squad_v2_llama8b,QA,False,varentropy,0.7496,0.7496,1,-0.0065,0.0031,0.0073,25
se_squad_v2_llama8b,QA,False,renyi_entropy_2,0.7404,0.7404,1,0.0086,0.0,0.0293,25
se_squad_v2_llama8b,QA,False,topk_tail_mass,0.7733,0.7733,1,-0.0089,0.0077,0.0088,25
seiclr_triviaqa_opt30b,QA,True,epr,0.5737,0.5737,1,-0.0059,-0.1694,0.0164,25
seiclr_triviaqa_opt30b,QA,True,spectral_entropy,0.5512,0.5512,1,-0.0163,-0.0896,0.0,25
seiclr_triviaqa_opt30b,QA,True,low_band_power,0.4828,0.5172,-1,-0.0148,-0.1096,0.0016,25
seiclr_triviaqa_opt30b,QA,True,high_band_power,0.4974,0.5026,-1,0.0174,-0.0892,0.0303,25
seiclr_triviaqa_opt30b,QA,True,hl_ratio,0.5046,0.5046,1,0.0166,-0.1211,0.0335,25
seiclr_triviaqa_opt30b,QA,True,dominant_freq,0.509,0.509,1,0.0225,-0.0971,0.0271,23
seiclr_triviaqa_opt30b,QA,True,spectral_centroid,0.4846,0.5154,-1,-0.0086,-0.1238,0.0096,25
seiclr_triviaqa_opt30b,QA,True,stft_max_high_power,0.5079,0.5079,1,0.0028,-0.0529,0.0243,20
seiclr_triviaqa_opt30b,QA,True,stft_spectral_entropy,0.5382,0.5382,1,-0.0004,-0.0164,-0.0009,20
seiclr_triviaqa_opt30b,QA,True,rpdi,0.4811,0.5189,-1,-0.0114,-0.0738,-0.0163,25
seiclr_triviaqa_opt30b,QA,True,sw_var_peak,0.5786,0.5786,1,-0.0042,-0.1524,0.013,25
seiclr_triviaqa_opt30b,QA,True,pe_mean,0.5036,0.5036,1,0.0022,-0.018,-0.0013,25
seiclr_triviaqa_opt30b,QA,True,hurst_exponent,0.494,0.506,-1,-0.0023,-0.0853,0.0082,25
seiclr_triviaqa_opt30b,QA,True,cusum_max,0.6248,0.6248,1,-0.0101,-0.0947,0.0153,25
seiclr_triviaqa_opt30b,QA,True,cusum_shift_idx,0.5699,0.5699,1,-0.0047,0.0064,0.0007,25
seiclr_triviaqa_opt30b,QA,True,epr_spilled,0.4434,0.5566,-1,-0.0119,-0.1636,0.0092,25
seiclr_triviaqa_opt30b,QA,True,sw_var_peak_spilled,0.467,0.533,-1,-0.0118,-0.1236,0.0076,25
seiclr_triviaqa_opt30b,QA,True,cusum_max_spilled,0.4258,0.5742,-1,-0.0115,-0.1354,0.0068,25
seiclr_triviaqa_opt30b,QA,True,epr_energy,0.4457,0.5543,-1,-0.0018,-0.1676,0.0104,25
seiclr_triviaqa_opt30b,QA,True,min_energy,0.3766,0.6234,-1,-0.008,-0.0707,0.0121,25
seiclr_triviaqa_opt30b,QA,True,sw_var_peak_energy,0.5218,0.5218,1,-0.0005,-0.0543,0.0173,25
seiclr_triviaqa_opt30b,QA,True,cusum_max_energy,0.5917,0.5917,1,-0.009,-0.0586,0.0087,25
seiclr_triviaqa_opt30b,QA,True,mean_top1_logprob,0.5791,0.5791,1,-0.0094,-0.1574,0.0072,25
seiclr_triviaqa_opt30b,QA,True,logprob_margin,0.5448,0.5448,1,-0.0223,-0.1865,-0.0002,24
seiclr_triviaqa_opt30b,QA,True,mean_logprob_entropy,0.574,0.574,1,-0.0155,-0.1714,0.0052,25
seiclr_triviaqa_opt30b,QA,True,varentropy,0.56,0.56,1,-0.0067,-0.1865,0.0071,25
seiclr_triviaqa_opt30b,QA,True,renyi_entropy_2,0.5766,0.5766,1,-0.0156,-0.1638,0.0051,25
seiclr_triviaqa_opt30b,QA,True,topk_tail_mass,0.5676,0.5676,1,-0.0061,-0.198,0.0116,25
semenergy_triviaqa_qwen3_8b,QA,False,epr,0.7813,0.7813,1,-0.0086,0.0382,0.0137,25
semenergy_triviaqa_qwen3_8b,QA,False,trace_length,0.3986,0.6014,-1,-0.0009,-0.0905,0.0167,20
semenergy_triviaqa_qwen3_8b,QA,False,spectral_entropy,0.5513,0.5513,1,0.0649,-0.0895,0.0812,25
semenergy_triviaqa_qwen3_8b,QA,False,low_band_power,0.6268,0.6268,1,-0.0035,0.0,0.0129,25
semenergy_triviaqa_qwen3_8b,QA,False,high_band_power,0.4007,0.5993,-1,0.0251,0.0075,0.038,25
semenergy_triviaqa_qwen3_8b,QA,False,hl_ratio,0.3661,0.6339,-1,0.0155,0.0082,0.0324,25
semenergy_triviaqa_qwen3_8b,QA,False,dominant_freq,0.3677,0.6323,-1,0.0161,0.0262,0.0207,23
semenergy_triviaqa_qwen3_8b,QA,False,spectral_centroid,0.3223,0.6777,-1,-0.0068,0.0385,0.0114,25
semenergy_triviaqa_qwen3_8b,QA,False,rpdi,0.5567,0.5567,1,0.1011,-0.036,0.0962,25
semenergy_triviaqa_qwen3_8b,QA,False,sw_var_peak,0.7939,0.7939,1,-0.0019,0.0629,0.0153,25
semenergy_triviaqa_qwen3_8b,QA,False,pe_mean,0.5216,0.5216,1,0.1009,0.0,0.0974,25
semenergy_triviaqa_qwen3_8b,QA,False,hurst_exponent,0.3562,0.6438,-1,0.0212,0.0525,0.0317,25
semenergy_triviaqa_qwen3_8b,QA,False,cusum_max,0.7912,0.7912,1,-0.0083,0.0717,0.0171,25
semenergy_triviaqa_qwen3_8b,QA,False,cusum_shift_idx,0.5555,0.5555,1,0.0631,-0.008,0.0685,25
semenergy_triviaqa_qwen3_8b,QA,False,epr_spilled,0.2475,0.7525,-1,-0.0073,0.0323,0.0138,25
semenergy_triviaqa_qwen3_8b,QA,False,sw_var_peak_spilled,0.247,0.753,-1,-0.0037,0.0964,0.0157,25
semenergy_triviaqa_qwen3_8b,QA,False,cusum_max_spilled,0.2456,0.7544,-1,-0.0028,0.0448,0.0155,25
semenergy_triviaqa_qwen3_8b,QA,False,epr_energy,0.4462,0.5538,-1,0.1139,-0.1681,0.1261,25
semenergy_triviaqa_qwen3_8b,QA,False,min_energy,0.2691,0.7309,-1,0.0344,0.0368,0.0545,25
semenergy_triviaqa_qwen3_8b,QA,False,sw_var_peak_energy,0.6231,0.6231,1,-0.001,0.047,0.0168,25
semenergy_triviaqa_qwen3_8b,QA,False,cusum_max_energy,0.5884,0.5884,1,0.0006,-0.0619,0.0183,25
semenergy_triviaqa_qwen3_8b,QA,False,mean_top1_logprob,0.7602,0.7602,1,-0.0096,0.0237,0.007,25
semenergy_triviaqa_qwen3_8b,QA,False,logprob_margin,0.6175,0.6175,1,0.0467,-0.1137,0.0688,24
semenergy_triviaqa_qwen3_8b,QA,False,mean_logprob_entropy,0.783,0.783,1,-0.0087,0.0376,0.012,25
semenergy_triviaqa_qwen3_8b,QA,False,varentropy,0.7967,0.7967,1,-0.0059,0.0502,0.0079,25
semenergy_triviaqa_qwen3_8b,QA,False,renyi_entropy_2,0.7689,0.7689,1,-0.01,0.0285,0.0107,25
semenergy_triviaqa_qwen3_8b,QA,False,topk_tail_mass,0.8205,0.8205,1,0.003,0.0549,0.0207,25
spilled_triviaqa_llama8b,QA,False,epr,0.872,0.872,1,-0.1493,0.1289,-0.127,25
spilled_triviaqa_llama8b,QA,False,trace_length,0.0747,0.9253,-1,-0.0177,0.2334,-0.0001,20
spilled_triviaqa_llama8b,QA,False,spectral_entropy,0.8867,0.8867,1,-0.0583,0.2459,-0.042,25
spilled_triviaqa_llama8b,QA,False,low_band_power,0.8073,0.8073,1,0.0277,0.1805,0.0441,25
spilled_triviaqa_llama8b,QA,False,high_band_power,0.2573,0.7427,-1,0.0127,0.1509,0.0256,25
spilled_triviaqa_llama8b,QA,False,hl_ratio,0.1053,0.8947,-1,0.0187,0.269,0.0356,25
spilled_triviaqa_llama8b,QA,False,dominant_freq,0.2113,0.7887,-1,0.0353,0.1826,0.0399,23
spilled_triviaqa_llama8b,QA,False,spectral_centroid,0.1933,0.8067,-1,-0.0467,0.1675,-0.0285,25
spilled_triviaqa_llama8b,QA,False,rpdi,0.6667,0.6667,1,0.1997,0.074,0.1948,25
spilled_triviaqa_llama8b,QA,False,sw_var_peak,0.8707,0.8707,1,-0.091,0.1397,-0.0738,25
spilled_triviaqa_llama8b,QA,False,pe_mean,0.7387,0.7387,1,-0.089,0.2171,-0.0925,25
spilled_triviaqa_llama8b,QA,False,hurst_exponent,0.3247,0.6753,-1,-0.0357,0.084,-0.0252,25
spilled_triviaqa_llama8b,QA,False,cusum_max,0.862,0.862,1,-0.1393,0.1425,-0.1139,25
spilled_triviaqa_llama8b,QA,False,cusum_shift_idx,0.1883,0.8117,-1,-0.0243,0.2482,-0.0189,25
spilled_triviaqa_llama8b,QA,False,epr_spilled,0.096,0.904,-1,-0.1453,0.1838,-0.1242,25
spilled_triviaqa_llama8b,QA,False,sw_var_peak_spilled,0.0673,0.9327,-1,-0.1693,0.2761,-0.1499,25
spilled_triviaqa_llama8b,QA,False,cusum_max_spilled,0.0393,0.9607,-1,-0.056,0.2511,-0.0377,25
spilled_triviaqa_llama8b,QA,False,min_spilled,0.3343,0.6657,-1,-0.1223,0.0363,-0.1101,11
