abstentions,access_tier,base_candidate,calibration_f1,candidate,clean_abstention,coverage,detector_auprc,detector_auroc,exact_error,f1,family,fidelity,late_location_rate,locator,mean_absolute_step_error,model,n,primary,requested_n,task,threshold,within_one
,A,max_entropy,0.3631561571475735,max_entropy__persistent_q90_3,0.5833333333333334,,0.7764008459792016,0.7340277777777777,0.35,0.4375,gsm8k,transparent_same_trace_baseline,0.2,persistent_q90_3,1.5,llama31_8b,76,0.4375,,local,2.1016604900360107,0.475
,A,max_entropy,0.3848620910840282,max_entropy__step_top5mean,0.5833333333333334,,0.7764008459792016,0.7340277777777777,0.375,0.45652173913043476,gsm8k,transparent_same_trace_baseline,0.375,step_top5mean,1.25,llama31_8b,76,0.45652173913043476,,local,2.1016604900360107,0.525
,A,mind_the_gap,0.2849564228874574,mind_the_gap,0.6944444444444444,,0.7894495867364539,0.7708333333333333,0.1,0.17482517482517484,gsm8k,protocol_reproduction,,paper_evidence_drop,,llama31_8b,76,0.17482517482517484,,local,0.5019590204439563,0.425
0,B,qwen_prm,,qwen_prm,1.0,1.0,,,0.675,0.8059701492537313,gsm8k,exact_local_competitor_run,,native_prediction,,llama31_8b,76,0.8059701492537313,76,local,,0.775
0,B,qwen72b_critic,,qwen72b_critic,0.9444444444444444,1.0,,,0.55,0.6951672862453532,gsm8k,critic_protocol_different_model,,native_prediction,,llama31_8b,76,0.6951672862453532,76,local,,0.625
0,B,qwen3_judge_control,,qwen3_judge_control,0.4444444444444444,1.0,,,0.075,0.12834224598930483,gsm8k,exact_local_competitor_run,,native_prediction,,llama31_8b,76,0.12834224598930483,76,local,,0.3
,A,,0.3603439500683078,finalist_global_detector_local_locator,0.6486486486486487,,0.8483523995531258,0.7675175175175175,0.25925925925925924,0.37045203969129,math,,,,,llama31_8b,182,0.37045203969129,,local,-0.13263245581278982,0.4722222222222222
,A,gl_liu_v1_replay,0.33398732752243415,gl_liu_v1_replay,0.5405405405405406,,0.8289254035678626,0.753003003003003,0.26851851851851855,0.35879987627590476,math,registered_incumbent_replay,,peak,,llama31_8b,182,0.35879987627590476,,local,-0.47432644718925815,0.5925925925925926
,A,step272_twohead,0.31634446397188054,step272_twohead,0.527027027027027,,0.8464239240863729,0.7738988988988988,0.2962962962962963,0.3793313069908814,math,registered_incumbent_replay,,peak,,llama31_8b,182,0.3793313069908814,,local,-0.47356492630296926,0.5648148148148148
,A,max_entropy,0.3228501798769874,max_entropy__peak,0.6351351351351351,,0.783549751645261,0.71996996996997,0.28703703703703703,0.3953867028493894,math,transparent_same_trace_baseline,0.3888888888888889,peak,1.4722222222222223,llama31_8b,182,0.3953867028493894,,local,2.3823472261428833,0.46296296296296297
