arm_id,model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3480963480963481,0.24205748865355523,0.4629349470499244,0.6194690265486725,0.37,1000,661,339
P3F1_DYNAMICS_LOCAL_DUFS_LIU,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.32357536146235,0.20816864295125165,0.3820816864295125,0.7261410788381742,0.333,1000,759,241
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4116845769638263,0.3864734299516908,0.5748792270531401,0.44041450777202074,0.4125,400,207,193
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_4b,math,processbench_math_qwen3_4b,0.36181020792360363,0.28114478114478114,0.494949494949495,0.5073891625615764,0.373,1000,594,406
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.35126312483173294,0.2617246596066566,0.48411497730711045,0.5339233038348082,0.354,1000,661,339
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3437085391452757,0.23451910408432147,0.4189723320158103,0.6431535269709544,0.333,1000,759,241
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4279498631321135,0.38164251207729466,0.5217391304347826,0.48704663212435234,0.4325,400,207,193
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_8b,math,processbench_math_qwen3_8b,0.3668770887486075,0.26262626262626265,0.4663299663299663,0.6083743842364532,0.403,1000,594,406
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3480963480963481,0.24205748865355523,0.4629349470499244,0.6194690265486725,0.37,1000,661,339
P3F2_DYNAMICS_CONTEXT_DUFS_LIU,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.32357536146235,0.20816864295125165,0.3820816864295125,0.7261410788381742,0.333,1000,759,241
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.4116845769638263,0.3864734299516908,0.5748792270531401,0.44041450777202074,0.4125,400,207,193
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_4b,math,processbench_math_qwen3_4b,0.36320130974120024,0.2828282828282828,0.4983164983164983,0.5073891625615764,0.374,1000,594,406
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.35126312483173294,0.2617246596066566,0.48411497730711045,0.5339233038348082,0.354,1000,661,339
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.3437085391452757,0.23451910408432147,0.4189723320158103,0.6431535269709544,0.333,1000,759,241
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.4279498631321135,0.38164251207729466,0.5217391304347826,0.48704663212435234,0.4325,400,207,193
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_8b,math,processbench_math_qwen3_8b,0.3685165827235579,0.26430976430976433,0.4663299663299663,0.6083743842364532,0.404,1000,594,406
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.3480963480963481,0.24205748865355523,0.46444780635400906,0.6194690265486725,0.37,1000,661,339
P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.32038305138451245,0.20553359683794467,0.3794466403162055,0.7261410788381742,0.331,1000,759,241
