cell,k,overlap_with_rho_topk,random_overlap_baseline,auroc_deployed,auroc_rho_top6,delta_rho_top6_pp,auroc_rho_top8,delta_rho_top8_pp,auroc_rho_top10,delta_rho_top10_pp,auroc_rho_top12,delta_rho_top12_pp,auroc_rho_top14,delta_rho_top14_pp,auroc_rho_top16,delta_rho_top16_pp
math500_qwenmath7b,5,0.4,0.1801,0.9155045638945232,0.9020030425963489,-1.350152129817428,0.9049822515212982,-1.0522312373224985,0.8858392494929006,-2.9665314401622567,0.9238717038539553,0.8367139959432168,0.9207657200811359,0.5261156186612714,0.929196247464503,1.3691683569979851
math500_r1distill8b,7,0.2857142857142857,0.2491428571428571,0.8385677026733319,0.8409584872853727,0.2390784612040786,0.830417300586829,-0.8150402086502861,0.8350901977830906,-0.3477504890241345,0.8342751575744404,-0.42925450988915426,0.8324820691154096,-0.6085633557922354,0.8279721799608781,-1.0595522712453787
math500_r1distill8b_mn4096,8,0.25,0.2814375,0.8357853439820653,0.8282191396945495,-0.7566204287515754,0.8256036616692355,-1.0181682312829787,0.8306477978609127,-0.5137546121152581,0.8280323198355986,-0.7753024146466725,0.8345710148988837,-0.12143290831815312,0.8284993694829761,-0.7285974499089187
noise_gsm8k_mistral7b,8,0.0,0.27975,0.7830679315212743,0.7589449530737714,-2.4122978447502885,0.7619752700384882,-2.10926614827861,0.7447498264120403,-3.8318105109233946,0.7485434705636205,-3.4524460957653824,0.76752318721289,-1.5544744308384262,0.7686175960711641,-1.4450335450110208
noise_gsm8k_phi3mini,13,0.3076923076923077,0.4454615384615385,0.6830577313606034,0.6717212291624823,-1.1336502198121101,0.6732108187721765,-0.9846912588426959,0.6606859922786815,-2.2371739081921915,0.6680725714668274,-1.4985159893776023,0.6700921648702327,-1.2965566490370728,0.6769208453281559,-0.6136886032447553
sciq_llama8b,15,0.4666666666666667,0.4975333333333333,0.738976871368349,0.7356727811325054,-0.33040902358435487,0.7363563860088869,-0.26204853594621325,0.7322547567505981,-0.6722114617750852,0.7349891762561239,-0.3987695112225076,0.7392047396604763,0.022786829212728676,0.7385211347840949,-0.045573658425412944
se_nq_open_llama8b,11,0.6363636363636364,0.40799999999999986,0.7468965488308481,0.7424191886067648,-0.4477360224083293,0.7441916623199005,-0.27048865109475795,0.7463114484729916,-0.058510035785652725,0.7540174327463218,0.7120883915473719,0.7537110661440293,0.6814517313181168,0.7537674505762204,0.6870901745372304
se_squad_v2_llama8b,13,0.5384615384615384,0.48234615384615387,0.8102507127768863,0.761101427862362,-4.9149284914524305,0.7449747786640195,-6.527593411286681,0.7796988445511526,-3.0551868225733747,0.7835761199542899,-2.6674592822596432,0.778599956136807,-3.1650756640079325,0.7849947479597843,-2.5255964817102017
seiclr_triviaqa_opt30b,11,0.6363636363636364,0.5752727272727273,0.811871846772098,0.8109380989685842,-0.09337478035138513,0.696274447566049,-11.559739920604905,0.8182377974421711,0.6365950670073062,0.8137060574135105,0.1834210641412537,0.8178293732264097,0.595752645431169,0.82053510325736,0.8663256485262005
semenergy_triviaqa_qwen3_8b,15,0.7333333333333333,0.5531666666666667,0.8102602404150281,0.7929456535021111,-1.7314586912916985,0.7658549064299922,-4.440533398503588,0.7867908475706211,-2.3469392844406967,0.7856185728547642,-2.464166756026387,0.8019019902693509,-0.8358250145677149,0.8161180811685423,0.5857840753514254
spilled_triviaqa_llama8b,9,0.3333333333333333,0.32477777777777783,0.9299999999999999,0.882,-4.799999999999994,0.89,-3.9999999999999925,0.896,-3.399999999999992,0.9059999999999999,-2.400000000000002,0.9113333333333333,-1.866666666666661,0.9139999999999999,-1.6000000000000014
trace_gsm8k_llama8b_k10,10,0.2,0.34214999999999995,0.8113494318181818,0.7921008316864295,-1.9248600131752225,0.7956225296442687,-1.5726902173913038,0.8011431571146244,-1.0206274703557394,0.8039564805665349,-0.7392951251646851,0.8074843544137023,-0.38650774044795,0.8121868824110672,0.08374505928854248
trace_math500_qwenmath15b_k10,4,0.0,0.128,0.6860695600152698,0.673504906442139,-1.2564653573130746,0.6731239275405669,-1.2945632474702817,0.6757991950481923,-1.027036496707745,0.6834333084192511,-0.2636251596018657,0.6837813915522136,-0.22881684630561283,0.6869325001778667,0.08629401625969146
truthfulqa_llama8b,7,0.0,0.2395714285714285,0.6633585817234888,0.5901448316637129,-7.321375005977593,0.6264150594788698,-3.6943522244619054,0.6175010180023389,-4.585756372114991,0.628220292807904,-3.513828891558479,0.6467138812045612,-1.6644700518927635,0.659458292335493,-0.39002893879958034
