cell,feature,hand_sign,derived_sign,rho,match
lapeigvals_gsm8k_mistral24b,hl_ratio,-1,-1,-0.09219222318772566,1
lapeigvals_gsm8k_mistral24b,dominant_freq,-1,-1,-0.032487724974752864,1
lapeigvals_gsm8k_mistral24b,spectral_centroid,-1,-1,-0.1724498130067934,1
lapeigvals_gsm8k_mistral24b,stft_max_high_power,-1,1,0.07393890675653653,0
lapeigvals_gsm8k_mistral24b,stft_spectral_entropy,-1,-1,-0.01913865754475405,1
lapeigvals_gsm8k_mistral24b,rpdi,-1,1,0.06588842474822985,0
lapeigvals_gsm8k_mistral24b,sw_var_peak,-1,1,0.1933121380653208,0
lapeigvals_gsm8k_mistral24b,pe_mean,-1,-1,-0.004973576244586109,1
lapeigvals_gsm8k_mistral24b,hurst_exponent,1,1,0.0975541521192674,1
lapeigvals_gsm8k_mistral24b,cusum_max,-1,1,0.2089304054060933,0
lapeigvals_gsm8k_mistral24b,cusum_shift_idx,1,1,0.07868125184775784,1
lapeigvals_gsm8k_mistral24b,epr_spilled,1,1,0.21999437270767389,1
lapeigvals_gsm8k_mistral24b,sw_var_peak_spilled,1,1,0.1597619071075169,1
lapeigvals_gsm8k_mistral24b,cusum_max_spilled,1,1,0.21113705449899461,1
lapeigvals_gsm8k_mistral24b,min_spilled,1,1,0.1298576154456393,1
lapeigvals_gsm8k_mistral24b,epr_energy,-1,-1,-0.22429143451318928,1
lapeigvals_gsm8k_mistral24b,min_energy,-1,-1,-0.22170970045505167,1
lapeigvals_gsm8k_mistral24b,sw_var_peak_energy,-1,1,0.08254683070916241,0
lapeigvals_gsm8k_mistral24b,cusum_max_energy,-1,1,0.1932782738519073,0
lapeigvals_gsm8k_mistral24b,mean_top1_logprob,1,-1,-0.2808240054184935,0
lapeigvals_gsm8k_mistral24b,logprob_margin,1,-1,-0.20970148041351305,0
lapeigvals_gsm8k_mistral24b,mean_logprob_entropy,-1,1,0.22063996997464538,0
lapeigvals_gsm8k_mistral24b,varentropy,-1,1,0.21208156231035177,0
lapeigvals_gsm8k_mistral24b,renyi_entropy_2,-1,1,0.22091085569189114,0
lapeigvals_gsm8k_mistral24b,topk_tail_mass,-1,1,0.22177101424721343,0
lapeigvals_gsm8k_nemo,epr,-1,-1,0.181008727092928,1
lapeigvals_gsm8k_nemo,trace_length,1,-1,0.14411910739841635,0
lapeigvals_gsm8k_nemo,spectral_entropy,-1,-1,0.09010311162810421,1
lapeigvals_gsm8k_nemo,low_band_power,-1,-1,0.04809790620124979,1
lapeigvals_gsm8k_nemo,high_band_power,-1,1,-0.02509753487848881,0
lapeigvals_gsm8k_nemo,hl_ratio,-1,1,-0.04815225805763071,0
lapeigvals_gsm8k_nemo,dominant_freq,-1,1,-0.026639439394518637,0
lapeigvals_gsm8k_nemo,spectral_centroid,-1,1,-0.09174295197374772,0
lapeigvals_gsm8k_nemo,stft_max_high_power,-1,-1,0.07751613923479396,1
lapeigvals_gsm8k_nemo,stft_spectral_entropy,-1,1,-0.001504404846194931,0
lapeigvals_gsm8k_nemo,rpdi,-1,-1,0.05599024931691303,1
lapeigvals_gsm8k_nemo,sw_var_peak,-1,-1,0.17336167033410815,1
lapeigvals_gsm8k_nemo,pe_mean,-1,1,-0.009089476941206442,0
lapeigvals_gsm8k_nemo,hurst_exponent,1,-1,0.02042222287627429,0
lapeigvals_gsm8k_nemo,cusum_max,-1,-1,0.1840818907726827,1
lapeigvals_gsm8k_nemo,cusum_shift_idx,1,-1,0.06862186691584511,0
lapeigvals_gsm8k_nemo,epr_spilled,1,-1,0.17575631524979526,0
lapeigvals_gsm8k_nemo,sw_var_peak_spilled,1,-1,0.11685818002291842,0
lapeigvals_gsm8k_nemo,cusum_max_spilled,1,-1,0.1843353509068068,0
lapeigvals_gsm8k_nemo,epr_energy,-1,1,-0.19438091597672974,0
lapeigvals_gsm8k_nemo,min_energy,-1,1,-0.18608723968868549,0
lapeigvals_gsm8k_nemo,sw_var_peak_energy,-1,-1,0.06321873554281322,1
lapeigvals_gsm8k_nemo,cusum_max_energy,-1,-1,0.14882434438717043,1
lapeigvals_gsm8k_nemo,mean_top1_logprob,1,1,-0.2485892375723743,1
lapeigvals_gsm8k_nemo,logprob_margin,1,1,-0.1980018795947573,1
lapeigvals_gsm8k_nemo,mean_logprob_entropy,-1,-1,0.18447880476526912,1
lapeigvals_gsm8k_nemo,varentropy,-1,-1,0.1808046299822274,1
