label,classification,panel,pb_all8_pct,pb_all8_conditional_pct,coverage,prm_within,prm_pooled,prmscore_q08,valid_answers,source,sha256
"RBM12 (order-6 bank), posterior",learned fusion,answer_local,36.37504666989378,36.37504666989378,1.0,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
RBM12 before training,fixed fusion,answer_local,36.29459417341435,36.29459417341435,1.0,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
RBM6 weight shrinkage,learned fusion,answer_local,35.87114318788544,35.87114318788544,1.0,0.738630248995498,0.7079965583222773,0.6295438953640439,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-weight-shrinkage-v1\results\rbm_weight_shrinkage_v1\METRICS.json,4a7cf7b045a1741aa5df9a068fa5527e4fc6eee9df1c735b5ce5d26fdab047b8
RBM6 shared diagonal variance,learned fusion,answer_local,35.80694910332301,35.80694910332301,1.0,0.7330448590587003,0.7047273028297086,0.6253013416428403,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-diagonal-variance-v1\results\rbm_diagonal_variance_v1\METRICS.json,66d644bdeb30f3e702a922b9b0aa2895a20ef154f818152070f4fc9dde805ae6
"Two-state shared variance, bank12, posterior",learned fusion,answer_local,36.81062471884333,36.81062471884333,1.0,0.7393573694074181,0.7105224815050455,0.628348946818236,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\variance\METRICS.json,c4f3300eb18a3fe8fb2d1bcd1680e6f436ce49597282d6c5b99498ef208d53af
"Two-state separate variance, bank12, logit",learned fusion,answer_local,21.091989330855064,21.091989330855064,1.0,0.6985964155873232,0.6775332403185567,0.5894630090104976,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\variance\METRICS.json,c4f3300eb18a3fe8fb2d1bcd1680e6f436ce49597282d6c5b99498ef208d53af
"CD-10 H1, bank12, posterior",learned fusion (fixed epoch budget),answer_local,36.27662140439285,36.27662140439285,1.0,0.7437046580354753,0.6519792367920133,0.5582464746908131,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\capacity\METRICS.json,0ed97debf930e41fe56813d91079f22080947a21fad1bdcb010af4bfe1ac8df2
"Exact H4, bank12, logit (maxiter 100)",learned fusion (iteration cap),answer_local,28.6553210259071,28.6553210259071,1.0,0.7216932576239864,0.6764719260581147,0.6017249351927991,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\capacity\METRICS.json,0ed97debf930e41fe56813d91079f22080947a21fad1bdcb010af4bfe1ac8df2
"Exact H4, bank6, posterior (maxiter 100)",learned fusion (iteration cap),answer_local,25.320459097152114,25.320459097152114,1.0,0.7100998062444043,0.6875843785354361,0.6167573322745383,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\capacity\METRICS.json,0ed97debf930e41fe56813d91079f22080947a21fad1bdcb010af4bfe1ac8df2
"Token-chain Markov, bank12, logit",learned fusion,answer_local,35.868809189158966,35.868809189158966,1.0,0.7422625538168246,0.7038599457508944,0.6184241043089728,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\temporal\METRICS.json,1ec3966e1f5ef8f2643a68fbf705250aeeb8e2ed7c0d86ceda0a42502d77415d
"Token-chain shuffled control, bank12, logit",control,answer_local,36.199128017919136,36.199128017919136,1.0,0.7450762755131289,0.7061403297658753,0.6226425368229067,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\temporal\METRICS.json,1ec3966e1f5ef8f2643a68fbf705250aeeb8e2ed7c0d86ceda0a42502d77415d
Position-conditioned RBM12,learned fusion,answer_local,35.58367091830272,35.58367091830272,1.0,0.742490238771817,0.7061440017277277,0.6220790990087441,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-position-fusion-v1\results\rbm_position_fusion_v1_overlap_fix\METRICS.json,cc1f5a839547449054b8572099c4ee4b89cc093fddc5f9b16af78057fd67a442
"DUFS-selected 6 of 12, RBM",learned selection + fusion,answer_local,36.123461397454534,36.123461397454534,1.0,0.7409744421695785,0.709614998379317,0.6268468279419517,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\dufs-moment-selection-v1\results\dufs_moment_selection_v1\METRICS.json,f54a1a942fd7598f24b7f8565a7f6c47bad432536ec1a78d0b3c45c10893eb68
"Low-correlation 6 of 12, RBM",selection control + fusion,answer_local,36.99296068393151,36.99296068393151,1.0,0.7404904223049453,0.7085111739004859,0.6306044464824396,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\dufs-moment-selection-v1\results\dufs_moment_selection_v1\METRICS.json,f54a1a942fd7598f24b7f8565a7f6c47bad432536ec1a78d0b3c45c10893eb68
"48 raw rank-power columns, RBM before training",fixed fusion,answer_local,36.38345574098861,36.38345574098861,1.0,0.7421188267467553,0.640875027580529,0.5585949758772235,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-m3-powers-v1\results\rbm_m3_powers_v1\METRICS.json,2cf92ba669386d8f582e2a5f9b0d9867a77d62629caa598b9a6c14c860897355
"48 raw rank-power columns, RBM trained",learned fusion,answer_local,19.44167513115003,19.44167513115003,1.0,0.5934723446935454,0.5890220377817411,0.37639959115648447,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-m3-powers-v1\results\rbm_m3_powers_v1\METRICS.json,2cf92ba669386d8f582e2a5f9b0d9867a77d62629caa598b9a6c14c860897355
"Supervised step-BCE correction of RBM12 (labels, other answers)",supervised diagnostic,other_answer_diagnostic,37.20419498368715,37.20419498368715,1.0,0.7473006683669444,,0.5991887481876801,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-supervision-matched-v1\results\rbm_supervision_matched_v1\METRICS.json,25b5012fab15992a8ba5bc50262c3c6375eb9bcc43341432661a8541cc4a524a
"Stability: best-of-3 exact H1, bank6, posterior",learned fusion,answer_local,36.20168449360268,36.20168449360268,1.0,0.7359543031832887,0.7081114611254986,0.6307893806833985,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\stability\METRICS.json,e4b9c8f938b09208129eca61661eed692693b28554d65150037b4c8490ab66ae
"Stability: best-of-3 exact H4, bank6, posterior",learned fusion,answer_local,24.70606646623042,24.70606646623042,1.0,0.7086619471539581,0.6898884827578042,0.6185264067054519,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\stability\METRICS.json,e4b9c8f938b09208129eca61661eed692693b28554d65150037b4c8490ab66ae
"Stability: best-of-3 exact H1, bank12, logit",learned fusion,answer_local,36.23253186262504,36.23253186262504,1.0,0.7450238882934548,0.7056263864658492,0.622174806022533,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\stability\METRICS.json,e4b9c8f938b09208129eca61661eed692693b28554d65150037b4c8490ab66ae
"Stability: best-of-3 exact H4, bank12, logit",learned fusion,answer_local,27.326198619764785,27.326198619764785,1.0,0.7218169648747248,0.6854327707433647,0.6124828652857944,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\stability\METRICS.json,e4b9c8f938b09208129eca61661eed692693b28554d65150037b4c8490ab66ae
