version,domain,random_partition,equal_group_delta_pp,beats_iu,matches_or_beats_family_nrm
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,16,0.8186934112439925,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,17,0.8041302232784264,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,18,0.11952352620333007,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,19,0.7871079027738426,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,20,0.2145293003582932,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,21,-2.1356797426560465,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,22,0.1450116495026882,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,23,0.684438946077845,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,24,1.703781339325161,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,25,-0.08176952637382606,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,26,-0.647171030018176,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,27,-0.7998674348575235,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,28,0.5627926332332001,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,29,0.21490739527419145,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,30,0.15519957655517058,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,31,-0.26081648792382894,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,32,0.623346531120228,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,33,0.26088344590926016,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,34,0.8550544144985989,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,35,0.9564688521869286,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,36,1.578882555975944,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,37,0.2203143225844334,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,38,0.5735843661607454,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,39,1.04572439908448,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,40,1.0682974251332467,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,41,0.8094685991934081,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,42,-0.23092122272189985,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,43,0.024645903493483723,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,44,-0.5603332705182817,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,45,0.01441234819201942,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,46,-0.7249778357512143,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,47,-1.0477876971955653,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,48,-1.8597767494552997,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,49,1.1905597353083857,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,0,-1.14242687136219,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,1,1.0455325549500931,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,2,0.1494426255812878,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,3,0.4077981856586532,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,4,0.8019334616923834,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,5,0.49694363262160757,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,6,-0.1133784878959404,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,7,-0.7825143642826882,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,8,0.3136363323438668,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,9,0.8126697824851217,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,10,-0.9386156039723328,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,11,0.7883141989239104,True,True
