cell,n_splits,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,lsml_K,lsml_degenerate,n_distinct_cluster_size,dufs_n_open,lsml_K_eigen,lsml_degenerate_eigen,lsml_K_complete,lsml_degenerate_complete,auroc_dufs_gate_prune,overlap_dufs_gate_prune,frac_inside_dufs_gate,cond_null_dufs_gate_prune,auroc_pc_leverage_prune,overlap_pc_leverage_prune,frac_inside_pc_leverage,cond_null_pc_leverage_prune,auroc_redundancy_prune,overlap_redundancy_prune,frac_inside_redundancy,cond_null_redundancy_prune,auroc_cluster_size_prune,overlap_cluster_size_prune,frac_inside_cluster_size,cond_null_cluster_size_prune,auroc_pairfit_resid_prune,overlap_pairfit_resid_prune,frac_inside_pairfit_resid,cond_null_pairfit_resid_prune,auroc_cluster_rr_prune,overlap_cluster_rr_prune,frac_inside_cluster_rr,cond_null_cluster_rr_prune,auroc_rho_prune,overlap_rho_prune,frac_inside_rho,cond_null_rho_prune,auroc_truecorr_prune,overlap_truecorr_prune,frac_inside_truecorr,cond_null_truecorr_prune,auroc_cluster_size_eigen_prune,auroc_cluster_size_complete_prune,auroc_cluster_rr_eigen_prune,auroc_cluster_rr_complete_prune,n_distinct_null_compositions,auroc_random_prune,n_random_prune_failed
math500_qwenmath7b,5,28.0,10.6,11.8,0.9141235689674378,0.9059235251480962,6.8,0.0,5.0,22.6,6.8,0.0,5.6,0.0,0.9052078397096468,0.6649999999999999,0.9733333333333334,0.6775055555555557,0.9084128145960376,0.6427777777777778,0.9733333333333334,0.6775055555555557,0.9052386058467754,0.6872222222222223,0.9733333333333334,0.6775055555555557,0.9070090114928508,0.6427777777777778,0.9733333333333334,0.6775055555555557,0.905286441292841,0.6872222222222223,0.9733333333333334,0.6775055555555557,0.9047954572046042,0.6816666666666668,0.9733333333333334,0.6775055555555557,0.9060744367677435,0.7038888888888889,0.9733333333333334,0.6775055555555557,0.9030678745430321,0.6872222222222223,0.9733333333333334,0.6775055555555557,0.9012432388113252,0.902391289516898,0.9012603793332431,0.9046273827002465,1.0,0.9041033926372057,0.0
math500_r1distill8b,5,28.0,8.2,22.6,0.8300648193404498,0.8330342889510778,6.6,0.0,4.8,20.0,6.8,0.0,3.6,0.0,0.8114135823048721,0.2425,1.0,0.34014000000000005,0.8157150633882067,0.2625,1.0,0.34014000000000005,0.7373497102383146,0.5650000000000001,1.0,0.34014000000000005,0.7901021989650726,0.5975,1.0,0.34014000000000005,0.8324881605869837,0.3375,1.0,0.34014000000000005,0.827026549296851,0.39,1.0,0.34014000000000005,0.8274798772745398,0.2975,1.0,0.34014000000000005,0.82739352769947,0.6025,1.0,0.34014000000000005,0.8132897317858474,0.799454213944289,0.8261118440311133,0.8242209586710203,1.0,0.8141783998224449,0.0
math500_r1distill8b_mn4096,5,29.0,10.0,24.8,0.8458690365637693,0.8507853017415528,6.0,0.0,5.0,19.6,3.4,0.0,4.0,0.0,0.8431472378241829,0.2537445887445888,1.0,0.3453175829725829,0.8373464136601714,0.15873737373737373,1.0,0.3453175829725829,0.6840422204233645,0.4412337662337662,1.0,0.3453175829725829,0.7372138299652997,0.39153679653679657,1.0,0.3453175829725829,0.827933084622345,0.49687590187590186,1.0,0.3453175829725829,0.8384960949174622,0.39772005772005775,1.0,0.3453175829725829,0.8404975801943977,0.21247474747474748,1.0,0.3453175829725829,0.8560056159333003,0.4520923520923521,1.0,0.3453175829725829,0.7897497276106552,0.6963689530011449,0.8381178324120089,0.8087210969433718,1.0,0.8264254360188575,0.0
noise_gsm8k_mistral7b,5,29.0,8.6,23.0,0.7947210996974018,0.8296048201577768,6.8,0.0,4.8,16.2,5.2,0.0,4.4,0.0,0.7579209530786571,0.20833333333333331,1.0,0.23327499999999998,0.7558527895408083,0.20833333333333331,1.0,0.23327499999999998,0.6905027410121063,0.35,1.0,0.23327499999999998,0.7667257102983263,0.3722222222222222,1.0,0.23327499999999998,0.7902456456085876,0.3722222222222222,1.0,0.23327499999999998,0.7807330533783452,0.1388888888888889,1.0,0.23327499999999998,0.7645069857037154,0.04444444444444444,1.0,0.23327499999999998,0.7453174950120094,0.3722222222222222,1.0,0.23327499999999998,0.7477250824521137,0.7389749179059543,0.7755683570485133,0.7769673394206682,1.0,0.7786890037161946,0.0
noise_gsm8k_phi3mini,5,29.0,12.4,19.0,0.6874046920247986,0.6903845039671935,6.4,0.0,4.8,12.2,4.6,0.0,4.6,0.0,0.6739871732756135,0.5015750915750916,1.0,0.4589607326007326,0.6727173103645967,0.4861904761904762,1.0,0.4589607326007326,0.6522044389900611,0.42465201465201463,1.0,0.4589607326007326,0.6554549326044216,0.4720879120879121,1.0,0.4589607326007326,0.663571571235916,0.3570329670329671,1.0,0.4589607326007326,0.675720830013011,0.5384249084249084,1.0,0.4589607326007326,0.6712291179111668,0.377032967032967,1.0,0.4589607326007326,0.6658708935908317,0.47413919413919414,1.0,0.4589607326007326,0.6664352146564632,0.6664352146564632,0.6855280170252155,0.6855280170252155,1.0,0.6799936351542893,0.0
sciq_llama8b,5,30.0,18.0,23.4,0.724564387728049,0.725441189973296,5.4,0.0,4.6,18.6,2.6,0.0,4.2,0.0,0.7140409710290969,0.7335229130137597,1.0,0.724980120075386,0.7141889140540981,0.7048147790424679,1.0,0.724980120075386,0.7280066903841922,0.7335229130137597,1.0,0.724980120075386,0.7215859331926441,0.7430467225375692,1.0,0.724980120075386,0.7207853409173732,0.7048147790424679,1.0,0.724980120075386,0.7223886703353546,0.712364904355751,1.0,0.724980120075386,0.7150354815704854,0.6798147790424679,1.0,0.724980120075386,0.71467598998624,0.710496597224286,1.0,0.724980120075386,0.7207221495331322,0.7208129863327406,0.7149943969830483,0.7189306668090764,1.0,0.7226283751508233,0.0
se_nq_open_llama8b,5,27.0,10.4,22.0,0.7472260811919545,0.7573625023707173,8.0,0.0,4.4,16.6,4.2,0.0,4.4,0.0,0.7487959322899351,0.5114219114219114,1.0,0.4625686188811189,0.748902759813477,0.5114219114219114,1.0,0.4625686188811189,0.6493622175069518,0.381934731934732,1.0,0.4625686188811189,0.7070083801011319,0.35693473193473196,1.0,0.4625686188811189,0.7235267685978688,0.40693473193473195,1.0,0.4625686188811189,0.7462910253206693,0.42913752913752923,1.0,0.4625686188811189,0.7500415454540497,0.5808857808857809,1.0,0.4625686188811189,0.7519224259044046,0.5990675990675991,1.0,0.4625686188811189,0.6584738709912423,0.6623814327665455,0.7371121469779313,0.7369127697131574,1.0,0.7399024449240519,0.0
se_squad_v2_llama8b,5,27.0,11.0,23.0,0.8144431799593832,0.8431195420725184,6.2,0.0,4.2,15.8,5.0,0.0,5.0,0.0,0.7702723062920942,0.37878787878787884,1.0,0.46029267676767666,0.7685710644319613,0.4303030303030303,1.0,0.46029267676767666,0.7411741912866405,0.5055555555555555,1.0,0.46029267676767666,0.7980126889546427,0.42878787878787883,1.0,0.46029267676767666,0.8037011060552312,0.4136363636363636,1.0,0.46029267676767666,0.7932851946029811,0.3843434343434343,1.0,0.46029267676767666,0.784623180978042,0.35656565656565664,1.0,0.46029267676767666,0.7505662200350793,0.5808080808080808,1.0,0.46029267676767666,0.763336518418613,0.763336518418613,0.7895895394311514,0.7895895394311514,1.0,0.8027375209711156,0.0
seiclr_triviaqa_opt30b,5,19.0,10.6,13.0,0.8142784015533622,0.840137784218725,4.0,0.0,3.0,15.0,4.0,0.0,4.0,0.0,0.8029295169357853,0.6383838383838384,1.0,0.6158666666666666,0.8015690958909938,0.6161616161616162,1.0,0.6158666666666666,0.8187866536443748,0.6424242424242423,1.0,0.6158666666666666,0.8188599945639478,0.6565656565656566,1.0,0.6158666666666666,0.806805075780528,0.6020202020202019,1.0,0.6158666666666666,0.8239766848673271,0.6383838383838384,1.0,0.6158666666666666,0.8185804739468786,0.692929292929293,1.0,0.6158666666666666,0.8025401364249898,0.7151515151515151,1.0,0.6158666666666666,0.8188599945639478,0.8188599945639478,0.8239766848673271,0.8239766848673271,1.0,0.8105159158416393,0.0
semenergy_triviaqa_qwen3_8b,5,27.0,14.6,20.4,0.8162497041952941,0.8285149810881777,7.6,0.0,5.0,17.8,4.6,0.0,5.2,0.0,0.8074061306545441,0.6405494505494506,1.0,0.6671876098901098,0.8150766718867327,0.7102197802197802,1.0,0.6671876098901098,0.7449683343112201,0.5861446886446886,1.0,0.6671876098901098,0.7851299211674384,0.6681684981684981,1.0,0.6671876098901098,0.778552157397703,0.6108791208791209,1.0,0.6671876098901098,0.8074849600309717,0.6547161172161172,1.0,0.6671876098901098,0.8149574853743491,0.7657234432234432,1.0,0.6671876098901098,0.8095318264058646,0.7915567765567766,1.0,0.6671876098901098,0.8056175143959884,0.801230668122679,0.8094388097874375,0.8044165775332474,1.0,0.8099345456044509,0.0
spilled_triviaqa_llama8b,5,28.0,19.2,22.0,0.9086390168970814,0.9097315924219149,6.2,0.0,4.2,17.2,3.2,0.0,4.2,0.0,0.9039307219662058,0.8029584831644329,0.9913043478260869,0.8107012858232538,0.9036833077316947,0.7529584831644328,0.9913043478260869,0.8107012858232538,0.9073252432155658,0.8678707638661873,0.9913043478260869,0.8107012858232538,0.9086522273425499,0.8345374305328539,0.9913043478260869,0.8107012858232538,0.903410087045571,0.8449874686716793,0.9913043478260869,0.8107012858232538,0.9074296466973886,0.8196251498310995,0.9913043478260869,0.8107012858232538,0.9047499743983615,0.7696251498310994,0.9913043478260869,0.8107012858232538,0.9081058883768561,0.7696251498310994,0.9913043478260869,0.8107012858232538,0.9094585765488992,0.91025222734255,0.8978423451100872,0.9042296466973886,1.0,0.9096590701484895,0.0
trace_gsm8k_llama8b_k10,5,29.0,10.4,21.2,0.8133078340737949,0.8220799255712665,7.2,0.0,5.4,18.8,4.8,0.0,3.8,0.0,0.8004678531231025,0.3227505827505827,1.0,0.3032185780885781,0.7949724779935673,0.2727505827505828,1.0,0.3032185780885781,0.7804671541465348,0.37480186480186484,1.0,0.3032185780885781,0.774875220088403,0.26867132867132865,1.0,0.3032185780885781,0.8054769575911687,0.25813519813519814,1.0,0.3032185780885781,0.8084242515000145,0.30170163170163167,1.0,0.3032185780885781,0.8029231263119371,0.2727505827505828,1.0,0.3032185780885781,0.804563689467605,0.3048018648018648,1.0,0.3032185780885781,0.7802571452054732,0.7892606309735003,0.8031273591253711,0.8096094715172042,1.0,0.8065062078787568,0.0
trace_math500_qwenmath15b_k10,5,30.0,5.6,23.4,0.677006922687465,0.7110281298368034,7.2,0.0,4.4,20.6,3.0,0.0,5.8,0.0,0.6761164762848466,0.12222222222222223,1.0,0.1433809523809524,0.6662172651625516,0.0,1.0,0.1433809523809524,0.6599780577604692,0.31412698412698414,1.0,0.1433809523809524,0.6680943678386393,0.23666666666666666,1.0,0.1433809523809524,0.6540153108735554,0.0,1.0,0.1433809523809524,0.6803401741795903,0.14523809523809522,1.0,0.1433809523809524,0.666891044817642,0.0,1.0,0.1433809523809524,0.6922033551512268,0.3304761904761905,1.0,0.1433809523809524,0.6772210290189328,0.6744852884551777,0.6769085531929593,0.6759616115081905,1.0,0.6695656221905709,0.0
truthfulqa_llama8b,5,29.0,6.2,22.0,0.6535679980534514,0.6860034890529304,6.4,0.0,4.4,15.2,4.4,0.0,4.4,0.0,0.6184242538408414,0.2202380952380952,1.0,0.27275873015873014,0.5928443630321946,0.22738095238095238,1.0,0.27275873015873014,0.6066673701997323,0.16746031746031745,1.0,0.27275873015873014,0.6339568193708016,0.2361111111111111,1.0,0.27275873015873014,0.6636752928038089,0.16746031746031745,1.0,0.27275873015873014,0.6465227851148652,0.24603174603174605,1.0,0.27275873015873014,0.6163953060628895,0.09166666666666666,1.0,0.27275873015873014,0.6794572765593992,0.5523809523809523,1.0,0.27275873015873014,0.632862472641258,0.632862472641258,0.6421076863762558,0.6421076863762558,1.0,0.638161513818047,0.0
