test_set,test_set_code,measurement,measurement_code,learned_weight,guessed_weight
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Spread across candidate words,mean_logprob_entropy,-0.3087218364399762,0.21057115822711367
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Variability of surprise,varentropy,0.5850057038107012,0.20265512140658726
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Concentration of candidate words,renyi_entropy_2,0.14764986864798793,0.20827957416202514
TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,Probability outside the top few words,topk_tail_mass,-0.05937789541656583,0.1939382033265659
CoQA / Llama-7B,inside_coqa_llama7b,Average uncertainty per token,epr,0.4197518467845859,0.2348046299204141
CoQA / Llama-7B,inside_coqa_llama7b,How flat the uncertainty rhythm is,spectral_entropy,-0.13369885727658146,0.0921140320622371
CoQA / Llama-7B,inside_coqa_llama7b,Slow drifts in uncertainty,low_band_power,0.2713691665133875,-0.11819915901943145
CoQA / Llama-7B,inside_coqa_llama7b,Fast jitter in uncertainty,high_band_power,-0.03693382164334558,0.0933181710342357
CoQA / Llama-7B,inside_coqa_llama7b,Jitter-to-drift ratio,hl_ratio,0.2684734501715344,0.02765029350178938
CoQA / Llama-7B,inside_coqa_llama7b,Speed of the strongest rhythm,dominant_freq,0.035784289356816046,0.10374826765089715
CoQA / Llama-7B,inside_coqa_llama7b,Average rhythm speed,spectral_centroid,0.019755776990483448,0.1362246361759176
CoQA / Llama-7B,inside_coqa_llama7b,Strongest local burst of jitter,stft_max_high_power,0.3189825265856087,0.21008337353665843
CoQA / Llama-7B,inside_coqa_llama7b,Local rhythm flatness,stft_spectral_entropy,-0.09970220013539972,0.2150087592584622
CoQA / Llama-7B,inside_coqa_llama7b,Late-answer uncertainty drift,rpdi,-0.20900472950061535,0.20874267217030432
CoQA / Llama-7B,inside_coqa_llama7b,Burstiest stretch of the answer,sw_var_peak,-0.06265831069003765,0.16326904281699417
CoQA / Llama-7B,inside_coqa_llama7b,Ordinal pattern complexity,pe_mean,-1.4414163199182766,0.326649988136608
