cell,family,domain,method,arm,phase,selector,variant,n,n_pool,n_selected,n_kept,auroc,random_mean_auroc,delta_vs_matched_random_pp,random_percentile,random_repeats_completed,orientation_failure,selector_fallback,fit_residual,decomposition_converged,theorem_support_ok,nnz_pairs,sparse_fraction,mean_abs_spearman,max_abs_spearman,effective_rank,effective_rank_fraction
semenergy_triviaqa_qwen3_8b,triviaqa,QA,deployed_upcr,cae_k6,fixed_k6,cae,a3.cae_k6,4392,24,6,4,0.7566718453736192,0.7490693861528193,0.760245922079994,37.5,32,False,False,0.04505505378708113,,,,,0.2920727880778789,0.8536801537513794,5.075350707442122,0.845891784573687
semenergy_triviaqa_qwen3_8b,triviaqa,QA,iu_pcr,cae_k6,fixed_k6,cae,a3.cae_k6,4392,24,6,6,0.7817954319315912,0.7805370575759163,0.1258374355674885,46.875,32,False,False,0.9955350650660237,,,,,0.2920727880778789,0.8536801537513794,5.075350707442122,0.845891784573687
semenergy_triviaqa_qwen3_8b,triviaqa,QA,su_pcr,cae_k6,fixed_k6,cae,a3.cae_k6,4392,24,6,6,0.6677736880124157,0.7604170433282378,-9.264335531582212,3.125,32,False,False,0.8887595930789115,True,False,9,0.6,0.2920727880778789,0.8536801537513794,5.075350707442122,0.845891784573687
semenergy_triviaqa_qwen3_8b,triviaqa,QA,deployed_upcr,lscae_k6,fixed_k6,lscae,lscae.k6,4392,24,6,5,0.7972461415308192,0.7490693861528193,4.8176755377999925,75.0,32,False,False,0.1955720419377713,,,,,0.44006925733399277,0.999730643645255,3.1050118110924374,0.5175019685154062
semenergy_triviaqa_qwen3_8b,triviaqa,QA,iu_pcr,lscae_k6,fixed_k6,lscae,lscae.k6,4392,24,6,6,0.8126471837559841,0.7805370575759163,3.211012618006781,93.75,32,False,False,0.17315469553481477,,,,,0.44006925733399277,0.999730643645255,3.1050118110924374,0.5175019685154062
semenergy_triviaqa_qwen3_8b,triviaqa,QA,su_pcr,lscae_k6,fixed_k6,lscae,lscae.k6,4392,24,6,6,0.7353655809669635,0.7604170433282378,-2.5051462361274313,21.875,32,False,False,0.6390422502644449,True,False,9,0.6,0.44006925733399277,0.999730643645255,3.1050118110924374,0.5175019685154062
semenergy_triviaqa_qwen3_8b,triviaqa,QA,deployed_upcr,dpp_k6,fixed_k6,dpp,dpp.k6,4392,24,6,5,0.6950169700324937,0.7490693861528193,-5.405241612032552,21.875,32,False,False,0.12503730250810002,,,,,0.36550121716757006,0.7391412398794545,5.085741468146988,0.8476235780244981
semenergy_triviaqa_qwen3_8b,triviaqa,QA,iu_pcr,dpp_k6,fixed_k6,dpp,dpp.k6,4392,24,6,6,0.7169549868121692,0.7805370575759163,-6.358207076374711,3.125,32,False,False,0.4531308258517619,,,,,0.36550121716757006,0.7391412398794545,5.085741468146988,0.8476235780244981
semenergy_triviaqa_qwen3_8b,triviaqa,QA,su_pcr,dpp_k6,fixed_k6,dpp,dpp.k6,4392,24,6,6,0.7691770095336421,0.7604170433282378,0.8759966205404313,46.875,32,False,False,0.7361061423422195,True,False,8,0.5333333333333333,0.36550121716757006,0.7391412398794545,5.085741468146988,0.8476235780244981
semenergy_triviaqa_qwen3_8b,triviaqa,QA,deployed_upcr,decorr_k6,fixed_k6,decorrelation,decorr_s6,4392,24,6,5,0.7259680566050126,0.7490693861528193,-2.3101329547806637,21.875,32,False,False,0.08176611874849085,,,,,0.265961748588849,0.4937016515125817,4.97623526992138,0.8293725449868967
semenergy_triviaqa_qwen3_8b,triviaqa,QA,iu_pcr,decorr_k6,fixed_k6,decorrelation,decorr_s6,4392,24,6,6,0.7395789952311009,0.7805370575759163,-4.095806234481536,9.375,32,False,False,0.1520831078052406,,,,,0.265961748588849,0.4937016515125817,4.97623526992138,0.8293725449868967
semenergy_triviaqa_qwen3_8b,triviaqa,QA,su_pcr,decorr_k6,fixed_k6,decorrelation,decorr_s6,4392,24,6,6,0.7164065675646695,0.7604170433282378,-4.401047576356831,18.75,32,False,False,0.15035945489972058,True,True,1,0.06666666666666667,0.265961748588849,0.4937016515125817,4.97623526992138,0.8293725449868967
semenergy_triviaqa_qwen3_8b,triviaqa,QA,deployed_upcr,upcrres_native,method_specific,upcr_residual,a1.upcrres_greedy,4392,24,3,3,0.6534994093946564,0.7404922858930942,-8.699287649843779,9.375,32,False,False,0.04539257668106597,,,,,0.6228681782688857,0.7391412398794545,2.402413500758204,0.8008045002527346
spilled_triviaqa_llama8b,triviaqa,QA,deployed_upcr,full,baseline,full,full,256,25,25,22,0.9299999999999999,0.9299999999999999,0.0,50.0,32,False,False,0.06811509841243907,,,,,0.565580861325287,0.9987590123598076,5.57401247472703,0.22296049898908119
spilled_triviaqa_llama8b,triviaqa,QA,iu_pcr,full,baseline,full,full,256,25,25,25,0.932,0.932,0.0,50.0,32,False,False,0.10277086296764727,,,,,0.565580861325287,0.9987590123598076,5.57401247472703,0.22296049898908119
spilled_triviaqa_llama8b,triviaqa,QA,su_pcr,full,baseline,full,full,256,25,25,25,0.932,0.932,0.0,50.0,32,False,False,0.10475578389740661,True,True,0,0.0,0.565580861325287,0.9987590123598076,5.57401247472703,0.22296049898908119
spilled_triviaqa_llama8b,triviaqa,QA,deployed_upcr,dufs_native,native,dufs,a2.dufs_pf,256,25,18,17,0.9226666666666666,0.9253125,-0.2645833333333347,31.25,32,False,False,0.05764299681059274,,,,,0.719262275395175,0.9987590123598076,3.1148760640067445,0.17304867022259693
spilled_triviaqa_llama8b,triviaqa,QA,iu_pcr,dufs_native,native,dufs,a2.dufs_pf,256,25,18,18,0.9239999999999999,0.9285416666666666,-0.4541666666666666,25.0,32,False,False,0.10109516647717191,,,,,0.719262275395175,0.9987590123598076,3.1148760640067445,0.17304867022259693
