arm,feature,selected_cells,available_cells,selection_rate_over_all_cells
dufs_k6,varentropy,13,24,0.5416666666666666
lapscore_k6,dominant_freq,2,21,0.08333333333333333
lapscore_k6,epr,24,24,1.0
lapscore_k6,epr_spilled,7,24,0.2916666666666667
lapscore_k6,hl_ratio,7,23,0.2916666666666667
lapscore_k6,mean_logprob_entropy,24,24,1.0
lapscore_k6,mean_top1_logprob,21,24,0.875
lapscore_k6,min_spilled,1,12,0.041666666666666664
lapscore_k6,renyi_entropy_2,23,24,0.9583333333333334
lapscore_k6,spectral_entropy,2,23,0.08333333333333333
lapscore_k6,topk_tail_mass,16,24,0.6666666666666666
lapscore_k6,trace_length,4,21,0.16666666666666666
lapscore_k6,varentropy,13,24,0.5416666666666666
spec_k6,dominant_freq,2,21,0.08333333333333333
spec_k6,epr,24,24,1.0
spec_k6,epr_spilled,7,24,0.2916666666666667
spec_k6,hl_ratio,7,23,0.2916666666666667
spec_k6,mean_logprob_entropy,24,24,1.0
spec_k6,mean_top1_logprob,21,24,0.875
spec_k6,min_spilled,1,12,0.041666666666666664
spec_k6,renyi_entropy_2,23,24,0.9583333333333334
spec_k6,spectral_entropy,2,23,0.08333333333333333
spec_k6,topk_tail_mass,16,24,0.6666666666666666
spec_k6,trace_length,4,21,0.16666666666666666
spec_k6,varentropy,13,24,0.5416666666666666
mcfs_k6,cusum_max,5,24,0.20833333333333334
mcfs_k6,cusum_max_energy,6,24,0.25
mcfs_k6,cusum_max_spilled,5,24,0.20833333333333334
mcfs_k6,dominant_freq,16,21,0.6666666666666666
mcfs_k6,epr,5,24,0.20833333333333334
mcfs_k6,epr_energy,2,24,0.08333333333333333
mcfs_k6,epr_spilled,1,24,0.041666666666666664
mcfs_k6,high_band_power,6,23,0.25
mcfs_k6,hl_ratio,14,23,0.5833333333333334
mcfs_k6,hurst_exponent,4,23,0.16666666666666666
mcfs_k6,logprob_margin,16,24,0.6666666666666666
mcfs_k6,low_band_power,1,23,0.041666666666666664
mcfs_k6,mean_logprob_entropy,1,24,0.041666666666666664
mcfs_k6,mean_top1_logprob,2,24,0.08333333333333333
mcfs_k6,min_energy,3,24,0.125
mcfs_k6,min_spilled,3,12,0.125
mcfs_k6,spectral_centroid,6,23,0.25
mcfs_k6,spectral_entropy,7,23,0.2916666666666667
mcfs_k6,stft_max_high_power,1,18,0.041666666666666664
mcfs_k6,sw_var_peak,7,24,0.2916666666666667
mcfs_k6,sw_var_peak_spilled,1,24,0.041666666666666664
mcfs_k6,topk_tail_mass,19,24,0.7916666666666666
mcfs_k6,trace_length,3,21,0.125
mcfs_k6,varentropy,10,24,0.4166666666666667
cae_k6,cusum_max,15,24,0.625
cae_k6,cusum_max_energy,2,24,0.08333333333333333
cae_k6,cusum_max_spilled,2,24,0.08333333333333333
cae_k6,dominant_freq,1,21,0.041666666666666664
cae_k6,epr,9,24,0.375
cae_k6,epr_energy,3,24,0.125
cae_k6,epr_spilled,1,24,0.041666666666666664
cae_k6,high_band_power,3,23,0.125
cae_k6,hl_ratio,13,23,0.5416666666666666
cae_k6,hurst_exponent,4,23,0.16666666666666666
cae_k6,logprob_margin,1,24,0.041666666666666664
cae_k6,low_band_power,3,23,0.125
cae_k6,mean_logprob_entropy,14,24,0.5833333333333334
cae_k6,min_energy,4,24,0.16666666666666666
cae_k6,min_spilled,8,12,0.3333333333333333
cae_k6,renyi_entropy_2,1,24,0.041666666666666664
cae_k6,spectral_centroid,9,23,0.375
cae_k6,spectral_entropy,15,23,0.625
cae_k6,stft_max_high_power,7,18,0.2916666666666667
cae_k6,sw_var_peak,2,24,0.08333333333333333
cae_k6,sw_var_peak_energy,15,24,0.625
cae_k6,sw_var_peak_spilled,7,24,0.2916666666666667
cae_k6,trace_length,5,21,0.20833333333333334
lscae_k6,cusum_max,3,24,0.125
lscae_k6,cusum_max_energy,1,24,0.041666666666666664
lscae_k6,cusum_max_spilled,3,24,0.125
lscae_k6,epr,18,24,0.75
lscae_k6,epr_energy,10,24,0.4166666666666667
lscae_k6,epr_spilled,7,24,0.2916666666666667
lscae_k6,hl_ratio,4,23,0.16666666666666666
lscae_k6,logprob_margin,16,24,0.6666666666666666
lscae_k6,low_band_power,1,23,0.041666666666666664
lscae_k6,mean_logprob_entropy,15,24,0.625
lscae_k6,mean_top1_logprob,6,24,0.25
lscae_k6,min_energy,8,24,0.3333333333333333
lscae_k6,renyi_entropy_2,11,24,0.4583333333333333
lscae_k6,spectral_centroid,9,23,0.375
lscae_k6,spectral_entropy,3,23,0.125
lscae_k6,sw_var_peak,14,24,0.5833333333333334
lscae_k6,sw_var_peak_energy,1,24,0.041666666666666664
lscae_k6,topk_tail_mass,1,24,0.041666666666666664
lscae_k6,trace_length,2,21,0.08333333333333333
lscae_k6,varentropy,11,24,0.4583333333333333
dpp_k6,cusum_max,2,24,0.08333333333333333
