arm,phase,selector,label,method,n_cells,macro_auroc,mean_delta_vs_full_pp,delta_vs_full_ci95_low_pp,delta_vs_full_ci95_high_pp,wins_vs_full,losses_vs_full,ties_vs_full,p_wilcoxon_vs_full,mean_delta_vs_matched_random_pp,delta_vs_random_ci95_low_pp,delta_vs_random_ci95_high_pp,wins_vs_matched_random,mean_n_selected,mean_n_kept,no_selection_cells,orientation_failures,mean_abs_spearman,mean_effective_rank_fraction,fallback_cells,su_minimum_size_rate,su_theorem_support_rate,su_theorem_support_rate_if_size_eligible,su_decomposition_convergence_rate
lapscore_native,native,lapscore,Laplacian Score adaptive,iu_pcr,24,0.7396974263670963,-3.436547127378232,-5.470856839034305,-1.8997186228196388,2,22,0,2.467632293701172e-05,-0.5268882982802693,-2.440093601685204,1.2778334062960883,10,6.166666666666667,6.166666666666667,0,0,0.8389588836948517,0.26169727039351215,0,,,,
lapscore_native,native,lapscore,Laplacian Score adaptive,su_pcr,24,0.7160067606831726,-5.7643807078082805,-10.520463764257604,-2.289835900108568,3,21,0,9.083747863769531e-05,-1.5517621690227308,-5.767174147221943,1.477041122604188,13,6.166666666666667,6.166666666666667,0,1,0.8389588836948517,0.26169727039351215,0,0.8333333333333334,0.7083333333333334,0.85,1.0
spec_native,native,spec,SPEC adaptive,deployed_upcr,24,0.7449333924428293,-2.8594510448332904,-4.248114029396714,-1.7188805555963613,2,22,0,1.3113021850585938e-05,-0.2299403661708166,-1.5900196971821483,0.9086508054627108,10,6.166666666666667,5.708333333333333,0,0,0.8389588836948517,0.26169727039351215,0,,,,
spec_native,native,spec,SPEC adaptive,iu_pcr,24,0.7396974263670963,-3.436547127378232,-5.431370744028554,-1.9221925368592205,2,22,0,2.467632293701172e-05,-0.5268882982802693,-2.4545074874069472,1.2719174628583205,10,6.166666666666667,6.166666666666667,0,0,0.8389588836948517,0.26169727039351215,0,,,,
spec_native,native,spec,SPEC adaptive,su_pcr,24,0.7160067606831726,-5.7643807078082805,-10.458013605510542,-2.3051141122170877,3,21,0,9.083747863769531e-05,-1.5517621690227308,-5.774928692166884,1.4465098972200952,13,6.166666666666667,6.166666666666667,0,1,0.8389588836948517,0.26169727039351215,0,0.8333333333333334,0.7083333333333334,0.85,1.0
mcfs_native,native,mcfs,MCFS adaptive,deployed_upcr,24,0.7471551646380323,-2.637273825312987,-4.982083252308094,-0.737727981895751,8,16,0,0.026927709579467773,0.3451406399036424,-1.5931015205982397,1.988647847415654,18,4.625,3.9583333333333335,0,0,0.44781696756620626,0.6984561973746883,0,,,,
mcfs_native,native,mcfs,MCFS adaptive,iu_pcr,24,0.7104783018999908,-6.35845957408878,-10.878272456723376,-2.5436120823043495,8,16,0,0.00433504581451416,-2.213821480375202,-5.916608725054192,0.7939022559374552,13,4.625,4.625,0,0,0.44781696756620626,0.6984561973746883,0,,,,
mcfs_native,native,mcfs,MCFS adaptive,su_pcr,24,0.717644912319769,-5.600565544148647,-9.2246085775534,-2.5306470530727725,6,18,0,0.001092672348022461,1.9055242042747154,-0.9957809109182446,4.94981420129148,16,4.625,4.625,0,0,0.44781696756620626,0.6984561973746883,0,0.4166666666666667,0.125,0.3,1.0
cae_native,native,cae,Concrete AE adaptive,deployed_upcr,24,0.7457042195862219,-2.782368330494039,-4.141809555365335,-1.5256013448756367,3,21,0,9.083747863769531e-05,0.10312663822050251,-1.2303810636054797,1.3292061095469505,14,4.916666666666667,3.6666666666666665,0,0,0.3057557289392689,0.841217020931562,0,,,,
cae_native,native,cae,Concrete AE adaptive,iu_pcr,24,0.7491012159139555,-2.4961681726923217,-3.7799062755987265,-1.2957505588026417,3,21,0,0.00027811527252197266,1.36667556072939,0.06333226924267464,2.723735081766008,17,4.916666666666667,4.916666666666667,0,0,0.3057557289392689,0.841217020931562,0,,,,
cae_native,native,cae,Concrete AE adaptive,su_pcr,24,0.728127487509776,-4.552308025147942,-7.259520610302618,-2.4630663854203005,2,22,0,2.014636993408203e-05,0.04034438176749773,-3.1477619614439583,2.633785764904038,14,4.916666666666667,4.916666666666667,0,1,0.3057557289392689,0.841217020931562,0,0.625,0.125,0.2,1.0
lscae_native,native,lscae,LS-CAE adaptive,deployed_upcr,24,0.7513223478109813,-2.2205555080180908,-3.714599326245835,-1.037255031739948,5,19,0,0.00037276744842529297,0.11905913200514252,-1.3140109010929995,1.2549733048255745,16,6.5,6.166666666666667,0,0,0.6913336808520504,0.3474128303657946,0,,,,
lscae_native,native,lscae,LS-CAE adaptive,iu_pcr,24,0.7532632281564539,-2.079966948442478,-3.272801846656024,-0.9727653963315687,5,19,0,0.0007423162460327148,0.2971272507843311,-0.7816191246720829,1.2860927025400097,14,6.5,6.5,0,0,0.6913336808520504,0.3474128303657946,0,,,,
lscae_native,native,lscae,LS-CAE adaptive,su_pcr,24,0.7447967113241117,-2.885385643714349,-4.860559546196911,-1.2229185141584986,6,18,0,0.002245783805847168,0.8934014083808139,-0.7293185961481642,2.432800642058255,15,6.5,6.5,0,0,0.6913336808520504,0.3474128303657946,0,0.875,0.6666666666666666,0.7619047619047619,1.0
dpp_native,native,dpp,DPP data-driven stop,deployed_upcr,24,0.7682084748823726,-0.531942800878955,-1.2166956745252677,0.11703817921801525,11,13,0,0.27681541442871094,-0.24229328069527573,-0.8945457141389295,0.3953024622649017,11,18.958333333333332,15.916666666666666,0,0,0.3833803532308337,0.40140879215827896,0,,,,
dpp_native,native,dpp,DPP data-driven stop,iu_pcr,24,0.7673328466909154,-0.6730050949963189,-1.2254165476243128,-0.11754231993697857,10,14,0,0.060427069664001465,-0.4767480238431182,-0.9926372425146655,0.028370658132519978,10,18.958333333333332,18.958333333333332,0,0,0.3833803532308337,0.40140879215827896,0,,,,
dpp_native,native,dpp,DPP data-driven stop,su_pcr,24,0.7619331195641772,-1.171744819707822,-2.2887852349670714,-0.24920658828066258,9,15,0,0.060427069664001465,-0.2179462594409473,-1.0984785374447283,0.5554779721939352,11,18.958333333333332,18.958333333333332,0,0,0.3833803532308337,0.40140879215827896,0,1.0,0.875,0.875,1.0
dpp_ridge_native,native,dpp,DPP ridge data-driven stop,deployed_upcr,24,0.7697830863471978,-0.37448165439643716,-1.027445169680432,0.22590258338796554,11,13,0,0.47316575050354004,-0.12688074462180549,-0.7513610400326329,0.4774909553615335,11,19.75,16.5,0,0,0.3909522007979187,0.3790358187166973,0,,,,
dpp_ridge_native,native,dpp,DPP ridge data-driven stop,iu_pcr,24,0.7685941349591081,-0.5468762681770507,-1.066859694679655,-0.05007424155695207,9,15,0,0.09509599208831787,-0.3582218507557069,-0.8149551441864852,0.09512985138920799,10,19.75,19.75,0,0,0.3909522007979187,0.3790358187166973,0,,,,
dpp_ridge_native,native,dpp,DPP ridge data-driven stop,su_pcr,24,0.7623631384153494,-1.1287429345905862,-2.312253508785352,-0.1493236656540222,8,16,0,0.08392000198364258,-0.35081593745975076,-1.2823413597312714,0.44184890131648236,14,19.75,19.75,0,0,0.3909522007979187,0.3790358187166973,0,1.0,0.875,0.875,1.0
dufs_k6,fixed_k6,dufs,"DUFS gate ranking, k=6",deployed_upcr,24,0.7525434353993834,-2.09844674917788,-3.028131825087264,-1.2188958474744394,2,22,0,5.328655242919922e-05,0.3797659320603497,-0.45237787271781466,1.1348684747971354,16,6.0,5.625,0,0,0.8108026567625299,0.27284429711729047,0,,,,
dufs_k6,fixed_k6,dufs,"DUFS gate ranking, k=6",iu_pcr,24,0.7360317487549972,-3.803114888588135,-5.390676337713824,-2.319287253059423,2,22,0,2.014636993408203e-05,-1.3750192256826854,-2.8914163758411116,0.0009355473790590642,13,6.0,6.0,0,0,0.8108026567625299,0.27284429711729047,0,,,,
dufs_k6,fixed_k6,dufs,"DUFS gate ranking, k=6",su_pcr,24,0.7386900814300471,-3.496048633120832,-5.128998202776574,-1.9728448141442887,3,21,0,0.0001270771026611328,0.3418102711736338,-1.1360955477318069,1.6206865813344473,17,6.0,6.0,0,0,0.8108026567625299,0.27284429711729047,0,1.0,0.9583333333333334,0.9583333333333334,1.0
lapscore_k6,fixed_k6,lapscore,"Laplacian Score, k=6",deployed_upcr,24,0.749202595287706,-2.4325307603456245,-3.446829025907533,-1.4965938568603137,2,22,0,3.0159950256347656e-05,0.04568192089260496,-0.9991435386180713,0.9822259275681868,13,6.0,5.541666666666667,0,0,0.8332933005452502,0.2521910759947816,0,,,,
lapscore_k6,fixed_k6,lapscore,"Laplacian Score, k=6",iu_pcr,24,0.7430114588513209,-3.105143878955774,-4.462122197095685,-1.8635510099095476,2,22,0,3.0159950256347656e-05,-0.6770482160503248,-1.9454475628724437,0.39778111249408993,10,6.0,6.0,0,0,0.8332933005452502,0.2521910759947816,0,,,,
lapscore_k6,fixed_k6,lapscore,"Laplacian Score, k=6",su_pcr,24,0.7491103670556024,-2.4540200705652953,-3.5961300428924545,-1.3303256977479754,3,21,0,0.00037276744842529297,1.3838388337291696,0.05143084359798439,2.710752650643887,18,6.0,6.0,0,0,0.8332933005452502,0.2521910759947816,0,1.0,0.7916666666666666,0.7916666666666666,1.0
spec_k6,fixed_k6,spec,"SPEC, k=6",deployed_upcr,24,0.749202595287706,-2.4325307603456245,-3.4622260809577443,-1.4903234551694389,2,22,0,3.0159950256347656e-05,0.04568192089260496,-0.9799538967078987,1.0052248627823006,13,6.0,5.541666666666667,0,0,0.8332933005452502,0.2521910759947816,0,,,,
spec_k6,fixed_k6,spec,"SPEC, k=6",iu_pcr,24,0.7430114588513209,-3.105143878955774,-4.46126605563964,-1.8998523932227451,2,22,0,3.0159950256347656e-05,-0.6770482160503248,-1.932992976002243,0.38498981938451,10,6.0,6.0,0,0,0.8332933005452502,0.2521910759947816,0,,,,
spec_k6,fixed_k6,spec,"SPEC, k=6",su_pcr,24,0.7491103670556024,-2.4540200705652953,-3.5741649025990654,-1.3344105809001865,3,21,0,0.00037276744842529297,1.3838388337291696,0.039143335110656124,2.7122804930126336,18,6.0,6.0,0,0,0.8332933005452502,0.2521910759947816,0,1.0,0.7916666666666666,0.7916666666666666,1.0
mcfs_k6,fixed_k6,mcfs,"MCFS, k=6",deployed_upcr,24,0.7616183950677261,-1.1909507823436,-2.367288242636134,-0.24649289118020248,10,14,0,0.06464934349060059,1.2872618988946296,0.45418179547006665,2.0228427788663255,19,6.0,4.791666666666667,0,0,0.4518142582876914,0.6010449070146443,0,,,,
mcfs_k6,fixed_k6,mcfs,"MCFS, k=6",iu_pcr,24,0.7595190752642536,-1.4543822376625108,-2.7009795861709947,-0.38579268535570965,9,15,0,0.036649227142333984,0.9737134252429382,-0.1880485257254446,1.9223309761667706,18,6.0,6.0,0,0,0.4518142582876914,0.6010449070146443,0,,,,
mcfs_k6,fixed_k6,mcfs,"MCFS, k=6",su_pcr,24,0.7224739936689085,-5.117657409234686,-7.850057646073859,-2.721624818364301,7,17,0,0.0005675554275512695,-1.2797985049402203,-3.86399272577286,0.9857618336916394,14,6.0,6.0,0,1,0.4518142582876914,0.6010449070146443,0,1.0,0.3333333333333333,0.3333333333333333,1.0
cae_k6,fixed_k6,cae,"Concrete AE, k=6",deployed_upcr,24,0.7527667169296676,-2.0761185961494686,-3.3665065560109104,-0.8933425064319378,6,18,0,0.002814650535583496,0.4020940850887611,-0.8162001624132843,1.4751845802287906,17,6.0,4.5,0,0,0.29333780856644615,0.8116908288700925,0,,,,
cae_k6,fixed_k6,cae,"Concrete AE, k=6",iu_pcr,24,0.7575701806743608,-1.6492716966518008,-2.713241917586112,-0.6046206112180386,6,18,0,0.0025163888931274414,0.7788239662536482,-0.3549442868757641,1.8183473966938621,17,6.0,6.0,0,0,0.29333780856644615,0.8116908288700925,0,,,,
cae_k6,fixed_k6,cae,"Concrete AE, k=6",su_pcr,24,0.7251029745655021,-4.854759319575332,-7.801883118500521,-2.392948373508638,4,20,0,0.00014960765838623047,-1.016900415280867,-4.220467553654399,1.6673404454503578,14,6.0,6.0,0,1,0.29333780856644615,0.8116908288700925,0,1.0,0.25,0.25,1.0
lscae_k6,fixed_k6,lscae,"LS-CAE, k=6",deployed_upcr,24,0.7571696873835343,-1.6358215507627925,-2.84298996689368,-0.6803110116150483,5,19,0,0.0017795562744140625,0.8423911304754372,-0.3458105609288322,1.770486607701808,19,6.0,5.833333333333333,0,0,0.7193980606034914,0.3388864280798681,0,,,,
lscae_k6,fixed_k6,lscae,"LS-CAE, k=6",iu_pcr,24,0.7572935183204393,-1.6769379320439388,-2.8629317602856434,-0.6095907673034698,5,19,0,0.007920503616333008,0.7511577308615102,-0.31113065496179515,1.7057961774241883,17,6.0,6.0,0,0,0.7193980606034914,0.3388864280798681,0,,,,
lscae_k6,fixed_k6,lscae,"LS-CAE, k=6",su_pcr,24,0.754980793213622,-1.8669774547633324,-3.1570699725872253,-0.6433505238387344,5,19,0,0.007920503616333008,1.9708814495311329,0.5681088440810462,3.3119577062536596,16,6.0,6.0,0,0,0.7193980606034914,0.3388864280798681,0,1.0,0.875,0.875,1.0
dpp_k6,fixed_k6,dpp,"DPP greedy log-det, k=6",deployed_upcr,24,0.7223532109551408,-5.1174691936021555,-6.800537556984058,-3.538147780516653,2,22,0,2.2649765014648438e-06,-2.639256512363926,-4.22599207977339,-1.1560947206740242,6,6.0,4.75,0,0,0.23214512345140134,0.9106678784862371,0,,,,
dpp_k6,fixed_k6,dpp,"DPP greedy log-det, k=6",iu_pcr,24,0.7263637819882381,-4.769911565264049,-6.229949923475407,-3.3317564741746892,4,20,0,5.125999450683594e-06,-2.3418159023586007,-3.8990859642621265,-0.868476594195294,7,6.0,6.0,0,0,0.23214512345140134,0.9106678784862371,0,,,,
dpp_k6,fixed_k6,dpp,"DPP greedy log-det, k=6",su_pcr,24,0.7237100135139428,-4.994055424731261,-6.440135060999983,-3.592967053742095,2,22,0,1.6689300537109375e-06,-1.156196520436796,-2.6068026067397367,0.32542447340426833,9,6.0,6.0,0,0,0.23214512345140134,0.9106678784862371,0,1.0,0.16666666666666666,0.16666666666666666,1.0
decorr_k6,fixed_k6,decorrelation,"Greedy decorrelation, k=6",deployed_upcr,24,0.7173363904718556,-5.619151241930665,-7.408318631696163,-3.924635133772532,2,22,0,5.125999450683594e-06,-3.140938560692436,-4.755685543206854,-1.5989002249412017,6,6.0,4.541666666666667,0,0,0.20290478087518735,0.8698331250479455,0,,,,
decorr_k6,fixed_k6,decorrelation,"Greedy decorrelation, k=6",iu_pcr,24,0.7249207032541616,-4.914219438671708,-6.764791815278606,-3.1177675187877716,3,21,0,3.6597251892089844e-05,-2.4861237757662584,-4.145117935791263,-0.916894586107988,6,6.0,6.0,0,0,0.20290478087518735,0.8698331250479455,0,,,,
decorr_k6,fixed_k6,decorrelation,"Greedy decorrelation, k=6",su_pcr,24,0.6921923902828319,-8.145817747842354,-12.08597747569083,-4.80577662351639,3,21,0,1.3113021850585938e-05,-4.307958843547889,-8.36498603427904,-1.0560291808532734,8,6.0,6.0,0,2,0.20290478087518735,0.8698331250479455,0,1.0,0.20833333333333334,0.20833333333333334,1.0
upcrres_native,method_specific,upcr_residual,U-PCR residual greedy,deployed_upcr,24,0.7281896969624894,-4.533820592867288,-6.775916470306803,-2.5701144415533665,3,21,0,2.014636993408203e-05,-1.0787770064796498,-3.023357010332644,0.6581522902997522,11,3.7916666666666665,3.75,0,0,0.799588236159647,0.45568573539520524,0,,,,
