split,table,task,granularity,cohort,method,n,positives,n_groups,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high
pilot,full_response,QA,response,LOO,ec_dufs_liu,11,2,11,0.33333333333333337,0.0,0.8,0.2,0.09090909090909091,0.6
pilot,full_response,QA,response,LOO,ec_iu_pcr,11,2,11,0.33333333333333337,0.0,0.8,0.2,0.09090909090909091,0.6
pilot,full_response,QA,response,LOO,ec_permuted_liu,11,2,11,0.33333333333333337,0.0,0.8,0.2,0.09090909090909091,0.6
pilot,full_response,QA,response,LOO,ec_ungated_liu,11,2,11,0.33333333333333337,0.0,0.8,0.2,0.09090909090909091,0.6
pilot,full_response,QA,response,LOO,ec_upcr,11,2,11,0.2777777777777778,0.0,0.6666666666666667,0.18333333333333335,0.09090909090909091,0.5561060606060603
pilot,full_response,QA,response,LOO,gasp_ll,11,2,11,0.2777777777777778,0.0,0.6666666666666667,0.18333333333333335,0.09090909090909091,0.5561060606060603
pilot,full_response,QA,response,LOO,gasp_top50,11,2,11,0.2777777777777778,0.0,0.6666666666666667,0.18333333333333335,0.09090909090909091,0.5561060606060603
pilot,full_response,QA,response,LOO,likelihood_gap,11,2,11,0.2777777777777778,0.0,0.6666666666666667,0.18333333333333335,0.09090909090909091,0.5561060606060603
pilot,full_response,QA,response,LOO,perplexity,11,2,11,0.33333333333333337,0.09999999999999998,0.6666666666666667,0.19642857142857142,0.1111111111111111,0.5102678571428569
pilot,full_sentence,ALL,sentence,LOO,ec_dufs_liu,162,14,20,0.7258687258687258,0.5695063214930765,0.8623271671061306,0.20159552278212942,0.09187825657082757,0.4824624677336105
pilot,full_sentence,ALL,sentence,LOO,ec_iu_pcr,162,14,20,0.7258687258687259,0.569521372667068,0.8641926911667765,0.2015491405928901,0.09187825657082757,0.4824314273144746
pilot,full_sentence,ALL,sentence,LOO,ec_permuted_liu,162,14,20,0.7258687258687259,0.569521372667068,0.8641926911667765,0.2015491405928901,0.09187825657082757,0.4824314273144746
pilot,full_sentence,ALL,sentence,LOO,ec_ungated_liu,162,14,20,0.7253861003861004,0.5695063214930765,0.8641926911667765,0.20134042074131311,0.09187825657082757,0.4821779491638576
pilot,full_sentence,ALL,sentence,LOO,ec_upcr,162,14,20,0.7268339768339769,0.5721550772626931,0.8595557981762251,0.18894711201768646,0.09138472536505625,0.4953388716309929
pilot,full_sentence,ALL,sentence,LOO,gasp_ll,162,14,20,0.708976833976834,0.5673645228127137,0.8529074244317155,0.2187640032660578,0.09856223409203611,0.4061790426905148
pilot,full_sentence,ALL,sentence,LOO,gasp_top50,162,14,20,0.7017374517374517,0.5674363636363637,0.8272093295827472,0.16001307647567425,0.08154574725351046,0.24395628664880006
pilot,full_sentence,ALL,sentence,LOO,likelihood_gap,162,14,20,0.7138030888030888,0.5771833292542381,0.8531211883158988,0.1820455359520548,0.0941624027893128,0.35855530022724424
pilot,full_sentence,ALL,sentence,LOO,perplexity,162,14,20,0.6993243243243243,0.5851169990723561,0.8029293924466339,0.27728411979900736,0.10750422332932075,0.4434812597169654
pilot,full_sentence,Data2txt,sentence,LOO,ec_dufs_liu,85,11,9,0.6044226044226044,0.42683121948940744,0.802449715370019,0.17958918789439207,0.09560168497376752,0.43714824594819196
pilot,full_sentence,Data2txt,sentence,LOO,ec_iu_pcr,85,11,9,0.6044226044226044,0.42683121948940744,0.802449715370019,0.17958918789439207,0.09560168497376752,0.43714824594819196
pilot,full_sentence,Data2txt,sentence,LOO,ec_permuted_liu,85,11,9,0.6044226044226044,0.42683121948940744,0.802449715370019,0.17958918789439207,0.09560168497376752,0.43714824594819196
pilot,full_sentence,Data2txt,sentence,LOO,ec_ungated_liu,85,11,9,0.6044226044226044,0.42683121948940744,0.802449715370019,0.17958918789439207,0.09560168497376752,0.43714824594819196
pilot,full_sentence,Data2txt,sentence,LOO,ec_upcr,85,11,9,0.6068796068796068,0.4381856540084388,0.8024092741935485,0.18234267750345018,0.09588723058403241,0.45694904416107424
pilot,full_sentence,Data2txt,sentence,LOO,gasp_ll,85,11,9,0.6081081081081081,0.439437203653096,0.7979411764705884,0.17819708884302185,0.10871404253740719,0.3573602667625705
pilot,full_sentence,Data2txt,sentence,LOO,gasp_top50,85,11,9,0.6007371007371007,0.431924882629108,0.7742831541218638,0.1689914056837986,0.09828888659000908,0.30254259184197024
pilot,full_sentence,Data2txt,sentence,LOO,likelihood_gap,85,11,9,0.6216216216216217,0.46746830985915494,0.8173082816060344,0.18183688789191776,0.10713412158544536,0.4321457253664718
pilot,full_sentence,Data2txt,sentence,LOO,perplexity,85,11,9,0.5921375921375922,0.4274414235190098,0.7504261363636364,0.24513386742445847,0.12176476187781125,0.42699028929769467
pilot,full_sentence,QA,sentence,LOO,ec_dufs_liu,77,3,11,0.8828828828828829,0.6862426995457496,0.9551819553915815,0.4439393939393939,0.058823529411764705,0.6818181818181819
pilot,full_sentence,QA,sentence,LOO,ec_iu_pcr,77,3,11,0.8828828828828829,0.6862426995457496,0.9551819553915813,0.4439393939393939,0.058823529411764705,0.6818181818181819
pilot,full_sentence,QA,sentence,LOO,ec_permuted_liu,77,3,11,0.8828828828828829,0.6862426995457496,0.9551819553915813,0.4439393939393939,0.058823529411764705,0.6818181818181819
pilot,full_sentence,QA,sentence,LOO,ec_ungated_liu,77,3,11,0.8828828828828829,0.6862426995457496,0.9551819553915813,0.4439393939393939,0.058823529411764705,0.6818181818181819
pilot,full_sentence,QA,sentence,LOO,ec_upcr,77,3,11,0.882882882882883,0.6753731343283582,0.9555059523809524,0.4476190476190476,0.05417956656346749,0.6818181818181819
pilot,full_sentence,QA,sentence,LOO,gasp_ll,77,3,11,0.8963963963963965,0.6753731343283582,0.9694602272727273,0.47619047619047616,0.05417956656346749,0.7
pilot,full_sentence,QA,sentence,LOO,gasp_top50,77,3,11,0.8648648648648649,0.6753731343283582,0.9253173628173628,0.21428571428571427,0.05417956656346749,0.3
pilot,full_sentence,QA,sentence,LOO,likelihood_gap,77,3,11,0.9009009009009008,0.7613717128642501,0.9539787798408488,0.4588235294117647,0.07692307692307693,0.6666666666666666
pilot,full_sentence,QA,sentence,LOO,perplexity,77,3,11,0.6486486486486486,0.5247685185185185,0.9297348484848484,0.41369863013698627,0.09090909090909091,0.5332417582417582
pilot,noctx_response,ALL,response,no-context,ec_dufs_liu,30,8,29,0.6761363636363636,0.4591450216450217,0.8846153846153846,0.5055560860707919,0.21408243853096795,0.772077500538982
pilot,noctx_response,ALL,response,no-context,ec_iu_pcr,30,8,29,0.6761363636363636,0.4591450216450217,0.8846153846153846,0.5055560860707919,0.21408243853096795,0.772077500538982
pilot,noctx_response,ALL,response,no-context,ec_permuted_liu,30,8,29,0.6761363636363636,0.4591450216450217,0.8846153846153846,0.5055560860707919,0.21408243853096795,0.772077500538982
pilot,noctx_response,ALL,response,no-context,ec_ungated_liu,30,8,29,0.6761363636363636,0.4591450216450217,0.8846153846153846,0.5055560860707919,0.21408243853096795,0.772077500538982
pilot,noctx_response,ALL,response,no-context,ec_upcr,30,8,29,0.6761363636363636,0.4591450216450217,0.8846153846153846,0.5055560860707919,0.21408243853096795,0.772077500538982
pilot,noctx_response,ALL,response,no-context,likelihood_gap,30,8,29,0.7045454545454546,0.4862507058159232,0.8696209587513936,0.40990884115884113,0.21970581501831501,0.7186371930538599
pilot,noctx_response,ALL,response,no-context,perplexity,30,8,29,0.5909090909090909,0.38364999999999994,0.7802500000000001,0.3603195701357466,0.17251686900056468,0.6533016983016984
pilot,noctx_response,Data2txt,response,no-context,ec_dufs_liu,10,6,9,0.45833333333333337,0.18645833333333334,0.8781179138321993,0.6771825396825396,0.4053670634920635,0.9550347222222222
pilot,noctx_response,Data2txt,response,no-context,ec_iu_pcr,10,6,9,0.45833333333333337,0.18645833333333334,0.8781179138321993,0.6771825396825396,0.4053670634920635,0.9550347222222222
pilot,noctx_response,Data2txt,response,no-context,ec_permuted_liu,10,6,9,0.45833333333333337,0.18645833333333334,0.8781179138321993,0.6771825396825396,0.4053670634920635,0.9550347222222222
pilot,noctx_response,Data2txt,response,no-context,ec_ungated_liu,10,6,9,0.45833333333333337,0.18645833333333334,0.8781179138321993,0.6771825396825396,0.4053670634920635,0.9550347222222222
pilot,noctx_response,Data2txt,response,no-context,ec_upcr,10,6,9,0.45833333333333337,0.18645833333333334,0.8781179138321993,0.6771825396825396,0.4053670634920635,0.9550347222222222
pilot,noctx_response,Data2txt,response,no-context,likelihood_gap,10,6,9,0.8333333333333334,0.4,1.0,0.8734126984126983,0.615642857142857,1.0
pilot,noctx_response,Data2txt,response,no-context,perplexity,10,6,9,0.24999999999999997,0.0,0.6,0.5259259259259259,0.316271645021645,0.8814335317460317
pilot,noctx_response,QA,response,no-context,ec_dufs_liu,11,2,11,0.3888888888888889,0.0,0.7833333333333332,0.2111111111111111,0.1,0.7322857142857141
pilot,noctx_response,QA,response,no-context,ec_iu_pcr,11,2,11,0.3888888888888889,0.0,0.7833333333333332,0.2111111111111111,0.1,0.7322857142857141
pilot,noctx_response,QA,response,no-context,ec_permuted_liu,11,2,11,0.3888888888888889,0.0,0.7833333333333332,0.2111111111111111,0.1,0.7322857142857141
pilot,noctx_response,QA,response,no-context,ec_ungated_liu,11,2,11,0.3888888888888889,0.0,0.7833333333333332,0.2111111111111111,0.1,0.7322857142857141
pilot,noctx_response,QA,response,no-context,ec_upcr,11,2,11,0.3888888888888889,0.0,0.7833333333333332,0.2111111111111111,0.1,0.7322857142857141
pilot,noctx_response,QA,response,no-context,likelihood_gap,11,2,11,0.2777777777777778,0.0,0.6,0.18333333333333335,0.09090909090909091,0.5591428571428572
pilot,noctx_response,QA,response,no-context,perplexity,11,2,11,0.33333333333333337,0.09999999999999998,0.6899999999999997,0.19642857142857142,0.1,0.5530818387961244
pilot,noctx_sentence,ALL,sentence,no-context,ec_dufs_liu,229,14,29,0.7833887043189369,0.6881245890861275,0.8848660091763754,0.19614424235373557,0.0856669636097901,0.39956575508991504
pilot,noctx_sentence,ALL,sentence,no-context,ec_iu_pcr,229,14,29,0.7827242524916943,0.6887740384615385,0.8832401227477951,0.19719670258259553,0.08551141941085001,0.4281254592746191
pilot,noctx_sentence,ALL,sentence,no-context,ec_permuted_liu,229,14,29,0.782392026578073,0.6887740384615385,0.8832223922513411,0.19708400690191363,0.08513378743038007,0.42780900357841656
pilot,noctx_sentence,ALL,sentence,no-context,ec_ungated_liu,229,14,29,0.7833887043189369,0.6881245890861275,0.8848660091763754,0.19614424235373557,0.0856669636097901,0.39956575508991504
pilot,noctx_sentence,ALL,sentence,no-context,ec_upcr,229,14,29,0.7827242524916943,0.6887740384615385,0.8832401227477951,0.19719670258259553,0.08551141941085001,0.4281254592746191
pilot,noctx_sentence,ALL,sentence,no-context,likelihood_gap,229,14,29,0.7647840531561461,0.6430710955710957,0.8903602856971747,0.17293904159839485,0.08049284468452252,0.35338908420688847
pilot,noctx_sentence,ALL,sentence,no-context,perplexity,229,14,29,0.73421926910299,0.6317094130089898,0.8310649415022613,0.2605273864977003,0.07733542554708982,0.40028395894730845
pilot,noctx_sentence,Data2txt,sentence,no-context,ec_dufs_liu,85,11,9,0.6167076167076166,0.4403587020239418,0.8123327308284936,0.2012770990555098,0.08740393887895945,0.4215399593598125
pilot,noctx_sentence,Data2txt,sentence,no-context,ec_iu_pcr,85,11,9,0.6167076167076168,0.4403587020239418,0.8150869681166292,0.20257867290012527,0.08739500472368382,0.4368538994519782
pilot,noctx_sentence,Data2txt,sentence,no-context,ec_permuted_liu,85,11,9,0.6167076167076168,0.4403587020239418,0.8150869681166292,0.20257867290012527,0.08739500472368382,0.4368538994519782
pilot,noctx_sentence,Data2txt,sentence,no-context,ec_ungated_liu,85,11,9,0.6167076167076166,0.4403587020239418,0.8123327308284936,0.2012770990555098,0.08740393887895945,0.4215399593598125
pilot,noctx_sentence,Data2txt,sentence,no-context,ec_upcr,85,11,9,0.6167076167076168,0.4403587020239418,0.8150869681166292,0.20257867290012527,0.08739500472368382,0.4368538994519782
pilot,noctx_sentence,Data2txt,sentence,no-context,likelihood_gap,85,11,9,0.6216216216216217,0.4189229407979408,0.8000348432055749,0.18183688789191776,0.08715014766017681,0.3948216348781094
pilot,noctx_sentence,Data2txt,sentence,no-context,perplexity,85,11,9,0.5921375921375922,0.39737154737154734,0.7326701600180303,0.24513386742445847,0.08356791945158719,0.41354210146560255
pilot,noctx_sentence,QA,sentence,no-context,ec_dufs_liu,77,3,11,0.8738738738738738,0.8139637200487343,0.9789339539007091,0.48148148148148145,0.16666666666666666,0.7161666666666666
pilot,noctx_sentence,QA,sentence,no-context,ec_iu_pcr,77,3,11,0.8738738738738738,0.8139637200487342,0.9789339539007091,0.48148148148148145,0.16666666666666666,0.7161666666666666
pilot,noctx_sentence,QA,sentence,no-context,ec_permuted_liu,77,3,11,0.8738738738738738,0.8139637200487342,0.9789339539007091,0.48148148148148145,0.16666666666666666,0.7161666666666666
pilot,noctx_sentence,QA,sentence,no-context,ec_ungated_liu,77,3,11,0.8738738738738738,0.8139637200487343,0.9789339539007091,0.48148148148148145,0.16666666666666666,0.7161666666666666
pilot,noctx_sentence,QA,sentence,no-context,ec_upcr,77,3,11,0.8738738738738738,0.8139637200487342,0.9789339539007091,0.48148148148148145,0.16666666666666666,0.7161666666666666
pilot,noctx_sentence,QA,sentence,no-context,likelihood_gap,77,3,11,0.9009009009009008,0.764544776119403,0.9584736906810917,0.4588235294117647,0.08028846153846154,0.6666666666666666
pilot,noctx_sentence,QA,sentence,no-context,perplexity,77,3,11,0.6486486486486486,0.5253365384615385,0.921971387987013,0.41369863013698627,0.1,0.5365624999999999
