clean_abstention,exact_error,f1,family,global_fusion,local_fusion,method,model,primary,task,within_one
,,,math,uniform,uniform,global_uniform__local_uniform,qwen3_4b,0.6161645047037453,online,
,,,math,uniform,dufs,global_uniform__local_dufs,qwen3_4b,0.7462329441339937,global,
0.7298578199052133,0.2079207920792079,0.32364273204903676,math,uniform,dufs,global_uniform__local_dufs,qwen3_4b,0.32364273204903676,local,0.40924092409240925
,,,math,uniform,dufs,global_uniform__local_dufs,qwen3_4b,0.6161563347691048,online,
,,,math,uniform,temporal,global_uniform__local_temporal,qwen3_4b,0.7462329441339937,global,
0.7298578199052133,0.2079207920792079,0.32364273204903676,math,uniform,temporal,global_uniform__local_temporal,qwen3_4b,0.32364273204903676,local,0.40924092409240925
,,,math,uniform,temporal,global_uniform__local_temporal,qwen3_4b,0.6159841230076315,online,
,,,math,dufs,ordinary,global_dufs__local_ordinary,qwen3_4b,0.74699014129299,global,
0.7156398104265402,0.2079207920792079,0.32222335128543844,math,dufs,ordinary,global_dufs__local_ordinary,qwen3_4b,0.32222335128543844,local,0.4158415841584158
,,,math,dufs,ordinary,global_dufs__local_ordinary,qwen3_4b,0.6160090649347617,online,
,,,math,dufs,uniform,global_dufs__local_uniform,qwen3_4b,0.74699014129299,global,
0.7156398104265402,0.2079207920792079,0.32222335128543844,math,dufs,uniform,global_dufs__local_uniform,qwen3_4b,0.32222335128543844,local,0.41254125412541254
,,,math,dufs,uniform,global_dufs__local_uniform,qwen3_4b,0.6163801487760924,online,
,,,math,dufs,dufs,global_dufs__local_dufs,qwen3_4b,0.74699014129299,global,
0.7156398104265402,0.2079207920792079,0.32222335128543844,math,dufs,dufs,global_dufs__local_dufs,qwen3_4b,0.32222335128543844,local,0.41254125412541254
,,,math,dufs,dufs,global_dufs__local_dufs,qwen3_4b,0.616388318710733,online,
,,,math,dufs,temporal,global_dufs__local_temporal,qwen3_4b,0.74699014129299,global,
0.7156398104265402,0.2079207920792079,0.32222335128543844,math,dufs,temporal,global_dufs__local_temporal,qwen3_4b,0.32222335128543844,local,0.41254125412541254
,,,math,dufs,temporal,global_dufs__local_temporal,qwen3_4b,0.6161583797781603,online,
