table,comparison,a,b,primary,ci_level,pb_delta,pb_ci_lo,pb_ci_hi,prm_within_delta_common,prm_within_ci_lo,prm_within_ci_hi,common_prm_answers,prm_pooled_delta,prmscore_delta,gained,lost
reference,B2d_sel__iu_minus_entropy,B2d_sel__iu,entropy,False,0.95,-0.006948242444464348,-0.014943179276407976,0.0011861089259719302,0.0034695307696514088,0.0005202827156768583,0.006476127949707262,6030,-0.0025710695010230378,-0.007749694660701856,126,165
reference,B2d_sel__shrink_minus_entropy,B2d_sel__shrink,entropy,False,0.95,-0.007862194807285006,-0.01583688495263003,0.00020108507843841976,0.0012501858219767087,-0.0017280632170421333,0.004198108836568645,6030,-0.0012212043433250663,-0.007812825462316986,122,166
reference,B2_sel__equal_identity_minus_entropy,B2_sel__equal_identity,entropy,False,0.95,-0.013693397313652989,-0.02251386969794468,-0.004646908493265668,-0.006021343932394929,-0.009900691246399038,-0.0021980307956648007,6030,-0.004916139062467573,-0.009851241170235725,132,200
reference,B2_sel__equal_oriented_minus_entropy,B2_sel__equal_oriented,entropy,False,0.95,-0.010669649201441422,-0.01897453195438732,-0.0021839018193838163,-0.0010065346677833715,-0.004525748245847535,0.0024369475867247526,6030,-0.0023079286548480793,-0.007604587782064742,124,182
reference,B2_sel__iu_minus_entropy,B2_sel__iu,entropy,False,0.95,-0.014933577595513225,-0.024126046865543344,-0.005723655894120591,-0.003141992738863157,-0.0071049288598219115,0.0007896369674733145,6030,-0.004189915364502306,-0.009807088918793117,139,212
reference,B2_sel__shrink_minus_entropy,B2_sel__shrink,entropy,False,0.95,-0.013881136904415836,-0.023100975150387684,-0.004738601239249901,-0.00271180331217916,-0.006864678442629377,0.0014064777166978208,6030,-0.0030844667216323174,-0.008915487453918569,143,210
reference,B2d__equal_identity_minus_entropy,B2d__equal_identity,entropy,False,0.95,0.006149181715358776,-0.00565034677829702,0.017812513597429313,0.01629939607869712,0.012084137476007622,0.020489349107802958,6030,-0.003850617550985369,-0.011661346152114782,380,356
reference,B2d__equal_oriented_minus_entropy,B2d__equal_oriented,entropy,False,0.95,-0.007558833150559774,-0.015451202588189302,0.00033314616864782545,0.003939274949783067,0.0011625317138963408,0.006716729096614641,6030,-0.002522652805091896,-0.0074318450384078805,120,164
reference,B2d__iu_minus_entropy,B2d__iu,entropy,False,0.95,-0.007095941736454003,-0.01517244070322791,0.001060430352584598,0.0031194258588156877,0.00015434773714830007,0.006122898706471441,6030,-0.0029721399683063643,-0.008273289382572324,126,166
reference,B2d__shrink_minus_entropy,B2d__shrink,entropy,False,0.95,-0.008505956197680353,-0.01670201431870324,-0.00033667332266260286,0.002569365707302088,-0.00040332292940421923,0.0055544887516280434,6030,-0.003462401061317233,-0.007710178675930712,125,171
reference,B2__equal_identity_minus_entropy,B2__equal_identity,entropy,False,0.95,-0.013755251868236396,-0.022502924578633923,-0.004707919253517999,-0.0058210118896652755,-0.009691839403633194,-0.0019908493517701038,6030,-0.004916936131994509,-0.009629592013360666,130,199
reference,B2__equal_oriented_minus_entropy,B2__equal_oriented,entropy,False,0.95,-0.010844072608141797,-0.019160389414265882,-0.0023708968634918955,-0.001333350608177818,-0.004848193647466009,0.0020839288169234626,6030,-0.002193357533884277,-0.007473700120541493,123,182
reference,B2__iu_minus_entropy,B2__iu,entropy,False,0.95,-0.014721463590091022,-0.02393500543104449,-0.005489733566909929,-0.0030719028638239105,-0.007037955095488319,0.0008607197545985852,6030,-0.0043339072177630555,-0.009807088918793117,140,212
reference,B2__shrink_minus_entropy,B2__shrink,entropy,False,0.95,-0.013970935619570635,-0.02319514553237119,-0.00479901197469263,-0.0031897327002969205,-0.00742366146175631,0.001064758930910538,6030,-0.0036286090578666608,-0.00918728545432157,145,211
reference,B1_hist__equal_minus_B1_hist__raw,B1_hist__equal,B1_hist__raw,False,0.95,-0.003629436471318803,-0.011593864257029128,0.004311742106334828,0.009194047889267691,0.007062932281834473,0.011363522632505157,6030,-0.010149879602718292,-0.01296940577250505,152,166
reference,B1_hist__iu_minus_B1_hist__raw,B1_hist__iu,B1_hist__raw,False,0.95,-0.0061115144018012435,-0.015214418580898769,0.002784368216872046,0.009037441654446692,0.006006795115854371,0.012109494245758478,6030,0.0001235265419170517,-0.0030926375452687838,211,235
reference,B2d_sel__equal_identity_minus_B1_hist__raw,B2d_sel__equal_identity,B1_hist__raw,False,0.95,-0.03157969667859373,-0.04583826369649331,-0.01776244943863795,-0.005657361982345576,-0.00871447758292839,-0.0026043110480351165,6030,-0.026982352118789965,-0.023532223892229975,327,502
reference,B2d_sel__equal_oriented_minus_B1_hist__raw,B2d_sel__equal_oriented,B1_hist__raw,False,0.95,-0.012301488253665394,-0.02427433500037665,-0.00027592087127281824,-0.003428176348414016,-0.007861852660778637,0.0009684464354044661,6030,-0.010688488897163007,-0.007337205525824619,342,405
reference,B2d_sel__iu_minus_B1_hist__raw,B2d_sel__iu,B1_hist__raw,False,0.95,-0.012114348927177221,-0.02402328605381124,-0.00011122106012343576,-0.004205410519503338,-0.008704103919830961,0.0002131753248645388,6030,-0.01004491178558975,-0.008105383924996712,344,403
reference,B2d_sel__shrink_minus_B1_hist__raw,B2d_sel__shrink,B1_hist__raw,False,0.95,-0.013028301289997879,-0.02499567934244063,-0.000880781519870939,-0.0064247554671780375,-0.010970793560725276,-0.001805200278617233,6030,-0.008695046627891778,-0.008168514726611842,342,406
reference,B2_sel__equal_identity_minus_B1_hist__raw,B2_sel__equal_identity,B1_hist__raw,False,0.95,-0.018859503796365862,-0.03170497069347986,-0.0060508960078393586,-0.013696285221549675,-0.019119664538514755,-0.008259262082106152,6030,-0.012389981347034285,-0.010206930434530581,356,444
reference,B2_sel__equal_oriented_minus_B1_hist__raw,B2_sel__equal_oriented,B1_hist__raw,False,0.95,-0.015835755684154296,-0.028249446514230694,-0.003225328869833715,-0.008681475956938117,-0.01362827457038442,-0.0037320792335468595,6030,-0.009781770939414791,-0.007960277046359598,348,426
reference,B2_sel__iu_minus_B1_hist__raw,B2_sel__iu,B1_hist__raw,False,0.95,-0.0200996840782261,-0.03310524860987317,-0.007212363858873644,-0.010816934028017903,-0.016127480320794554,-0.005586100525233324,6030,-0.011663757649069018,-0.010162778183087973,352,445
reference,B2_sel__shrink_minus_B1_hist__raw,B2_sel__shrink,B1_hist__raw,False,0.95,-0.01904724338712871,-0.031936112248858534,-0.006240536875682244,-0.010386744601333904,-0.015683820834496712,-0.005081483357328104,6030,-0.01055830900619903,-0.009271176718213425,352,439
reference,B2d__equal_identity_minus_B1_hist__raw,B2d__equal_identity,B1_hist__raw,False,0.95,0.0009830752326459025,-0.007386250811341482,0.009581655671501915,0.00862445478954237,0.006013957683669646,0.011246437496523582,6030,-0.011324459835552081,-0.012017035416409638,203,199
reference,B2d__equal_oriented_minus_B1_hist__raw,B2d__equal_oriented,B1_hist__raw,False,0.95,-0.012724939633272647,-0.02471092408336109,-0.0006350369907166349,-0.003735666339371679,-0.008144944884693686,0.0006321881243898494,6030,-0.009996495089658608,-0.007787534302702737,343,407
reference,B2d__iu_minus_B1_hist__raw,B2d__iu,B1_hist__raw,False,0.95,-0.012262048219166877,-0.02420989912671414,-0.00021820606082409894,-0.004555515430339058,-0.009036070685627604,-0.00012884042933218536,6030,-0.010445982252873076,-0.00862897864686718,344,404
reference,B2d__shrink_minus_B1_hist__raw,B2d__shrink,B1_hist__raw,False,0.95,-0.013672062680393227,-0.025647991249851634,-0.0015790079646111996,-0.005105575581852658,-0.009589272927662904,-0.0006086497124380062,6030,-0.010936243345883945,-0.008065867940225568,340,406
reference,B2__equal_identity_minus_B1_hist__raw,B2__equal_identity,B1_hist__raw,False,0.95,-0.01892135835094927,-0.031712372719494605,-0.006156321818863918,-0.013495953178820023,-0.01888367797173887,-0.008155594999705027,6030,-0.012390778416561221,-0.009985281277655522,356,445
reference,B2__equal_oriented_minus_B1_hist__raw,B2__equal_oriented,B1_hist__raw,False,0.95,-0.01601017909085467,-0.028399352385808083,-0.0033775263740006153,-0.009008291897332562,-0.013965713854997956,-0.00403117573048485,6030,-0.009667199818450989,-0.00782938938483635,348,427
reference,B2__iu_minus_B1_hist__raw,B2__iu,B1_hist__raw,False,0.95,-0.019887570072803895,-0.032878387159515084,-0.007029482535242463,-0.010746844152978654,-0.016026134140033333,-0.005530550251074223,6030,-0.011807749502329767,-0.010162778183087973,353,445
reference,B2__shrink_minus_B1_hist__raw,B2__shrink,B1_hist__raw,False,0.95,-0.019137042102283508,-0.032090444211645384,-0.0063420293082514225,-0.010864673989451666,-0.016222991347600885,-0.005569214910567826,6030,-0.011102451342433373,-0.009542974718616426,352,438
