partition,world_seed,lambda,oracle_delta_vs_iu_pp,uniform_delta_vs_iu_pp,oracle_score_spearman_vs_iu,projected_roughness_orientation_change,oracle_target_energy,agreement_Y_target_energy,agreement_alpha_target_energy,dufs_effective_feature_count
heldout,6002,1.0,0.9703156574454863,0.4982231203400578,0.9928879899652342,0.1202572956538756,0.014528468748597924,0.8017667456276735,0.3257536586128028,7.6518209514320725
heldout,6002,3.0,1.4197616890809006,0.6410703086892844,0.9858550818362926,0.1202572956538756,0.014528468748597924,0.8017667456276735,0.3257536586128028,7.6518209514320725
heldout,6002,10.0,1.5957076161939865,0.7333983694515989,0.9806065781535508,0.1202572956538756,0.014528468748597924,0.8017667456276735,0.3257536586128028,7.6518209514320725
heldout,6002,30.0,1.6235802383109066,0.7717232248623751,0.9785677238182456,0.1202572956538756,0.014528468748597924,0.8017667456276735,0.3257536586128028,7.6518209514320725
heldout,6002,100.0,1.6462267437809208,0.8030799247439102,0.9778007934062214,0.1202572956538756,0.014528468748597924,0.8017667456276735,0.3257536586128028,7.6518209514320725
heldout,6003,0.3,0.22461736692728218,0.06616635614912214,0.9992003003485258,0.10276948675204628,0.016130177498921355,0.8899885143745532,0.32999221926378175,7.625347181976088
heldout,6003,1.0,0.5206247496996497,0.1863105291567413,0.99728167222948,0.10276948675204628,0.016130177498921355,0.8899885143745532,0.32999221926378175,7.625347181976088
heldout,6003,3.0,0.7992199334854067,0.2768539638871137,0.9946715263521108,0.10276948675204628,0.016130177498921355,0.8899885143745532,0.32999221926378175,7.625347181976088
heldout,6003,10.0,0.9002106876077609,0.3308317807455885,0.9927738401642366,0.10276948675204628,0.016130177498921355,0.8899885143745532,0.32999221926378175,7.625347181976088
heldout,6003,30.0,0.9123992268983749,0.36043251902283524,0.9921134640341319,0.10276948675204628,0.016130177498921355,0.8899885143745532,0.32999221926378175,7.625347181976088
heldout,6003,100.0,0.9193641064930147,0.3673973986174861,0.9918507675814564,0.10276948675204628,0.016130177498921355,0.8899885143745532,0.32999221926378175,7.625347181976088
