version,cell,group,representation,prior_strength,n_splits,n_coordinates,mean_iu_auroc,mean_head_auroc,mean_delta_pp
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama3b,gsm8k,family,10.0,30,6,0.6953104349720426,0.6968010069469659,0.14905719749231605
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,atomic,0.3,30,29,0.8215381400208988,0.8262486938349008,0.4710553814002094
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,atomic,1.0,30,29,0.8215381400208988,0.8257972831765934,0.425914315569487
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,atomic,3.0,30,29,0.8215381400208988,0.8241170323928944,0.25788923719958295
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,atomic,10.0,30,29,0.8215381400208988,0.8224618599791015,0.09237199582027178
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,family,0.3,30,6,0.8215381400208988,0.8256969696969695,0.4158829676071055
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,family,1.0,30,6,0.8215381400208988,0.8244723092998957,0.29341692789968715
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,family,3.0,30,6,0.8215381400208988,0.822971786833856,0.14336468129571567
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_llama8b,gsm8k,family,10.0,30,6,0.8215381400208988,0.8220438871473356,0.05057471264367878
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,atomic,0.3,30,30,0.8445138367142502,0.8653956924618083,2.08818557475582
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,atomic,1.0,30,30,0.8445138367142502,0.8569355747558227,1.2421738041572732
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,atomic,3.0,30,30,0.8445138367142502,0.8500532181317306,0.5539381417480574
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,atomic,10.0,30,30,0.8445138367142502,0.8464594290007511,0.1945592286501363
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,family,0.3,30,6,0.8445138367142502,0.8475817054845981,0.30678687703480995
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,family,1.0,30,6,0.8445138367142502,0.8463874279989982,0.18735912847482772
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,family,3.0,30,6,0.8445138367142502,0.8455468945654897,0.10330578512396493
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_mistral24b,gsm8k,family,10.0,30,6,0.8445138367142502,0.8449192336589031,0.04053969446531358
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,atomic,0.3,30,29,0.7967258582783696,0.814109589041096,1.738373076272619
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,atomic,1.0,30,29,0.7967258582783696,0.8089277862337223,1.2201927955352616
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,atomic,3.0,30,29,0.7967258582783696,0.802859800439709,0.6133942161339427
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,atomic,10.0,30,29,0.7967258582783696,0.7987823439878237,0.20564857094537556
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,family,0.3,30,6,0.7967258582783696,0.8090360223236934,1.231016404532388
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,family,1.0,30,6,0.7967258582783696,0.8021275156434974,0.540165736512768
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,family,3.0,30,6,0.7967258582783696,0.7985007610350076,0.17749027566378972
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_nemo,gsm8k,family,10.0,30,6,0.7967258582783696,0.7971478099103669,0.042195163199730455
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,atomic,0.3,30,29,0.8117485119047618,0.8158184523809523,0.4069940476190444
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,atomic,1.0,30,29,0.8117485119047618,0.8158398437500001,0.4091331845238096
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,atomic,3.0,30,29,0.8117485119047618,0.8152743675595239,0.3525855654761867
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,atomic,10.0,30,29,0.8117485119047618,0.8139694940476192,0.22209821428571383
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,family,0.3,30,6,0.8117485119047618,0.8172637648809524,0.5515252976190466
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,family,1.0,30,6,0.8117485119047618,0.8156054687500001,0.38569568452380687
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,family,3.0,30,6,0.8117485119047618,0.814047619047619,0.22991071428571414
atomic-contribution-supervised-ceiling-v1-2026-08-13,lapeigvals_gsm8k_phi35,gsm8k,family,10.0,30,6,0.8117485119047618,0.8126255580357143,0.08770461309523674
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,atomic,0.3,30,29,0.575958110516934,0.5869169637551991,1.0958853238265025
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,atomic,1.0,30,29,0.575958110516934,0.5826128936423055,0.6654783125371366
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,atomic,3.0,30,29,0.575958110516934,0.5791332442067737,0.3175133689839564
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,atomic,10.0,30,29,0.575958110516934,0.5770127748068924,0.10546642899584328
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,family,0.3,30,6,0.575958110516934,0.5768939393939393,0.09358288770053569
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,family,1.0,30,6,0.575958110516934,0.5761772133095662,0.021910279263220495
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,family,3.0,30,6,0.575958110516934,0.5761029411764705,0.014483065953655635
atomic-contribution-supervised-ceiling-v1-2026-08-13,losnet_hotpotqa_mistral7b,hotpotqa,family,10.0,30,6,0.575958110516934,0.5758652703505646,-0.009284016636956402
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,atomic,0.3,30,30,0.7752726729418796,0.765546092932915,-0.9726580008964595
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,atomic,1.0,30,30,0.7752726729418796,0.7762886597938145,0.10159868519348432
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,atomic,3.0,30,30,0.7752726729418796,0.7779620499028836,0.2689376961004016
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,atomic,10.0,30,30,0.7752726729418796,0.7769610040340654,0.1688331092185861
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,family,0.3,30,6,0.7752726729418796,0.7754669057223965,0.019423278051694897
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,family,1.0,30,6,0.7752726729418796,0.7779620499028836,0.26893769610040236
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,family,3.0,30,6,0.7752726729418796,0.776931122067832,0.16584491259524806
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_dsmath7b,math500,family,10.0,30,6,0.7752726729418796,0.7763334827431644,0.10608098012849158
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,atomic,0.3,30,28,0.9291251825302003,0.9396256471525287,1.050046462232842
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,atomic,1.0,30,28,0.9291251825302003,0.938802601885039,0.9677419354838704
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,atomic,3.0,30,28,0.9291251825302003,0.9341165538298154,0.49913712996150217
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,atomic,10.0,30,28,0.9291251825302003,0.9303995752024427,0.12743926722421342
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,family,0.3,30,5,0.9291251825302003,0.9301606265763971,0.10354440461967317
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,family,1.0,30,5,0.9291251825302003,0.9322182397451215,0.30930572149210095
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,family,3.0,30,5,0.9291251825302003,0.9309836718438868,0.18584893136864436
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_qwenmath7b,math500,family,10.0,30,5,0.9291251825302003,0.9298951281030134,0.07699455728129652
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,atomic,0.3,30,28,0.8512083903328774,0.8683082535339716,1.709986320109435
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,atomic,1.0,30,28,0.8512083903328774,0.8671340629274965,1.592567259461924
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,atomic,3.0,30,28,0.8512083903328774,0.8607045143638852,0.9496124031007724
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,atomic,10.0,30,28,0.8512083903328774,0.8545713634290927,0.33629730962151977
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,family,0.3,30,5,0.8512083903328774,0.8504559963520293,-0.0752393980848165
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,family,1.0,30,5,0.8512083903328774,0.8507067943456452,-0.05015959872321137
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,family,3.0,30,5,0.8512083903328774,0.8509005927952576,-0.030779753761970282
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b,math500,family,10.0,30,5,0.8512083903328774,0.8511513907888736,-0.0056999544003662654
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,atomic,0.3,30,29,0.8266394637132032,0.8451277567278735,1.8488293014670174
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,atomic,1.0,30,29,0.8266394637132032,0.8446517050422618,1.801224132905856
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,atomic,3.0,30,29,0.8266394637132032,0.8402700864665307,1.3630622753327486
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,atomic,10.0,30,29,0.8266394637132032,0.8333916253764694,0.6752161663266284
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,family,0.3,30,5,0.8266394637132032,0.8421937238900222,1.555426017681919
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,family,1.0,30,5,0.8266394637132032,0.836772563878364,1.0133100165160769
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,family,3.0,30,5,0.8266394637132032,0.8311085203536382,0.4469056640435235
atomic-contribution-supervised-ceiling-v1-2026-08-13,math500_r1distill8b_mn4096,math500,family,10.0,30,5,0.8266394637132032,0.8288254153308076,0.21859516176041832
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,atomic,0.3,30,29,0.7862873950785565,0.8223813281679698,3.609393308941336
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,atomic,1.0,30,29,0.7862873950785565,0.8083650190114066,2.2077623932850248
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,atomic,3.0,30,29,0.7862873950785565,0.7963498098859316,1.0062414807374975
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,atomic,10.0,30,29,0.7862873950785565,0.7896357940550495,0.33483989764927946
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,family,0.3,30,6,0.7862873950785565,0.8025903340746584,1.6302938996102065
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,family,1.0,30,6,0.7862873950785565,0.7935700791544107,0.7282684075854307
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,family,3.0,30,6,0.7862873950785565,0.7891211708156969,0.2833775737140383
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_mistral7b,gsm8k,family,10.0,30,6,0.7862873950785565,0.7871722026926847,0.08848076141282395
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,atomic,0.3,30,29,0.677512273057371,0.6984139433551196,2.090167029774874
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,atomic,1.0,30,29,0.677512273057371,0.6905452432824982,1.303297022512709
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,atomic,3.0,30,29,0.677512273057371,0.6844264342774145,0.6914161220043602
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,atomic,10.0,30,29,0.677512273057371,0.6803747276688452,0.2862454611474234
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,family,0.3,30,6,0.677512273057371,0.6865167755991286,0.9004502541757461
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,family,1.0,30,6,0.677512273057371,0.6820368917937546,0.4524618736383475
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,family,3.0,30,6,0.677512273057371,0.6796142338416848,0.21019607843137314
atomic-contribution-supervised-ceiling-v1-2026-08-13,noise_gsm8k_phi3mini,gsm8k,family,10.0,30,6,0.677512273057371,0.6781710965867828,0.06588235294117968
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,atomic,0.3,30,30,0.7349406009783368,0.7233636151875146,-1.157698579082227
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,atomic,1.0,30,30,0.7349406009783368,0.7342184952247844,-0.07221057535522972
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,atomic,3.0,30,30,0.7349406009783368,0.7354996505939903,0.055904961565342116
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,atomic,10.0,30,30,0.7349406009783368,0.7347775448404378,-0.016305613789887968
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,family,0.3,30,6,0.7349406009783368,0.7325646401118099,-0.23759608665268828
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,family,1.0,30,6,0.7349406009783368,0.7344747262986256,-0.04658746797111387
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,family,3.0,30,6,0.7349406009783368,0.7351502445842069,0.02096436058700431
atomic-contribution-supervised-ceiling-v1-2026-08-13,sciq_llama8b,sciq,family,10.0,30,6,0.7349406009783368,0.7355229443279757,0.058234334963896225
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,atomic,0.3,30,27,0.7402603071963335,0.7578694646322404,1.7609157435906766
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,atomic,1.0,30,27,0.7402603071963335,0.7537965331218917,1.3536225925558178
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,atomic,3.0,30,27,0.7402603071963335,0.7486129737334131,0.8352666537079426
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,atomic,10.0,30,27,0.7402603071963335,0.7437802787803698,0.35199715840361745
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,family,0.3,30,6,0.7402603071963335,0.7508170405351673,1.0556733338833812
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,family,1.0,30,6,0.7402603071963335,0.7470032135770133,0.674290638067977
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,family,3.0,30,6,0.7402603071963335,0.7435087049527029,0.32483977563694516
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_nq_open_llama8b,nq_open,family,10.0,30,6,0.7402603071963335,0.7413683479911414,0.11080407948079406
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,atomic,0.3,30,27,0.8105250197005517,0.8354842972188589,2.4959277518307115
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,atomic,1.0,30,27,0.8105250197005517,0.8289988516019913,1.8473831901439592
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,atomic,3.0,30,27,0.8105250197005517,0.8201141430740547,0.9589123373503239
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,atomic,10.0,30,27,0.8105250197005517,0.8138563349285977,0.33313152280458946
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,family,0.3,30,6,0.8105250197005517,0.8251592861673296,1.4634266466778163
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,family,1.0,30,6,0.8105250197005517,0.8190211228353417,0.8496103134790218
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,family,3.0,30,6,0.8105250197005517,0.8141258961348478,0.36008764342962557
atomic-contribution-supervised-ceiling-v1-2026-08-13,se_squad_v2_llama8b,squad_v2,family,10.0,30,6,0.8105250197005517,0.8116785830978875,0.11535633973360991
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,atomic,0.3,30,19,0.825588148594781,0.8354716108933775,0.9883462298596454
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,atomic,1.0,30,19,0.825588148594781,0.8329471409908553,0.7358992396074097
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,atomic,3.0,30,19,0.825588148594781,0.8301991759622148,0.46110273674337876
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,atomic,10.0,30,19,0.825588148594781,0.8277615315043715,0.21733829095903376
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,family,0.3,30,6,0.825588148594781,0.8302581650085419,0.467001641376075
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,family,1.0,30,6,0.825588148594781,0.8287197936555791,0.31316450607979124
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,family,3.0,30,6,0.825588148594781,0.8272272803403342,0.1639131745553198
atomic-contribution-supervised-ceiling-v1-2026-08-13,seiclr_triviaqa_opt30b,triviaqa,family,10.0,30,6,0.825588148594781,0.826054433390279,0.04662847954979547
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,atomic,0.3,30,27,0.8057569233619263,0.8214343528254829,1.5677429463556831
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,atomic,1.0,30,27,0.8057569233619263,0.8173237054215652,1.1566782059638974
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,atomic,3.0,30,27,0.8057569233619263,0.8126248828107756,0.6867959448849192
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,atomic,10.0,30,27,0.8057569233619263,0.8084406539916186,0.26837306296924157
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,family,0.3,30,6,0.8057569233619263,0.8115244078210984,0.5767484459172223
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,family,1.0,30,6,0.8057569233619263,0.8090538901628573,0.3296966800931063
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,family,3.0,30,6,0.8057569233619263,0.8070600502258085,0.1303126863882135
atomic-contribution-supervised-ceiling-v1-2026-08-13,semenergy_triviaqa_qwen3_8b,triviaqa,family,10.0,30,6,0.8057569233619263,0.8062069386408905,0.045001527896441816
atomic-contribution-supervised-ceiling-v1-2026-08-13,trace_gsm8k_llama8b_k10,gsm8k,atomic,0.3,30,29,0.8170364051520642,0.8242704301850021,0.7234025032938056
atomic-contribution-supervised-ceiling-v1-2026-08-13,trace_gsm8k_llama8b_k10,gsm8k,atomic,1.0,30,29,0.8170364051520642,0.8213461465881642,0.43097414361001113
atomic-contribution-supervised-ceiling-v1-2026-08-13,trace_gsm8k_llama8b_k10,gsm8k,atomic,3.0,30,29,0.8170364051520642,0.8191778947765701,0.21414896245059173
