world,method,baseline,auc,delta,ci95,wins,worst
null,population_static_group,static_group,0.9657889236035494,5.1803397696376094e-05,"[8.790658149634424e-06, 0.00011387721571521763]",11,-3.9186488498765826e-05
null,population_context_group,population_static_group,0.9657889236035494,0.0,"[0.0, 0.0]",0,0.0
null,population_static_minvar,static_full,0.9658163249109837,9.296457229834298e-05,"[-2.888500810631411e-05, 0.00021263015196118485]",12,-0.0004996277283593198
null,population_context_minvar,population_static_minvar,0.9658163249109837,0.0,"[0.0, 0.0]",0,0.0
null,population_static_vertex,static_full,0.9573946864734226,-0.008328673865263198,"[-0.009753309789561003, -0.006956842665034426]",0,-0.014743984591167214
null,population_context_vertex,population_static_vertex,0.9573946864734226,0.0,"[0.0, 0.0]",0,0.0
null,oracle_rho_context,oracle_rho_static,0.9658163249109837,0.0,"[0.0, 0.0]",0,0.0
null,oracle_rho_static,static_full,0.9658163249109837,9.296457229834298e-05,"[-2.888500810631411e-05, 0.00021263015196118485]",12,-0.0004996277283593198
null,population_native_static,static_full,0.9654391196272286,-0.0002842407114571399,"[-0.00048126289158659377, -0.00010655010574434744]",5,-0.0012610837438424838
null,population_native_context,population_native_static,0.9654391196272286,0.0,"[0.0, 0.0]",0,0.0
null,oracle_full,static_full,0.9657067617523438,-1.659858634176503e-05,"[-6.349299193403324e-05, 1.9579585849915926e-05]",1,-0.0003711263685284294
null,oracle_group,static_group,0.965749344433586,1.222422773308196e-05,"[1.4648580552500955e-06, 2.4934412951488348e-05]",4,0.0
null,dsp_full,static_full,0.9657233603386857,0.0,"[0.0, 0.0]",0,0.0
null,dsp_group,static_group,0.9657371202058529,0.0,"[0.0, 0.0]",0,0.0
null,random_full,static_full,0.9656983197745032,-2.5040564182648994e-05,"[-5.597845658099621e-05, 0.0]",0,-0.00022660098522175876
null,random_group,static_group,0.9657282960774622,-8.824128390672037e-06,"[-2.2531498472505573e-05, 0.0]",0,-9.766483382322999e-05
null,linear_full,static_full,0.9657233603386857,0.0,"[0.0, 0.0]",0,0.0
null,linear_group,static_group,0.9657371202058529,0.0,"[0.0, 0.0]",0,0.0
null,history_square_only_full,static_full,0.9657233603386857,0.0,"[0.0, 0.0]",0,0.0
null,history_square_only_group,static_group,0.9657371202058529,0.0,"[0.0, 0.0]",0,0.0
null,second_moment_full,static_full,0.9657233603386857,0.0,"[0.0, 0.0]",0,0.0
null,second_moment_group,static_group,0.9657371202058529,0.0,"[0.0, 0.0]",0,0.0
null,energy_full,static_full,0.9656740336447006,-4.932669398491352e-05,"[-9.915562216320601e-05, -7.326007326002859e-06]",0,-0.00033211233211227764
null,energy_group,static_group,0.9657224687254358,-1.4651480417016138e-05,"[-3.076869653422243e-05, -2.442002441999103e-06]",0,-0.00012698412698408656
coherent_nuisance,equal,static_full,0.7396968058288802,0.00016862964320464303,"[-1.0587943746374615e-05, 0.0003425140229886068]",14,-0.0004898311062346838
coherent_nuisance,static_full,static_full,0.7395281761856755,0.0,"[0.0, 0.0]",0,0.0
coherent_nuisance,static_group,static_group,0.7396179201384778,0.0,"[0.0, 0.0]",0,0.0
coherent_nuisance,static_minvar,static_full,0.7394734682960404,-5.470788963502504e-05,"[-0.0004500184844966189, 0.00031096568597350864]",6,-0.0025373251302951427
coherent_nuisance,static_vertex,static_full,0.7356399882847816,-0.0038881879008939415,"[-0.006363698349216293, -0.001132850241358449]",4,-0.01191510972644072
coherent_nuisance,population_static_full,static_full,0.7396021979260832,7.402174040769815e-05,"[-7.706048910123497e-05, 0.0002323025380517107]",10,-0.0004702378619851899
coherent_nuisance,population_context_full,population_static_full,0.7360935079823312,-0.0035086899437518524,"[-0.0036409603245999354, -0.003381722703008349]",0,-0.004122100122100014
coherent_nuisance,population_static_group,static_group,0.7396159432686858,-1.9768697918698396e-06,"[-3.2250875986442744e-05, 2.7373096734478602e-05]",8,-0.00017582417582417964
coherent_nuisance,population_context_group,population_static_group,0.7360881387270288,-0.0035278045416572367,"[-0.003620894430585487, -0.0034340525963587054]",0,-0.003972447262337919
coherent_nuisance,population_static_minvar,static_full,0.7396968058288802,0.00016862964320464303,"[-1.0587943746374615e-05, 0.0003425140229886068]",14,-0.0004898311062346838
coherent_nuisance,population_context_minvar,population_static_minvar,0.7728538240712126,0.033157018242332595,"[0.03225919002354708, 0.03403369737629152]",20,0.028342334775517397
coherent_nuisance,population_static_vertex,static_full,0.7346068477150165,-0.00492132847065892,"[-0.006801994920540017, -0.003104450474062221]",2,-0.01191510972644072
coherent_nuisance,population_context_vertex,population_static_vertex,0.6587236270666751,-0.07588322064834142,"[-0.07810518170681804, -0.07374018471056146]",0,-0.08679699424680043
coherent_nuisance,oracle_rho_context,oracle_rho_static,0.819271048072362,0.07957424224348195,"[0.07712685497985346, 0.08198462698644586]",20,0.06596282876424686
coherent_nuisance,oracle_rho_static,static_full,0.7396968058288802,0.00016862964320464303,"[-1.0587943746374615e-05, 0.0003425140229886068]",14,-0.0004898311062346838
coherent_nuisance,population_native_static,static_full,0.7384494124568992,-0.001078763728776333,"[-0.002028365612652843, -0.00011782976837166897]",8,-0.004815628815628692
coherent_nuisance,population_native_context,population_native_static,0.5058534337439692,-0.23259597871293,"[-0.23961905936195732, -0.2248372353819466]",0,-0.2580360296714942
coherent_nuisance,oracle_full,static_full,0.7365197033673874,-0.003008472818287916,"[-0.0037994139484405277, -0.0022374468198286973]",0,-0.006945054945054818
coherent_nuisance,oracle_group,static_group,0.7359252168288886,-0.0036927033095893345,"[-0.004094815376796295, -0.003348609019465145]",0,-0.006134310134310206
coherent_nuisance,dsp_full,static_full,0.7365124742888196,-0.003015701896855699,"[-0.0035513970859331594, -0.0025089148839192894]",0,-0.0054700854700854284
coherent_nuisance,dsp_group,static_group,0.7357869910501037,-0.003830929088374219,"[-0.004101489529680492, -0.003590041273678219]",0,-0.005118437118437069
coherent_nuisance,random_full,static_full,0.7394567883409371,-7.138784473831317e-05,"[-0.00017652070325005487, 0.0]",0,-0.0009092775643093631
coherent_nuisance,random_group,static_group,0.7396272226413799,9.30250290212542e-06,"[-9.765720368370978e-07, 2.6439213328371958e-05]",2,-9.765720368370978e-06
coherent_nuisance,linear_full,static_full,0.7395281761856755,0.0,"[0.0, 0.0]",0,0.0
coherent_nuisance,linear_group,static_group,0.7396179201384778,0.0,"[0.0, 0.0]",0,0.0
coherent_nuisance,history_square_only_full,static_full,0.7395281761856755,0.0,"[0.0, 0.0]",0,0.0
coherent_nuisance,history_square_only_group,static_group,0.7396179201384778,0.0,"[0.0, 0.0]",0,0.0
coherent_nuisance,second_moment_full,static_full,0.7394105033586815,-0.0001176728269937255,"[-0.0002625903012819425, 2.6050043821489856e-05]",3,-0.0008314503428509257
coherent_nuisance,second_moment_group,static_group,0.7394299280920632,-0.00018799204641465895,"[-0.000273193997644536, -0.000105870399829072]",0,-0.0005401477058454285
coherent_nuisance,energy_full,static_full,0.7372467182402622,-0.0022814579454133455,"[-0.002678566400094563, -0.001883751908977112]",0,-0.003798865223293313
coherent_nuisance,energy_group,static_group,0.737298740850939,-0.0023191792875388805,"[-0.002465583412951426, -0.0021717233284022004]",0,-0.0029694749694749722
