cell,rep,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_keepset,auroc_random_prune,floor_keep_at_k,k_exceeds_keepset
seiclr_triviaqa_opt30b,4,19,9,13,0.8155412116787666,0.8338203445483958,0.8155412116787666,0.8080303237517008,0.8096903995546592,0
semenergy_triviaqa_qwen3_8b,0,27,15,20,0.8074671840754071,0.818881490880754,0.8117411174800557,0.8044468160855915,0.8023306630240029,0
semenergy_triviaqa_qwen3_8b,1,27,13,20,0.813596096388861,0.8273194700155901,0.817474152515302,0.8090735893093758,0.8051887959523516,0
semenergy_triviaqa_qwen3_8b,2,27,15,21,0.8184570765274298,0.830930350465809,0.8186321926878163,0.8112043989179489,0.7972358331026248,0
semenergy_triviaqa_qwen3_8b,3,27,16,20,0.8133888497901949,0.8266394340574705,0.8179235605778935,0.8100105898443724,0.8106174974770276,0
semenergy_triviaqa_qwen3_8b,4,27,14,21,0.8283393141945774,0.8388041600212652,0.8283393141945774,0.8149373338649656,0.8164792331206806,0
trace_gsm8k_llama8b_k10,0,29,11,21,0.8148068283917341,0.8242570885308929,0.8128535907561796,0.8079032156961072,0.8068692450740719,0
trace_gsm8k_llama8b_k10,1,29,10,21,0.8119610521610356,0.818800315325327,0.8103003498712643,0.8035810235420158,0.8033642248932198,0
trace_gsm8k_llama8b_k10,2,29,12,21,0.8134763651303256,0.8222878792396817,0.8122910599328743,0.8102046908598142,0.8107944443892242,0
trace_gsm8k_llama8b_k10,3,29,13,22,0.8046172226386806,0.814212592364532,0.8046172226386806,0.8036097464660525,0.8030062981901906,0
trace_gsm8k_llama8b_k10,4,29,6,21,0.8216777020471985,0.8308417523958987,0.8202822408814897,0.8072323628297943,0.8073339108602815,0
trace_math500_qwenmath15b_k10,0,30,5,24,0.6653524192974807,0.692620732948027,0.6647432269875286,0.6521505725480009,0.6594544481861839,0
trace_math500_qwenmath15b_k10,1,30,4,23,0.6709812823411685,0.7106422922859394,0.6714919517904425,0.6625171576079417,0.6647684719176081,0
trace_math500_qwenmath15b_k10,2,30,7,23,0.6984820217096336,0.7263065758867997,0.6982518414421399,0.6912443060670672,0.6893900222911418,0
trace_math500_qwenmath15b_k10,3,30,3,23,0.6702986784813993,0.7163486364678022,0.6702986784813993,0.661450584370942,0.6673494767397449,0
trace_math500_qwenmath15b_k10,4,30,9,24,0.6799202116076432,0.7092224115954484,0.6807331937713953,0.6804654903589027,0.6759626144344983,0
truthfulqa_llama8b,0,29,9,22,0.6516844101783842,0.6791286475039706,0.6516844101783842,0.6458850623803444,0.6363177134078072,0
truthfulqa_llama8b,1,29,3,22,0.6610684519626758,0.7034600047414827,0.6610684519626758,0.634701833136718,0.6351906317386904,0
truthfulqa_llama8b,2,29,8,22,0.6537649286338479,0.6845393060005827,0.6537649286338479,0.6449339134867463,0.6449576718613457,0
truthfulqa_llama8b,3,29,4,22,0.6355915772065637,0.6658241021912379,0.6355915772065637,0.6158622243131888,0.6224804185734856,0
truthfulqa_llama8b,4,29,7,22,0.6657306222857856,0.6970653848273781,0.6657306222857856,0.6494245357732374,0.655609536048829,0
