version,cell,family,contribution_family,budget,prior_strength,n_splits,mean_delta,std_delta,positive_fraction,mean_delta_norm,mean_cosine_to_cell_mean
harp-contribution-subspace-poc-v1-2026-08-12,seiclr_triviaqa_opt30b,triviaqa,entropy_dynamics,all,0.3,30,0.10637025578232909,0.007381696535058414,1.0,0.15068823448239962,0.9938633599557403
harp-contribution-subspace-poc-v1-2026-08-12,seiclr_triviaqa_opt30b,triviaqa,sampled_token_energy,all,0.3,30,-0.04915906154063194,0.007134007591054113,0.0,0.15068823448239962,0.9938633599557403
harp-contribution-subspace-poc-v1-2026-08-12,seiclr_triviaqa_opt30b,triviaqa,partition_energy,all,0.3,30,0.058484868782126234,0.008565604025976649,1.0,0.15068823448239962,0.9938633599557403
harp-contribution-subspace-poc-v1-2026-08-12,seiclr_triviaqa_opt30b,triviaqa,topk_distribution,all,0.3,30,-0.06469187792095604,0.007510746289285899,0.0,0.15068823448239962,0.9938633599557403
harp-contribution-subspace-poc-v1-2026-08-12,seiclr_triviaqa_opt30b,triviaqa,structural,all,0.3,30,0.023483461278331164,0.00929330393335962,1.0,0.15068823448239962,0.9938633599557403
harp-contribution-subspace-poc-v1-2026-08-12,semenergy_triviaqa_qwen3_8b,triviaqa,entropy_level,all,0.3,30,0.04746988523032114,0.007027421149219999,1.0,0.10034977590849667,0.9871337918503221
harp-contribution-subspace-poc-v1-2026-08-12,semenergy_triviaqa_qwen3_8b,triviaqa,entropy_dynamics,all,0.3,30,-0.02289279738160962,0.008001394973112962,0.0,0.10034977590849667,0.9871337918503221
harp-contribution-subspace-poc-v1-2026-08-12,semenergy_triviaqa_qwen3_8b,triviaqa,sampled_token_energy,all,0.3,30,-0.05857347651796793,0.009201860209414346,0.0,0.10034977590849667,0.9871337918503221
harp-contribution-subspace-poc-v1-2026-08-12,semenergy_triviaqa_qwen3_8b,triviaqa,partition_energy,all,0.3,30,0.049540923073522314,0.008864144020029885,1.0,0.10034977590849667,0.9871337918503221
harp-contribution-subspace-poc-v1-2026-08-12,semenergy_triviaqa_qwen3_8b,triviaqa,topk_distribution,all,0.3,30,0.028780816253760125,0.006436768578855653,1.0,0.10034977590849667,0.9871337918503221
harp-contribution-subspace-poc-v1-2026-08-12,semenergy_triviaqa_qwen3_8b,triviaqa,structural,all,0.3,30,-0.02406484478528603,0.007402843159696412,0.0,0.10034977590849667,0.9871337918503221
harp-contribution-subspace-poc-v1-2026-08-12,truthfulqa_llama8b,truthfulqa,entropy_level,all,0.3,30,-0.03676257584220337,0.008996106781205169,0.0,0.13837873085583774,0.9885178028547134
harp-contribution-subspace-poc-v1-2026-08-12,truthfulqa_llama8b,truthfulqa,entropy_dynamics,all,0.3,30,-0.013122472465317012,0.006680367068308341,0.0,0.13837873085583774,0.9885178028547134
harp-contribution-subspace-poc-v1-2026-08-12,truthfulqa_llama8b,truthfulqa,sampled_token_energy,all,0.3,30,-0.0009253170166769349,0.011727454105313704,0.43333333333333335,0.13837873085583774,0.9885178028547134
harp-contribution-subspace-poc-v1-2026-08-12,truthfulqa_llama8b,truthfulqa,partition_energy,all,0.3,30,0.0727355897485244,0.012033754236757618,1.0,0.13837873085583774,0.9885178028547134
harp-contribution-subspace-poc-v1-2026-08-12,truthfulqa_llama8b,truthfulqa,topk_distribution,all,0.3,30,-0.036129254945368366,0.00655997968084513,0.0,0.13837873085583774,0.9885178028547134
harp-contribution-subspace-poc-v1-2026-08-12,truthfulqa_llama8b,truthfulqa,structural,all,0.3,30,0.10501591115902957,0.010926403494528714,1.0,0.13837873085583774,0.9885178028547134
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,entropy_level,all,0.3,30,-0.03564540838758982,0.021618854293449074,0.1,0.21172130782587997,0.9667625795232667
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,entropy_dynamics,all,0.3,30,-0.04333617774163829,0.02097282471259806,0.03333333333333333,0.21172130782587997,0.9667625795232667
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,sampled_token_energy,all,0.3,30,-0.014756282808250884,0.03144684915637133,0.3,0.21172130782587997,0.9667625795232667
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,partition_energy,all,0.3,30,0.11934584096879157,0.029231801106380455,1.0,0.21172130782587997,0.9667625795232667
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,topk_distribution,all,0.3,30,-0.01313070277952094,0.01604378223630484,0.23333333333333334,0.21172130782587997,0.9667625795232667
harp-contribution-subspace-poc-v1-2026-08-12,ars_gsm8k_r1distill8b,gsm8k,structural,all,0.3,30,0.16444968760316578,0.031243453879486238,1.0,0.21172130782587997,0.9667625795232667
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,entropy_level,all,0.3,30,-0.055931573900819945,0.021038605695617826,0.0,0.18936877875050256,0.9478658301912112
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,entropy_dynamics,all,0.3,30,-0.055572189880184426,0.02078652601769675,0.0,0.18936877875050256,0.9478658301912112
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,sampled_token_energy,all,0.3,30,-0.010061503648213867,0.04544592866013599,0.43333333333333335,0.18936877875050256,0.9478658301912112
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,partition_energy,all,0.3,30,0.10415162225412862,0.03187905121283207,1.0,0.18936877875050256,0.9478658301912112
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,topk_distribution,all,0.3,30,-0.0025498129871289205,0.01980773946170287,0.36666666666666664,0.18936877875050256,0.9478658301912112
harp-contribution-subspace-poc-v1-2026-08-12,internalstates_gsm8k_qwen25_7b,gsm8k,structural,all,0.3,30,0.13670636158663416,0.0271370367195267,1.0,0.18936877875050256,0.9478658301912112
