version,budget,method,n_cells,n_families,cell_macro_auroc,cell_macro_iu_auroc,cell_macro_delta_pp,equal_family_delta_pp,equal_family_ci_low_pp,equal_family_ci_high_pp,wins,losses,ties,worst_delta_pp
harp-contribution-subspace-poc-v1-2026-08-12,40,anchored_0.1,23,8,0.7528175223761582,0.769775728564887,-1.6958206188728688,-1.4864436810320405,-2.206601391857393,-0.8707398512780016,2,21,0,-4.884393601190484
harp-contribution-subspace-poc-v1-2026-08-12,40,anchored_0.3,23,8,0.7649785050407018,0.769775728564887,-0.47972235241850963,-0.3398455090510433,-0.7702199164233986,0.0685825655254059,9,14,0,-2.6903831845237813
harp-contribution-subspace-poc-v1-2026-08-12,40,anchored_1,23,8,0.7709192086658646,0.769775728564887,0.11434801009777755,0.186689802354223,-0.023471556606634345,0.4112446958713949,14,9,0,-0.8958333333333401
harp-contribution-subspace-poc-v1-2026-08-12,40,anchored_3,23,8,0.7712097734444417,0.769775728564887,0.1434044879554713,0.15273327484987984,0.0268369579064634,0.27262847570947074,18,5,0,-0.16305613789889817
harp-contribution-subspace-poc-v1-2026-08-12,40,anchored_10,23,8,0.7705511375426972,0.769775728564887,0.07754089778101775,0.08450397938135942,0.054923476426586945,0.1164088482500879,20,3,0,-0.045599635202919764
harp-contribution-subspace-poc-v1-2026-08-12,40,anchored_30,23,8,0.7701091669187555,0.769775728564887,0.03334383538686807,0.03477234784899151,0.019708772566498965,0.04792375995314291,20,3,0,-0.01025991792065195
harp-contribution-subspace-poc-v1-2026-08-12,80,family_ridge,23,8,0.7463268739030657,0.769775728564887,-2.34488546618212,-2.566640764738285,-3.3561576904885717,-1.7609683698084915,2,21,0,-7.131073127973986
harp-contribution-subspace-poc-v1-2026-08-12,80,full_ridge,23,8,0.7508253723040454,0.769775728564887,-1.8950356260841361,-2.44676977981498,-3.8145829548442145,-1.2375155908134725,6,17,0,-6.421656190174696
harp-contribution-subspace-poc-v1-2026-08-12,80,anchored_0.1,23,8,0.7651892854357224,0.769775728564887,-0.45864431291644187,-0.39458361387185137,-0.7486225498157268,-0.0665570855998418,8,15,0,-3.0204420235412033
harp-contribution-subspace-poc-v1-2026-08-12,80,anchored_0.3,23,8,0.7709599794468269,0.769775728564887,0.11842508819399873,0.17755835782792972,-0.1007220576608413,0.48545564667275365,13,10,0,-1.0031617831204653
harp-contribution-subspace-poc-v1-2026-08-12,80,anchored_1,23,8,0.7725900027612262,0.769775728564887,0.28142741963393125,0.31890241895262567,0.11368887011015563,0.5278517826168975,16,7,0,-0.20177883977166022
harp-contribution-subspace-poc-v1-2026-08-12,80,anchored_3,23,8,0.7716462820876677,0.769775728564887,0.18705535227808567,0.1991344578588232,0.09182728843305066,0.30425550718216965,20,3,0,-0.08663930688554977
harp-contribution-subspace-poc-v1-2026-08-12,80,anchored_10,23,8,0.7705787000789956,0.769775728564887,0.08029715141085844,0.08508413085270648,0.048166214079603024,0.11789860955553992,21,2,0,-0.03305973552213404
harp-contribution-subspace-poc-v1-2026-08-12,80,anchored_30,23,8,0.7700943380935344,0.769775728564887,0.031860952864766784,0.031800671105096795,0.015886709455544545,0.04493833698359642,22,1,0,-0.014854426619137495
harp-contribution-subspace-poc-v1-2026-08-12,all,family_ridge,23,8,0.7784426466524204,0.769775728564887,0.8666918087533331,0.5302895043705075,-0.6283819843217087,1.5623804517286934,16,7,0,-2.2385278360121164
harp-contribution-subspace-poc-v1-2026-08-12,all,full_ridge,23,8,0.7836603569386095,0.769775728564887,1.3884628373722552,1.141819054264295,-0.295241816884096,2.433575893531676,17,6,0,-2.783601211274145
harp-contribution-subspace-poc-v1-2026-08-12,all,anchored_0.1,23,8,0.7793305116567528,0.769775728564887,0.9554783091865854,0.7892250869043028,0.13970386353024722,1.3553562056415411,20,3,0,-1.0132774283717727
harp-contribution-subspace-poc-v1-2026-08-12,all,anchored_0.3,23,8,0.7777750618275129,0.769775728564887,0.7999333262625972,0.7210027136680253,0.30926985607249124,1.1075497338504685,21,2,0,-0.2375960866526916
harp-contribution-subspace-poc-v1-2026-08-12,all,anchored_1,23,8,0.7744974053623502,0.769775728564887,0.4721676797463352,0.44368133294860457,0.22302102983286862,0.6517449106064473,21,2,0,-0.05015959872322062
harp-contribution-subspace-poc-v1-2026-08-12,all,anchored_3,23,8,0.7719401969066518,0.769775728564887,0.21644683417649221,0.20928984059578934,0.11459486127473424,0.2993581885552292,22,1,0,-0.030779753761978057
harp-contribution-subspace-poc-v1-2026-08-12,all,anchored_10,23,8,0.7705772858317698,0.769775728564887,0.0801557266882913,0.0780902440489797,0.04611967133150981,0.10483904055703694,21,2,0,-0.009284016636945669
harp-contribution-subspace-poc-v1-2026-08-12,all,anchored_30,23,8,0.7700899651866402,0.769775728564887,0.0314236621753276,0.03194192472772532,0.0213879678346444,0.04036371793122587,22,0,1,0.0
