method,sla,f1,within_auc,prmscore_q80,prmscore_inner,answers,fallbacks
eleven__top5__all__hard__equal,0.21247204775949105,0.25936514747013567,0.7349506227330338,0.6029631609955041,0.6029631609955041,13769,0
eleven__top5__all__hard__spectral,0.2169615701402191,0.26404497527746024,0.7573017307946526,0.6263282574011134,0.6264092834986434,13769,0
eleven__top5__all__hard__binary_lsml,0.3239074319905406,0.35376740305613974,0.7329393644220047,0.5933586042642165,0.5937901747613659,13769,0
eleven__top5__all__soft__equal,0.32489485450660877,0.3524359319607616,0.7531533804218778,0.6297415610546424,0.6319507791855765,13769,0
eleven__top5__all__soft__spectral,0.25971487773434754,0.3017909393737659,0.7591920681295428,0.636672508311316,0.6372890507665646,13769,0
eleven__top5__all__soft__continuous_lsml,0.25759815369596334,0.298460862295546,0.7550375112745155,0.6333053036811935,0.6338008057406179,13769,0
eleven__top5__all__hard__continuous_lsml,0.16021519986198013,0.2104822066102277,0.7584842902916806,0.6247417381895257,0.6266480063067383,13769,0
ct7,0.3988620140983161,0.41188745848863717,0.7723966352864217,0.6425309772481037,0.647104057213021,13769,0
token_lsml,0.3592368825176495,0.3732442704802602,0.7531638360944568,0.6303722260272545,0.6299240371677104,13769,0
token_equal,0.32592621106812386,0.3487954139076385,0.7311045454951502,0.6169493668203978,0.6183371367886439,13769,0
mindgap_previous_unadjusted,0.22645083949185113,0.2748721700546999,0.6337412633612456,0.5420085433240655,0.5426725001664906,13769,0
mindgap,0.222504277686643,0.2697458945417888,0.6084010565600693,0.5323748298523776,0.5322737732343956,13769,0
dual__iu,0.27894866023031517,0.318920499103613,0.7072298064019268,0.5885243433102284,0.5883241839251488,13748,0
dual__joint0,0.30206076418994926,0.3372018244334808,0.7063934369105209,0.5896583273349928,0.5902857871610507,13748,0
dual__equal,0.28150770072183606,0.3196932497900862,0.7029728077084104,0.5854157733062433,0.5847097380148832,13748,0
context__iu,0.29302412347288354,0.3255834616232781,0.7157964012190194,0.5964619496425738,0.5959989178599425,13748,0
single__joint0,0.2966045405489923,0.333113480475541,0.7060872603653018,0.5881500178515451,0.5881679923684665,13748,0
control__longest_step,0.31775479697764775,0.35142017339315323,0.6181358410980654,0.5278777173269932,0.5283668304672218,13769,0
control__relative_position_0.0,0.13495639040761714,0.18693823538592616,0.33826853686226915,0.4163939005722181,0.44361197670841535,13769,0
control__relative_position_0.5,0.20950316380494635,0.2592015999265837,0.5968686488085826,0.5251729986587906,0.5259961212815674,13769,0
control__relative_position_1.0,0.048371245618499446,0.06728569993488812,0.6617314631377309,0.536556360386236,0.5451575283391026,13769,0
ct7_single__H0lim,0.34192576126322755,0.36333526100529107,0.7439716251034377,,,13769,0
ct7_single__ve0,0.3432465925230511,0.3652701977569995,0.7534060391728259,,,13769,0
ct7_single__ve0.75,0.3578408761472959,0.3788923383026468,0.7323022945501653,,,13769,0
ct7_single__ve1,0.3482762102154656,0.36902093691467397,0.7377863024015934,,,13769,0
ct7_single__H0lim_prefix_innovation,0.3359779995353567,0.3569287430401949,0.7478657911893811,,,13769,0
ct7_single__bocpd_residual,0.352173218182394,0.3735580134187646,0.6903984155860289,,,13769,0
ct7_single__chosen_token_z_despiked,0.31007619442467826,0.34475613296940855,0.7387372459881674,,,13769,0
