contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm,primary,per_cell_deltas_json
upcr_lens96_hierarchical_minus_flat,upcr__lens-96__spaced8__hierarchical-module-metric,upcr__lens-96__spaced8__flat,auroc,-0.0011488373750888996,-0.011214585352721396,0.009160700719077675,3,0,3,-0.06515216769824872,0.84375,1.0,False,"{""gsm8k_t1.0"": 0.013296775789560455, ""nq_open_t0.5"": -0.06515216769824872, ""sciq_t1.0"": -0.044553216341741586, ""squadv2_t0.5"": 0.0034830049552068143, ""triviaqa_t1.0"": 0.12279411764705872, ""truthfulqa_t0.5"": -0.03676153860236908}"
upcr_lens96_hierarchical_minus_flat,upcr__lens-96__spaced8__hierarchical-module-metric,upcr__lens-96__spaced8__flat,auprc,-0.0205090490194047,-0.03290155132739455,-0.008584046529721246,2,0,4,-0.09210001704284776,0.5625,1.0,False,"{""gsm8k_t1.0"": 0.011875132015428003, ""nq_open_t0.5"": -0.06891185159951418, ""sciq_t1.0"": -0.09210001704284776, ""squadv2_t0.5"": -0.03541792905244456, ""triviaqa_t1.0"": 0.07132742310253382, ""truthfulqa_t0.5"": -0.00982705153958352}"
upcr_length_residualized_minus_raw,upcr__resid-core-32-length-residualized__all32__flat,upcr__resid-core-32__all32__flat,auroc,-0.10262257436297963,-0.11461699876483873,-0.08960955799479527,0,0,6,-0.2149816176470587,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.04988867815618048, ""nq_open_t0.5"": -0.035340309267006154, ""sciq_t1.0"": -0.1409183191033735, ""squadv2_t0.5"": -0.13322463591649047, ""triviaqa_t1.0"": -0.2149816176470587, ""truthfulqa_t0.5"": -0.041381886087768494}"
upcr_length_residualized_minus_raw,upcr__resid-core-32-length-residualized__all32__flat,upcr__resid-core-32__all32__flat,auprc,-0.09707559354117663,-0.1107541216479843,-0.08271326871621777,0,0,6,-0.17180170263679395,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.052733781247825184, ""nq_open_t0.5"": -0.043879776781874935, ""sciq_t1.0"": -0.1428271123624582, ""squadv2_t0.5"": -0.17180170263679395, ""triviaqa_t1.0"": -0.16310635617551228, ""truthfulqa_t0.5"": -0.008104832042595267}"
iu_pcr_spaced8_minus_all32,iu_pcr__resid-core-8__spaced8__flat,iu_pcr__resid-core-32__all32__flat,auroc,0.015836732265855875,0.011510234987116223,0.02031277263502663,6,0,0,0.005311900325388641,0.03125,1.0,False,"{""gsm8k_t1.0"": 0.010245732662653606, ""nq_open_t0.5"": 0.022854324794476466, ""sciq_t1.0"": 0.005311900325388641, ""squadv2_t0.5"": 0.008195357509399925, ""triviaqa_t1.0"": 0.026691176470588163, ""truthfulqa_t0.5"": 0.021721901832628454}"
iu_pcr_spaced8_minus_all32,iu_pcr__resid-core-8__spaced8__flat,iu_pcr__resid-core-32__all32__flat,auprc,0.01083189739727151,0.004875808699028028,0.016600374135102076,5,0,1,-0.007879947169581847,0.15625,1.0,False,"{""gsm8k_t1.0"": -0.007879947169581847, ""nq_open_t0.5"": 0.021505483313767115, ""sciq_t1.0"": 0.02154044510294828, ""squadv2_t0.5"": 0.00595064630511255, ""triviaqa_t1.0"": 0.0162564078734182, ""truthfulqa_t0.5"": 0.00761834895796476}"
iu_pcr_late8_minus_all32,iu_pcr__resid-core-8__late8__flat,iu_pcr__resid-core-32__all32__flat,auroc,-0.011192044428083461,-0.03202061358819187,0.008197092649227767,2,0,4,-0.06641729017788878,0.5625,1.0,False,"{""gsm8k_t1.0"": 0.029953822049971213, ""nq_open_t0.5"": -0.06641729017788878, ""sciq_t1.0"": -0.013683010262257711, ""squadv2_t0.5"": 0.02446123228999253, ""triviaqa_t1.0"": -0.010036764705882328, ""truthfulqa_t0.5"": -0.03143025576243569}"
iu_pcr_late8_minus_all32,iu_pcr__resid-core-8__late8__flat,iu_pcr__resid-core-32__all32__flat,auprc,-0.006392762805888251,-0.026697952954163138,0.014128483214473186,2,0,4,-0.03270257801361076,0.5625,1.0,False,"{""gsm8k_t1.0"": -0.024792424012034298, ""nq_open_t0.5"": -0.03270257801361076, ""sciq_t1.0"": -0.0228070333501576, ""squadv2_t0.5"": 0.051493046666537756, ""triviaqa_t1.0"": 0.008671295661884626, ""truthfulqa_t0.5"": -0.018218883787949225}"
iu_pcr_hierarchical_minus_flat,iu_pcr__resid-core-32__all32__hierarchical-bands,iu_pcr__resid-core-32__all32__flat,auroc,0.00637439466253122,0.0012985040595247296,0.011551110101517392,2,0,4,-0.006216656597279435,1.0,1.0,False,"{""gsm8k_t1.0"": 0.04924960831203107, ""nq_open_t0.5"": -0.0021366041877443065, ""sciq_t1.0"": 0.004041864820016339, ""squadv2_t0.5"": -0.0029050796659541023, ""triviaqa_t1.0"": -0.0037867647058822396, ""truthfulqa_t0.5"": -0.006216656597279435}"
iu_pcr_hierarchical_minus_flat,iu_pcr__resid-core-32__all32__hierarchical-bands,iu_pcr__resid-core-32__all32__flat,auprc,0.006523523767809208,-0.0009238927474485709,0.014082728116134332,2,3,1,-0.004663966012722565,0.84375,1.0,False,"{""gsm8k_t1.0"": 0.03852628901506133, ""nq_open_t0.5"": 0.00021925235932984677, ""sciq_t1.0"": 0.006137183469851926, ""squadv2_t0.5"": -0.004663966012722565, ""triviaqa_t1.0"": -0.0007620419953302537, ""truthfulqa_t0.5"": -0.0003155742293350361}"
iu_pcr_lens96_hierarchical_minus_flat,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr__lens-96__spaced8__flat,auroc,-0.029838384210938745,-0.041542709018537266,-0.017984381807531723,1,0,5,-0.11733421211621908,0.21875,1.0,False,"{""gsm8k_t1.0"": 0.05728951925455594, ""nq_open_t0.5"": -0.062200281912552446, ""sciq_t1.0"": -0.01707595183135424, ""squadv2_t0.5"": -0.03002187866006245, ""triviaqa_t1.0"": -0.009687500000000182, ""truthfulqa_t0.5"": -0.11733421211621908}"
iu_pcr_lens96_hierarchical_minus_flat,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr__lens-96__spaced8__flat,auprc,-0.03420078644708983,-0.046156032027968426,-0.021629333475127376,1,0,5,-0.08584093955627448,0.21875,1.0,False,"{""gsm8k_t1.0"": 0.056484048202710024, ""nq_open_t0.5"": -0.08220364525824675, ""sciq_t1.0"": -0.03580731752924582, ""squadv2_t0.5"": -0.08584093955627448, ""triviaqa_t1.0"": -0.003662915526459809, ""truthfulqa_t0.5"": -0.05417394901502215}"
iu_pcr_length_residualized_minus_raw,iu_pcr__resid-core-32-length-residualized__all32__flat,iu_pcr__resid-core-32__all32__flat,auroc,-0.10857080226981795,-0.11902360637259123,-0.09755721858133902,0,0,6,-0.21056985294117658,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.05291910612682427, ""nq_open_t0.5"": -0.04494800809809596, ""sciq_t1.0"": -0.16461328809411246, ""squadv2_t0.5"": -0.1327065552097264, ""triviaqa_t1.0"": -0.21056985294117658, ""truthfulqa_t0.5"": -0.045668003148972014}"
iu_pcr_length_residualized_minus_raw,iu_pcr__resid-core-32-length-residualized__all32__flat,iu_pcr__resid-core-32__all32__flat,auprc,-0.10489551127618518,-0.11769085998413657,-0.09041110314935118,0,0,6,-0.17911365083538344,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.05702944153578171, ""nq_open_t0.5"": -0.050080446241301035, ""sciq_t1.0"": -0.17911365083538344, ""squadv2_t0.5"": -0.16927710369605087, ""triviaqa_t1.0"": -0.16037292096161382, ""truthfulqa_t0.5"": -0.013499504386980221}"
dufs_liu_pcr_spaced8_minus_all32,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr__resid-core-32__all32__flat,auroc,0.017814302203366217,0.0133639582004747,0.02240003473104653,6,0,0,0.006276014869612823,0.03125,1.0,False,"{""gsm8k_t1.0"": 0.023892966108682967, ""nq_open_t0.5"": 0.025720330411847625, ""sciq_t1.0"": 0.006276014869612823, ""squadv2_t0.5"": 0.006281210321293473, ""triviaqa_t1.0"": 0.022922794117647083, ""truthfulqa_t0.5"": 0.02179249739111333}"
dufs_liu_pcr_spaced8_minus_all32,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr__resid-core-32__all32__flat,auprc,0.013326968657620638,0.007322147138417231,0.019174061666784807,6,0,0,0.0013116048943440095,0.03125,1.0,False,"{""gsm8k_t1.0"": 0.008988416872761584, ""nq_open_t0.5"": 0.02289766530492332, ""sciq_t1.0"": 0.02540012165017297, ""squadv2_t0.5"": 0.0013116048943440095, ""triviaqa_t1.0"": 0.013357335790054825, ""truthfulqa_t0.5"": 0.008006667433467118}"
dufs_liu_pcr_late8_minus_all32,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr__resid-core-32__all32__flat,auroc,-0.010574275822758819,-0.03133239356187574,0.009308325153240295,2,0,4,-0.06423992591025474,0.6875,1.0,False,"{""gsm8k_t1.0"": 0.045477034715923126, ""nq_open_t0.5"": -0.06423992591025474, ""sciq_t1.0"": -0.01490669410684975, ""squadv2_t0.5"": 0.020364412047497726, ""triviaqa_t1.0"": -0.01742647058823532, ""truthfulqa_t0.5"": -0.032714011094633955}"
dufs_liu_pcr_late8_minus_all32,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr__resid-core-32__all32__flat,auprc,-0.005174184848425893,-0.025666536635920344,0.015359331477546414,2,0,4,-0.032682155948227765,0.5625,1.0,False,"{""gsm8k_t1.0"": -0.005830022145172198, ""nq_open_t0.5"": -0.032682155948227765, ""sciq_t1.0"": -0.0221886489273731, ""squadv2_t0.5"": 0.04386775005053134, ""triviaqa_t1.0"": 0.003915449618051792, ""truthfulqa_t0.5"": -0.018127481738365425}"
dufs_liu_pcr_hierarchical_minus_flat,dufs_liu_pcr__resid-core-32__all32__hierarchical-bands,dufs_liu_pcr__resid-core-32__all32__flat,auroc,0.008289449184521736,0.0027157206901486665,0.013923994598170336,3,0,3,-0.008952205882352904,0.84375,1.0,False,"{""gsm8k_t1.0"": 0.06407190566504495, ""nq_open_t0.5"": 0.002218844348934934, ""sciq_t1.0"": 0.00397697249492468, ""squadv2_t0.5"": -0.005475381450583239, ""triviaqa_t1.0"": -0.008952205882352904, ""truthfulqa_t0.5"": -0.006103440068838006}"
dufs_liu_pcr_hierarchical_minus_flat,dufs_liu_pcr__resid-core-32__all32__hierarchical-bands,dufs_liu_pcr__resid-core-32__all32__flat,auprc,0.008538428665478687,0.00019610415718824322,0.016571830883966812,3,1,2,-0.010455544344740941,0.6875,1.0,False,"{""gsm8k_t1.0"": 0.056912466088128666, ""nq_open_t0.5"": 0.0021129519577240963, ""sciq_t1.0"": 0.006766073972436781, ""squadv2_t0.5"": -0.010455544344740941, ""triviaqa_t1.0"": -0.0046606978001709765, ""truthfulqa_t0.5"": 0.0005553221194944946}"
dufs_liu_pcr_lens96_hierarchical_minus_flat,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr__lens-96__spaced8__flat,auroc,-0.03337192160808092,-0.04491391869282064,-0.021577655837249264,1,0,5,-0.11174251661448892,0.21875,1.0,False,"{""gsm8k_t1.0"": 0.04405458893378389, ""nq_open_t0.5"": -0.06373592492241287, ""sciq_t1.0"": -0.017780497075210233, ""squadv2_t0.5"": -0.02716688585251037, ""triviaqa_t1.0"": -0.023860294117647007, ""truthfulqa_t0.5"": -0.11174251661448892}"
dufs_liu_pcr_lens96_hierarchical_minus_flat,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr__lens-96__spaced8__flat,auprc,-0.0388042003416626,-0.05004291326276542,-0.02688961223712668,1,0,5,-0.08288020655066819,0.09375,1.0,False,"{""gsm8k_t1.0"": 0.03750171798002211, ""nq_open_t0.5"": -0.08288020655066819, ""sciq_t1.0"": -0.04062225118228435, ""squadv2_t0.5"": -0.08098635602993931, ""triviaqa_t1.0"": -0.012337943315281263, ""truthfulqa_t0.5"": -0.05350016295182458}"
dufs_liu_pcr_length_residualized_minus_raw,dufs_liu_pcr__resid-core-32-length-residualized__all32__flat,dufs_liu_pcr__resid-core-32__all32__flat,auroc,-0.11080250787836056,-0.1215612992101186,-0.09949900284676746,0,0,6,-0.21647058823529408,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.04935268409334548, ""nq_open_t0.5"": -0.049460736943044314, ""sciq_t1.0"": -0.1627870326593801, ""squadv2_t0.5"": -0.13826887672556243, ""triviaqa_t1.0"": -0.21647058823529408, ""truthfulqa_t0.5"": -0.04847512861353692}"
dufs_liu_pcr_length_residualized_minus_raw,dufs_liu_pcr__resid-core-32-length-residualized__all32__flat,dufs_liu_pcr__resid-core-32__all32__flat,auprc,-0.10597958668458064,-0.11921161189081167,-0.09176972783633844,0,0,6,-0.17845422591472704,0.03125,1.0,False,"{""gsm8k_t1.0"": -0.04901395774166617, ""nq_open_t0.5"": -0.05365074579602813, ""sciq_t1.0"": -0.17596034685149534, ""squadv2_t0.5"": -0.17845422591472704, ""triviaqa_t1.0"": -0.1647168731294758, ""truthfulqa_t0.5"": -0.014081370674091431}"
