cell,contract,diagnostic,feature_a,feature_b,value,effective_rank,layer_distance
gsm8k_t1.0,resid-core-32,layer_correlation,4,19,0.27070665310445785,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,20,0.18198850681706522,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,21,0.17132078074853246,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,22,0.08171519814159887,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,23,0.09656056726523597,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,24,0.06762426998272196,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,25,0.06070379268776578,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,26,0.0552622409511273,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,27,0.034892219436167805,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,28,-0.06607613302590541,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,29,-0.24188053845588636,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,30,-0.3202036424985073,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,4,31,-0.4286595090533662,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,0,0.32596708947100633,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,1,0.4050841893649205,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,2,0.42611484271189953,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,3,0.5884954628333713,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,4,0.6935752993258113,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,5,1.0,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,6,0.6442619897521633,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,7,0.41698904919439456,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,8,0.43017363708943124,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,9,0.477133479326912,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,10,0.30474223336803935,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,11,0.3739047002201921,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,12,0.3667776009894312,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,13,0.18250894808016502,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,14,0.3069801759320501,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,15,0.2844324945275279,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,16,0.37144686056012693,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,17,0.3272381212844083,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,18,0.2659982433635741,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,19,0.26416718256009447,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,20,0.22686223001138045,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,21,0.16491228377806172,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,22,0.092574399592883,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,23,0.012587253942226257,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,24,0.0024803399678759498,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,25,-0.015770573117695454,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,26,-0.027434187609885564,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,27,-0.09026421314107824,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,28,-0.1227199726878079,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,29,-0.28461372512780403,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,30,-0.35823163463794694,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,5,31,-0.5128992920878035,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,0,0.17165351383854663,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,1,0.2476229905996137,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,2,0.34923111819573666,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,3,0.46854823588862926,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,4,0.6403677857230253,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,5,0.6442619897521633,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,6,0.9999999999999999,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,7,0.6444994659462638,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,8,0.5923010630172425,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,9,0.4637354576447827,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,10,0.38298168838070856,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,11,0.40721295263777957,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,12,0.4084593885345712,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,13,0.3182096196232874,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,14,0.36343608853977194,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,15,0.2056102396053716,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,6,16,0.27784713344452344,5.740438404543392,
