cohort,n_cells,method_key,method,feature_contract,layer_subset,structured,macro_auroc,macro_auprc
primary_13_cells,13,iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7202060118079516,0.5960425834689705
primary_13_cells,13,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7252613703349737,0.6025244987258745
primary_13_cells,13,upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.6957500682972044,0.5666873614971315
primary_13_cells,13,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.6998616494841985,0.581504535679821
primary_13_cells,13,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.6998112782659667,0.5815310556636689
primary_13_cells,13,upcr__resid-core-L-length-residualized__all__flat,upcr,resid-core-L-length-residualized,all,flat,0.5770574930451642,0.43911802756817564
primary_13_cells,13,iu_pcr__resid-core-L-length-residualized__all__flat,iu_pcr,resid-core-L-length-residualized,all,flat,0.5739541314778631,0.4383252285294886
primary_13_cells,13,dufs_liu_pcr__resid-core-L-length-residualized__all__flat,dufs_liu_pcr,resid-core-L-length-residualized,all,flat,0.5705076461861217,0.43523803143956646
primary_13_cells,13,trilens_equal_mean__trilens-entropy-3L__all__flat,trilens_equal_mean,trilens-entropy-3L,all,flat,0.5694099625209458,0.43290063673094026
primary_13_cells,13,trilens_pc1__trilens-entropy-3L__all__flat,trilens_pc1,trilens-entropy-3L,all,flat,0.5998667022158582,0.4782766744253145
primary_13_cells,13,upcr__trilens-entropy-3L__all__flat,upcr,trilens-entropy-3L,all,flat,0.542578689338262,0.42185479625875755
primary_13_cells,13,iu_pcr__trilens-entropy-3L__all__flat,iu_pcr,trilens-entropy-3L,all,flat,0.5658671724184817,0.43328923533015423
primary_13_cells,13,dufs_liu_pcr__trilens-entropy-3L__all__flat,dufs_liu_pcr,trilens-entropy-3L,all,flat,0.5651500847790684,0.4328424357479565
primary_13_cells,13,upcr__trilens-entropy-3L__all__hierarchical-modules,upcr,trilens-entropy-3L,all,hierarchical-modules,0.6134095697204818,0.4929675293914494
primary_13_cells,13,iu_pcr__trilens-entropy-3L__all__hierarchical-modules,iu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6293642801228311,0.5003104801601522
primary_13_cells,13,dufs_liu_pcr__trilens-entropy-3L__all__hierarchical-modules,dufs_liu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6057770719435693,0.48135887230466107
primary_13_cells,13,dola_kl_equal_mean__dola-kl-proxy-L__all__flat,dola_kl_equal_mean,dola-kl-proxy-L,all,flat,0.6981011436659983,0.5836016862729868
primary_13_cells,13,dola_kl_pc1__dola-kl-proxy-L__all__flat,dola_kl_pc1,dola-kl-proxy-L,all,flat,0.6897530879348668,0.5766105268617797
primary_13_cells,13,upcr__dola-kl-proxy-L__all__flat,upcr,dola-kl-proxy-L,all,flat,0.6846946260457053,0.5727537863779533
primary_13_cells,13,iu_pcr__dola-kl-proxy-L__all__flat,iu_pcr,dola-kl-proxy-L,all,flat,0.6925470377476656,0.580056558153301
primary_13_cells,13,dufs_liu_pcr__dola-kl-proxy-L__all__flat,dufs_liu_pcr,dola-kl-proxy-L,all,flat,0.6929755240346067,0.5804637028001072
primary_13_cells,13,haloscope_direct_proxy__middle-layer-mean-token-JL__middle__flat,haloscope_direct_proxy,middle-layer-mean-token-JL,middle,flat,0.557404795598178,0.426477718783078
primary_13_cells,13,generation_entropy_mean__raw-output__full-answer__flat,generation_entropy_mean,raw-output,full-answer,flat,0.7398721745791298,0.6153916900485339
primary_13_cells,13,realized_token_nll_mean__raw-output__full-answer__flat,realized_token_nll_mean,raw-output,full-answer,flat,0.7259819285696149,0.5821100953031084
primary_13_cells,13,spilled_energy_eq8_mean_proxy__raw-output__full-answer__flat,spilled_energy_eq8_mean_proxy,raw-output,full-answer,flat,0.659604973129012,0.5421727317868856
primary_13_cells,13,spilled_energy_eq8_min_proxy__raw-output__full-answer__flat,spilled_energy_eq8_min_proxy,raw-output,full-answer,flat,0.5849418567197345,0.42882621313853975
original_llama_six,6,final_layer_nll__resid-core-L__all__flat,final_layer_nll,resid-core-L,all,flat,0.7230878758121765,0.662718456632265
original_llama_six,6,equal_mean__resid-core-L__all__flat,equal_mean,resid-core-L,all,flat,0.6525839962788343,0.6084274530429924
original_llama_six,6,pc1__resid-core-L__all__flat,pc1,resid-core-L,all,flat,0.6708915392445906,0.6306735352565364
original_llama_six,6,token_length__resid-core-L__all__flat,token_length,resid-core-L,all,flat,0.72970803962016,0.684896099569393
original_llama_six,6,upcr__resid-core-L__all__flat,upcr,resid-core-L,all,flat,0.6697475180701867,0.627986227207891
original_llama_six,6,iu_pcr__resid-core-L__all__flat,iu_pcr,resid-core-L,all,flat,0.6731328034796856,0.6346013136640415
original_llama_six,6,dufs_liu_pcr__resid-core-L__all__flat,dufs_liu_pcr,resid-core-L,all,flat,0.6709600842158624,0.6322792565462702
original_llama_six,6,upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.6739276972859849,0.6302354298067053
original_llama_six,6,iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.6889695357455414,0.645433211061313
original_llama_six,6,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.6887745114025446,0.6456067787078362
original_llama_six,6,upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.623235217732608,0.5841495012233643
original_llama_six,6,iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6619407590516021,0.6282085508581533
original_llama_six,6,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6603859333764196,0.6271056252017896
original_llama_six,6,su_pcr__resid-core-L__all__dependency,su_pcr,resid-core-L,all,dependency,0.6671473680158454,0.6261520681254875
original_llama_six,6,lsml_continuous__resid-core-L__all__dependency,lsml_continuous,resid-core-L,all,dependency,0.6596193240166466,0.6218809025523035
original_llama_six,6,clustered_upcr__resid-core-L__all__dependency,clustered_upcr,resid-core-L,all,dependency,0.6733954538229181,0.6335137558792073
original_llama_six,6,upcr__resid-core-L__all__hierarchical-bands,upcr,resid-core-L,all,hierarchical-bands,0.6665334798803431,0.6226399936638568
original_llama_six,6,iu_pcr__resid-core-L__all__hierarchical-bands,iu_pcr,resid-core-L,all,hierarchical-bands,0.6795071981422166,0.6411248374318507
original_llama_six,6,dufs_liu_pcr__resid-core-L__all__hierarchical-bands,dufs_liu_pcr,resid-core-L,all,hierarchical-bands,0.6792496583837001,0.6408182387156942
original_llama_six,6,upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.7150531566847219,0.6969432468531319
original_llama_six,6,iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7507213457107532,0.7281619231985775
original_llama_six,6,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7524113223089298,0.7310787281875255
original_llama_six,6,upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.7139043193096332,0.6764341978337273
original_llama_six,6,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7208829614998145,0.6939611367514876
original_llama_six,6,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7190434380375944,0.6922760130515276
original_llama_six,6,upcr__resid-core-L-length-residualized__all__flat,upcr,resid-core-L-length-residualized,all,flat,0.5671249437072069,0.5309106336667143
original_llama_six,6,iu_pcr__resid-core-L-length-residualized__all__flat,iu_pcr,resid-core-L-length-residualized,all,flat,0.5645620012098677,0.5297058023878564
original_llama_six,6,dufs_liu_pcr__resid-core-L-length-residualized__all__flat,dufs_liu_pcr,resid-core-L-length-residualized,all,flat,0.5601596201861904,0.5263015762493267
original_llama_six,6,trilens_equal_mean__trilens-entropy-3L__all__flat,trilens_equal_mean,trilens-entropy-3L,all,flat,0.6238814784509307,0.5721347343549554
original_llama_six,6,trilens_pc1__trilens-entropy-3L__all__flat,trilens_pc1,trilens-entropy-3L,all,flat,0.6377448381732805,0.6222533126492561
original_llama_six,6,upcr__trilens-entropy-3L__all__flat,upcr,trilens-entropy-3L,all,flat,0.6077600261044388,0.5887456340008689
original_llama_six,6,iu_pcr__trilens-entropy-3L__all__flat,iu_pcr,trilens-entropy-3L,all,flat,0.640219836533331,0.5954011915793138
original_llama_six,6,dufs_liu_pcr__trilens-entropy-3L__all__flat,dufs_liu_pcr,trilens-entropy-3L,all,flat,0.6405033192375763,0.596240054714539
original_llama_six,6,upcr__trilens-entropy-3L__all__hierarchical-modules,upcr,trilens-entropy-3L,all,hierarchical-modules,0.6482224400945081,0.6158240118648612
original_llama_six,6,iu_pcr__trilens-entropy-3L__all__hierarchical-modules,iu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6412203986823567,0.6142989841844011
original_llama_six,6,dufs_liu_pcr__trilens-entropy-3L__all__hierarchical-modules,dufs_liu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6405096324723449,0.6150634652473351
original_llama_six,6,dola_kl_equal_mean__dola-kl-proxy-L__all__flat,dola_kl_equal_mean,dola-kl-proxy-L,all,flat,0.7127928894567228,0.699779681011964
original_llama_six,6,dola_kl_pc1__dola-kl-proxy-L__all__flat,dola_kl_pc1,dola-kl-proxy-L,all,flat,0.6894141708968298,0.676582253064296
original_llama_six,6,upcr__dola-kl-proxy-L__all__flat,upcr,dola-kl-proxy-L,all,flat,0.671815048961938,0.6606196728695176
original_llama_six,6,iu_pcr__dola-kl-proxy-L__all__flat,iu_pcr,dola-kl-proxy-L,all,flat,0.6905659988295453,0.6797524686437919
original_llama_six,6,dufs_liu_pcr__dola-kl-proxy-L__all__flat,dufs_liu_pcr,dola-kl-proxy-L,all,flat,0.6908466655672848,0.6799492198318798
original_llama_six,6,haloscope_direct_proxy__middle-layer-mean-token-JL__middle__flat,haloscope_direct_proxy,middle-layer-mean-token-JL,middle,flat,0.5756794403534474,0.5497756751199925
original_llama_six,6,generation_entropy_mean__raw-output__full-answer__flat,generation_entropy_mean,raw-output,full-answer,flat,0.7278978016157062,0.6928364719336932
original_llama_six,6,realized_token_nll_mean__raw-output__full-answer__flat,realized_token_nll_mean,raw-output,full-answer,flat,0.7189738927829051,0.6538665405068241
original_llama_six,6,spilled_energy_eq8_mean_proxy__raw-output__full-answer__flat,spilled_energy_eq8_mean_proxy,raw-output,full-answer,flat,0.6175268109427856,0.6031970682630025
original_llama_six,6,spilled_energy_eq8_min_proxy__raw-output__full-answer__flat,spilled_energy_eq8_min_proxy,raw-output,full-answer,flat,0.5725078312526736,0.5280141133744577
gsm8k_cross_architecture_seven,7,final_layer_nll__resid-core-L__all__flat,final_layer_nll,resid-core-L,all,flat,0.7357727438662914,0.5093827568726732
gsm8k_cross_architecture_seven,7,equal_mean__resid-core-L__all__flat,equal_mean,resid-core-L,all,flat,0.5399279580689013,0.2898715826585443
gsm8k_cross_architecture_seven,7,pc1__resid-core-L__all__flat,pc1,resid-core-L,all,flat,0.6105655406863263,0.3544786279773836
gsm8k_cross_architecture_seven,7,token_length__resid-core-L__all__flat,token_length,resid-core-L,all,flat,0.6188647665848028,0.39142525220941143
gsm8k_cross_architecture_seven,7,upcr__resid-core-L__all__flat,upcr,resid-core-L,all,flat,0.5720890020251007,0.31646239323963876
gsm8k_cross_architecture_seven,7,iu_pcr__resid-core-L__all__flat,iu_pcr,resid-core-L,all,flat,0.570638623925696,0.319294094237502
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__resid-core-L__all__flat,dufs_liu_pcr,resid-core-L,all,flat,0.5655801064672945,0.31360805636919314
gsm8k_cross_architecture_seven,7,upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.5711228424052232,0.3100858777686507
gsm8k_cross_architecture_seven,7,iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.5829015516209665,0.33478704302344786
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.5827814927230907,0.3343884584172384
gsm8k_cross_architecture_seven,7,upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.5886226645614073,0.3247575955037934
gsm8k_cross_architecture_seven,7,iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6130187411175434,0.3432389045038939
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6137376214663078,0.34402830632372755
gsm8k_cross_architecture_seven,7,su_pcr__resid-core-L__all__dependency,su_pcr,resid-core-L,all,dependency,0.5686578783894413,0.3179460974988623
gsm8k_cross_architecture_seven,7,lsml_continuous__resid-core-L__all__dependency,lsml_continuous,resid-core-L,all,dependency,0.6105756425666222,0.3519007581844614
gsm8k_cross_architecture_seven,7,clustered_upcr__resid-core-L__all__dependency,clustered_upcr,resid-core-L,all,dependency,0.5834354749859499,0.32435801326594305
gsm8k_cross_architecture_seven,7,upcr__resid-core-L__all__hierarchical-bands,upcr,resid-core-L,all,hierarchical-bands,0.6200571372643636,0.3666514194044751
gsm8k_cross_architecture_seven,7,iu_pcr__resid-core-L__all__hierarchical-bands,iu_pcr,resid-core-L,all,hierarchical-bands,0.617624004024827,0.3584346735391558
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__resid-core-L__all__hierarchical-bands,dufs_liu_pcr,resid-core-L,all,hierarchical-bands,0.6175771334041925,0.3591969044885493
gsm8k_cross_architecture_seven,7,upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.7381538812229466,0.5066347252002702
gsm8k_cross_architecture_seven,7,iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7016271190359917,0.46949544344177696
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7115551164211705,0.4819985287788206
gsm8k_cross_architecture_seven,7,upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.727283265012863,0.49175204587068755
gsm8k_cross_architecture_seven,7,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.7314811785257023,0.5064418729001497
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.732973554228,0.5079785548862459
gsm8k_cross_architecture_seven,7,upcr__resid-core-L-length-residualized__all__flat,upcr,resid-core-L-length-residualized,all,flat,0.5815710933011676,0.32829059105787867
gsm8k_cross_architecture_seven,7,iu_pcr__resid-core-L-length-residualized__all__flat,iu_pcr,resid-core-L-length-residualized,all,flat,0.5775223814000229,0.3276529950699536
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__resid-core-L-length-residualized__all__flat,dufs_liu_pcr,resid-core-L-length-residualized,all,flat,0.5733613986468377,0.3233568560221407
gsm8k_cross_architecture_seven,7,trilens_equal_mean__trilens-entropy-3L__all__flat,trilens_equal_mean,trilens-entropy-3L,all,flat,0.5413056143453143,0.2915505254841017
gsm8k_cross_architecture_seven,7,trilens_pc1__trilens-entropy-3L__all__flat,trilens_pc1,trilens-entropy-3L,all,flat,0.5906980087029667,0.3482047341755399
gsm8k_cross_architecture_seven,7,upcr__trilens-entropy-3L__all__flat,upcr,trilens-entropy-3L,all,flat,0.4955074953616853,0.25544316990331206
gsm8k_cross_architecture_seven,7,iu_pcr__trilens-entropy-3L__all__flat,iu_pcr,trilens-entropy-3L,all,flat,0.5283112063883214,0.27836213535885884
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__trilens-entropy-3L__all__flat,dufs_liu_pcr,trilens-entropy-3L,all,flat,0.5254840072599931,0.275427668215698
gsm8k_cross_architecture_seven,7,upcr__trilens-entropy-3L__all__hierarchical-modules,upcr,trilens-entropy-3L,all,hierarchical-modules,0.6074178538737455,0.3764056416382368
gsm8k_cross_architecture_seven,7,iu_pcr__trilens-entropy-3L__all__hierarchical-modules,iu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6132667548220591,0.3692937422731162
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__trilens-entropy-3L__all__hierarchical-modules,dufs_liu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.5704264204614538,0.33440708381990986
gsm8k_cross_architecture_seven,7,dola_kl_equal_mean__dola-kl-proxy-L__all__flat,dola_kl_equal_mean,dola-kl-proxy-L,all,flat,0.7130344891886384,0.48150363445948263
gsm8k_cross_architecture_seven,7,dola_kl_pc1__dola-kl-proxy-L__all__flat,dola_kl_pc1,dola-kl-proxy-L,all,flat,0.7234751503250545,0.49299656532282893
gsm8k_cross_architecture_seven,7,upcr__dola-kl-proxy-L__all__flat,upcr,dola-kl-proxy-L,all,flat,0.7317252397093749,0.5008261188183157
gsm8k_cross_architecture_seven,7,iu_pcr__dola-kl-proxy-L__all__flat,iu_pcr,dola-kl-proxy-L,all,flat,0.728190299685476,0.4968404845008547
gsm8k_cross_architecture_seven,7,dufs_liu_pcr__dola-kl-proxy-L__all__flat,dufs_liu_pcr,dola-kl-proxy-L,all,flat,0.7285013997606923,0.497343405199464
gsm8k_cross_architecture_seven,7,haloscope_direct_proxy__middle-layer-mean-token-JL__middle__flat,haloscope_direct_proxy,middle-layer-mean-token-JL,middle,flat,0.5591205044478357,0.3093833002639495
gsm8k_cross_architecture_seven,7,generation_entropy_mean__raw-output__full-answer__flat,generation_entropy_mean,raw-output,full-answer,flat,0.7512489452151263,0.5307136911542804
gsm8k_cross_architecture_seven,7,realized_token_nll_mean__raw-output__full-answer__flat,realized_token_nll_mean,raw-output,full-answer,flat,0.7355486957519074,0.5094651608041398
gsm8k_cross_architecture_seven,7,spilled_energy_eq8_mean_proxy__raw-output__full-answer__flat,spilled_energy_eq8_mean_proxy,raw-output,full-answer,flat,0.7306967332275717,0.502191107418174
gsm8k_cross_architecture_seven,7,spilled_energy_eq8_min_proxy__raw-output__full-answer__flat,spilled_energy_eq8_min_proxy,raw-output,full-answer,flat,0.5933987843663218,0.30037086930190837
all_14_descriptive_including_rejected_coqa,14,final_layer_nll__resid-core-L__all__flat,final_layer_nll,resid-core-L,all,flat,0.7227883841579874,0.6137739823962854
all_14_descriptive_including_rejected_coqa,14,equal_mean__resid-core-L__all__flat,equal_mean,resid-core-L,all,flat,0.600903177915642,0.49031596085224294
all_14_descriptive_including_rejected_coqa,14,pc1__resid-core-L__all__flat,pc1,resid-core-L,all,flat,0.6322804827286036,0.5269290295194713
all_14_descriptive_including_rejected_coqa,14,token_length__resid-core-L__all__flat,token_length,resid-core-L,all,flat,0.6424172238638705,0.5458983697512252
all_14_descriptive_including_rejected_coqa,14,upcr__resid-core-L__all__flat,upcr,resid-core-L,all,flat,0.6163285348773779,0.5082820343952897
all_14_descriptive_including_rejected_coqa,14,iu_pcr__resid-core-L__all__flat,iu_pcr,resid-core-L,all,flat,0.616832494620637,0.5119140382748874
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__resid-core-L__all__flat,dufs_liu_pcr,resid-core-L,all,flat,0.6144960113043016,0.50946400678515
all_14_descriptive_including_rejected_coqa,14,upcr__resid-core-8__spaced8__flat,upcr,resid-core-8,spaced8,flat,0.6211039090180267,0.5093127411344253
all_14_descriptive_including_rejected_coqa,14,iu_pcr__resid-core-8__spaced8__flat,iu_pcr,resid-core-8,spaced8,flat,0.6333621078651336,0.5270162146872112
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__resid-core-8__spaced8__flat,dufs_liu_pcr,resid-core-8,spaced8,flat,0.6330165933680773,0.5269529286200726
all_14_descriptive_including_rejected_coqa,14,upcr__resid-core-8__late8__flat,upcr,resid-core-8,late8,flat,0.5963493089399468,0.4909601259914463
all_14_descriptive_including_rejected_coqa,14,iu_pcr__resid-core-8__late8__flat,iu_pcr,resid-core-8,late8,flat,0.6369393560209653,0.52760000061031
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__resid-core-8__late8__flat,dufs_liu_pcr,resid-core-8,late8,flat,0.6363874629641882,0.5272011404887565
all_14_descriptive_including_rejected_coqa,14,su_pcr__resid-core-L__all__dependency,su_pcr,resid-core-L,all,dependency,0.610374398856518,0.5074492859930029
all_14_descriptive_including_rejected_coqa,14,lsml_continuous__resid-core-L__all__dependency,lsml_continuous,resid-core-L,all,dependency,0.6302982186670674,0.5257684342439947
all_14_descriptive_including_rejected_coqa,14,clustered_upcr__resid-core-L__all__dependency,clustered_upcr,resid-core-L,all,dependency,0.6221483427624853,0.5134878442950149
all_14_descriptive_including_rejected_coqa,14,upcr__resid-core-L__all__hierarchical-bands,upcr,resid-core-L,all,hierarchical-bands,0.63385734689553,0.5273337000978471
all_14_descriptive_including_rejected_coqa,14,iu_pcr__resid-core-L__all__hierarchical-bands,iu_pcr,resid-core-L,all,hierarchical-bands,0.6398449185469771,0.532876088923126
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__resid-core-L__all__hierarchical-bands,dufs_liu_pcr,resid-core-L,all,hierarchical-bands,0.6396273999765745,0.5331073567739911
all_14_descriptive_including_rejected_coqa,14,upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.6868725919662323,0.6023845375316997
all_14_descriptive_including_rejected_coqa,14,iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7063385648609677,0.6180455554416703
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7112045480624766,0.6240970052590163
all_14_descriptive_including_rejected_coqa,14,upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.6923147776066477,0.5929737808041498
all_14_descriptive_including_rejected_coqa,14,iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.6999400512138086,0.6073570877593527
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.6997435437701202,0.607343674003169
all_14_descriptive_including_rejected_coqa,14,upcr__resid-core-L-length-residualized__all__flat,upcr,resid-core-L-length-residualized,all,flat,0.5771932656725489,0.47346446430907835
all_14_descriptive_including_rejected_coqa,14,iu_pcr__resid-core-L-length-residualized__all__flat,iu_pcr,resid-core-L-length-residualized,all,flat,0.5746682734076405,0.47238146238147033
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__resid-core-L-length-residualized__all__flat,dufs_liu_pcr,resid-core-L-length-residualized,all,flat,0.5714788101712813,0.4695337824790983
all_14_descriptive_including_rejected_coqa,14,trilens_equal_mean__trilens-entropy-3L__all__flat,trilens_equal_mean,trilens-entropy-3L,all,flat,0.5769871712210956,0.4689834601255975
all_14_descriptive_including_rejected_coqa,14,trilens_pc1__trilens-entropy-3L__all__flat,trilens_pc1,trilens-entropy-3L,all,flat,0.5937964292019998,0.508979882366517
all_14_descriptive_including_rejected_coqa,14,upcr__trilens-entropy-3L__all__flat,upcr,trilens-entropy-3L,all,flat,0.5461092169373216,0.4575483755050613
all_14_descriptive_including_rejected_coqa,14,iu_pcr__trilens-entropy-3L__all__flat,iu_pcr,trilens-entropy-3L,all,flat,0.5773118015285402,0.470181930153243
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__trilens-entropy-3L__all__flat,dufs_liu_pcr,trilens-entropy-3L,all,flat,0.576283189728872,0.46968267671321867
all_14_descriptive_including_rejected_coqa,14,upcr__trilens-entropy-3L__all__hierarchical-modules,upcr,trilens-entropy-3L,all,hierarchical-modules,0.6231061602311009,0.5259932441311338
all_14_descriptive_including_rejected_coqa,14,iu_pcr__trilens-entropy-3L__all__hierarchical-modules,iu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6245817994079846,0.5299599291217458
all_14_descriptive_including_rejected_coqa,14,dufs_liu_pcr__trilens-entropy-3L__all__hierarchical-modules,dufs_liu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6027140644761527,0.5123695206914102
all_14_descriptive_including_rejected_coqa,14,dola_kl_equal_mean__dola-kl-proxy-L__all__flat,dola_kl_equal_mean,dola-kl-proxy-L,all,flat,0.6859606835649886,0.6061487514744932
