method_key,method,feature_contract,layer_subset,structured,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high
clustered_upcr__resid-core-L__all__dependency,clustered_upcr,resid-core-L,all,dependency,0.6266762407352353,0.6140074332118317,0.6386564564703932,0.4824575303977751,0.4704463972181775,0.49978977958564624
upcr__resid-core-L__all__hierarchical-bands,upcr,resid-core-L,all,hierarchical-bands,0.6408242351015699,0.6283465349314091,0.6533650820082875,0.4977314413798271,0.48480981582247035,0.5164195977846003
iu_pcr__resid-core-L__all__hierarchical-bands,iu_pcr,resid-core-L,all,hierarchical-bands,0.6467605876172869,0.6340076939677111,0.6587512216109925,0.5035494887585219,0.49047020418534176,0.5217234575044427
dufs_liu_pcr__resid-core-L__all__hierarchical-bands,dufs_liu_pcr,resid-core-L,all,hierarchical-bands,0.6465363548419045,0.6338146841013026,0.6584630069655101,0.5038008978087348,0.4907395458612072,0.5219604434654773
upcr__lens-96__spaced8__flat,upcr,lens-96,spaced8,flat,0.6986690325470147,0.6862604399354651,0.7098185424348077,0.5793032396809885,0.5632488875944553,0.5981941126666384
iu_pcr__lens-96__spaced8__flat,iu_pcr,lens-96,spaced8,flat,0.7202060118079516,0.708657742320632,0.7311737774249315,0.5960425834689705,0.5808113577576435,0.615649575078844
dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr,lens-96,spaced8,flat,0.7252613703349737,0.7138517602348682,0.7361869295245299,0.6025244987258745,0.5870181215277581,0.6221748923449535
upcr__lens-96__spaced8__hierarchical-module-metric,upcr,lens-96,spaced8,hierarchical-module-metric,0.6957500682972044,0.6844371949370072,0.7068949725622865,0.5666873614971315,0.552779997788117,0.5867319216483261
iu_pcr__lens-96__spaced8__hierarchical-module-metric,iu_pcr,lens-96,spaced8,hierarchical-module-metric,0.6998616494841985,0.6884116994300948,0.7110075235604156,0.581504535679821,0.5668216733364592,0.6009752958410169
dufs_liu_pcr__lens-96__spaced8__hierarchical-module-metric,dufs_liu_pcr,lens-96,spaced8,hierarchical-module-metric,0.6998112782659667,0.6883931825823612,0.7110499432180014,0.5815310556636689,0.5668456468879423,0.6008897903706079
upcr__resid-core-L-length-residualized__all__flat,upcr,resid-core-L-length-residualized,all,flat,0.5770574930451642,0.5641985730651542,0.5898164904204937,0.43911802756817564,0.4266377199927577,0.45618828806452627
iu_pcr__resid-core-L-length-residualized__all__flat,iu_pcr,resid-core-L-length-residualized,all,flat,0.5739541314778631,0.5611113067626592,0.5866632320130108,0.4383252285294886,0.4257167097952337,0.45582354639838185
dufs_liu_pcr__resid-core-L-length-residualized__all__flat,dufs_liu_pcr,resid-core-L-length-residualized,all,flat,0.5705076461861217,0.5574518677562925,0.5831628853659953,0.43523803143956646,0.42306983274727744,0.45290079010052964
trilens_equal_mean__trilens-entropy-3L__all__flat,trilens_equal_mean,trilens-entropy-3L,all,flat,0.5694099625209458,0.5562061963499276,0.5822098592882917,0.43290063673094026,0.42196648592140096,0.44923827765971663
trilens_pc1__trilens-entropy-3L__all__flat,trilens_pc1,trilens-entropy-3L,all,flat,0.5998667022158582,0.5869605365013891,0.6123601720627416,0.4782766744253145,0.46657221966262835,0.49450183410905335
upcr__trilens-entropy-3L__all__flat,upcr,trilens-entropy-3L,all,flat,0.542578689338262,0.5294671928090324,0.5553345606643871,0.42185479625875755,0.41068316102934455,0.43759491927802635
iu_pcr__trilens-entropy-3L__all__flat,iu_pcr,trilens-entropy-3L,all,flat,0.5658671724184817,0.5534271303670546,0.5778589511111796,0.43328923533015423,0.42275178391941104,0.4488165545868148
dufs_liu_pcr__trilens-entropy-3L__all__flat,dufs_liu_pcr,trilens-entropy-3L,all,flat,0.5651500847790684,0.5527488260129741,0.5770676766822809,0.4328424357479565,0.4223978457081644,0.44853957971070146
upcr__trilens-entropy-3L__all__hierarchical-modules,upcr,trilens-entropy-3L,all,hierarchical-modules,0.6134095697204818,0.6000419864218797,0.6256178419745131,0.4929675293914494,0.479125916571354,0.511320516011973
iu_pcr__trilens-entropy-3L__all__hierarchical-modules,iu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6293642801228311,0.6168905521894457,0.6409211638349701,0.5003104801601522,0.48862994786167385,0.5182091371704297
dufs_liu_pcr__trilens-entropy-3L__all__hierarchical-modules,dufs_liu_pcr,trilens-entropy-3L,all,hierarchical-modules,0.6057770719435693,0.5933508179632256,0.6177630688180568,0.48135887230466107,0.4701158173710844,0.4985055654353832
dola_kl_equal_mean__dola-kl-proxy-L__all__flat,dola_kl_equal_mean,dola-kl-proxy-L,all,flat,0.6981011436659983,0.6864161840549037,0.7094455864362256,0.5836016862729868,0.5676456149881087,0.6021189179859198
dola_kl_pc1__dola-kl-proxy-L__all__flat,dola_kl_pc1,dola-kl-proxy-L,all,flat,0.6897530879348668,0.6779145593066218,0.7015332159945152,0.5766105268617797,0.5608752722756309,0.5953310874637942
upcr__dola-kl-proxy-L__all__flat,upcr,dola-kl-proxy-L,all,flat,0.6846946260457053,0.6727870649679174,0.6964044485801253,0.5727537863779533,0.5575126243512706,0.5918439563825353
iu_pcr__dola-kl-proxy-L__all__flat,iu_pcr,dola-kl-proxy-L,all,flat,0.6925470377476656,0.6807241071900814,0.7040870447255048,0.580056558153301,0.5642609925424441,0.5991848462841548
dufs_liu_pcr__dola-kl-proxy-L__all__flat,dufs_liu_pcr,dola-kl-proxy-L,all,flat,0.6929755240346067,0.6811849127698264,0.7046826264149265,0.5804637028001072,0.5647619083867111,0.5995421074944872
haloscope_direct_proxy__middle-layer-mean-token-JL__middle__flat,haloscope_direct_proxy,middle-layer-mean-token-JL,middle,flat,0.557404795598178,0.5448185242745639,0.5701966726548009,0.426477718783078,0.41368577183250166,0.44403438476523693
generation_entropy_mean__raw-output__full-answer__flat,generation_entropy_mean,raw-output,full-answer,flat,0.7398721745791298,0.7285352724301019,0.75001979464306,0.6153916900485339,0.5990742181445675,0.6340247978410124
realized_token_nll_mean__raw-output__full-answer__flat,realized_token_nll_mean,raw-output,full-answer,flat,0.7259819285696149,0.7151156952017371,0.7359684141177854,0.5821100953031084,0.567431740646387,0.5996544733110741
spilled_energy_eq8_mean_proxy__raw-output__full-answer__flat,spilled_energy_eq8_mean_proxy,raw-output,full-answer,flat,0.659604973129012,0.6480549312899975,0.6705439610810205,0.5421727317868856,0.5278794226721583,0.5593177065753321
spilled_energy_eq8_min_proxy__raw-output__full-answer__flat,spilled_energy_eq8_min_proxy,raw-output,full-answer,flat,0.5849418567197345,0.5727150931834666,0.597130348332405,0.42882621313853975,0.41990249354175313,0.44352658072821965
